secs,km,power,hr,cad,alt
0,0,,103,0,38.8
1,0,,102,0,38.8
2,0,,101,0,38.8
3,0.0001,,100,0,38.8
4,0.0004,,99,41,38.8
5,0.0008,,100,41,39
6,0.0008,,100,41,38.8
7,0.0012,,100,43,38.8
8,0.0022,,99,51,38.8
9,0.0037,,99,75,38.8
10,0.0063,,99,91,39
11,0.0084,,99,91,39
12,0.0106,,100,93,38.8
13,0.0131,,101,92,39
14,0.0157,,102,93,39
15,0.0183,,104,92,39.4
16,0.0206,,106,92,39.4
17,0.0228,,108,92,39.6
18,0.0249,,110,93,40
19,0.0276,,112,92,40
20,0.0306,,114,91,40
21,0.0338,,115,90,40
22,0.037,,118,90,40.2
23,0.0405,,119,90,40.4
24,0.0435,,121,91,40.4
25,0.0466,,122,91,40.4
26,0.0498,,125,91,40.6
27,0.0529,,126,91,40.8
28,0.0558,,129,90,40.8
29,0.0582,,130,90,41
30,0.0605,,132,90,41
31,0.0632,,133,91,41.2
32,0.066,,134,91,41.4
33,0.0691,,135,91,41.4
34,0.0722,,137,92,41.6
35,0.0752,,138,92,41.6
36,0.0783,,139,92,41.6
37,0.0811,,140,91,41.8
38,0.0835,,141,90,41.8
39,0.0858,,143,90,41.8
40,0.0879,,144,90,42
41,0.0901,,145,90,42.2
42,0.0926,,146,91,42.2
43,0.0949,,146,91,42.4
44,0.0974,,147,91,42.8
45,0.1001,,148,91,42.8
46,0.1029,,148,91,42.8
47,0.1054,,149,91,42.8
48,0.1078,,149,89,43
49,0.1103,,149,88,43
50,0.1129,,149,88,43.2
51,0.1155,,150,89,43.2
52,0.1179,,149,89,43.6
53,0.1206,,150,89,43.8
54,0.1236,,150,89,44
55,0.1268,,150,89,44.2
56,0.1299,,150,89,44.2
57,0.1328,,150,89,44.4
58,0.1355,,150,89,44.6
59,0.1381,,150,89,44.8
60,0.1409,,150,89,45
61,0.1437,,150,89,45.2
62,0.1463,,151,89,45.2
63,0.149,,151,89,45.6
64,0.1517,,151,89,45.8
65,0.1541,,152,89,46
66,0.1565,,152,89,46.2
67,0.1588,,151,89,46.4
68,0.1614,,152,89,46.6
69,0.1641,,152,89,46.8
70,0.1667,,152,89,47
71,0.1696,,152,90,47.4
72,0.1722,,152,89,47.4
73,0.1748,,152,89,47.8
74,0.1771,,153,90,48
75,0.1794,,152,89,48.2
76,0.1819,,152,89,48.4
77,0.1845,,153,90,48.6
78,0.187,,153,90,48.8
79,0.1894,,153,90,49
80,0.1919,,152,90,49.2
81,0.1946,,153,89,49.4
82,0.1973,,153,89,49.2
83,0.1999,,153,89,49.4
84,0.2026,,153,89,49.4
85,0.2053,,152,89,49.4
86,0.208,,153,90,49.8
87,0.211,,152,90,50
88,0.2138,,152,90,50.2
89,0.2165,,152,91,50.2
90,0.2194,,153,91,50.4
91,0.2221,,152,91,50.4
92,0.2247,,152,91,50.4
93,0.2274,,152,91,50.4
94,0.2301,,152,91,50.6
95,0.2328,,152,91,50.8
96,0.2356,,152,91,50.8
97,0.2385,,152,91,50.8
98,0.2413,,153,92,50.8
99,0.2442,,153,91,51
100,0.247,,153,91,51
101,0.2496,,153,89,51.2
102,0.2523,,153,89,51.2
103,0.2552,,153,90,51.4
104,0.258,,154,90,51.2
105,0.261,,154,90,51.4
106,0.2641,,154,90,51.4
107,0.2671,,154,90,51.8
108,0.2701,,154,90,51.8
109,0.2734,,154,91,51.6
110,0.2766,,154,92,51.6
111,0.2803,,154,92,51.6
112,0.2839,,154,92,51.6
113,0.2873,,154,91,51.6
114,0.2906,,154,92,51.8
115,0.2939,,153,91,51.6
116,0.297,,154,91,51.8
117,0.2998,,154,91,52
118,0.3027,,153,92,52
119,0.3056,,153,95,51.8
120,0.3088,,153,95,51.6
121,0.3119,,152,95,51.6
122,0.3151,,152,94,51.6
123,0.3184,,152,94,51.6
124,0.3216,,152,94,51.8
125,0.3247,,152,91,51.6
126,0.3273,,152,91,51.4
127,0.3299,,152,92,51.4
128,0.3329,,152,93,51.6
129,0.3359,,152,95,51.2
130,0.3389,,151,94,51.2
131,0.3417,,151,92,51.4
132,0.3444,,151,90,51.4
133,0.3469,,151,90,51.6
134,0.3495,,151,91,51.8
135,0.3523,,151,91,51.8
136,0.355,,151,93,52
137,0.3579,,152,93,52
138,0.3608,,152,94,52.2
139,0.3637,,152,94,52.4
140,0.3667,,153,93,52.4
141,0.3697,,153,94,52.8
142,0.3731,,153,94,52.8
143,0.3762,,153,94,53
144,0.3791,,154,93,53.2
145,0.3819,,154,92,53.2
146,0.3848,,155,92,53.4
147,0.3875,,155,92,53.6
148,0.3905,,155,92,53.6
149,0.3935,,156,92,53.8
150,0.3966,,156,91,54.2
151,0.3997,,156,95,54
152,0.4029,,157,93,54
153,0.4061,,156,92,54
154,0.4092,,156,92,54
155,0.4128,,156,93,54
156,0.4161,,157,94,54
157,0.4194,,156,95,54.2
158,0.4225,,156,96,54.4
