secs,km,power,hr,cad,alt
0,0,,74,,0
1,0.00228,,74,,0
2,0.00449,,74,,0
3,0.00672,,76,,0
4,0.00898,,77,,1
5,0.0112,,79,,1
6,0.0135,,80,,1
7,0.01579,,82,,1
8,0.01809,,83,,1
9,0.02041,,85,,1
10,0.02278,,86,,1
11,0.02511,,87,,1
12,0.02751,,87,,1
13,0.02989,,87,,1
14,0.03225,,86,,1
15,0.03465,,85,,1
16,0.03709,,85,,1
17,0.03946,,85,,1
18,0.04188,,85,,1
19,0.04429,,85,,1
20,0.04665,,85,,1
21,0.04904,,87,,1
22,0.05141,,87,,1
23,0.05384,,89,,1
24,0.05624,,89,,1
25,0.05861,,91,,1
26,0.06101,,91,,1
27,0.06346,,91,,1
28,0.06592,,91,,1
29,0.06834,,91,,1
30,0.07088,,91,,1
31,0.07337,,92,,1
32,0.07583,,92,,1
33,0.07835,,93,,1
34,0.08082,,94,,1
35,0.08327,,94,,1
36,0.08574,,95,,1
37,0.08822,,96,,1
38,0.09075,,96,,1
39,0.09325,,96,,1
40,0.09575,,96,,1
41,0.09821,,97,,1
42,0.10071,,97,,1
43,0.10316,,97,,1
44,0.10561,,98,,1
45,0.10801,,99,,1
46,0.11045,,99,,1
47,0.11284,,100,,1
48,0.11524,,101,,1
49,0.11766,,102,,1
50,0.12008,,102,,1
51,0.12253,,102,,1
52,0.12499,,102,,1
53,0.12747,,102,,1
54,0.12995,,102,,1
55,0.1324,,102,,1
56,0.13487,,102,,1
57,0.13746,,101,,1
58,0.13998,,102,,1
59,0.14256,,102,,1
60,0.14513,,103,,1
61,0.1477,,103,,1
62,0.15031,,103,,1
63,0.15288,,103,,1
64,0.15547,,103,,1
65,0.15803,,103,,1
66,0.16065,,103,,1
67,0.16322,,103,,1
68,0.16582,,103,,1
69,0.16846,,103,,1
70,0.17111,,104,,1
71,0.17375,,104,,1
72,0.17631,,105,,1
73,0.1789,,106,,1
74,0.18142,,107,,1
75,0.18394,,107,,1
76,0.18642,,108,,1
77,0.1889,,108,,1
78,0.19134,,108,,1
79,0.19383,,108,,1
80,0.19633,,108,,1
81,0.19881,,108,,1
82,0.20133,,108,,1
83,0.20383,,108,,1
84,0.20635,,108,,1
85,0.20888,,108,,1
86,0.21148,,108,,1
87,0.21407,,108,,1
88,0.21669,,108,,1
89,0.21926,,108,,1
90,0.2219,,109,,1
91,0.22448,,110,,1
92,0.22708,,109,,1
93,0.22967,,110,,1
94,0.2323,,109,,1
95,0.23491,,109,,1
96,0.23752,,109,,1
97,0.24013,,109,,1
98,0.24275,,109,,1
99,0.24534,,109,,1
100,0.24796,,109,,1
101,0.25056,,109,,1
102,0.25317,,109,,1
103,0.25581,,109,,1
104,0.25848,,109,,1
105,0.2611,,109,,1
106,0.26372,,109,,1
107,0.26633,,109,,1
108,0.26892,,109,,1
109,0.27153,,109,,1
110,0.27415,,109,,1
111,0.27683,,109,,1
112,0.27947,,109,,1
113,0.28207,,109,,1
114,0.28473,,108,,1
115,0.28731,,108,,1
116,0.28984,,107,,1
117,0.29238,,107,,1
118,0.29481,,107,,1
119,0.2973,,106,,1
120,0.29975,,106,,1
121,0.30221,,106,,1
122,0.30465,,105,,1
123,0.30709,,105,,1
124,0.30952,,105,,1
125,0.31197,,105,,1
126,0.31434,,105,,1
127,0.31683,,105,,1
128,0.31931,,105,,1
129,0.32187,,105,,1
130,0.32435,,105,,1
131,0.32681,,105,,1
132,0.32939,,105,,1
133,0.33188,,106,,1
134,0.33442,,106,,1
135,0.33696,,107,,1
136,0.33947,,107,,1
137,0.34206,,107,,1
138,0.34467,,108,,1
139,0.34723,,108,,1
140,0.3499,,109,,1
141,0.35253,,110,,1
142,0.35516,,110,,1
143,0.35788,,110,,1
144,0.3607,,111,,1
145,0.36344,,111,,1
146,0.36624,,112,,1
147,0.36903,,112,,1
148,0.37187,,112,,1
149,0.37458,,113,,1
150,0.3774,,113,,1
151,0.38023,,113,,1
152,0.383,,113,,1
153,0.38572,,113,,1
154,0.38845,,113,,1
155,0.39119,,113,,1
156,0.39396,,113,,1
157,0.39667,,113,,1
158,0.39937,,113,,1
159,0.40209,,113,,1
160,0.40477,,114,,1
161,0.40754,,114,,1
162,0.41028,,114,,1
163,0.41314,,115,,1
164,0.41597,,115,,1
165,0.41876,,115,,1
166,0.42152,,115,,1
167,0.4244,,116,,1
168,0.42724,,116,,1
169,0.43006,,117,,1
170,0.4329,,117,,1
171,0.43573,,118,,1
172,0.43859,,118,,1
173,0.44136,,119,,1
174,0.44415,,119,,1
175,0.44697,,119,,1
176,0.44973,,119,,1
177,0.45244,,119,,1
178,0.45521,,119,,1
179,0.45803,,120,,1
180,0.46075,,121,,1
181,0.46356,,121,,1
182,0.4664,,121,,1
183,0.4692,,121,,1
184,0.47202,,121,,1
185,0.47488,,122,,1
186,0.47765,,122,,1
187,0.48042,,122,,1
188,0.4832,,122,,1
189,0.48598,,122,,1
190,0.4887,,121,,1
191,0.49148,,121,,1
192,0.49424,,121,,1
193,0.49702,,120,,1
194,0.49986,,121,,1
195,0.50259,,121,,1
196,0.50541,,121,,1
197,0.50816,,122,,1
198,0.51096,,122,,1
199,0.51371,,123,,1
200,0.51646,,124,,1
201,0.5193,,124,,1
202,0.5221,,124,,1
203,0.52486,,124,,1
204,0.52762,,124,,1
205,0.53038,,124,,1
206,0.53316,,124,,1
207,0.53593,,124,,1
208,0.53873,,124,,1
209,0.54146,,125,,1
210,0.54422,,125,,1
211,0.54701,,125,,1
212,0.54977,,125,,1
213,0.55253,,125,,1
214,0.55535,,125,,1
215,0.55814,,125,,1
216,0.56089,,125,,1
217,0.56369,,124,,1
218,0.56648,,124,,1
219,0.56922,,124,,1
220,0.57204,,123,,1
221,0.57479,,123,,1
222,0.57757,,123,,1
223,0.5804,,124,,1
224,0.58316,,123,,1
225,0.58594,,123,,1
226,0.58874,,123,,1
227,0.59149,,123,,1
228,0.59425,,123,,1
229,0.59699,,123,,1
230,0.59974,,123,,1
231,0.60254,,122,,1
232,0.60536,,122,,1
233,0.60816,,123,,1
234,0.61097,,123,,1
235,0.61378,,123,,1
236,0.61658,,123,,1
237,0.61942,,123,,1
238,0.6223,,122,,1
239,0.62521,,122,,1
240,0.62805,,121,,1
241,0.63092,,121,,1
242,0.63384,,121,,1
243,0.63673,,122,,1
244,0.63959,,122,,1
245,0.64255,,123,,1
246,0.64548,,123,,1
247,0.64835,,123,,1
248,0.65129,,123,,1
249,0.65417,,122,,1
250,0.65711,,122,,1
251,0.66,,121,,1
252,0.66284,,121,,1
253,0.66567,,121,,1
254,0.66851,,121,,1
255,0.67137,,121,,1
256,0.6742,,121,,1
257,0.67704,,122,,1
258,0.67984,,122,,1
259,0.68265,,122,,1
260,0.68546,,122,,1
261,0.68828,,122,,1
262,0.69111,,122,,1
263,0.69395,,122,,1
264,0.69683,,122,,1
265,0.69959,,122,,1
266,0.70245,,122,,1
267,0.70523,,122,,1
268,0.70805,,122,,1
269,0.71088,,122,,1
270,0.71371,,122,,1
271,0.71653,,121,,1
272,0.71929,,121,,1
273,0.72207,,121,,1
274,0.72483,,121,,1
275,0.72763,,121,,1
276,0.73043,,121,,1
277,0.7332,,121,,1
278,0.73596,,121,,1
279,0.73874,,122,,1
280,0.7415,,122,,1
281,0.74427,,122,,1
282,0.74704,,122,,1
283,0.74986,,123,,1
284,0.75265,,123,,1
285,0.75547,,122,,1
286,0.75818,,122,,1
287,0.76096,,122,,1
288,0.76378,,122,,1
289,0.76659,,121,,1
290,0.76943,,121,,1
291,0.77227,,121,,1
292,0.7751,,122,,1
293,0.77796,,122,,1
294,0.78081,,122,,1
295,0.78371,,121,,1
296,0.78655,,121,,1
297,0.78945,,121,,1
298,0.79232,,122,,1
299,0.79521,,122,,1
300,0.79803,,123,,1
301,0.80089,,123,,1
302,0.80378,,123,,1
303,0.80665,,123,,1
304,0.80943,,123,,1
305,0.81233,,123,,1
306,0.81513,,122,,1
307,0.81798,,122,,1
308,0.82079,,122,,1
309,0.8236,,122,,1
310,0.82645,,121,,1
311,0.82924,,121,,1
312,0.832,,122,,1
313,0.83485,,122,,1
314,0.83765,,122,,1
315,0.8405,,122,,1
316,0.8433,,122,,1
317,0.84607,,122,,1
318,0.84892,,123,,1
319,0.85171,,123,,1
320,0.8545,,123,,1
321,0.85732,,123,,1
322,0.86008,,123,,1
323,0.86288,,122,,1
324,0.8656,,122,,1
325,0.86844,,121,,1
326,0.87116,,121,,1
327,0.87399,,122,,1
328,0.87675,,122,,1
329,0.87961,,122,,1
330,0.88241,,122,,1
331,0.88525,,122,,1
332,0.88804,,123,,1
333,0.89087,,123,,1
334,0.89371,,123,,1
335,0.89653,,124,,1
336,0.89933,,124,,1
337,0.9022,,124,,1
338,0.90504,,124,,1
339,0.90785,,124,,1
340,0.91064,,123,,1
341,0.91345,,122,,1
342,0.91626,,122,,1
343,0.91904,,122,,1
344,0.92179,,122,,1
345,0.92455,,121,,1
346,0.92736,,122,,1
347,0.93004,,121,,1
348,0.93276,,122,,1
349,0.93543,,122,,1
350,0.93818,,122,,1
351,0.94098,,122,,1
352,0.94373,,122,,1
353,0.94648,,122,,1
354,0.94925,,122,,1
355,0.95194,,122,,1
356,0.95472,,122,,1
357,0.95743,,122,,1
358,0.96022,,122,,1
359,0.96294,,123,,1
360,0.9657,,123,,1
361,0.96847,,124,,1
362,0.97122,,123,,1
363,0.97401,,123,,1
364,0.97673,,123,,1
365,0.97951,,122,,1
366,0.98228,,122,,1
367,0.98509,,122,,1
368,0.98788,,122,,1
369,0.99072,,122,,1
370,0.99353,,122,,1
371,0.99631,,122,,1
372,0.99912,,123,,1
373,1.00192,,123,,1
374,1.00469,,124,,1
375,1.00749,,124,,1
376,1.01033,,124,,1
377,1.01319,,124,,1
378,1.01599,,125,,1
379,1.01883,,125,,1
380,1.02168,,125,,1
381,1.02449,,125,,1
382,1.02736,,125,,1
383,1.0302,,126,,1
384,1.03304,,126,,1
385,1.0359,,126,,1
386,1.0387,,126,,1
387,1.04156,,126,,1
388,1.04436,,125,,1
389,1.04719,,125,,1
390,1.05004,,124,,1
391,1.05284,,124,,1
392,1.05565,,124,,1
393,1.05846,,124,,1
394,1.06128,,124,,1
395,1.06413,,124,,1
396,1.06693,,124,,1
397,1.06973,,123,,1
398,1.07252,,123,,1
399,1.07533,,122,,1
400,1.0781,,122,,1
401,1.08087,,122,,1
402,1.0837,,122,,1
403,1.08651,,122,,1
404,1.08931,,123,,1
405,1.09207,,123,,1
406,1.09488,,123,,1
407,1.09763,,123,,1
408,1.10042,,123,,1
409,1.10323,,123,,1
410,1.10599,,122,,1
411,1.10882,,122,,1
412,1.11164,,123,,1
413,1.1144,,123,,1
414,1.11722,,123,,1
415,1.12009,,124,,1
