secs,km,power,hr,cad,alt
0,0,,123,,205.6
1,0.0016,,123,,205.6
2,0.00356,,122,,205.6
3,0.00525,,115,,205.6
4,0.00724,,116,,205.6
5,0.00894,,116,,205.4
6,0.01063,,116,,205.4
7,0.0126,,114,,205.4
8,0.01418,,113,,205.4
9,0.0161,,114,,205.4
10,0.018,,112,,205.4
11,0.01995,,110,,205.4
12,0.02173,,109,,205.4
13,0.02363,,108,,205.2
14,0.02546,,114,,205.2
15,0.02752,,113,,205.2
16,0.02937,,113,,205.2
17,0.03154,,113,,205.2
18,0.03385,,112,,205.2
19,0.03499,,109,,205
20,0.03675,,113,,205
21,0.03907,,112,,205
22,0.04144,,111,,205
23,0.04351,,110,,205
24,0.04543,,112,,205
25,0.04698,,115,,205
26,0.04964,,122,,205
27,0.05155,,122,,205
28,0.0536,,122,,205
29,0.05516,,122,,205
30,0.05664,,122,,205
31,0.05861,,122,,205
32,0.06003,,122,,205
33,0.06156,,122,,205
34,0.0633,,122,,205
35,0.06568,,108,,205
36,0.06699,,108,,205
37,0.0686,,107,,205
38,0.07016,,106,,205
39,0.07258,,107,,205
40,0.07465,,109,,205
41,0.07627,,115,,204.8
42,0.07896,,118,,205
43,0.08161,,114,,205
44,0.08315,,110,,205
45,0.08547,,113,,205
46,0.08813,,109,,205
47,0.0895,,111,,205
48,0.09169,,112,,205
49,0.09313,,109,,204.8
50,0.09501,,115,,204.8
51,0.09701,,127,,204.8
52,0.09928,,130,,204.8
53,0.10111,,131,,204.8
54,0.10232,,130,,204.8
55,0.10463,,126,,204.8
56,0.10668,,126,,204.8
57,0.10884,,126,,205
58,0.11008,,126,,204.8
59,0.11173,,126,,204.8
60,0.11365,,126,,204.8
61,0.11621,,126,,205
62,0.11838,,126,,205
63,0.12074,,126,,205
64,0.12304,,126,,205
65,0.1252,,126,,205
66,0.12705,,126,,205
67,0.12865,,126,,205
68,0.13031,,126,,205
69,0.13211,,126,,205
70,0.13368,,126,,205
71,0.13479,,126,,205
72,0.13615,,126,,205
73,0.13798,,126,,205
74,0.13979,,126,,205
75,0.14136,,126,,205
76,0.14299,,126,,205.2
77,0.14493,,126,,205.2
78,0.14675,,126,,205.2
79,0.1484,,126,,205.4
80,0.15075,,126,,205.4
81,0.15209,,126,,205.6
82,0.15432,,126,,205.6
83,0.15571,,126,,205.8
84,0.1572,,104,,205.8
85,0.15927,,103,,205.8
86,0.1608,,103,,205.8
87,0.1626,,104,,205.8
88,0.16412,,107,,206
89,0.16582,,105,,206.2
90,0.16724,,108,,206.2
91,0.17023,,111,,206.2
92,0.17165,,111,,206.2
93,0.17399,,112,,206.4
94,0.17547,,111,,206.6
95,0.17717,,112,,206.6
96,0.17909,,109,,206.8
97,0.18119,,110,,207
98,0.18236,,105,,207
99,0.18435,,104,,207.2
100,0.18573,,107,,207.4
101,0.1871,,107,,207.6
102,0.18893,,106,,207.8
103,0.19062,,105,,207.8
104,0.19224,,106,,208
105,0.19425,,110,,208.2
106,0.19613,,109,,208.4
107,0.19811,,108,,208.6
108,0.2003,,109,,208.8
109,0.20241,,107,,209
110,0.20393,,107,,209.2
111,0.20577,,106,,209.4
112,0.20733,,108,,209.6
113,0.20921,,111,,209.8
114,0.21078,,111,,210
115,0.21262,,111,,210.2
116,0.21454,,111,,210.4
117,0.21628,,111,,210.6
118,0.21814,,111,,210.6
119,0.22034,,111,,210.8
120,0.2216,,111,,211
121,0.22302,,111,,211.2
122,0.22506,,109,,211.2
123,0.22661,,110,,211.2
124,0.22867,,113,,211.4
125,0.23088,,114,,211.4
126,0.23236,,113,,211.4
127,0.23432,,115,,211.6
128,0.23646,,119,,211.6
129,0.23827,,119,,211.6
130,0.24014,,117,,211.6
131,0.24205,,115,,211.8
132,0.24389,,114,,211.8
133,0.24537,,110,,211.8
134,0.24745,,110,,211.8
135,0.24924,,109,,211.6
136,0.25131,,110,,211.6
137,0.25321,,109,,211.6
138,0.25512,,111,,211.6
139,0.25686,,113,,211.6
140,0.25883,,113,,211.4
141,0.26075,,113,,211.4
142,0.26219,,113,,211.4
143,0.26436,,113,,211.4
144,0.2664,,113,,211.4
145,0.26835,,113,,211.2
146,0.27041,,113,,211.2
