secs,km,power,hr,cad,alt
0,0,,89,,50.8
1,0,,88,,50.8
2,0,,88,,51
3,0,,87,,51.2
4,0.00108,,86,,51.2
5,0.00223,,86,,51.2
6,0.00297,,86,,51.2
7,0.00385,,86,,51.2
8,0.00469,,86,,51.2
9,0.0056,,87,,51.2
10,0.00625,,87,,51.2
11,0.00705,,88,,51.2
12,0.00831,,88,,51.2
13,0.00939,,89,,51.2
14,0.01067,,89,,51.2
15,0.01247,,89,,51.2
16,0.0138,,90,,51.2
17,0.01524,,90,,51.2
18,0.01677,,91,,51.4
19,0.01809,,91,,51.4
20,0.01962,,91,,51.4
21,0.02108,,92,,51.4
22,0.02288,,92,,51.4
23,0.02445,,93,,51.4
24,0.02576,,93,,51.4
25,0.02702,,93,,51.4
26,0.02821,,94,,51.2
27,0.0295,,94,,51.2
28,0.03072,,93,,51.2
29,0.0319,,93,,51.2
30,0.03308,,92,,51.2
31,0.03427,,91,,51.2
32,0.03533,,90,,51.2
33,0.03619,,90,,51.2
34,0.03706,,90,,51.2
35,0.03835,,89,,51.2
36,0.03924,,89,,51.2
37,0.0405,,89,,51.2
38,0.04192,,89,,51.2
39,0.04314,,89,,51.2
40,0.04432,,89,,51.2
41,0.04548,,89,,51.2
42,0.04661,,89,,51.2
43,0.04781,,89,,51.2
44,0.04897,,89,,51.2
45,0.04983,,89,,51.2
46,0.05068,,89,,51
47,0.05128,,89,,50.8
48,0.05215,,89,,50.4
49,0.05323,,89,,50.4
50,0.05446,,89,,50.2
51,0.05559,,89,,50
52,0.05664,,89,,49.8
53,0.05779,,89,,49.8
54,0.05994,,89,,49.6
55,0.06164,,89,,49.6
56,0.06306,,89,,49.6
57,0.06496,,89,,49.8
58,0.06659,,89,,49.8
59,0.06834,,89,,49.8
60,0.07023,,89,,49.8
61,0.07221,,90,,49.8
62,0.07418,,90,,49.8
63,0.07595,,90,,49.8
64,0.07804,,90,,49.6
65,0.07973,,90,,49.6
66,0.08163,,90,,49.6
67,0.08299,,90,,49.4
68,0.08384,,90,,49.4
69,0.08477,,90,,49.4
70,0.08639,,90,,49.4
71,0.08794,,90,,49.4
72,0.08968,,91,,49.4
73,0.09142,,91,,49.4
74,0.09298,,92,,49.4
75,0.09456,,93,,49.4
76,0.09588,,93,,49.4
77,0.09729,,93,,49.4
78,0.09893,,93,,49.6
79,0.10048,,93,,49.6
80,0.10201,,93,,49.6
81,0.10344,,93,,49.8
