secs,km,power,hr,cad,alt
0,0,,74,,29.2
1,0.00111,,77,,29.2
2,0.0022,,77,,29.2
3,0.00395,,77,,29.2
4,0.00723,,107,,29.2
5,0.01099,,152,,30
6,0.01414,,163,,29.2
7,0.01787,,175,,28.6
8,0.0218,,175,,28.8
9,0.02594,,175,,29.2
10,0.03051,,175,,29
11,0.03485,,170,,28.8
12,0.0396,,170,,28.8
13,0.04366,,151,,28.4
14,0.04796,,151,,28.2
15,0.05128,,151,,28.4
16,0.0542,,151,,28.6
17,0.05756,,160,,28.6
18,0.06135,,172,,28.6
19,0.06467,,172,,28.8
20,0.06779,,172,,28.4
21,0.07132,,172,,28.2
22,0.07459,,172,,28.4
23,0.07822,,172,,28.8
24,0.0812,,172,,28.4
25,0.08427,,172,,28.4
26,0.0875,,175,,28.4
27,0.09101,,173,,28.6
28,0.09463,,173,,28.2
29,0.09844,,173,,28
30,0.10263,,173,,28.4
31,0.1069,,173,,28.2
32,0.11135,,173,,28
33,0.11628,,185,,28.2
34,0.12012,,185,,28.4
35,0.12398,,185,,28.2
36,0.12748,,185,,28
37,0.12977,,185,,28.2
38,0.13195,,185,,28.2
39,0.1333,,185,,28
40,0.13571,,185,,28.2
41,0.13756,,185,,28.4
42,0.13964,,185,,28.4
43,0.14199,,185,,28.4
44,0.14453,,240,,28.4
45,0.14759,,240,,28.4
46,0.14955,,238,,28.4
47,0.15153,,238,,28.2
48,0.15299,,238,,28.4
49,0.15516,,238,,28.2
50,0.15771,,238,,28.4
51,0.16061,,238,,28.2
52,0.16357,,238,,28.4
53,0.16673,,238,,28.4
54,0.17008,,238,,28.6
55,0.17246,,238,,28.6
56,0.17466,,0,,28.8
57,0.17701,,0,,29
58,0.17962,,148,,28.8
59,0.18335,,148,,28.8
60,0.18706,,129,,29
61,0.19057,,148,,28.8
62,0.1937,,166,,28.6
63,0.19763,,166,,28.6
64,0.20105,,166,,28.6
65,0.2051,,166,,28.6
66,0.2088,,166,,28.4
67,0.21257,,166,,28.6
68,0.2157,,166,,28.6
69,0.21827,,166,,28.6
70,0.22091,,166,,28.6
71,0.22322,,149,,28.8
72,0.22576,,155,,28.8
73,0.229,,153,,28.8
74,0.23187,,156,,28.8
75,0.23489,,150,,28.6
76,0.2383,,157,,28.8
77,0.24239,,170,,28.8
78,0.24672,,170,,28.8
79,0.25034,,171,,28.8
80,0.25351,,171,,28.6
81,0.25725,,193,,28.6
82,0.26109,,193,,28.6
83,0.26367,,193,,28.4
84,0.26472,,193,,28.6
85,0.2664,,193,,28.8
86,0.26785,,193,,28.6
87,0.2711,,193,,28.8
88,0.27411,,193,,28.6
89,0.27651,,193,,28.8
90,0.27902,,193,,28.6
91,0.28203,,193,,28.8
92,0.28477,,193,,28.8
93,0.28735,,150,,28.8
94,0.29046,,150,,28.6
95,0.29306,,150,,28.6
96,0.29514,,152,,28.6
97,0.29813,,152,,28.6
98,0.30112,,236,,28.6
99,0.30456,,236,,28.8
100,0.30773,,236,,28.6
101,0.30995,,236,,29
102,0.31279,,236,,28.8
103,0.31651,,236,,29
104,0.32003,,236,,28.6
105,0.32333,,236,,28.8
106,0.32642,,181,,28.8
107,0.3301,,181,,28.6
108,0.33381,,181,,28.8
109,0.33743,,186,,28.6
110,0.34089,,186,,28.8
111,0.34465,,186,,28.6
112,0.3479,,158,,28.6
113,0.35056,,158,,28.4
114,0.35273,,158,,28.6
115,0.3555,,158,,28.4
116,0.35789,,158,,28.4
117,0.36109,,158,,28.4
118,0.3643,,158,,28.4
119,0.36772,,158,,28.4
120,0.37129,,151,,28.4
121,0.37427,,147,,28.4
122,0.37791,,147,,28.4
123,0.38167,,147,,28.6
124,0.38592,,147,,28.6
125,0.38974,,150,,28.4
126,0.39299,,153,,28.6
127,0.3962,,152,,28.6
128,0.39873,,156,,28.6
129,0.40257,,156,,28.6
130,0.4061,,156,,28.6
131,0.40938,,156,,28.6
132,0.41262,,161,,28.8
133,0.41581,,161,,28.8
134,0.41882,,161,,28.6
135,0.4216,,161,,28.8
136,0.42378,,161,,28.8
137,0.42541,,161,,28.8
138,0.42668,,161,,28.6
139,0.42865,,161,,28.8
140,0.43092,,161,,28.8
141,0.43394,,161,,28.8
142,0.43739,,160,,28.8
143,0.43945,,151,,28.8
144,0.44097,,151,,28.8
145,0.44306,,151,,28.6
146,0.44498,,149,,28.6
147,0.4477,,146,,28.6
148,0.45037,,153,,28.6
149,0.45332,,150,,28.8
150,0.45607,,150,,28.8
151,0.45868,,156,,28.8
152,0.46114,,156,,28.8
153,0.46361,,155,,29
154,0.46671,,155,,28.6
155,0.46994,,155,,28.8
156,0.47363,,155,,28.4
157,0.47682,,155,,28.6
158,0.47954,,138,,28.4
159,0.48267,,138,,28.6
160,0.48563,,138,,28.4
161,0.48878,,168,,28.4
162,0.49226,,233,,28.4
163,0.49541,,233,,28.4
164,0.49818,,233,,28.4
165,0.5016,,233,,28.6
166,0.50419,,233,,28.6
167,0.50717,,233,,28.6
168,0.50994,,233,,28.6
169,0.51275,,233,,28.6
170,0.51562,,233,,28.8
171,0.51876,,233,,29
172,0.52203,,0,,29
173,0.52512,,0,,28.8
174,0.52785,,0,,28.6
175,0.53041,,185,,28.2
176,0.53261,,185,,28
177,0.53565,,185,,28
178,0.5382,,163,,28
179,0.54104,,148,,28.2
180,0.54377,,148,,28.2
181,0.54635,,148,,28.2
182,0.54892,,148,,28.2
183,0.55166,,148,,28.4
184,0.55448,,0,,28.6
185,0.55788,,0,,28.6
186,0.56077,,148,,28.8
187,0.56364,,148,,28.8
188,0.5661,,148,,28.2
189,0.56841,,148,,28
190,0.5703,,148,,27.6
191,0.57226,,148,,27.4
192,0.57498,,148,,27.4
193,0.57797,,148,,27.4
194,0.58123,,148,,27.6
195,0.58496,,148,,27.6
196,0.5878,,148,,27.8
197,0.59138,,148,,27.8
198,0.59473,,148,,27.8
199,0.59788,,148,,28
200,0.60047,,148,,28
201,0.60202,,148,,28
202,0.60382,,148,,28
203,0.60642,,148,,28
204,0.60925,,0,,28
205,0.612,,0,,27.8
206,0.61426,,0,,27.8
207,0.6169,,0,,27.6
208,0.61977,,0,,27.6
209,0.62222,,0,,27.6
210,0.6244,,0,,27.6
211,0.62683,,0,,27.6
212,0.6307,,0,,27.4
213,0.6342,,0,,27.6
214,0.63783,,0,,27.4
215,0.64126,,164,,27.2
216,0.64402,,168,,27.4
217,0.64717,,159,,27.6
218,0.64992,,159,,27.6
219,0.65274,,159,,27.6
220,0.65526,,153,,27.6
221,0.6574,,149,,27.6
222,0.66013,,144,,27.6
223,0.66294,,143,,27.8
224,0.66583,,143,,27.8
225,0.66941,,143,,27.8
226,0.67296,,154,,27.8
227,0.674615,,166.5,,27.8
228,0.67627,,179,,27.8
229,0.67983,,179,,27.8
230,0.68411,,179,,27.8
231,0.68758,,179,,27.8
232,0.69066,,176,,27.6
233,0.69359,,163,,27.6
234,0.69636,,168,,27.2
235,0.6998,,168,,27.4
236,0.70267,,168,,27.4
237,0.70585,,168,,27.4
238,0.70931,,168,,27.4
239,0.71237,,168,,27.6
240,0.71484,,168,,27.6
241,0.71699,,168,,27.4
242,0.71941,,168,,27.4
243,0.72196,,168,,27.4
244,0.72504,,168,,27
245,0.7279,,168,,27
246,0.73124,,168,,26.8
