secs,km,power,hr,cad,alt
0,0,,71,,292.08
1,0.00241,,71,,292.08
2,0.00497,,72,,292.074
3,0.00769,,72,,292.069
4,0.01037,,72,,292.063
5,0.01337,,72,,292.057
6,0.01634,,73,,292.051
7,0.01967,,73,,292.046
8,0.02313,,73,,292.04
9,0.02652,,74,,292.096
10,0.02996,,74,,292.151
11,0.0331,,74,,292.207
12,0.03642,,74,,292.263
13,0.03949,,74,,292.319
14,0.0427,,74,,292.374
15,0.04574,,78,,292.43
16,0.04859,,76,,292.457
17,0.05131,,76,,292.485
18,0.05391,,76,,292.512
19,0.0567,,75,,292.54
20,0.05932,,74,,292.567
21,0.06261,,75,,292.595
22,0.06543,,79,,292.623
23,0.06832,,84,,292.65
24,0.0714,,86,,292.644
25,0.07421,,92,,292.639
26,0.0776,,99,,292.633
27,0.08126,,101,,292.627
28,0.08528,,108,,292.621
29,0.08893,,113,,292.616
30,0.09285,,110,,292.61
31,0.09623,,106,,292.572
32,0.10019,,99,,292.533
33,0.10394,,101,,292.495
34,0.10779,,106,,292.457
35,0.11152,,111,,292.418
36,0.11507,,111,,292.38
37,0.11841,,109,,292.321
38,0.12165,,109,,292.263
39,0.12495,,109,,292.204
40,0.12821,,111,,292.146
41,0.13173,,110,,292.087
42,0.13504,,109,,292.029
43,0.13794,,109,,291.97
44,0.14097,,110,,291.858
45,0.14438,,108,,291.747
46,0.14818,,108,,291.635
47,0.15261,,107,,291.523
48,0.15698,,106,,291.412
49,0.16198,,102,,291.3
50,0.16705,,101,,291.298
51,0.17208,,101,,291.296
52,0.17704,,101,,291.294
53,0.1819,,106,,291.292
54,0.18622,,112,,291.29
55,0.19028,,116,,291.337
56,0.19414,,121,,291.383
57,0.1977,,126,,291.43
58,0.20131,,132,,291.477
59,0.20476,,136,,291.523
60,0.20784,,137,,291.57
61,0.21093,,136,,291.633
62,0.2142,,138,,291.696
63,0.21772,,138,,291.759
64,0.22111,,133,,291.821
65,0.22413,,128,,291.884
66,0.22729,,124,,291.947
67,0.23066,,124,,292.01
68,0.23394,,124,,292.009
69,0.23714,,122,,292.009
70,0.24028,,121,,292.008
71,0.24363,,123,,292.008
72,0.24687,,120,,292.007
73,0.25002,,119,,292.007
74,0.25324,,119,,292.006
75,0.25657,,119,,292.001
76,0.26001,,118,,291.995
77,0.26356,,120,,291.99
78,0.26704,,117,,291.985
79,0.27036,,117,,291.98
80,0.27356,,123,,291.974
81,0.2769,,125,,291.969
82,0.28009,,126,,291.961
83,0.28316,,127,,291.952
84,0.28631,,127,,291.944
85,0.28931,,129,,291.935
86,0.29245,,127,,291.927
87,0.29578,,125,,291.918
88,0.29937,,124,,291.91
89,0.30299,,123,,291.9
90,0.30652,,122,,291.89
91,0.31088,,120,,291.88
92,0.31516,,119,,291.869
93,0.31895,,119,,291.859
94,0.32251,,118,,291.849
95,0.32591,,118,,291.834
96,0.32935,,117,,291.819
97,0.33248,,117,,291.804
98,0.3358,,117,,291.789
99,0.33975,,118,,291.774
100,0.34345,,117,,291.759
101,0.34698,,117,,291.746
102,0.35029,,117,,291.732
103,0.3534,,117,,291.719
104,0.35684,,117,,291.706
105,0.36016,,117,,291.693
106,0.3633,,118,,291.679
107,0.36649,,118,,291.666
108,0.36959,,119,,291.653
109,0.37266,,120,,291.64
110,0.37591,,121,,291.627
111,0.37925,,122,,291.613
112,0.38288,,122,,291.6
113,0.38643,,123,,291.587
114,0.38973,,123,,291.574
115,0.39347,,123,,291.54
116,0.39722,,123,,291.506
117,0.40093,,122,,291.472
118,0.40426,,122,,291.437
119,0.40766,,122,,291.403
120,0.41085,,122,,291.369
121,0.4139,,123,,291.333
122,0.41703,,123,,291.297
123,0.42018,,123,,291.261
124,0.42333,,124,,291.225
125,0.42634,,124,,291.189
126,0.42942,,124,,291.153
127,0.43253,,123,,291.117
128,0.43581,,123,,291.081
129,0.43913,,122,,291.044
130,0.4421,,122,,291.008
131,0.44508,,122,,290.971
132,0.44816,,121,,290.935
133,0.45186,,121,,290.898
134,0.4551,,121,,290.862
135,0.45853,,121,,290.833
136,0.46197,,120,,290.805
137,0.46537,,120,,290.776
138,0.46831,,120,,290.747
139,0.47196,,120,,290.718
140,0.47536,,119,,290.69
141,0.47945,,119,,290.661
142,0.4836,,119,,290.638
143,0.48717,,119,,290.615
144,0.49077,,119,,290.592
145,0.49415,,119,,290.569
146,0.49733,,118,,290.546
147,0.50047,,118,,290.523
148,0.50391,,118,,290.511
149,0.50714,,118,,290.5
150,0.51026,,118,,290.488
151,0.5137,,119,,290.476
152,0.51678,,119,,290.464
153,0.51936,,119,,290.453
154,0.52214,,119,,290.441
155,0.52491,,119,,290.438
156,0.52774,,119,,290.434
157,0.53049,,119,,290.431
158,0.53315,,119,,290.427
159,0.53556,,118,,290.424
160,0.53838,,119,,290.42
161,0.54183,,119,,290.417
162,0.54514,,119,,290.413
163,0.54811,,119,,290.423
164,0.55116,,119,,290.434
165,0.55446,,119,,290.444
166,0.55815,,119,,290.454
167,0.5618,,120,,290.464
168,0.56518,,120,,290.475
169,0.56878,,121,,290.485
170,0.57196,,121,,290.504
171,0.57523,,122,,290.523
172,0.57866,,122,,290.542
173,0.58169,,122,,290.561
174,0.5846,,123,,290.58
175,0.58775,,123,,290.599
176,0.59155,,123,,290.618
177,0.59472,,123,,290.646
178,0.59807,,123,,290.675
179,0.6015,,123,,290.703
180,0.60464,,123,,290.732
181,0.60854,,123,,290.76
182,0.61191,,123,,290.789
183,0.61568,,123,,290.817
184,0.61911,,123,,290.862
185,0.62254,,122,,290.907
186,0.62599,,122,,290.952
187,0.62949,,122,,290.996
188,0.63286,,122,,291.041
189,0.63633,,122,,291.086
190,0.63968,,122,,291.12
191,0.64304,,122,,291.154
192,0.64634,,122,,291.188
193,0.64969,,122,,291.222
194,0.65307,,123,,291.256
195,0.65687,,123,,291.29
196,0.66032,,124,,291.324
197,0.66416,,124,,291.352
198,0.66785,,125,,291.38
199,0.67152,,125,,291.409
200,0.6753,,125,,291.437
201,0.67905,,125,,291.465
202,0.68317,,124,,291.493
203,0.68692,,124,,291.508
204,0.69092,,124,,291.523
205,0.69485,,124,,291.538
206,0.69866,,124,,291.552
207,0.70222,,124,,291.567
208,0.7057,,125,,291.582
209,0.70901,,125,,291.581
210,0.71236,,126,,291.581
211,0.7156,,126,,291.58
212,0.71884,,127,,291.58
213,0.72227,,128,,291.579
214,0.72569,,128,,291.579
215,0.72916,,129,,291.578
216,0.7324,,130,,291.566
217,0.73565,,130,,291.554
218,0.73883,,131,,291.542
219,0.74207,,131,,291.53
220,0.74524,,132,,291.518
