secs,km,power,hr,cad,alt
0,0,,120,,98.2
1,0.00139,,121,,98.2
2,0.00284,,121,,98.4
3,0.00427,,121,,98.6
4,0.00568,,121,,98.6
5,0.00704,,120,,98.6
6,0.00839,,121,,98.6
7,0.00977,,121,,98.4
8,0.01114,,121,,98.4
9,0.01253,,121,,98.4
10,0.01385,,121,,98.2
11,0.0153,,121,,98.2
12,0.01671,,121,,98.2
13,0.0182,,120,,98.4
14,0.01989,,120,,98.6
15,0.02161,,121,,98.6
16,0.0234,,121,,98.6
17,0.02506,,121,,98.6
18,0.02674,,122,,98.6
19,0.02825,,122,,98.6
20,0.02988,,122,,98.6
21,0.03142,,123,,98.6
22,0.03307,,123,,98.4
23,0.03466,,123,,98.6
24,0.03619,,123,,98.6
25,0.03767,,124,,98.6
26,0.03908,,124,,98.8
27,0.04046,,124,,98.8
28,0.04187,,124,,98.8
29,0.04349,,125,,98.8
30,0.04508,,125,,98.8
31,0.04666,,125,,98.8
32,0.04823,,125,,98.8
33,0.04975,,125,,98.8
34,0.05125,,125,,98.8
35,0.05272,,125,,98.8
36,0.05422,,125,,98.8
37,0.0558,,125,,99
38,0.05728,,125,,99
39,0.05874,,125,,99
40,0.06022,,125,,99
41,0.06166,,125,,99
42,0.0632,,125,,99
43,0.06475,,125,,99
44,0.06629,,125,,99
45,0.06773,,124,,99
46,0.06921,,124,,99.2
47,0.07073,,124,,99
48,0.07221,,124,,99
49,0.07366,,124,,99
50,0.07509,,124,,99
51,0.0766,,124,,98.8
52,0.07795,,124,,99
53,0.07922,,124,,99.2
54,0.08084,,124,,99.2
55,0.0824,,124,,99.4
56,0.08397,,125,,99.4
57,0.08543,,125,,99.2
58,0.08682,,125,,99.2
59,0.08823,,125,,99.2
60,0.08967,,125,,99.2
61,0.09113,,125,,99.4
62,0.0924,,125,,99.4
63,0.09362,,126,,99.2
64,0.09489,,125,,99.2
65,0.09621,,125,,99.2
66,0.09754,,125,,99.2
67,0.0989,,124,,99.2
68,0.10024,,124,,99.4
69,0.10163,,124,,99.6
70,0.10293,,124,,99.4
71,0.10412,,124,,99.4
72,0.10526,,124,,99.4
73,0.10634,,124,,99.4
74,0.10733,,124,,99.4
75,0.10843,,124,,99.4
76,0.10989,,124,,99.4
77,0.11136,,124,,99.2
78,0.11311,,124,,99.2
79,0.11482,,124,,99.2
80,0.11651,,125,,99.4
81,0.11819,,125,,99.4
82,0.11972,,125,,99.4
83,0.12151,,125,,99.4
84,0.12317,,125,,99.4
85,0.12477,,125,,99.4
86,0.12622,,126,,99.4
87,0.12779,,126,,99.4
88,0.12926,,126,,99.2
89,0.13063,,126,,99.2
90,0.13215,,127,,99.4
91,0.1337,,127,,99.4
92,0.13527,,127,,99.4
93,0.13681,,127,,99.4
94,0.13835,,127,,99.4
95,0.1399,,127,,99.4
96,0.14138,,127,,99.4
97,0.14283,,127,,99.4
98,0.14433,,127,,99.2
99,0.14578,,126,,99.2
100,0.14718,,126,,99.4
101,0.14856,,127,,99.6
102,0.14994,,126,,99.6
103,0.15135,,126,,99.6
104,0.15272,,126,,99.2
105,0.15407,,126,,99.6
106,0.15546,,126,,99.6
107,0.1569,,126,,99.4
108,0.1583,,126,,99.6
109,0.15963,,126,,99.4
110,0.16102,,126,,99.4
111,0.16235,,126,,99.4
112,0.16385,,127,,99.2
113,0.16574,,127,,99.4
114,0.16745,,127,,99.4
115,0.16907,,127,,99.4
116,0.17045,,127,,99.4
117,0.17198,,128,,99.4
118,0.17359,,128,,99.2
119,0.17517,,128,,99.2
120,0.17664,,128,,99.2
121,0.17817,,128,,99.2
122,0.17977,,128,,99.4
123,0.1813,,128,,99.2
124,0.18289,,129,,99.2
125,0.18445,,129,,99.2
126,0.18613,,129,,99.4
127,0.18792,,128,,99.4
128,0.18969,,129,,99.4
129,0.19158,,129,,99.4
130,0.19346,,129,,99.2
131,0.19522,,129,,99.2
132,0.19695,,129,,99.4
133,0.19868,,129,,99.4
134,0.20029,,129,,99.4
135,0.20192,,128,,99.4
136,0.20352,,128,,99.4
137,0.20519,,128,,99.4
138,0.20683,,129,,99.2
139,0.2084,,129,,99.2
140,0.20993,,128,,99.2
141,0.21155,,129,,99.4
142,0.21309,,129,,99.2
143,0.21474,,129,,99.4
144,0.2163,,129,,99.4
145,0.21787,,129,,99.4
146,0.21946,,128,,99.4
147,0.22098,,129,,99.4
148,0.22251,,129,,99.4
149,0.22419,,129,,99.4
150,0.22589,,129,,99.4
151,0.22757,,129,,99.2
152,0.22924,,129,,99.2
153,0.23078,,129,,99.2
154,0.23239,,129,,99.2
155,0.234,,128,,99.2
156,0.23568,,128,,99.2
157,0.23739,,128,,99.2
158,0.23922,,127,,99.4
159,0.24092,,127,,99.4
160,0.24255,,127,,99.4
161,0.24415,,127,,99.4
162,0.24578,,127,,99.2
163,0.24746,,127,,99.4
164,0.24924,,127,,99.4
165,0.25091,,127,,99.2
166,0.25249,,127,,99.2
167,0.2541,,128,,99.2
168,0.25572,,128,,99.2
169,0.25726,,128,,99.2
170,0.25877,,128,,99.2
171,0.26043,,128,,99
172,0.26206,,128,,99
173,0.26365,,128,,98.8
174,0.26508,,128,,98.8
175,0.26629,,129,,98.8
176,0.26723,,129,,99
177,0.26778,,129,,99.2
178,0.26843,,129,,99.6
179,0.26905,,129,,100.2
180,0.26962,,130,,100.6
181,0.27041,,130,,100.8
182,0.27127,,130,,101
183,0.27214,,131,,101.4
184,0.27256,,131,,101.6
185,0.27305,,132,,101.8
186,0.27361,,132,,102
187,0.2743,,133,,102.2
188,0.27498,,133,,102.6
189,0.27578,,133,,103
190,0.277,,133,,103.2
191,0.27849,,134,,103.4
192,0.28028,,134,,103.2
193,0.28199,,134,,103.4
194,0.28368,,135,,103.6
195,0.28544,,135,,103.4
196,0.28728,,135,,103.6
197,0.28922,,135,,103.8
198,0.29111,,136,,103.6
199,0.29294,,136,,103.6
200,0.29471,,136,,103.6
201,0.29634,,136,,103.8
202,0.29797,,136,,103.8
203,0.29956,,136,,103.8
204,0.30141,,136,,103.6
205,0.3031,,137,,103.6
206,0.30464,,137,,103.6
207,0.3061,,137,,103.4
208,0.30766,,137,,103.6
209,0.30926,,137,,103.6
210,0.31103,,137,,103.6
211,0.31273,,137,,103.4
212,0.31436,,137,,103.6
213,0.31598,,137,,103.6
214,0.31742,,138,,103.6
215,0.31842,,138,,103.4
216,0.3191,,138,,103.2
217,0.31975,,138,,103
218,0.32051,,137,,102.8
219,0.32125,,137,,102.4
220,0.32205,,137,,102.2
221,0.32277,,137,,101.8
222,0.32352,,137,,101.6
223,0.32421,,136,,101.4
224,0.32523,,136,,101.2
225,0.32614,,136,,100.8
226,0.32712,,136,,100.2
227,0.32825,,136,,99.8
