secs,km,power,hr,cad,alt
0,0,,131,,67
1,0.00414,,134,,67.2
2,0.008185,,136,,67.3
3,0.01223,,138,,67.4
4,0.01646,,141,,67.6
5,0.021025,,142.5,,67.7
6,0.02559,,144,,67.8
7,0.02992,,145.5,,67.9
8,0.03425,,147,,68
9,0.0386467,,148,,68.1333
10,0.0430433,,149,,68.2667
11,0.04744,,150,,68.4
12,0.051514,,150.6,,68.52
13,0.055588,,151.2,,68.64
14,0.059662,,151.8,,68.76
15,0.063736,,152.4,,68.88
16,0.06781,,153,,69
17,0.071765,,153,,69.0667
18,0.07572,,153,,69.1333
19,0.079675,,153,,69.2
20,0.08363,,153,,69.2667
21,0.087585,,153,,69.3333
22,0.09154,,153,,69.4
23,0.0954717,,153.5,,69.4333
24,0.0994033,,154,,69.4667
25,0.103335,,154.5,,69.5
26,0.107267,,155,,69.5333
27,0.111198,,155.5,,69.5667
28,0.11513,,156,,69.6
29,0.11905,,155.833,,69.6667
30,0.12297,,155.667,,69.7333
31,0.12689,,155.5,,69.8
32,0.13081,,155.333,,69.8667
33,0.13473,,155.167,,69.9333
34,0.13865,,155,,70
35,0.142398,,155.167,,70.0667
36,0.146147,,155.333,,70.1333
37,0.149895,,155.5,,70.2
38,0.153643,,155.667,,70.2667
39,0.157392,,155.833,,70.3333
40,0.16114,,156,,70.4
41,0.165013,,155.833,,70.3333
42,0.168887,,155.667,,70.2667
43,0.17276,,155.5,,70.2
44,0.176633,,155.333,,70.1333
45,0.180507,,155.167,,70.0667
46,0.18438,,155,,70
47,0.188148,,155.5,,69.9333
48,0.191917,,156,,69.8667
49,0.195685,,156.5,,69.8
50,0.199453,,157,,69.7333
51,0.203222,,157.5,,69.6667
52,0.20699,,158,,69.6
53,0.210707,,158.167,,69.5333
54,0.214423,,158.333,,69.4667
55,0.21814,,158.5,,69.4
56,0.221857,,158.667,,69.3333
57,0.225573,,158.833,,69.2667
58,0.22929,,159,,69.2
59,0.232998,,159.167,,69.1333
60,0.236707,,159.333,,69.0667
61,0.240415,,159.5,,69
62,0.244123,,159.667,,68.9333
63,0.247832,,159.833,,68.8667
64,0.25154,,160,,68.8
65,0.255422,,160.167,,68.7667
66,0.259303,,160.333,,68.7333
67,0.263185,,160.5,,68.7
68,0.267067,,160.667,,68.6667
69,0.270948,,160.833,,68.6333
70,0.27483,,161,,68.6
71,0.27864,,161,,68.6333
72,0.28245,,161,,68.6667
