secs,km,power,hr,cad,alt
0,0,,99,,31.8
1,0.00127,,100,,31.8
2,0.00311,,101,,31.8
3,0.00585,,101,,32
4,0.00915,,103,,32.4
5,0.01239,,102,,32.6
6,0.01586,,103,,32.6
7,0.0192,,103,,32.8
8,0.02252,,103,,33
9,0.02595,,104,,32.8
10,0.02956,,106,,32.8
11,0.0334,,105,,32.6
12,0.03737,,106,,32.4
13,0.04146,,107,,32.4
14,0.04541,,108,,32
15,0.04934,,108,,31.6
16,0.05375,,109,,31.4
17,0.05824,,109,,31.2
18,0.0625,,110,,31.2
19,0.06664,,111,,31.2
20,0.07088,,111,,31
21,0.07524,,111,,31
22,0.07961,,112,,30.8
23,0.08396,,112,,30.8
24,0.08819,,113,,30.4
25,0.09213,,114,,29.8
26,0.09586,,115,,29.2
27,0.09968,,115,,28.8
28,0.10362,,117,,28.6
29,0.10747,,117,,28.4
30,0.11143,,117,,28.2
31,0.11551,,118,,28
32,0.11947,,117,,27.8
33,0.12387,,118,,27.8
34,0.12773,,118,,27.4
35,0.13169,,118,,27.2
36,0.13539,,118,,27.2
37,0.13888,,118,,26.8
38,0.14282,,119,,26.8
39,0.14678,,120,,26.4
40,0.15089,,121,,26.2
41,0.15489,,121,,26
42,0.15881,,122,,25.8
43,0.16242,,123,,25.6
44,0.16589,,123,,25.4
45,0.16957,,123,,25.2
46,0.17324,,123,,25
47,0.17712,,123,,24.8
48,0.18097,,125,,24.4
49,0.1846,,125,,24.2
50,0.18827,,126,,23.8
51,0.19202,,125,,23.8
52,0.19582,,125,,23.6
53,0.19948,,126,,23.6
54,0.20306,,127,,23.4
55,0.20656,,128,,23.4
56,0.21024,,128,,23.2
57,0.21391,,126,,23.2
58,0.21751,,125,,22.8
59,0.22131,,127,,22.8
60,0.22526,,125,,22.4
61,0.2293,,125,,22.2
62,0.23306,,126,,22.2
63,0.23713,,126,,22.2
64,0.24101,,125,,22
65,0.24484,,126,,22
66,0.24871,,127,,21.8
67,0.25265,,127,,21.6
68,0.25666,,128,,21.6
69,0.26062,,128,,21.6
70,0.26452,,128,,21.6
71,0.26844,,128,,21.6
72,0.27251,,128,,21.4
73,0.27681,,128,,21.6
74,0.28071,,129,,21.4
75,0.28457,,130,,21.2
76,0.28864,,130,,21.2
77,0.29251,,130,,21
78,0.29629,,130,,21
79,0.29991,,131,,21
80,0.30363,,130,,21
81,0.30751,,128,,21
82,0.31144,,129,,21
83,0.31525,,130,,21
84,0.31894,,130,,21
85,0.32279,,131,,21
86,0.32648,,130,,20.8
87,0.33028,,129,,20.6
88,0.33411,,128,,20.6
89,0.33735,,128,,20.6
90,0.34091,,130,,20.4
91,0.34437,,130,,20.4
92,0.34817,,130,,20.4
93,0.35172,,130,,20.2
94,0.35556,,130,,20
95,0.35924,,130,,20
96,0.36296,,131,,19.8
97,0.36673,,132,,19.6
98,0.37034,,132,,19.4
99,0.37411,,133,,19.2
100,0.37787,,136,,19.2
101,0.38133,,135,,19.2
102,0.38481,,135,,19.2
103,0.38846,,133,,19.2
104,0.3921,,133,,19
105,0.39593,,134,,18.8
106,0.39975,,134,,18.6
107,0.40344,,134,,18.6
108,0.407,,134,,18.6
109,0.4106,,134,,18.6
110,0.4142,,134,,18.6
111,0.41787,,134,,18.6
112,0.42126,,134,,18.4
113,0.42431,,134,,18.2
114,0.42745,,135,,18.2
115,0.43084,,136,,18
116,0.43449,,135,,18
117,0.43809,,137,,17.8
118,0.4417,,138,,17.8
119,0.44574,,139,,17.8
120,0.4498,,139,,17.6
121,0.45382,,138,,17.2
122,0.45761,,138,,17
123,0.4616,,139,,16.8
124,0.46573,,138,,16.8
125,0.46962,,138,,16.8
126,0.47343,,139,,16.8
127,0.4771,,140,,16.6
128,0.48118,,140,,16.4
129,0.48516,,139,,16.2
130,0.48882,,138,,16.2
131,0.49254,,138,,16.2
132,0.49607,,138,,16.2
133,0.49966,,139,,16.2
134,0.50331,,138,,16.2
135,0.50675,,137,,16.2
136,0.51029,,137,,16
137,0.51379,,138,,15.6
138,0.5174,,138,,15.2
139,0.52101,,138,,15.2
140,0.52479,,137,,15
141,0.52844,,138,,15
142,0.53213,,138,,15
143,0.53573,,138,,15
144,0.53959,,137,,14.8
145,0.54345,,136,,14.4
146,0.54712,,136,,14
147,0.55018,,137,,13.8
148,0.55357,,137,,13.8
149,0.55691,,137,,13.6
150,0.56025,,137,,13.6
151,0.56373,,136,,13.6
152,0.56718,,135,,13.6
153,0.57069,,135,,13.8
154,0.5742,,135,,13.6
155,0.57801,,136,,13.6
156,0.5818,,136,,13.4
157,0.58568,,135,,13.4
158,0.58966,,133,,13.4
159,0.59341,,135,,13.4
160,0.59694,,134,,13.4
161,0.60063,,134,,13.4
162,0.60464,,135,,13.4
163,0.60823,,133,,13.2
164,0.61207,,133,,13.2
165,0.61602,,132,,13.2
166,0.61989,,132,,13.4
167,0.6239,,131,,13.4
168,0.6277,,131,,13.4
169,0.6316,,132,,13.4
170,0.63538,,133,,13.4
171,0.63927,,133,,13.4
172,0.64294,,133,,13.2
173,0.64644,,133,,13.2
174,0.64991,,133,,13
175,0.65329,,133,,13
176,0.6565,,131,,12.8
177,0.65943,,132,,12.8
178,0.66258,,132,,12.8
179,0.66586,,132,,12.8
180,0.6693,,132,,12.8
181,0.6726,,132,,12.8
182,0.67615,,133,,12.8
