secs,km,power,hr,cad,alt
0,0,,85,,62.8
1,0.00188,,85.75,,62.7
2,0.00376,,86.5,,62.6
3,0.00564,,87.25,,62.5
4,0.00752,,88,,62.4
5,0.010245,,89.5,,62.1
6,0.01297,,91,,61.8
7,0.014995,,92.5,,61.5
8,0.01702,,94,,61.2
9,0.01911,,95,,60.8
10,0.02088,,98,,60.6
11,0.023388,,98.8,,60.16
12,0.025896,,99.6,,59.72
13,0.028404,,100.4,,59.28
14,0.030912,,101.2,,58.84
15,0.03342,,102,,58.4
16,0.03694,,103.333,,57.7333
17,0.04046,,104.667,,57.0667
18,0.04398,,106,,56.4
19,0.04624,,107,,55.9333
20,0.0485,,108,,55.4667
21,0.05076,,109,,55
22,0.0543175,,109.75,,54.4
23,0.057875,,110.5,,53.8
24,0.0614325,,111.25,,53.2
25,0.06499,,112,,52.6
26,0.0675457,,112.429,,52.0857
27,0.0701014,,112.857,,51.5714
28,0.0726571,,113.286,,51.0571
29,0.0752129,,113.714,,50.5429
30,0.0777686,,114.143,,50.0286
31,0.0803243,,114.571,,49.5143
32,0.08288,,115,,49
33,0.085166,,115.6,,48.52
34,0.087452,,116.2,,48.04
35,0.089738,,116.8,,47.56
36,0.092024,,117.4,,47.08
37,0.09431,,118,,46.6
38,0.0966289,,118.333,,45.6222
39,0.0989478,,118.667,,44.6444
40,0.101267,,119,,43.6667
41,0.103586,,119.333,,42.6889
42,0.105904,,119.667,,41.7111
43,0.108223,,120,,40.7333
44,0.110542,,120.333,,39.7556
45,0.112861,,120.667,,38.7778
46,0.11518,,121,,37.8
47,0.117774,,121.125,,36.975
48,0.120367,,121.25,,36.15
49,0.122961,,121.375,,35.325
50,0.125555,,121.5,,34.5
51,0.128149,,121.625,,33.675
52,0.130743,,121.75,,32.85
53,0.133336,,121.875,,32.025
54,0.13593,,122,,31.2
55,0.138637,,122.125,,30.525
56,0.141345,,122.25,,29.85
57,0.144052,,122.375,,29.175
58,0.14676,,122.5,,28.5
59,0.149468,,122.625,,27.825
60,0.152175,,122.75,,27.15
61,0.154883,,122.875,,26.475
62,0.15759,,123,,25.8
63,0.159766,,123.1,,25.24
64,0.161942,,123.2,,24.68
65,0.164118,,123.3,,24.12
66,0.166294,,123.4,,23.56
67,0.16847,,123.5,,23
68,0.170646,,123.6,,22.44
69,0.172822,,123.7,,21.88
70,0.174998,,123.8,,21.32
71,0.177174,,123.9,,20.76
72,0.17935,,124,,20.2
73,0.181617,,124.111,,19.5778
74,0.183883,,124.222,,18.9556
75,0.18615,,124.333,,18.3333
76,0.188417,,124.444,,17.7111
77,0.190683,,124.556,,17.0889
78,0.19295,,124.667,,16.4667
79,0.195217,,124.778,,15.8444
80,0.197483,,124.889,,15.2222
81,0.19975,,125,,14.6
82,0.202259,,125.25,,13.975
83,0.204768,,125.5,,13.35
84,0.207276,,125.75,,12.725
85,0.209785,,126,,12.1
86,0.212294,,126.25,,11.475
87,0.214803,,126.5,,10.85
88,0.217311,,126.75,,10.225
89,0.21982,,127,,9.6
90,0.222628,,127.125,,8.925
91,0.225435,,127.25,,8.25
92,0.228243,,127.375,,7.575
93,0.23105,,127.5,,6.9
94,0.233857,,127.625,,6.225
95,0.236665,,127.75,,5.55
96,0.239473,,127.875,,4.875
97,0.24228,,128,,4.2
98,0.24458,,128.222,,3.77778
99,0.24688,,128.444,,3.35556
100,0.24918,,128.667,,2.93333
101,0.25148,,128.889,,2.51111
102,0.25378,,129.111,,2.08889
103,0.25608,,129.333,,1.66667
104,0.25838,,129.556,,1.24444
105,0.26068,,129.778,,0.822222
106,0.26298,,130,,0.4
107,0.265154,,130.1,,-0.12
108,0.267328,,130.2,,-0.64
109,0.269502,,130.3,,-1.16
110,0.271676,,130.4,,-1.68
111,0.27385,,130.5,,-2.2
112,0.276024,,130.6,,-2.72
113,0.278198,,130.7,,-3.24
114,0.280372,,130.8,,-3.76
115,0.282546,,130.9,,-4.28
116,0.28472,,131,,-4.8
117,0.287013,,131.111,,-5.17778
118,0.289307,,131.222,,-5.55556
119,0.2916,,131.333,,-5.93333
120,0.293893,,131.444,,-6.31111
121,0.296187,,131.556,,-6.68889
122,0.29848,,131.667,,-7.06667
123,0.300773,,131.778,,-7.44444
124,0.303067,,131.889,,-7.82222
125,0.30536,,132,,-8.2
126,0.307686,,132,,-8.55556
127,0.310011,,132,,-8.91111
128,0.312337,,132,,-9.26667
129,0.314662,,132,,-9.62222
130,0.316988,,132,,-9.97778
131,0.319313,,132,,-10.3333
132,0.321639,,132,,-10.6889
133,0.323964,,132,,-11.0444
134,0.32629,,132,,-11.4
135,0.3294,,132.5,,-11.4
136,0.33251,,133,,-11.4
137,0.335102,,133,,-11.8
138,0.337695,,133,,-12.2
139,0.340287,,133,,-12.6
140,0.34288,,133,,-13
141,0.345473,,133,,-13.4
142,0.348065,,133,,-13.8
143,0.350658,,133,,-14.2
144,0.35325,,133,,-14.6
145,0.355387,,133.333,,-14.8667
146,0.357523,,133.667,,-15.1333
147,0.35966,,134,,-15.4
148,0.361822,,133.889,,-15.4222
149,0.363984,,133.778,,-15.4444
150,0.366147,,133.667,,-15.4667
151,0.368309,,133.556,,-15.4889
152,0.370471,,133.444,,-15.5111
153,0.372633,,133.333,,-15.5333
154,0.374796,,133.222,,-15.5556
155,0.376958,,133.111,,-15.5778
156,0.37912,,133,,-15.6
157,0.38155,,133,,-15.4444
158,0.38398,,133,,-15.2889
159,0.38641,,133,,-15.1333
160,0.38884,,133,,-14.9778
161,0.39127,,133,,-14.8222
162,0.3937,,133,,-14.6667
163,0.39613,,133,,-14.5111
164,0.39856,,133,,-14.3556
165,0.40099,,133,,-14.2
166,0.4032,,133,,-14
167,0.405874,,132.875,,-13.8
168,0.408548,,132.75,,-13.6
169,0.411221,,132.625,,-13.4
170,0.413895,,132.5,,-13.2
171,0.416569,,132.375,,-13
172,0.419242,,132.25,,-12.8
173,0.421916,,132.125,,-12.6
174,0.42459,,132,,-12.4
175,0.426477,,132,,-12.6
176,0.428365,,132,,-12.8
177,0.430252,,132,,-13
178,0.43214,,132,,-13.2
179,0.434582,,132,,-13.2
180,0.437025,,132,,-13.2
181,0.439467,,132,,-13.2
182,0.44191,,132,,-13.2
183,0.444866,,132,,-12.9714
184,0.447821,,132,,-12.7429
185,0.450777,,132,,-12.5143
186,0.453733,,132,,-12.2857
187,0.456689,,132,,-12.0571
188,0.459644,,132,,-11.8286
189,0.4626,,132,,-11.6
190,0.464983,,131.889,,-10.8444
191,0.467367,,131.778,,-10.0889
192,0.46975,,131.667,,-9.33333
193,0.472133,,131.556,,-8.57778
194,0.474517,,131.444,,-7.82222
195,0.4769,,131.333,,-7.06667
196,0.479283,,131.222,,-6.31111
197,0.481667,,131.111,,-5.55556
198,0.48405,,131,,-4.8
199,0.486616,,131,,-4.2
200,0.489182,,131,,-3.6
201,0.491749,,131,,-3
202,0.494315,,131,,-2.4
203,0.496881,,131,,-1.8
204,0.499448,,131,,-1.2
205,0.502014,,131,,-0.6
