secs,km,power,hr,cad,alt
0,0,,99,,101.2
1,0.00195,,100,,100.8
2,0.00416,,99,,100.8
3,0.00679,,97,,100.8
4,0.00921,,96,,101
5,0.01203,,95,,100.4
6,0.01462,,97,,100.6
7,0.01701,,98,,100.8
8,0.01974,,98,,100.8
9,0.01974,,99,,100.8
10,0.01974,,102,,101
11,0.01974,,103,,101
12,0.01974,,103,,101
13,0.01974,,103,,101
14,0.02248,,103,,101
15,0.02523,,103,,101
16,0.02801,,104,,101
17,0.03081,,105,,101
18,0.03361,,106,,101
19,0.0364,,107,,101
20,0.0392,,107,,101
21,0.04198,,105,,101
22,0.04478,,102,,101
23,0.04757,,103,,101
24,0.05038,,103,,101.4
25,0.05319,,103,,101.4
26,0.05319,,104,,101.4
27,0.05488,,106,,101.4
28,0.05694,,109,,101.4
29,0.05917,,110,,101.6
30,0.06157,,111,,101.6
31,0.06391,,117,,101.6
32,0.06635,,123,,101.6
33,0.06889,,125,,101.6
34,0.07144,,126,,101.6
35,0.074,,126,,101.6
36,0.07646,,127,,101.6
37,0.07871,,127,,101.4
38,0.08134,,128,,101.6
39,0.08316,,129,,101.6
40,0.08503,,130,,101.6
41,0.08776,,130,,101.6
42,0.09042,,130,,101.6
43,0.09304,,130,,101.6
44,0.09561,,131,,101.6
45,0.09834,,131,,101.6
46,0.10125,,131,,101.4
47,0.10425,,131,,101.4
48,0.10793,,132,,101.4
49,0.11108,,132,,101.2
50,0.11365,,132,,101.2
51,0.11588,,132,,101
52,0.11825,,133,,101
53,0.12107,,133,,101
54,0.12377,,133,,101
55,0.12647,,133,,101
56,0.12936,,133,,100.8
57,0.13203,,134,,100.8
58,0.13459,,134,,101
59,0.13738,,134,,101
60,0.14031,,135,,101
61,0.14291,,135,,101.2
62,0.14558,,135,,101.2
63,0.14831,,135,,101.2
64,0.15118,,135,,101.2
65,0.15457,,135,,101.2
66,0.15836,,136,,101.2
67,0.162,,136,,101.2
68,0.16501,,136,,101.2
69,0.16731,,136,,101.2
70,0.17019,,137,,101.4
71,0.1731,,136,,101.4
72,0.17569,,136,,101.4
73,0.17836,,136,,101.6
74,0.18106,,136,,101.4
75,0.18394,,136,,101.4
76,0.18682,,135,,101.4
77,0.18997,,135,,101.4
78,0.19277,,134,,101.4
79,0.19535,,134,,101.6
80,0.19815,,134,,101.4
81,0.20146,,134,,101.6
82,0.20486,,134,,101.6
83,0.20784,,134,,101.8
84,0.2106,,133,,101.8
85,0.21347,,133,,101.8
86,0.21579,,133,,101.8
87,0.21793,,133,,101.8
88,0.2199,,134,,101.6
89,0.22185,,134,,101.6
90,0.22399,,134,,101.6
91,0.2265,,134,,101.6
92,0.22926,,134,,101.8
93,0.23222,,135,,102
94,0.2353,,135,,102.2
95,0.23858,,136,,102.2
96,0.24184,,136,,102.2
97,0.24474,,136,,102.2
98,0.24785,,137,,102.2
99,0.25117,,137,,102.2
100,0.25458,,137,,102
101,0.25792,,138,,102
102,0.26103,,138,,102
103,0.26427,,139,,102
104,0.26706,,139,,102
105,0.2699,,139,,102
106,0.27291,,140,,102
107,0.2758,,140,,102
108,0.27851,,140,,102
109,0.28108,,140,,102
110,0.28377,,140,,102
111,0.28641,,140,,102
112,0.28883,,140,,102
113,0.29155,,140,,102
114,0.29405,,140,,102.2
115,0.29659,,140,,102.2
116,0.29909,,141,,102.2
117,0.30156,,141,,102.2
118,0.30373,,142,,102.2
119,0.30591,,143,,102.2
120,0.30866,,144,,102.2
121,0.31144,,144,,102.2
122,0.31416,,144,,102.2
123,0.31666,,144,,102.2
124,0.31914,,143,,102
125,0.32165,,143,,102
126,0.32436,,142,,102
127,0.32716,,142,,102
128,0.32942,,142,,102.2
129,0.33232,,142,,102.2
130,0.33516,,142,,102.2
131,0.33792,,142,,102.2
132,0.34117,,142,,102.2
133,0.34434,,141,,102.2
134,0.34762,,141,,102.2
135,0.35083,,141,,102.4
136,0.3542,,141,,102.4
137,0.35784,,140,,102.4
138,0.36144,,139,,102.6
139,0.36447,,138,,102.6
140,0.36719,,138,,102.6
141,0.37011,,138,,102.6
142,0.37335,,138,,102.6
143,0.37642,,138,,102.6
144,0.37941,,138,,102.4
145,0.38321,,137,,102.4
146,0.38633,,137,,102.4
147,0.3894,,137,,102.4
148,0.39245,,137,,102.4
149,0.39545,,138,,102.4
150,0.39906,,138,,102.6
151,0.40249,,138,,102.6
152,0.40556,,138,,102.6
153,0.40865,,138,,102.8
154,0.41182,,139,,102.8
155,0.41462,,139,,102.8
156,0.41745,,138,,102.8
157,0.42031,,138,,102.8
158,0.42308,,138,,102.6
159,0.42596,,138,,102.4
160,0.42897,,137,,102.2
161,0.43207,,137,,102
162,0.43493,,137,,102
163,0.43779,,136,,101.8
164,0.44084,,136,,102
165,0.44353,,136,,102
166,0.44619,,136,,102
167,0.44897,,136,,102
168,0.45158,,137,,102.2
169,0.45428,,137,,102.2
170,0.45713,,137,,102.2
171,0.45991,,137,,102.4
172,0.46268,,137,,102.4
173,0.46541,,137,,102.4
174,0.46802,,137,,102.4
175,0.47023,,136,,102.6
176,0.47254,,136,,102.6
177,0.47488,,136,,102.6
178,0.47743,,136,,102.6
179,0.48008,,136,,102.6
180,0.48304,,136,,102.6
181,0.4857,,136,,102.6
182,0.48828,,136,,102.6
183,0.49056,,136,,102.8
184,0.49285,,135,,102.8
185,0.49542,,135,,102.8
186,0.49814,,135,,102.8
187,0.50112,,135,,102.8
188,0.5043,,135,,102.8
189,0.50764,,135,,102.6
190,0.5111,,135,,102.6
191,0.5144,,135,,102.6
192,0.51763,,136,,102.6
193,0.52073,,136,,102.6
194,0.52397,,136,,102.6
195,0.5267,,136,,102.8
196,0.52957,,136,,102.8
197,0.53273,,137,,102.8
198,0.53635,,137,,102.8
199,0.54008,,137,,102.8
200,0.54376,,138,,102.8
201,0.54728,,138,,102.8
202,0.55032,,138,,102.8
203,0.55336,,138,,102.8
204,0.55645,,138,,102.8
205,0.5595,,139,,102.8
206,0.56252,,139,,102.6
207,0.56551,,139,,102.8
208,0.56822,,139,,102.8
209,0.57096,,139,,102.6
210,0.5733,,139,,102.6
