secs,km,power,hr,cad,alt
0,0,,76,,-4
1,0.00045,,76,,-3.6
2,0.00265,,75,,-3.2
3,0.00551,,77,,-2.6
4,0.0076,,78,,-2
5,0.0103,,78,,-3.2
6,0.01276,,80,,-3.4
7,0.01495,,82,,-3
8,0.01752,,85,,-2.8
9,0.02002,,87,,-2.8
10,0.02249,,88,,-3
11,0.0249,,90,,-3.2
12,0.02726,,93,,-3.2
13,0.02988,,95,,-3
14,0.03244,,97,,-3.2
15,0.03509,,99,,-3.2
16,0.03784,,101,,-3.4
17,0.04026,,103,,-3.2
18,0.04281,,104,,-3.4
19,0.04552,,106,,-3.8
20,0.04813,,107,,-3.6
21,0.05094,,108,,-3.6
22,0.05353,,109,,-3.6
23,0.05613,,110,,-3.6
24,0.05878,,111,,-4
25,0.06138,,112,,-3.8
26,0.06419,,113,,-3.6
27,0.06677,,113,,-3.4
28,0.06934,,114,,-3.6
29,0.07173,,114,,-4
30,0.07415,,115,,-4.2
31,0.07679,,115,,-4
32,0.07955,,116,,-3.8
33,0.08232,,116,,-4
34,0.08498,,117,,-4
35,0.08769,,117,,-4.2
36,0.09025,,117,,-4
37,0.09295,,118,,-3.8
38,0.096,,118,,-3.6
39,0.09872,,118,,-3.6
40,0.10138,,119,,-3.6
41,0.10386,,119,,-3.4
42,0.10658,,119,,-3.4
43,0.10951,,119,,-3.4
44,0.11229,,120,,-3.4
45,0.11507,,120,,-3.6
46,0.1175,,120,,-3.8
47,0.12027,,120,,-4
48,0.12318,,120,,-4
49,0.12597,,121,,-4
50,0.12872,,121,,-4.2
51,0.13112,,121,,-4.2
52,0.13362,,121,,-4.2
53,0.13628,,121,,-4.4
54,0.13889,,121,,-4.4
55,0.14157,,121,,-4.2
56,0.14446,,122,,-4.2
57,0.14756,,122,,-4.2
58,0.15033,,122,,-4.2
59,0.15184,,122,,-4.2
60,0.15435,,122,,-4
61,0.15695,,122,,-3.8
62,0.15977,,122,,-3.6
63,0.16225,,123,,-3.6
64,0.16466,,123,,-3.6
65,0.167,,123,,-3.4
66,0.16939,,123,,-3.4
67,0.17208,,123,,-3.4
68,0.17493,,123,,-3.2
69,0.17798,,123,,-3
70,0.18082,,123,,-3
71,0.18352,,123,,-3
72,0.18621,,124,,-3
73,0.1886,,124,,-3
74,0.19067,,124,,-3
75,0.19308,,124,,-3.2
76,0.19586,,124,,-3.2
77,0.19858,,124,,-3.2
78,0.20118,,124,,-3.2
79,0.20379,,123,,-3.2
80,0.20641,,123,,-3
81,0.20925,,123,,-3
82,0.21215,,122,,-3
83,0.21518,,123,,-3
84,0.2182,,123,,-3
85,0.22109,,123,,-3
86,0.22395,,123,,-3.4
87,0.22687,,123,,-3.4
88,0.22973,,123,,-3.6
89,0.2326,,123,,-3.8
90,0.23558,,123,,-3.8
91,0.23861,,123,,-3.8
92,0.2416,,124,,-3.8
93,0.24388,,124,,-3.6
94,0.24651,,124,,-3.6
95,0.25118,,124,,-3.4
96,0.25472,,124,,-3.2
97,0.25803,,124,,-3
98,0.26086,,124,,-3
99,0.26352,,124,,-3
100,0.26614,,124,,-3
101,0.26881,,124,,-3
102,0.27182,,125,,-2.8
103,0.27472,,125,,-2.8
104,0.27764,,125,,-2.8
105,0.28021,,125,,-2.8
106,0.28301,,125,,-3
107,0.28589,,125,,-3
108,0.28883,,124,,-3.2
109,0.29187,,123,,-3.4
110,0.2948,,122,,-3.4
111,0.29743,,122,,-3.4
112,0.3,,122,,-3.4
113,0.30264,,122,,-3.4
114,0.30546,,122,,-3.4
115,0.3086,,122,,-3.4
116,0.31163,,122,,-3.4
117,0.31445,,122,,-3.2
118,0.31725,,122,,-3.2
119,0.31978,,122,,-3.4
120,0.32257,,123,,-3.6
121,0.32531,,123,,-3.6
122,0.32803,,123,,-3.4
123,0.33109,,123,,-3.4
124,0.33381,,123,,-3.6
125,0.3365,,123,,-3.6
126,0.33926,,123,,-3.4
127,0.342,,123,,-3.4
128,0.34493,,123,,-3
129,0.34747,,123,,-3.2
130,0.35025,,124,,-3.2
131,0.35308,,124,,-3
132,0.35604,,124,,-3
133,0.35915,,124,,-2.8
134,0.3621,,124,,-2.8
135,0.36521,,124,,-3
136,0.36805,,124,,-3.2
137,0.37095,,124,,-3.2
138,0.37377,,124,,-3.2
139,0.37656,,124,,-3
140,0.37942,,125,,-3.4
141,0.38182,,125,,-3.6
142,0.38443,,125,,-3.4
143,0.38718,,125,,-3.4
144,0.3902,,125,,-3.2
145,0.39333,,125,,-3.2
146,0.3961,,125,,-3.2
147,0.39879,,125,,-3.2
148,0.40137,,125,,-3
149,0.40399,,125,,-3
150,0.40688,,126,,-2.8
151,0.40968,,126,,-2.6
152,0.41248,,126,,-2.6
153,0.41506,,126,,-2.6
154,0.41772,,126,,-2.6
155,0.42031,,126,,-2.6
156,0.42281,,126,,-2.4
157,0.42559,,126,,-2.2
158,0.42813,,126,,-2.2
159,0.43067,,125,,-2.2
160,0.43341,,125,,-2.6
161,0.43632,,125,,-2.8
162,0.43908,,125,,-3
163,0.44187,,125,,-3
164,0.44476,,125,,-3
165,0.44763,,124,,-3
166,0.45041,,124,,-2.8
167,0.45311,,124,,-2.6
168,0.45558,,124,,-2.6
169,0.45815,,124,,-2.4
170,0.46075,,124,,-2.2
171,0.46333,,124,,-2
172,0.46605,,124,,-2
173,0.46866,,124,,-2
174,0.47134,,124,,-1.8
175,0.47383,,124,,-1.8
176,0.47652,,125,,-1.8
177,0.47927,,126,,-1.8
178,0.48216,,127,,-2.2
179,0.48508,,127,,-2.4
180,0.48797,,127,,-2.6
181,0.49084,,127,,-2.6
182,0.49376,,126,,-2.8
183,0.49684,,125,,-2.6
184,0.49971,,124,,-2.6
185,0.50255,,124,,-2.6
186,0.50546,,125,,-2.8
187,0.50833,,125,,-2.6
188,0.51122,,124,,-2.6
189,0.51406,,124,,-2.4
190,0.51701,,124,,-2.4
191,0.51985,,124,,-2.2
192,0.52268,,124,,-2.2
193,0.52532,,124,,-2.2
194,0.52808,,124,,-2.2
195,0.53076,,124,,-2.4
196,0.53344,,124,,-2.6
197,0.53632,,124,,-2.8
198,0.53908,,124,,-2.8
199,0.5417,,124,,-3
200,0.54472,,124,,-2.8
201,0.54749,,124,,-2.8
202,0.55011,,124,,-2.8
203,0.55289,,124,,-2.8
204,0.55583,,124,,-2.6
205,0.55902,,123,,-2.6
206,0.56207,,123,,-2.6
207,0.56499,,123,,-2.6
208,0.56759,,123,,-2.6
209,0.56981,,124,,-2.6
210,0.57204,,124,,-2.8
211,0.57469,,124,,-2.8
212,0.5778,,124,,-2.8
213,0.5809,,124,,-2.8
214,0.58374,,124,,-2.8
215,0.58663,,124,,-2.8
216,0.58957,,124,,-2.6
217,0.5926,,124,,-2.6
218,0.59555,,124,,-2.4
219,0.59822,,125,,-2.4
220,0.60113,,126,,-2.4
221,0.60393,,126,,-2.2
222,0.60677,,126,,-2.2
223,0.60962,,126,,-2
224,0.61248,,126,,-2
225,0.61533,,126,,-2
226,0.61853,,126,,-1.8
227,0.62179,,126,,-1.8
228,0.62493,,126,,-2
229,0.62798,,126,,-2.4
230,0.63074,,126,,-2.6
231,0.63377,,126,,-2.6
232,0.6369,,126,,-2.8
233,0.63979,,126,,-2.8
234,0.6425,,126,,-2.8
235,0.6451,,126,,-3
236,0.64768,,126,,-3
237,0.65021,,126,,-3
238,0.65291,,127,,-3
239,0.6556,,128,,-3
240,0.65823,,129,,-3
241,0.66095,,129,,-3.2
242,0.66363,,130,,-3.2
243,0.66627,,130,,-3.2
244,0.66879,,130,,-3.2
245,0.6713,,129,,-3
246,0.67413,,128,,-3
247,0.67701,,126,,-2.8
248,0.6798,,124,,-2.8
249,0.68241,,123,,-2.8
250,0.6851,,123,,-2.8
251,0.68782,,123,,-2.6
252,0.69055,,123,,-2.8
253,0.69326,,123,,-2.8
254,0.69599,,123,,-3
255,0.69877,,123,,-3
256,0.70128,,123,,-2.8
257,0.70384,,123,,-3.2
258,0.70644,,123,,-3.6
259,0.7091,,123,,-4
260,0.71151,,123,,-4.2
261,0.71388,,123,,-4.2
262,0.71604,,123,,-4.2
263,0.71836,,123,,-4.4
264,0.72113,,123,,-4.2
265,0.72412,,123,,-3.8
