secs,km,power,hr,cad,alt
0,0,,49,,17
1,0,,50,,18.2
2,0.00025,,50,,19
3,0.00146,,51,,20.8
4,0.00359,,51,,21.8
5,0.00543,,51,,23.6
6,0.00713,,51,,24.6
7,0.00857,,51,,26.6
8,0.00935,,25.5,,27.6
9,0.01013,,0,,28.6
10,0.01253,,0,,29.8
11,0.01526,,51,,30
12,0.01896,,51,,29.6
13,0.02256,,51,,30.6
14,0.02642,,51,,30.8
15,0.0312,,51,,30.8
16,0.03526,,51,,32
17,0.03949,,52,,33
18,0.04288,,52,,33.4
19,0.04755,,52,,33.2
20,0.05235,,53,,33
21,0.05652,,54,,32.8
22,0.06142,,54,,33
23,0.06673,,55,,33
24,0.07106,,56,,34.8
25,0.07579,,56,,35.4
26,0.07989,,65,,35.8
27,0.08413,,81,,35.6
28,0.0888,,92,,35.8
29,0.09273,,102,,35.8
30,0.09686,,113,,35.8
31,0.10153,,118,,36.4
32,0.10602,,122,,37
33,0.11063,,126,,37.2
34,0.11519,,128,,37.4
35,0.11938,,130,,37.4
36,0.12383,,131,,37.4
37,0.12864,,132,,37.4
38,0.13296,,134,,37.2
39,0.13749,,134,,37
40,0.14216,,134,,36.8
41,0.147,,135,,36.4
42,0.15153,,135,,36.2
43,0.15526,,135,,36
44,0.1592,,135,,36
45,0.16345,,135,,35.8
46,0.1673,,135,,35.8
47,0.17138,,135,,35.8
48,0.17541,,135,,35.8
49,0.1793,,135,,35.6
50,0.18326,,135,,35.6
51,0.18742,,136,,35.4
52,0.19129,,135,,35.2
53,0.19531,,136,,35
54,0.20006,,136,,34.8
55,0.20463,,136,,34.6
56,0.20818,,136,,34.6
57,0.21181,,136,,34.4
58,0.21489,,137,,34.6
59,0.21867,,137,,34.6
60,0.22268,,138,,34.6
61,0.22697,,138,,34.4
62,0.23049,,139,,34.4
63,0.23467,,139,,35
64,0.23903,,140,,35.2
65,0.24323,,140,,35.8
66,0.24786,,141,,35.8
67,0.25217,,142,,35.6
68,0.26502,,142,,14
69,0.27419,,142,,7.4
70,0.28047,,142,,3.8
71,0.28705,,143,,1.4
72,0.29227,,143,,0.4
73,0.29665,,143,,-0.2
74,0.30074,,144,,-0.6
75,0.30468,,144,,-1
76,0.30878,,144,,-0.6
77,0.31325,,144,,-0.4
78,0.3176,,144,,-0.2
79,0.32149,,145,,0
80,0.32318,,145,,0.8
81,0.32361,,145,,2
82,0.32608,,145,,2
83,0.3288,,145,,2.8
84,0.33249,,145,,3.2
85,0.33649,,145,,2.8
86,0.34078,,145,,2.6
87,0.34606,,145,,2.6
88,0.34924,,145,,2
89,0.35491,,146,,1.4
90,0.3594,,145,,0.8
91,0.36396,,146,,0.4
92,0.36856,,147,,0
93,0.37273,,147,,0
94,0.37878,,147,,-0.4
95,0.38299,,147,,-0.4
96,0.38696,,147,,-0.6
97,0.39127,,147,,-0.8
98,0.39465,,148,,-0.8
99,0.39849,,148,,-0.6
100,0.40231,,148,,-0.6
101,0.40658,,149,,-0.6
102,0.41095,,149,,-0.6
103,0.41482,,150,,-0.4
104,0.41963,,150,,-0.4
105,0.42406,,150,,-0.4
106,0.42895,,151,,-0.2
107,0.43396,,151,,0
108,0.43896,,152,,0.2
109,0.44426,,152,,0.4
110,0.44928,,153,,0.6
111,0.45302,,153,,0.8
112,0.45742,,153,,0.8
113,0.4613,,154,,0.8
114,0.46493,,154,,0.8
115,0.46843,,154,,0.6
116,0.47216,,155,,0.6
117,0.47641,,155,,0.6
118,0.48106,,155,,0.8
119,0.48508,,155,,0.8
120,0.48938,,155,,1
121,0.49353,,155,,1.2
122,0.49748,,155,,1.4
123,0.50165,,155,,1.6
124,0.50588,,155,,1.8
125,0.51034,,156,,2
126,0.5146,,156,,2
127,0.51891,,156,,2
128,0.52307,,156,,2
129,0.52807,,156,,2
130,0.53402,,156,,2
131,0.53857,,156,,1.8
132,0.54242,,156,,1.4
133,0.54593,,156,,0.8
134,0.54988,,157,,0.6
135,0.55333,,157,,0.6
136,0.55711,,157,,0.4
137,0.56093,,157,,0.4
138,0.56543,,157,,0.8
139,0.56991,,157,,0.6
140,0.57425,,156,,0.4
141,0.57859,,156,,0.2
142,0.58267,,156,,0.4
143,0.58703,,157,,0.2
144,0.59154,,156,,0
145,0.59583,,155,,-0.2
146,0.60012,,156,,-0.2
147,0.60339,,155,,-0.2
148,0.60688,,155,,-0.4
149,0.61022,,155,,-0.8
150,0.61387,,155,,-1
151,0.61766,,155,,-1
152,0.62175,,154,,-1.4
153,0.62544,,154,,-1.2
154,0.62918,,155,,-1.4
