secs,km,power,hr,cad,alt
0,0,,100,,64.8
1,0.00236,,100,,65
2,0.00549,,100,,64.8
3,0.009245,,100,,64.9
4,0.013,,100,,65
5,0.016755,,100,,65.1
6,0.02051,,100,,65.2
7,0.024265,,100,,65.3
8,0.02802,,100,,65.4
9,0.031085,,100,,65.4
10,0.03415,,100,,65.4
11,0.037215,,100,,65.4
12,0.04028,,100,,65.4
13,0.043345,,100,,65.4
14,0.04641,,100,,65.4
15,0.0492714,,100,,65.4286
16,0.0521329,,100,,65.4571
17,0.0549943,,100,,65.4857
18,0.0578557,,100,,65.5143
19,0.0607171,,100,,65.5429
20,0.0635786,,100,,65.5714
21,0.06644,,100,,65.6
22,0.0690814,,100,,65.6286
23,0.0717229,,100,,65.6571
24,0.0743643,,100,,65.6857
25,0.0770057,,100,,65.7143
26,0.0796471,,100,,65.7429
27,0.0822886,,100,,65.7714
28,0.08493,,100,,65.8
29,0.087854,,99,,65.8
30,0.090778,,98,,65.8
31,0.093702,,97,,65.8
32,0.096626,,96,,65.8
33,0.09955,,95,,65.8
34,0.1023,,95,,66
35,0.104763,,93.3333,,65.9333
36,0.107227,,91.6667,,65.8667
37,0.10969,,90,,65.8
38,0.11224,,90,,65.8
39,0.11506,,89,,65.7333
40,0.11788,,88,,65.6667
41,0.1207,,87,,65.6
42,0.123365,,87,,65.6
43,0.12603,,87,,65.6
44,0.128695,,87,,65.6
45,0.13136,,87,,65.6
46,0.134025,,87,,65.6
47,0.13669,,87,,65.6
48,0.139355,,87,,65.6
49,0.14202,,87,,65.6
50,0.144594,,87,,65.6
51,0.147168,,87,,65.6
52,0.149741,,87,,65.6
53,0.152315,,87,,65.6
54,0.154889,,87,,65.6
55,0.157463,,87,,65.6
56,0.160036,,87,,65.6
57,0.16261,,87,,65.6
58,0.165209,,87,,65.575
59,0.167807,,87,,65.55
60,0.170406,,87,,65.525
61,0.173005,,87,,65.5
62,0.175604,,87,,65.475
63,0.178203,,87,,65.45
64,0.180801,,87,,65.425
65,0.1834,,87,,65.4
66,0.186808,,87,,65.5
67,0.190217,,87,,65.6
68,0.193625,,87,,65.7
69,0.197033,,87,,65.8
70,0.200442,,87,,65.9
71,0.20385,,87,,66
72,0.206919,,87,,66
73,0.209987,,87,,66
74,0.213056,,87,,66
75,0.216124,,87,,66
76,0.219193,,87,,66
77,0.222261,,87,,66
78,0.22533,,87,,66
79,0.228349,,87,,66.0286
80,0.231367,,87,,66.0571
81,0.234386,,87,,66.0857
82,0.237404,,87,,66.1143
83,0.240423,,87,,66.1429
84,0.243441,,87,,66.1714
85,0.24646,,87,,66.2
86,0.249633,,87,,66.2
