secs,km,power,hr,cad,alt
0,0,,80,,41.2
1,0.00069,,81,,41.6
2,0.00119667,,82,,39.9333
3,0.00170333,,83,,38.2667
4,0.00221,,84,,36.6
5,0.00288,,85,,35.6
6,0.00489,,88,,36.6
7,0.0068,,88,,36.9
8,0.00871,,88,,37.2
9,0.011736,,88.8,,36.88
10,0.014762,,89.6,,36.56
11,0.017788,,90.4,,36.24
12,0.020814,,91.2,,35.92
13,0.02384,,92,,35.6
14,0.0273233,,93,,35.2667
15,0.0308067,,94,,34.9333
16,0.03429,,95,,34.6
17,0.03779,,101,,34.4
18,0.04096,,105,,34.4
19,0.04413,,109,,34.4
20,0.04753,,114,,34.8
21,0.05075,,114,,35.2
22,0.05411,,119,,35.4
23,0.0577,,120.333,,35.8667
24,0.06129,,121.667,,36.3333
25,0.06488,,123,,36.8
26,0.06804,,124.5,,36.8
27,0.0712,,126,,36.8
28,0.0742,,126.6,,37.08
29,0.0772,,127.2,,37.36
30,0.0802,,127.8,,37.64
31,0.0832,,128.4,,37.92
32,0.0862,,129,,38.2
33,0.08933,,127.667,,38.4
34,0.09246,,126.333,,38.6
35,0.09559,,125,,38.8
36,0.0989083,,125.5,,38.8333
37,0.102227,,126,,38.8667
38,0.105545,,126.5,,38.9
39,0.108863,,127,,38.9333
40,0.112182,,127.5,,38.9667
41,0.1155,,128,,39
42,0.118676,,128.286,,38.9429
43,0.121851,,128.571,,38.8857
44,0.125027,,128.857,,38.8286
45,0.128203,,129.143,,38.7714
46,0.131379,,129.429,,38.7143
47,0.134554,,129.714,,38.6571
48,0.13773,,130,,38.6
49,0.14106,,132,,38.6
50,0.14439,,134,,38.6
51,0.147707,,134.5,,38.4
52,0.151023,,135,,38.2
53,0.15434,,135.5,,38
54,0.157657,,136,,37.8
55,0.160973,,136.5,,37.6
56,0.16429,,137,,37.4
57,0.167596,,137.286,,37.4571
58,0.170901,,137.571,,37.5143
59,0.174207,,137.857,,37.5714
60,0.177513,,138.143,,37.6286
61,0.180819,,138.429,,37.6857
62,0.184124,,138.714,,37.7429
63,0.18743,,139,,37.8
64,0.190678,,139.6,,37.76
65,0.193926,,140.2,,37.72
66,0.197174,,140.8,,37.68
67,0.200422,,141.4,,37.64
68,0.20367,,142,,37.6
69,0.20693,,141.714,,37.7143
70,0.21019,,141.429,,37.8286
71,0.21345,,141.143,,37.9429
72,0.21671,,140.857,,38.0571
73,0.21997,,140.571,,38.1714
74,0.22323,,140.286,,38.2857
75,0.22649,,140,,38.4
76,0.22951,,140.75,,38.55
77,0.23253,,141.5,,38.7
78,0.23555,,142.25,,38.85
79,0.23857,,143,,39
80,0.241721,,142.857,,38.8857
81,0.244873,,142.714,,38.7714
82,0.248024,,142.571,,38.6571
83,0.251176,,142.429,,38.5429
84,0.254327,,142.286,,38.4286
85,0.257479,,142.143,,38.3143
86,0.26063,,142,,38.2
87,0.263971,,142,,38.1714
88,0.267313,,142,,38.1429
89,0.270654,,142,,38.1143
90,0.273996,,142,,38.0857
91,0.277337,,142,,38.0571
92,0.280679,,142,,38.0286
93,0.28402,,142,,38
94,0.28715,,141.714,,37.6571
95,0.29028,,141.429,,37.3143
96,0.29341,,141.143,,36.9714
97,0.29654,,140.857,,36.6286
98,0.29967,,140.571,,36.2857
99,0.3028,,140.286,,35.9429
100,0.30593,,140,,35.6
101,0.309146,,140.286,,35.3429
102,0.312361,,140.571,,35.0857
103,0.315577,,140.857,,34.8286
104,0.318793,,141.143,,34.5714
105,0.322009,,141.429,,34.3143
106,0.325224,,141.714,,34.0571
107,0.32844,,142,,33.8
108,0.331526,,141.857,,33.7143
109,0.334611,,141.714,,33.6286
110,0.337697,,141.571,,33.5429
111,0.340783,,141.429,,33.4571
112,0.343869,,141.286,,33.3714
113,0.346954,,141.143,,33.2857
114,0.35004,,141,,33.2
115,0.353,,140,,33.1333
116,0.35596,,139,,33.0667
117,0.35892,,138,,33
118,0.361959,,138,,32.9429
119,0.364997,,138,,32.8857
120,0.368036,,138,,32.8286
121,0.371074,,138,,32.7714
122,0.374113,,138,,32.7143
123,0.377151,,138,,32.6571
124,0.38019,,138,,32.6
125,0.383373,,138,,32.5714
126,0.386556,,138,,32.5429
127,0.389739,,138,,32.5143
128,0.392921,,138,,32.4857
129,0.396104,,138,,32.4571
130,0.399287,,138,,32.4286
131,0.40247,,138,,32.4
132,0.405473,,137.857,,32.2571
133,0.408476,,137.714,,32.1143
134,0.411479,,137.571,,31.9714
135,0.414481,,137.429,,31.8286
136,0.417484,,137.286,,31.6857
137,0.420487,,137.143,,31.5429
138,0.42349,,137,,31.4
139,0.426607,,137.143,,31.2857
140,0.429724,,137.286,,31.1714
141,0.432841,,137.429,,31.0571
142,0.435959,,137.571,,30.9429
143,0.439076,,137.714,,30.8286
144,0.442193,,137.857,,30.7143
145,0.44531,,138,,30.6
146,0.448469,,137.714,,30.4286
147,0.451627,,137.429,,30.2571
148,0.454786,,137.143,,30.0857
149,0.457944,,136.857,,29.9143
150,0.461103,,136.571,,29.7429
151,0.464261,,136.286,,29.5714
152,0.46742,,136,,29.4
153,0.470758,,136,,29.3667
154,0.474097,,136,,29.3333
155,0.477435,,136,,29.3
156,0.480773,,136,,29.2667
157,0.484112,,136,,29.2333
158,0.48745,,136,,29.2
159,0.490476,,135.857,,29.2286
160,0.493501,,135.714,,29.2571
161,0.496527,,135.571,,29.2857
162,0.499553,,135.429,,29.3143
163,0.502579,,135.286,,29.3429
164,0.505604,,135.143,,29.3714
165,0.50863,,135,,29.4
166,0.511046,,135,,29.4
167,0.513461,,135,,29.4
168,0.515877,,135,,29.4
169,0.518292,,135,,29.4
170,0.520708,,135,,29.4
171,0.523123,,135,,29.4
172,0.525539,,135,,29.4
173,0.527954,,135,,29.4
174,0.53037,,135,,29.4
175,0.533491,,135,,29.6286
176,0.536613,,135,,29.8571
177,0.539734,,135,,30.0857
178,0.542856,,135,,30.3143
179,0.545977,,135,,30.5429
180,0.549099,,135,,30.7714
181,0.55222,,135,,31
182,0.555323,,135.143,,31.1143
183,0.558426,,135.286,,31.2286
184,0.561529,,135.429,,31.3429
185,0.564631,,135.571,,31.4571
186,0.567734,,135.714,,31.5714
187,0.570837,,135.857,,31.6857
188,0.57394,,136,,31.8
189,0.577041,,135.857,,31.9143
190,0.580143,,135.714,,32.0286
191,0.583244,,135.571,,32.1429
192,0.586346,,135.429,,32.2571
193,0.589447,,135.286,,32.3714
194,0.592549,,135.143,,32.4857
195,0.59565,,135,,32.6
196,0.598904,,135.143,,32.8857
197,0.602159,,135.286,,33.1714
198,0.605413,,135.429,,33.4571
199,0.608667,,135.571,,33.7429
200,0.611921,,135.714,,34.0286
201,0.615176,,135.857,,34.3143
202,0.61843,,136,,34.6
203,0.621596,,136.143,,34.7429
204,0.624761,,136.286,,34.8857
205,0.627927,,136.429,,35.0286
206,0.631093,,136.571,,35.1714
207,0.634259,,136.714,,35.3143
208,0.637424,,136.857,,35.4571
209,0.64059,,137,,35.6
210,0.643601,,137,,35.6286
211,0.646613,,137,,35.6571
212,0.649624,,137,,35.6857
213,0.652636,,137,,35.7143
214,0.655647,,137,,35.7429
215,0.658659,,137,,35.7714
216,0.66167,,137,,35.8
217,0.664597,,136.714,,35.7429
218,0.667524,,136.429,,35.6857
219,0.670451,,136.143,,35.6286
220,0.673379,,135.857,,35.5714
221,0.676306,,135.571,,35.5143
222,0.679233,,135.286,,35.4571
223,0.68216,,135,,35.4
224,0.68454,,135,,35.4
225,0.687594,,135,,35.2286
226,0.690649,,135,,35.0571
227,0.693703,,135,,34.8857
228,0.696757,,135,,34.7143
229,0.699811,,135,,34.5429
230,0.702866,,135,,34.3714
231,0.70592,,135,,34.2
232,0.709146,,135,,34.0857
233,0.712371,,135,,33.9714
234,0.715597,,135,,33.8571
235,0.718823,,135,,33.7429
236,0.722049,,135,,33.6286
237,0.725274,,135,,33.5143
238,0.7285,,135,,33.4
239,0.731476,,135.286,,33.2857
240,0.734451,,135.571,,33.1714
241,0.737427,,135.857,,33.0571
242,0.740403,,136.143,,32.9429
243,0.743379,,136.429,,32.8286
