secs,km,power,hr,cad,alt
0,0,,61,60,30.8
1,0.00116,,62,55,30.6
2,0.00258,,62,54,30.6
3,0.00515,,63,66,30.5
4,0.00772,,64,78,30.4
5,0.01086,,67,79,30.4
6,0.014,,70,80,30.4
7,0.0177933,,71.3333,80,30.3333
8,0.0215867,,72.6667,80,30.2667
9,0.02538,,74,80,30.2
10,0.0290067,,75,80,30
11,0.0326333,,76,80,29.8
12,0.03626,,77,80,29.6
13,0.039725,,80,80,29.4
14,0.04319,,83,80,29.2
15,0.04659,,83,80,28.8
16,0.04983,,87,80,28.8
17,0.053715,,89.5,80.5,28.7
18,0.0576,,92,81,28.6
19,0.06109,,96,81,28.8
20,0.06542,,97,81,29.0667
21,0.06975,,98,81,29.3333
22,0.07408,,99,81,29.6
23,0.07885,,102,82,29.8
24,0.08317,,103.667,82,30.2667
25,0.08749,,105.333,82,30.7333
26,0.09181,,107,82,31.2
27,0.0958533,,108,81.6667,31.8
28,0.0998967,,109,81.3333,32.4
29,0.10394,,110,81,33
30,0.108142,,110.4,80.8,33.44
31,0.112344,,110.8,80.6,33.88
32,0.116546,,111.2,80.4,34.32
33,0.120748,,111.6,80.2,34.76
34,0.12495,,112,80,35.2
35,0.12902,,114,80,35.3
36,0.13309,,116,80,35.4
37,0.137154,,116.2,80.2,35.4
38,0.141218,,116.4,80.4,35.4
39,0.145282,,116.6,80.6,35.4
40,0.149346,,116.8,80.8,35.4
41,0.15341,,117,81,35.4
42,0.157013,,117.333,81,35.6333
43,0.160617,,117.667,81,35.8667
44,0.16422,,118,81,36.1
45,0.167823,,118.333,81,36.3333
46,0.171427,,118.667,81,36.5667
47,0.17503,,119,81,36.8
48,0.178242,,120.25,81,36.8
49,0.181455,,121.5,81,36.8
50,0.184667,,122.75,81,36.8
51,0.18788,,124,81,36.8
52,0.1912,,124.75,81,36.9
53,0.19452,,125.5,81,37
54,0.19784,,126.25,81,37.1
55,0.20116,,127,81,37.2
56,0.205147,,127.333,81,37.5
57,0.209133,,127.667,81,37.8
58,0.21312,,128,81,38.1
59,0.217107,,128.333,81,38.4
60,0.221093,,128.667,81,38.7
61,0.22508,,129,81,39
62,0.229008,,129.333,81,39.5
63,0.232937,,129.667,81,40
64,0.236865,,130,81,40.5
65,0.240793,,130.333,81,41
66,0.244722,,130.667,81,41.5
67,0.24865,,131,81,42
68,0.252738,,131.2,80.8,42.04
69,0.256826,,131.4,80.6,42.08
70,0.260914,,131.6,80.4,42.12
71,0.265002,,131.8,80.2,42.16
72,0.26909,,132,80,42.2
73,0.272177,,132.286,80,42.7714
74,0.275264,,132.571,80,43.3429
75,0.278351,,132.857,80,43.9143
76,0.281439,,133.143,80,44.4857
77,0.284526,,133.429,80,45.0571
78,0.287613,,133.714,80,45.6286
79,0.2907,,134,80,46.2
80,0.293805,,134,79.5,46.35
81,0.29691,,134,79,46.5
82,0.300015,,134,78.5,46.65
83,0.30312,,134,78,46.8
84,0.306722,,134.667,78.3333,46.8333
85,0.310323,,135.333,78.6667,46.8667
86,0.313925,,136,79,46.9
87,0.317527,,136.667,79.3333,46.9333
88,0.321128,,137.333,79.6667,46.9667
89,0.32473,,138,80,47
90,0.327948,,138.75,79.75,47.15
91,0.331165,,139.5,79.5,47.3
92,0.334383,,140.25,79.25,47.45
93,0.3376,,141,79,47.6
94,0.340525,,141,78.5,47.7
95,0.34345,,141,78,47.8
96,0.347038,,141.167,78.1667,48.0333
97,0.350627,,141.333,78.3333,48.2667
98,0.354215,,141.5,78.5,48.5
99,0.357803,,141.667,78.6667,48.7333
100,0.361392,,141.833,78.8333,48.9667
101,0.36498,,142,79,49.2
102,0.367378,,142.25,79,49.425
103,0.369775,,142.5,79,49.65
104,0.372173,,142.75,79,49.875
105,0.37457,,143,79,50.1
106,0.376968,,143.25,79,50.325
107,0.379365,,143.5,79,50.55
108,0.381763,,143.75,79,50.775
109,0.38416,,144,79,51
110,0.38732,,144,77.8333,51.1
111,0.39048,,144,76.6667,51.2
112,0.39364,,144,75.5,51.3
113,0.3968,,144,74.3333,51.4
114,0.39996,,144,73.1667,51.5
115,0.40312,,144,72,51.6
116,0.405807,,144.333,74.3333,51.9333
117,0.408493,,144.667,76.6667,52.2667
118,0.41118,,145,79,52.6
119,0.415367,,145.333,79.1667,52.9
120,0.419553,,145.667,79.3333,53.2
121,0.42374,,146,79.5,53.5
122,0.427927,,146.333,79.6667,53.8
123,0.432113,,146.667,79.8333,54.1
124,0.4363,,147,80,54.4
125,0.441705,,147.25,80,54.7
126,0.44711,,147.5,80,55
127,0.452515,,147.75,80,55.3
128,0.45792,,148,80,55.6
129,0.462696,,148,79.6,55.56
130,0.467472,,148,79.2,55.52
131,0.472248,,148,78.8,55.48
132,0.477024,,148,78.4,55.44
133,0.4818,,148,78,55.4
134,0.486298,,148.2,78.2,55.92
135,0.490796,,148.4,78.4,56.44
136,0.495294,,148.6,78.6,56.96
137,0.499792,,148.8,78.8,57.48
138,0.50429,,149,79,58
139,0.507992,,149,78.8333,58.4667
140,0.511693,,149,78.6667,58.9333
141,0.515395,,149,78.5,59.4
142,0.519097,,149,78.3333,59.8667
143,0.522798,,149,78.1667,60.3333
144,0.5265,,149,78,60.8
145,0.530844,,149.2,78,62.2
146,0.535188,,149.4,78,63.6
147,0.539532,,149.6,78,65
148,0.543876,,149.8,78,66.4
149,0.54822,,150,78,67.8
150,0.551807,,150,78,68.2667
151,0.555393,,150,78,68.7333
152,0.55898,,150,78,69.2
153,0.561792,,150.167,78,69.2
154,0.564603,,150.333,78,69.2
155,0.567415,,150.5,78,69.2
156,0.570227,,150.667,78,69.2
157,0.573038,,150.833,78,69.2
158,0.57585,,151,78,69.2
159,0.578572,,150.875,78.125,68.7
160,0.581295,,150.75,78.25,68.2
161,0.584017,,150.625,78.375,67.7
162,0.58674,,150.5,78.5,67.2
163,0.589463,,150.375,78.625,66.7
164,0.592185,,150.25,78.75,66.2
165,0.594908,,150.125,78.875,65.7
166,0.59763,,150,79,65.2
167,0.600535,,150,79,65.025
168,0.60344,,150,79,64.85
169,0.606345,,150,79,64.675
170,0.60925,,150,79,64.5
171,0.612155,,150,79,64.325
172,0.61506,,150,79,64.15
173,0.617965,,150,79,63.975
174,0.62087,,150,79,63.8
175,0.624892,,150,79,63.52
176,0.628914,,150,79,63.24
177,0.632936,,150,79,62.96
178,0.636958,,150,79,62.68
179,0.64098,,150,79,62.4
180,0.643917,,150,79,61.9429
181,0.646854,,150,79,61.4857
182,0.649791,,150,79,61.0286
183,0.652729,,150,79,60.5714
184,0.655666,,150,79,60.1143
185,0.658603,,150,79,59.6571
186,0.66154,,150,79,59.2
187,0.66383,,149,79,59
188,0.66612,,148,79,58.8
189,0.66899,,148.286,78.8571,58.3714
190,0.67186,,148.571,78.7143,57.9429
191,0.67473,,148.857,78.5714,57.5143
192,0.6776,,149.143,78.4286,57.0857
193,0.68047,,149.429,78.2857,56.6571
194,0.68334,,149.714,78.1429,56.2286
195,0.68621,,150,78,55.8
196,0.689675,,150,78.1667,55.6667
197,0.69314,,150,78.3333,55.5333
198,0.696605,,150,78.5,55.4
199,0.70007,,150,78.6667,55.2667
200,0.703535,,150,78.8333,55.1333
201,0.707,,150,79,55
202,0.710737,,149.333,79,54.3333
203,0.714473,,148.667,79,53.6667
204,0.71821,,148,79,53
205,0.721765,,147.25,78.75,52.55
206,0.72532,,146.5,78.5,52.1
207,0.728875,,145.75,78.25,51.65
208,0.73243,,145,78,51.2
209,0.73658,,143.5,78,50.6
210,0.74073,,142,78,50
