secs,km,power,hr,cad,alt
0,0,,0,,0
1,0.0045,,0,,0
2,0.0075,,0,,0
3,0.0105,,0,,0
4,0.0135,,0,,0
5,0.0165,,0,,0
6,0.0195,,77,,0
7,0.0225,,77,,0
8,0.0255,,80,,0
9,0.0285,,81,,0
10,0.0315,,81,,0
11,0.0345,,81,,0
12,0.0375,,82,,0
13,0.0395,,82,,0
14,0.0425,,82,,0
15,0.0455,,81,,0
16,0.0485,,82,,0
17,0.0515,,82,,0
18,0.0545,,82,,0
19,0.0575,,82,,0
20,0.0605,,83,,0
21,0.0635,,83,,0
22,0.0665,,0,,0
23,0.0685,,0,,0
24,0.0715,,0,,0
25,0.0745,,0,,0
26,0.0775,,0,,0
27,0.0805,,0,,0
28,0.0835,,0,,0
29,0.0865,,0,,0
30,0.0895,,0,,0
31,0.0915,,0,,0
32,0.0945,,0,,0
33,0.0975,,0,,0
34,0.1,,42.5,,0
35,0.1025,,85,,0
36,0.1065,,85,,0
37,0.1095,,86,,0
38,0.1125,,88,,0
39,0.1165,,88,,0
40,0.1195,,88,,0
41,0.1225,,88,,0
42,0.1255,,88,,0
43,0.1285,,90,,0
44,0.1305,,90,,0
45,0.1335,,89,,0
46,0.1365,,88,,0
47,0.1395,,88,,0
48,0.1425,,88,,0
49,0.1455,,88,,0
50,0.1485,,87,,0
51,0.1515,,87,,0
52,0.1545,,87,,0
53,0.1575,,87,,0
54,0.1605,,87,,0
55,0.1635,,87,,0
56,0.1665,,86,,0
57,0.1695,,86,,0
58,0.1725,,86,,0
59,0.1725,,86,,281
60,0.1725,,85,,280
61,0.1725,,84,,278
62,0.1725,,84,,277
63,0.1725,,84,,273
64,0.1725,,83,,269
65,0.1725,,83,,266
66,0.1725,,83,,265
67,0.1725,,83,,262
68,0.1725,,85,,259
69,0.1725,,85,,256
70,0.1725,,85,,254
71,0.1725,,85,,251
72,0.1725,,85,,249
73,0.1725,,85,,246
74,0.1725,,85,,244
75,0.1845,,84,,242
76,0.1845,,84,,241
77,0.1845,,84,,240
78,0.1845,,84,,239
79,0.1845,,84,,238
80,0.1845,,84,,237
81,0.1845,,84,,236
82,0.1845,,84,,236
83,0.1845,,84,,235
84,0.1845,,92,,235
85,0.1965,,113,,235
86,0.1965,,125,,234
87,0.1965,,132,,234
88,0.1965,,140,,234
89,0.1965,,150,,233
90,0.1965,,152,,233
91,0.1965,,155,,232
92,0.2085,,156,,231
93,0.2085,,157,,231
94,0.2085,,160,,230
95,0.2085,,160,,230
96,0.2085,,160,,229
97,0.2215,,160,,229
98,0.2215,,160,,229
