secs,km,power,hr,cad,alt
0,0,,98,,47
1,0,,99,,46.8
2,0,,99,,47
3,0.00295,,101,,47
4,0.00295,,101,,47.4
5,0.00329,,103,,47.6
6,0.00336,,105,,47
7,0.0043,,105,,46.4
8,0.00529,,108,,46.4
9,0.0063,,109,,46.2
10,0.00925,,110,,45.8
11,0.01201,,111,,45.8
12,0.01424,,111,,45
13,0.01747,,111,,44.4
14,0.02069,,112,,44.2
15,0.02418,,113,,44
16,0.02758,,113,,44
17,0.03121,,113,,43.8
18,0.03478,,114,,43.8
19,0.03831,,115,,43.8
20,0.04201,,115,,43.4
21,0.04595,,116,,43.2
22,0.04945,,116,,43
23,0.05274,,116,,42.6
24,0.05636,,117,,42.4
25,0.0596,,117,,42.2
26,0.06284,,118,,42.2
27,0.06575,,118,,42.4
28,0.06853,,118,,41.8
29,0.07137,,119,,42
30,0.07523,,119,,41.8
31,0.08016,,120,,41.6
32,0.0844,,120,,41.6
33,0.08767,,121,,41.2
34,0.09112,,121,,41.2
35,0.09318,,122,,41.2
36,0.09397,,123,,41.2
37,0.09762,,124,,41.2
38,0.10129,,124,,41
39,0.10454,,125,,41.2
40,0.10772,,125,,41.4
41,0.11028,,126,,41.6
42,0.11239,,127,,41.8
43,0.11556,,127,,42.2
44,0.11766,,128,,42.2
45,0.12033,,128,,42.2
46,0.12272,,128,,42.2
47,0.12449,,129,,42.4
48,0.12528,,129,,42.4
49,0.12641,,129,,42.4
50,0.1286,,129,,42.6
51,0.13057,,129,,42.8
52,0.13307,,128,,42.8
53,0.13577,,128,,42.8
54,0.1389,,127,,43
55,0.14173,,127,,43
56,0.14452,,127,,43.2
57,0.14686,,127,,43.2
58,0.14914,,128,,43.2
59,0.1523,,129,,43.2
60,0.15454,,129,,43.4
61,0.15758,,130,,43.8
62,0.16096,,130,,43.8
63,0.16367,,131,,44.2
64,0.16813,,132,,44.4
65,0.17216,,133,,44.4
66,0.17501,,133,,44.4
67,0.17844,,134,,44.8
68,0.1811,,135,,44.8
69,0.18444,,136,,44.8
70,0.18878,,137,,44.8
71,0.1927,,137,,44.8
72,0.19672,,138,,45.2
73,0.20085,,138,,45.2
74,0.20451,,139,,45.4
75,0.20759,,140,,45.6
76,0.21081,,140,,45.6
77,0.21431,,141,,45.8
78,0.21769,,141,,46
79,0.22103,,141,,46.2
80,0.22428,,142,,46.4
81,0.22734,,142,,46.4
