secs,km,power,hr,cad,alt
0,0,,86,,862.2
1,0.00029,,86,,861.6
2,0.00283,,85.25,,861.65
3,0.00537,,84.5,,861.7
4,0.00791,,83.75,,861.75
5,0.01045,,83,,861.8
6,0.01393,,83,,861.8
7,0.016215,,83.5,,861.7
8,0.0185,,84,,861.6
9,0.0210233,,84.3333,,861.333
10,0.0235467,,84.6667,,861.067
11,0.02607,,85,,860.8
12,0.0274025,,84,,860.8
13,0.028735,,83,,860.8
14,0.0300675,,82,,860.8
15,0.0314,,81,,860.8
16,0.0321133,,81,,860.711
17,0.0328267,,81,,860.622
18,0.03354,,81,,860.533
19,0.0342533,,81,,860.444
20,0.0349667,,81,,860.356
21,0.03568,,81,,860.267
22,0.0363933,,81,,860.178
23,0.0371067,,81,,860.089
24,0.03782,,81,,860
25,0.03943,,81,,860
26,0.040405,,81.5,,860
27,0.04138,,82,,860
28,0.04138,,83,,859.8
29,0.04138,,84,,859.6
30,0.042235,,84,,859.575
31,0.04309,,84,,859.55
32,0.043945,,84,,859.525
33,0.0448,,84,,859.5
34,0.045655,,84,,859.475
35,0.04651,,84,,859.45
36,0.047365,,84,,859.425
37,0.04822,,84,,859.4
38,0.049075,,84,,859.375
39,0.04993,,84,,859.35
40,0.050785,,84,,859.325
41,0.05164,,84,,859.3
42,0.052495,,84,,859.275
43,0.05335,,84,,859.25
44,0.054205,,84,,859.225
45,0.05506,,84,,859.2
46,0.055915,,84,,859.175
47,0.05677,,84,,859.15
48,0.057625,,84,,859.125
49,0.05848,,84,,859.1
50,0.059335,,84,,859.075
51,0.06019,,84,,859.05
52,0.061045,,84,,859.025
53,0.0619,,84,,859
54,0.0634114,,83.5714,,858.971
55,0.0649229,,83.1429,,858.943
56,0.0664343,,82.7143,,858.914
57,0.0679457,,82.2857,,858.886
58,0.0694571,,81.8571,,858.857
59,0.0709686,,81.4286,,858.829
60,0.07248,,81,,858.8
61,0.0726025,,80.5,,858.8
62,0.072725,,80,,858.8
63,0.0728475,,79.5,,858.8
64,0.07297,,79,,858.8
65,0.0739695,,79.0476,,858.752
66,0.074969,,79.0952,,858.705
67,0.0759686,,79.1429,,858.657
68,0.0769681,,79.1905,,858.61
69,0.0779676,,79.2381,,858.562
70,0.0789671,,79.2857,,858.514
71,0.0799667,,79.3333,,858.467
72,0.0809662,,79.381,,858.419
73,0.0819657,,79.4286,,858.371
74,0.0829652,,79.4762,,858.324
75,0.0839648,,79.5238,,858.276
76,0.0849643,,79.5714,,858.229
77,0.0859638,,79.619,,858.181
78,0.0869633,,79.6667,,858.133
79,0.0879629,,79.7143,,858.086
80,0.0889624,,79.7619,,858.038
81,0.0899619,,79.8095,,857.99
82,0.0909614,,79.8571,,857.943
83,0.091961,,79.9048,,857.895
84,0.0929605,,79.9524,,857.848
85,0.09396,,80,,857.8
86,0.0966875,,80.5,,857.75
87,0.099415,,81,,857.7
88,0.102142,,81.5,,857.65
89,0.10487,,82,,857.6
90,0.107008,,82.6,,857.56
91,0.109146,,83.2,,857.52
92,0.111284,,83.8,,857.48
93,0.113422,,84.4,,857.44
94,0.11556,,85,,857.4
95,0.117127,,84,,857.333
96,0.118693,,83,,857.267
97,0.12026,,82,,857.2
98,0.120811,,82,,857.125
99,0.121363,,82,,857.05
100,0.121914,,82,,856.975
101,0.122465,,82,,856.9
102,0.123016,,82,,856.825
103,0.123567,,82,,856.75
104,0.124119,,82,,856.675
105,0.12467,,82,,856.6
106,0.12573,,80.5,,856.6
107,0.12679,,79,,856.6
108,0.128973,,78.6667,,856.133
109,0.131157,,78.3333,,855.667
110,0.13334,,78,,855.2
111,0.135655,,78.75,,855.5
112,0.13797,,79.5,,855.8
113,0.140285,,80.25,,856.1
114,0.1426,,81,,856.4
115,0.144072,,81.3,,856.36
116,0.145544,,81.6,,856.32
117,0.147016,,81.9,,856.28
118,0.148488,,82.2,,856.24
119,0.14996,,82.5,,856.2
120,0.151432,,82.8,,856.16
121,0.152904,,83.1,,856.12
122,0.154376,,83.4,,856.08
123,0.155848,,83.7,,856.04
124,0.15732,,84,,856
125,0.159826,,84,,856
126,0.162332,,84,,856
127,0.164839,,84,,856
128,0.167345,,84,,856
129,0.169851,,84,,856
130,0.172357,,84,,856
131,0.174864,,84,,856
132,0.17737,,84,,856
133,0.179837,,84.1111,,855.978
134,0.182303,,84.2222,,855.956
135,0.18477,,84.3333,,855.933
136,0.187237,,84.4444,,855.911
137,0.189703,,84.5556,,855.889
138,0.19217,,84.6667,,855.867
139,0.194637,,84.7778,,855.844
140,0.197103,,84.8889,,855.822
141,0.19957,,85,,855.8
