secs,km,power,hr,cad,alt
0,0,,85,,-18.4
1,0.00171,,86,,-18.6
2,0.00412,,86,,-18.4
3,0.00728,,87,,-18
4,0.0108,,87,,-17.8
5,0.01435,,88,,-17.4
6,0.01789,,88,,-16.8
7,0.02142,,90,,-16.6
8,0.02478,,92,,-16
9,0.02808,,92,,-15.8
10,0.03149,,92,,-15.6
11,0.03499,,92,,-15.2
12,0.03844,,92,,-15
13,0.04194,,94,,-14.8
14,0.04555,,95,,-14.4
15,0.04907,,98,,-14.2
16,0.05252,,98,,-14
17,0.05611,,98,,-13.8
18,0.05962,,98,,-13.8
19,0.06292,,99,,-13.8
20,0.06627,,100,,-13.4
21,0.06961,,100,,-13.4
22,0.07282,,100,,-13.2
23,0.07595,,100,,-13.2
24,0.07927,,101,,-13.2
25,0.08248,,102,,-13.2
26,0.08566,,104,,-13
27,0.09197,,105,,-13
28,0.09197,,105,,-13
29,0.09513,,104,,-12.8
30,0.09834,,105,,-12.6
31,0.10156,,106,,-12.8
32,0.1048,,106,,-12.8
33,0.10798,,108,,-13
34,0.11097,,108,,-13
35,0.1139,,109,,-12.8
36,0.117,,109,,-12.8
37,0.11999,,111,,-12.8
38,0.12293,,109,,-12.8
39,0.126,,111,,-12.8
40,0.12905,,113,,-12.6
41,0.13191,,112,,-12.4
42,0.13494,,112,,-12.2
43,0.13807,,115,,-12.2
44,0.14113,,116,,-12
45,0.14431,,115,,-11.8
46,0.14752,,116,,-11.6
47,0.15064,,117,,-11.4
48,0.15372,,119,,-11.2
49,0.15682,,120,,-11
50,0.1598,,121,,-10.8
51,0.16281,,121,,-10.8
52,0.16592,,121,,-10.6
53,0.16862,,122,,-10.6
54,0.17147,,121,,-10.4
55,0.17456,,124,,-10
56,0.17769,,124,,-10
57,0.18074,,124,,-10
58,0.1837,,124,,-9.8
59,0.18656,,124,,-9.8
60,0.18931,,124,,-9.8
61,0.19225,,124,,-9.8
62,0.19523,,125,,-9.6
63,0.19817,,125,,-9.4
64,0.20119,,124,,-9.2
65,0.20424,,124,,-9.4
66,0.20719,,124,,-9.2
67,0.21012,,125,,-9.2
68,0.21308,,125,,-9
69,0.21607,,126,,-9
70,0.21891,,126,,-8.8
71,0.22189,,126,,-8.6
72,0.22483,,128,,-8.4
73,0.22781,,128,,-8.4
74,0.23081,,128,,-8.4
75,0.23381,,130,,-8.4
76,0.23674,,130,,-8.2
77,0.23977,,130,,-8
78,0.24283,,129,,-8
79,0.24566,,130,,-7.8
80,0.24852,,129,,-7.8
81,0.25143,,129,,-7.6
82,0.25442,,131,,-7.4
83,0.25721,,131,,-7.2
