secs,km,power,hr,cad,alt
0,0,,140,,216
1,0.00233,,140,,216.6
2,0.00471,,141,,217.2
3,0.00676,,141,,218
4,0.00913,,141,,218.8
5,0.01146,,141,,219.2
6,0.01399,,142,,219.8
7,0.01649,,141,,220.8
8,0.01927,,141,,222
9,0.02214,,141,,222.8
10,0.02506,,141,,224
11,0.02801,,141,,225.2
12,0.03105,,141,,226.2
13,0.03378,,141,,227
14,0.03756,,141,,228.8
15,0.04068,,141,,230
16,0.04359,,141,,231
17,0.04634,,141,,232
18,0.04888,,141,,232.8
19,0.05112,,141,,233.8
20,0.0531,,141,,234.4
21,0.05562,,141,,235.2
22,0.05828,,141,,235.8
23,0.06115,,141,,236.4
24,0.0644,,141,,237.2
25,0.06712,,141,,237.8
26,0.07009,,141,,238.4
27,0.07286,,142,,239.2
28,0.07524,,141,,239.6
29,0.07709,,141,,240
30,0.07908,,141,,240.4
31,0.0815,,141,,241
32,0.08415,,141,,241.8
33,0.0863,,141,,242.2
34,0.08816,,141,,242.6
35,0.0903,,141,,243.2
36,0.09285,,141,,243.4
37,0.09512,,141,,243.6
38,0.09726,,141,,243.8
39,0.0998,,140,,244
40,0.1025,,140,,244.4
41,0.10515,,140,,244.6
42,0.10741,,140,,244.8
43,0.11062,,140,,245.4
44,0.11364,,139,,245.4
45,0.11623,,139,,246
46,0.11896,,138,,246.4
47,0.12164,,138,,247
48,0.12446,,138,,247.8
49,0.12656,,138,,248.4
50,0.12901,,138,,249
51,0.13106,,139,,249.6
52,0.13284,,139,,250
53,0.13505,,139,,250.2
54,0.13727,,139,,250.4
55,0.13896,,140,,250.8
56,0.14066,,140,,250.8
57,0.14256,,140,,251.2
58,0.14404,,140,,251.4
59,0.14541,,140,,251.2
60,0.14754,,141,,251.2
61,0.14964,,141,,251.2
62,0.15137,,141,,251.2
63,0.15343,,141,,251
64,0.15539,,141,,251
65,0.15707,,141,,251.2
66,0.1585,,141,,251
67,0.16063,,141,,251
68,0.16271,,141,,251
69,0.16499,,141,,250.8
70,0.16729,,141,,250.6
71,0.16927,,141,,250.6
72,0.17093,,141,,250.8
73,0.17261,,141,,250.6
74,0.17502,,141,,250.8
75,0.17697,,141,,250.6
76,0.1792,,141,,250.8
77,0.1814,,140,,251
78,0.18294,,140,,251
