secs,km,power,hr,cad,alt
0,0,,88,,0
1,0.00761,,88,,27.2
2,0.01522,,88,,54.4
3,0.01641,,88.5,,56.9
4,0.0176,,89,,59.4
5,0.028055,,90.5,,63.3
6,0.03851,,92,,67.2
7,0.044975,,97.5,,68.8
8,0.05144,,103,,70.4
9,0.0534333,,105.333,,70.8
10,0.0554267,,107.667,,71.2
11,0.05742,,110,,71.6
12,0.07753,,112,,73
13,0.081275,,112.5,,73.2
14,0.08502,,113,,73.4
15,0.08812,,113,,73.6
16,0.09122,,113,,73.8
17,0.094735,,114,,74
18,0.09825,,115,,74.2
19,0.10206,,116.5,,74.4
20,0.10587,,118,,74.6
21,0.10855,,120,,74.7
22,0.11123,,122,,74.8
23,0.113443,,122,,74.8667
24,0.115657,,122,,74.9333
25,0.11787,,122,,75
26,0.12076,,122,,75.0667
27,0.12365,,122,,75.1333
28,0.12654,,122,,75.2
29,0.12949,,124,,75.3
30,0.13244,,126,,75.4
31,0.13554,,127.5,,75.5
32,0.13864,,129,,75.6
33,0.142,,129,,75.7
34,0.14536,,129,,75.8
35,0.1489,,129,,75.9
36,0.15244,,129,,76
37,0.15592,,129,,76
38,0.1594,,129,,76
39,0.163055,,130.5,,76.1
40,0.16671,,132,,76.2
41,0.169875,,134,,76.2
42,0.17304,,136,,76.2
43,0.176105,,136,,76.3
44,0.17917,,136,,76.4
45,0.181855,,136,,76.4
46,0.18454,,136,,76.4
47,0.18736,,136,,76.5
48,0.19018,,136,,76.6
49,0.19289,,136,,76.6
50,0.1956,,136,,76.6
51,0.199205,,139,,76.6
52,0.20281,,142,,76.6
53,0.20634,,142.5,,76.7
54,0.20987,,143,,76.8
55,0.21332,,143,,77.2
56,0.21677,,143,,77.6
57,0.220545,,143,,78
58,0.22432,,143,,78.4
59,0.228475,,143,,78.5
60,0.23263,,143,,78.6
61,0.23614,,143,,78.6
62,0.23965,,143,,78.6
63,0.24349,,143,,78.6
64,0.24733,,143,,78.6
65,0.251235,,143,,78.6
66,0.25514,,143,,78.6
67,0.25894,,143,,78.6
68,0.26274,,143,,78.6
69,0.267615,,143,,78.6
70,0.27249,,143,,78.6
71,0.27789,,143,,78.6
72,0.28368,,143,,78.6
73,0.28976,,143,,78.6
