secs,km,power,hr,cad,alt
0,0,,108,,342.6
1,0.000993333,,107.333,,342.6
2,0.00198667,,106.667,,342.6
3,0.00298,,106,,342.6
4,0.004088,,106.6,,342.6
5,0.005196,,107.2,,342.6
6,0.006304,,107.8,,342.6
7,0.007412,,108.4,,342.6
8,0.00852,,109,,342.6
9,0.00895,,111,,342.6
10,0.00938,,113,,342.6
11,0.00955,,114.5,,342.6
12,0.00972,,116,,342.6
13,0.010045,,117.5,,342.6
14,0.01037,,119,,342.6
15,0.0107217,,118.5,,342.567
16,0.0110733,,118,,342.533
17,0.011425,,117.5,,342.5
18,0.0117767,,117,,342.467
19,0.0121283,,116.5,,342.433
20,0.01248,,116,,342.4
21,0.01614,,116.75,,342.3
22,0.0198,,117.5,,342.2
23,0.02346,,118.25,,342.1
24,0.02712,,119,,342
25,0.03337,,123,,341.6
26,0.0388933,,124.333,,341.333
27,0.0444167,,125.667,,341.067
28,0.04994,,127,,340.8
29,0.05154,,127.667,,340.8
30,0.05314,,128.333,,340.8
31,0.05474,,129,,340.8
32,0.0568233,,130,,340.867
33,0.0589067,,131,,340.933
34,0.06099,,132,,341
35,0.0645683,,132.167,,341.133
36,0.0681467,,132.333,,341.267
37,0.071725,,132.5,,341.4
38,0.0753033,,132.667,,341.533
39,0.0788817,,132.833,,341.667
40,0.08246,,133,,341.8
41,0.0859933,,134,,341.867
42,0.0895267,,135,,341.933
43,0.09306,,136,,342
44,0.09552,,137,,342.1
45,0.09798,,138,,342.2
46,0.0988667,,138.667,,342.133
47,0.0997533,,139.333,,342.067
48,0.10064,,140,,342
49,0.101323,,140.75,,342.05
50,0.102005,,141.5,,342.1
51,0.102688,,142.25,,342.15
52,0.10337,,143,,342.2
53,0.103764,,142.8,,342.2
54,0.104158,,142.6,,342.2
55,0.104552,,142.4,,342.2
56,0.104946,,142.2,,342.2
57,0.10534,,142,,342.2
58,0.105734,,141.8,,342.2
59,0.106128,,141.6,,342.2
60,0.106522,,141.4,,342.2
61,0.106916,,141.2,,342.2
62,0.10731,,141,,342.2
63,0.107704,,140.8,,342.2
64,0.108098,,140.6,,342.2
65,0.108492,,140.4,,342.2
66,0.108886,,140.2,,342.2
67,0.10928,,140,,342.2
68,0.111322,,139.6,,342.2
69,0.113364,,139.2,,342.2
70,0.115406,,138.8,,342.2
71,0.117448,,138.4,,342.2
72,0.11949,,138,,342.2
73,0.120735,,138.75,,342.2
74,0.12198,,139.5,,342.2
75,0.123225,,140.25,,342.2
76,0.12447,,141,,342.2
77,0.125673,,140.667,,342.2
78,0.126877,,140.333,,342.2
79,0.12808,,140,,342.2
80,0.12835,,138.5,,342.2
81,0.12862,,137,,342.2
82,0.12888,,135.5,,342.2
83,0.12914,,134,,342.2
84,0.129562,,133.5,,342.2
85,0.129985,,133,,342.2
86,0.130408,,132.5,,342.2
87,0.13083,,132,,342.2
88,0.131125,,132.5,,342.3
89,0.13142,,133,,342.4
90,0.13217,,133,,342.3
91,0.13292,,133,,342.2
92,0.134077,,132.667,,342.133
93,0.135233,,132.333,,342.067
94,0.13639,,132,,342
95,0.137534,,131.4,,342
96,0.138678,,130.8,,342
97,0.139822,,130.2,,342
98,0.140966,,129.6,,342
99,0.14211,,129,,342
100,0.14454,,127,,342
101,0.14522,,125.5,,342
102,0.1459,,124,,342
103,0.147265,,122.5,,342
104,0.14863,,121,,342
105,0.149623,,120,,342
106,0.150617,,119,,342
107,0.15161,,118,,342
108,0.151776,,117.2,,342
109,0.151942,,116.4,,342
110,0.152108,,115.6,,342
111,0.152274,,114.8,,342
112,0.15244,,114,,342
113,0.15249,,107,,342
114,0.15369,,104,,342
115,0.153885,,107.5,,342
116,0.15408,,111,,342
117,0.156052,,110.2,,342
118,0.158024,,109.4,,342
119,0.159996,,108.6,,342
120,0.161968,,107.8,,342
121,0.16394,,107,,342
122,0.1658,,107.75,,342.05
123,0.16766,,108.5,,342.1
124,0.16952,,109.25,,342.15
125,0.17138,,110,,342.2
126,0.17267,,114,,342.2
127,0.1742,,117,,342.4
128,0.175605,,118.5,,342.4
129,0.17701,,120,,342.4
130,0.178083,,120.333,,342.467
131,0.179157,,120.667,,342.533
132,0.18023,,121,,342.6
133,0.180757,,120.167,,342.6
134,0.181283,,119.333,,342.6
135,0.18181,,118.5,,342.6
136,0.182337,,117.667,,342.6
137,0.182863,,116.833,,342.6
138,0.18339,,116,,342.6
139,0.183602,,114.833,,342.6
140,0.183813,,113.667,,342.6
141,0.184025,,112.5,,342.6
142,0.184237,,111.333,,342.6
143,0.184448,,110.167,,342.6
144,0.18466,,109,,342.6
145,0.185953,,110.75,,342.65
146,0.187245,,112.5,,342.7
147,0.188538,,114.25,,342.75
148,0.18983,,116,,342.8
149,0.19103,,116,,342.8
150,0.19168,,115.667,,342.8
151,0.19233,,115.333,,342.8
152,0.19298,,115,,342.8
153,0.194112,,115.5,,342.8
154,0.195245,,116,,342.8
155,0.196377,,116.5,,342.8
156,0.19751,,117,,342.8
157,0.19865,,116.75,,342.75
158,0.19979,,116.5,,342.7
159,0.20093,,116.25,,342.65
160,0.20207,,116,,342.6
161,0.202862,,117,,342.56
162,0.203654,,118,,342.52
163,0.204446,,119,,342.48
164,0.205238,,120,,342.44
165,0.20603,,121,,342.4
166,0.206473,,122,,342.4
167,0.206917,,123,,342.4
168,0.20736,,124,,342.4
169,0.207718,,123.769,,342.415
170,0.208075,,123.538,,342.431
171,0.208433,,123.308,,342.446
172,0.208791,,123.077,,342.462
173,0.209148,,122.846,,342.477
174,0.209506,,122.615,,342.492
175,0.209864,,122.385,,342.508
176,0.210222,,122.154,,342.523
177,0.210579,,121.923,,342.538
178,0.210937,,121.692,,342.554
179,0.211295,,121.462,,342.569
180,0.211652,,121.231,,342.585
181,0.21201,,121,,342.6
182,0.212272,,120.8,,342.587
183,0.212534,,120.6,,342.573
184,0.212796,,120.4,,342.56
185,0.213058,,120.2,,342.547
186,0.21332,,120,,342.533
187,0.213582,,119.8,,342.52
188,0.213844,,119.6,,342.507
189,0.214106,,119.4,,342.493
190,0.214368,,119.2,,342.48
191,0.21463,,119,,342.467
192,0.214892,,118.8,,342.453
193,0.215154,,118.6,,342.44
194,0.215416,,118.4,,342.427
195,0.215678,,118.2,,342.413
196,0.21594,,118,,342.4
197,0.216043,,117,,342.4
198,0.216147,,116,,342.4
199,0.21625,,115,,342.4
200,0.21637,,113.833,,342.4
201,0.21649,,112.667,,342.4
202,0.21661,,111.5,,342.4
203,0.21673,,110.333,,342.4
204,0.21685,,109.167,,342.4
205,0.21697,,108,,342.4
206,0.21725,,104,,342.4
207,0.21826,,104,,342.2
208,0.21831,,104.75,,342.2
209,0.21836,,105.5,,342.2
210,0.21841,,106.25,,342.2
211,0.21846,,107,,342.2
212,0.218657,,109,,342.2
213,0.218853,,111,,342.2
214,0.21905,,113,,342.2
215,0.21923,,117,,342.2
216,0.21991,,120,,342.2
217,0.220643,,121,,342.133
218,0.221377,,122,,342.067
219,0.22211,,123,,342
220,0.22352,,124,,342.2
221,0.22375,,125.5,,342.2
222,0.22398,,127,,342.2
223,0.224905,,127.667,,342.2
224,0.22583,,128.333,,342.2
225,0.226755,,129,,342.2
226,0.22768,,129.667,,342.2
227,0.228605,,130.333,,342.2
228,0.22953,,131,,342.2
229,0.232222,,131.25,,342.15
230,0.234915,,131.5,,342.1
231,0.237608,,131.75,,342.05
232,0.2403,,132,,342
233,0.242993,,132.25,,341.95
234,0.245685,,132.5,,341.9
235,0.248378,,132.75,,341.85
236,0.25107,,133,,341.8
237,0.25314,,134.5,,341.7
238,0.25521,,136,,341.6
239,0.25742,,138,,341.6
240,0.25824,,139.333,,341.667
241,0.25906,,140.667,,341.733
242,0.25988,,142,,341.8
243,0.2632,,143,,341.8
244,0.26571,,147,,341.8
245,0.266555,,148,,341.8
246,0.2674,,149,,341.8
247,0.27303,,152,,341.8
248,0.275013,,153,,341.8
249,0.276997,,154,,341.8
250,0.27898,,155,,341.8
251,0.28355,,155,,341.8
252,0.28437,,155,,341.7
253,0.28519,,155,,341.6
254,0.28678,,155.333,,341.667
255,0.28837,,155.667,,341.733
256,0.28996,,156,,341.8
257,0.293492,,156.2,,341.92
258,0.297024,,156.4,,342.04
259,0.300556,,156.6,,342.16
260,0.304088,,156.8,,342.28
261,0.30762,,157,,342.4
262,0.309003,,156.933,,342.373
263,0.310385,,156.867,,342.347
264,0.311768,,156.8,,342.32
265,0.313151,,156.733,,342.293
266,0.314533,,156.667,,342.267
267,0.315916,,156.6,,342.24
268,0.317299,,156.533,,342.213
269,0.318681,,156.467,,342.187
270,0.320064,,156.4,,342.16
271,0.321447,,156.333,,342.133
272,0.322829,,156.267,,342.107
273,0.324212,,156.2,,342.08
274,0.325595,,156.133,,342.053
275,0.326977,,156.067,,342.027
276,0.32836,,156,,342
277,0.32953,,156.75,,342
278,0.3307,,157.5,,342
279,0.33187,,158.25,,342
280,0.33304,,159,,342
281,0.33311,,158.5,,342
282,0.33318,,158,,342
283,0.33325,,157.5,,342
284,0.33332,,157,,342
285,0.33339,,156.5,,342
286,0.33346,,156,,342
287,0.333685,,154.5,,342
288,0.33391,,153,,342
289,0.33464,,152.25,,342
290,0.33537,,151.5,,342
291,0.3361,,150.75,,342
292,0.33683,,150,,342
293,0.337573,,150,,342
294,0.338317,,150,,342
295,0.33906,,150,,342
296,0.34055,,149.667,,341.933
297,0.34204,,149.333,,341.867
298,0.34353,,149,,341.8
299,0.34653,,149,,341.8
300,0.348093,,149.429,,341.771
301,0.349656,,149.857,,341.743
302,0.351219,,150.286,,341.714
303,0.352781,,150.714,,341.686
304,0.354344,,151.143,,341.657
305,0.355907,,151.571,,341.629
306,0.35747,,152,,341.6
307,0.35989,,152,,341.6
308,0.360793,,151.667,,341.667
309,0.361697,,151.333,,341.733
310,0.3626,,151,,341.8
311,0.36517,,150,,341.8
312,0.36517,,148,,341.8
313,0.36694,,147,,341.8
314,0.367773,,146.667,,341.8
315,0.368607,,146.333,,341.8
316,0.36944,,146,,341.8
317,0.369848,,145.25,,341.8
318,0.370255,,144.5,,341.8
319,0.370663,,143.75,,341.8
320,0.37107,,143,,341.8
321,0.37165,,142,,341.8
322,0.37223,,141,,341.8
323,0.37281,,140,,341.8
324,0.37298,,139,,341.8
325,0.37315,,138,,341.8
326,0.37332,,137,,341.8
327,0.37537,,138,,341.75
328,0.37742,,139,,341.7
329,0.37947,,140,,341.65
330,0.38152,,141,,341.6
331,0.38572,,141,,341.4
332,0.39113,,144,,341.4
333,0.39705,,145,,341.2
334,0.40297,,146,,341
335,0.40781,,149,,341
336,0.410263,,149.667,,341
337,0.412717,,150.333,,341
338,0.41517,,151,,341
339,0.418123,,151.75,,341.05
340,0.421075,,152.5,,341.1
341,0.424028,,153.25,,341.15
342,0.42698,,154,,341.2
343,0.428587,,154.429,,341.229
344,0.430194,,154.857,,341.257
345,0.431801,,155.286,,341.286
346,0.433409,,155.714,,341.314
347,0.435016,,156.143,,341.343
348,0.436623,,156.571,,341.371
349,0.43823,,157,,341.4
350,0.442167,,158,,341.533
351,0.446103,,159,,341.667
352,0.45004,,160,,341.8
353,0.4515,,160,,341.8
354,0.45261,,159.5,,341.8
355,0.45372,,159,,341.8
356,0.45449,,158.5,,341.833
357,0.45526,,158,,341.867
358,0.45603,,157.5,,341.9
359,0.4568,,157,,341.933
360,0.45757,,156.5,,341.967
361,0.45834,,156,,342
362,0.458565,,154.5,,342
363,0.45879,,153,,342
364,0.458938,,152.25,,342
365,0.459085,,151.5,,342
366,0.459233,,150.75,,342
367,0.45938,,150,,342
368,0.459534,,149.636,,342
369,0.459687,,149.273,,342
370,0.459841,,148.909,,342
371,0.459995,,148.545,,342
372,0.460148,,148.182,,342
373,0.460302,,147.818,,342
374,0.460455,,147.455,,342
375,0.460609,,147.091,,342
376,0.460763,,146.727,,342
377,0.460916,,146.364,,342
378,0.46107,,146,,342
379,0.461283,,145,,342
380,0.461497,,144,,342
381,0.46171,,143,,342
382,0.46182,,142,,342
383,0.46193,,141,,342
384,0.46204,,140,,342
385,0.46212,,139.4,,342
386,0.4622,,138.8,,342
387,0.46228,,138.2,,342
388,0.46236,,137.6,,342
389,0.46244,,137,,342
390,0.462475,,135,,342
391,0.46251,,133,,342
392,0.462534,,132.4,,342
393,0.462558,,131.8,,342
394,0.462582,,131.2,,342
395,0.462606,,130.6,,342
396,0.46263,,130,,342
397,0.463,,128.5,,342
398,0.46337,,127,,342
399,0.46437,,127,,342
400,0.465075,,127,,342
401,0.46578,,127,,342
402,0.466327,,126,,341.95
403,0.466875,,125,,341.9
404,0.467423,,124,,341.85
405,0.46797,,123,,341.8
406,0.468073,,122,,341.8
407,0.468177,,121,,341.8
408,0.46828,,120,,341.8
409,0.468345,,118.5,,341.8
410,0.46841,,117,,341.8
411,0.468417,,113.25,,341.8
412,0.468423,,109.5,,341.8
413,0.46843,,105.75,,341.8
414,0.468437,,102,,341.8
415,0.468443,,98.25,,341.8
416,0.46845,,94.5,,341.8
417,0.468457,,90.75,,341.8
418,0.468463,,87,,341.8
419,0.46847,,83.25,,341.8
420,0.468477,,79.5,,341.8
421,0.468483,,75.75,,341.8
422,0.46849,,72,,341.8
423,0.46851,,86,,341.8
424,0.46853,,100,,341.8
425,0.46855,,114,,341.8
426,0.469497,,115.333,,341.867
427,0.470443,,116.667,,341.933
428,0.47139,,118,,342
429,0.47162,,121,,342
430,0.472603,,121.333,,342
431,0.473587,,121.667,,342
432,0.47457,,122,,342
433,0.475553,,122.333,,342
434,0.476537,,122.667,,342
435,0.47752,,123,,342
436,0.47858,,123.5,,342
437,0.47964,,124,,342
438,0.48057,,126,,342
439,0.4815,,128,,342
440,0.482753,,128.5,,341.95
441,0.484005,,129,,341.9
442,0.485258,,129.5,,341.85
443,0.48651,,130,,341.8
444,0.48788,,131,,341.8
445,0.48925,,132,,341.8
446,0.49077,,133,,341.8
447,0.491601,,133.222,,341.8
448,0.492432,,133.444,,341.8
449,0.493263,,133.667,,341.8
450,0.494094,,133.889,,341.8
451,0.494926,,134.111,,341.8
452,0.495757,,134.333,,341.8
453,0.496588,,134.556,,341.8
454,0.497419,,134.778,,341.8
455,0.49825,,135,,341.8
456,0.499802,,134.2,,341.8
457,0.501354,,133.4,,341.8
458,0.502906,,132.6,,341.8
459,0.504458,,131.8,,341.8
460,0.50601,,131,,341.8
461,0.506544,,130.4,,341.8
462,0.507078,,129.8,,341.8
463,0.507612,,129.2,,341.8
464,0.508146,,128.6,,341.8
465,0.50868,,128,,341.8
466,0.509395,,126.5,,341.8
467,0.51011,,125,,341.8
468,0.51066,,125.5,,341.8
469,0.51121,,126,,341.8
470,0.511995,,125.5,,341.8
471,0.51278,,125,,341.8
472,0.51308,,124,,341.8
473,0.51338,,123,,341.8
474,0.51368,,122,,341.8
475,0.51398,,121,,341.8
476,0.51437,,119.5,,341.8
477,0.51476,,118,,341.8
478,0.515179,,117.625,,341.8
479,0.515598,,117.25,,341.8
480,0.516016,,116.875,,341.8
481,0.516435,,116.5,,341.8
482,0.516854,,116.125,,341.8
483,0.517272,,115.75,,341.8
484,0.517691,,115.375,,341.8
485,0.51811,,115,,341.8
486,0.51894,,115.429,,341.8
487,0.51977,,115.857,,341.8
488,0.5206,,116.286,,341.8
489,0.52143,,116.714,,341.8
490,0.52226,,117.143,,341.8
491,0.52309,,117.571,,341.8
492,0.52392,,118,,341.8
493,0.525,,121,,341.8
494,0.526235,,122.5,,341.8
495,0.52747,,124,,341.8
496,0.52883,,125,,341.8
497,0.53019,,126,,341.8
498,0.53155,,127,,341.8
499,0.53435,,128.333,,341.933
500,0.53715,,129.667,,342.067
501,0.53995,,131,,342.2
502,0.542711,,131.429,,342.143
503,0.545473,,131.857,,342.086
504,0.548234,,132.286,,342.029
505,0.550996,,132.714,,341.971
506,0.553757,,133.143,,341.914
507,0.556519,,133.571,,341.857
508,0.55928,,134,,341.8
509,0.560034,,134.375,,341.825
510,0.560788,,134.75,,341.85
511,0.561541,,135.125,,341.875
512,0.562295,,135.5,,341.9
513,0.563049,,135.875,,341.925
514,0.563803,,136.25,,341.95
515,0.564556,,136.625,,341.975
516,0.56531,,137,,342
517,0.566136,,137.6,,342
518,0.566962,,138.2,,342
519,0.567788,,138.8,,342
520,0.568614,,139.4,,342
521,0.56944,,140,,342
522,0.57047,,141,,342
523,0.573822,,141.8,,342
524,0.577174,,142.6,,342
525,0.580526,,143.4,,342
526,0.583878,,144.2,,342
527,0.58723,,145,,342
528,0.58848,,144.8,,341.98
529,0.58973,,144.6,,341.96
530,0.59098,,144.4,,341.94
531,0.59223,,144.2,,341.92
532,0.59348,,144,,341.9
533,0.59473,,143.8,,341.88
534,0.59598,,143.6,,341.86
535,0.59723,,143.4,,341.84
536,0.59848,,143.2,,341.82
537,0.59973,,143,,341.8
538,0.600867,,142.857,,341.8
539,0.602004,,142.714,,341.8
540,0.603141,,142.571,,341.8
541,0.604279,,142.429,,341.8
542,0.605416,,142.286,,341.8
543,0.606553,,142.143,,341.8
544,0.60769,,142,,341.8
545,0.60909,,142,,341.7
546,0.61049,,142,,341.6
547,0.611189,,141.429,,341.6
548,0.611887,,140.857,,341.6
549,0.612586,,140.286,,341.6
550,0.613284,,139.714,,341.6
551,0.613983,,139.143,,341.6
552,0.614681,,138.571,,341.6
553,0.61538,,138,,341.6
554,0.61558,,137,,341.6
555,0.61578,,136,,341.6
556,0.61598,,135,,341.6
557,0.61618,,134,,341.6
