secs,km,power,hr,cad,alt
0,0,,96,,46.8
1,0.00062,,97,,45.4
2,0.00405,,100,,48.6
3,0.00727,,102,,46.5
4,0.01049,,104,,44.4
5,0.01336,,106,,45.4
6,0.01623,,108,,46.4
7,0.01861,,109.5,,46.4
8,0.02099,,111,,46.4
9,0.0243567,,112.333,,46.4
10,0.0277233,,113.667,,46.4
11,0.03109,,115,,46.4
12,0.034045,,115.75,,46.1
13,0.037,,116.5,,45.8
14,0.039955,,117.25,,45.5
15,0.04291,,118,,45.2
16,0.0457386,,118.429,,45
17,0.0485671,,118.857,,44.8
18,0.0513957,,119.286,,44.6
19,0.0542243,,119.714,,44.4
20,0.0570529,,120.143,,44.2
21,0.0598814,,120.571,,44
22,0.06271,,121,,43.8
23,0.0658071,,121.143,,43.8
24,0.0689043,,121.286,,43.8
25,0.0720014,,121.429,,43.8
26,0.0750986,,121.571,,43.8
27,0.0781957,,121.714,,43.8
28,0.0812929,,121.857,,43.8
29,0.08439,,122,,43.8
30,0.0875057,,122.286,,44
31,0.0906214,,122.571,,44.2
32,0.0937371,,122.857,,44.4
33,0.0968529,,123.143,,44.6
34,0.0999686,,123.429,,44.8
35,0.103084,,123.714,,45
36,0.1062,,124,,45.2
37,0.109044,,124.6,,45.4
38,0.111888,,125.2,,45.6
39,0.114732,,125.8,,45.8
40,0.117576,,126.4,,46
41,0.12042,,127,,46.2
42,0.12335,,127,,46.2857
43,0.12628,,127,,46.3714
44,0.12921,,127,,46.4571
45,0.13214,,127,,46.5429
46,0.13507,,127,,46.6286
47,0.138,,127,,46.7143
48,0.14093,,127,,46.8
49,0.143817,,127.333,,46.4667
50,0.146703,,127.667,,46.1333
51,0.14959,,128,,45.8
52,0.152449,,128,,45.7714
53,0.155307,,128,,45.7429
54,0.158166,,128,,45.7143
55,0.161024,,128,,45.6857
56,0.163883,,128,,45.6571
57,0.166741,,128,,45.6286
58,0.1696,,128,,45.6
59,0.172317,,128.333,,45.6
60,0.175033,,128.667,,45.6
61,0.17775,,129,,45.6
62,0.18055,,129.125,,45.475
63,0.18335,,129.25,,45.35
64,0.18615,,129.375,,45.225
65,0.18895,,129.5,,45.1
66,0.19175,,129.625,,44.975
67,0.19455,,129.75,,44.85
68,0.19735,,129.875,,44.725
69,0.20015,,130,,44.6
70,0.203031,,129.857,,44.4571
71,0.205913,,129.714,,44.3143
72,0.208794,,129.571,,44.1714
73,0.211676,,129.429,,44.0286
74,0.214557,,129.286,,43.8857
75,0.217439,,129.143,,43.7429
76,0.22032,,129,,43.6
77,0.22315,,129,,43.625
78,0.22598,,129,,43.65
79,0.22881,,129,,43.675
80,0.23164,,129,,43.7
81,0.23447,,129,,43.725
82,0.2373,,129,,43.75
83,0.24013,,129,,43.775
84,0.24296,,129,,43.8
85,0.246061,,129.286,,43.8571
86,0.249163,,129.571,,43.9143
87,0.252264,,129.857,,43.9714
88,0.255366,,130.143,,44.0286
89,0.258467,,130.429,,44.0857
90,0.261569,,130.714,,44.1429
91,0.26467,,131,,44.2
92,0.267896,,131.286,,44.4857
93,0.271121,,131.571,,44.7714
94,0.274347,,131.857,,45.0571
95,0.277573,,132.143,,45.3429
96,0.280799,,132.429,,45.6286
97,0.284024,,132.714,,45.9143
98,0.28725,,133,,46.2
99,0.290239,,133.286,,46.4857
100,0.293227,,133.571,,46.7714
101,0.296216,,133.857,,47.0571
102,0.299204,,134.143,,47.3429
103,0.302193,,134.429,,47.6286
104,0.305181,,134.714,,47.9143
105,0.30817,,135,,48.2
106,0.310949,,135.125,,48.075
107,0.313727,,135.25,,47.95
108,0.316506,,135.375,,47.825
109,0.319285,,135.5,,47.7
110,0.322064,,135.625,,47.575
111,0.324842,,135.75,,47.45
112,0.327621,,135.875,,47.325
113,0.3304,,136,,47.2
114,0.333601,,136,,47.3714
115,0.336803,,136,,47.5429
116,0.340004,,136,,47.7143
117,0.343206,,136,,47.8857
118,0.346407,,136,,48.0571
119,0.349609,,136,,48.2286
120,0.35281,,136,,48.4
121,0.3556,,136.125,,48.725
122,0.35839,,136.25,,49.05
123,0.36118,,136.375,,49.375
124,0.36397,,136.5,,49.7
125,0.36676,,136.625,,50.025
126,0.36955,,136.75,,50.35
127,0.37234,,136.875,,50.675
128,0.37513,,137,,51
129,0.378787,,136.667,,51.0667
130,0.382443,,136.333,,51.1333
131,0.3861,,136,,51.2
132,0.389757,,135.667,,51.2667
133,0.393413,,135.333,,51.3333
134,0.39707,,135,,51.4
135,0.400133,,135,,51.2667
136,0.403197,,135,,51.1333
137,0.40626,,135,,51
138,0.409323,,135,,50.8667
139,0.412387,,135,,50.7333
140,0.41545,,135,,50.6
141,0.418312,,135.5,,50.6
142,0.421175,,136,,50.6
143,0.424038,,136.5,,50.6
144,0.4269,,137,,50.6
145,0.429946,,137.143,,50.4571
146,0.432991,,137.286,,50.3143
147,0.436037,,137.429,,50.1714
148,0.439083,,137.571,,50.0286
149,0.442129,,137.714,,49.8857
150,0.445174,,137.857,,49.7429
151,0.44822,,138,,49.6
152,0.451269,,138.143,,49.5714
153,0.454317,,138.286,,49.5429
154,0.457366,,138.429,,49.5143
155,0.460414,,138.571,,49.4857
156,0.463463,,138.714,,49.4571
157,0.466511,,138.857,,49.4286
158,0.46956,,139,,49.4
159,0.472646,,139.143,,49.3429
160,0.475731,,139.286,,49.2857
161,0.478817,,139.429,,49.2286
162,0.481903,,139.571,,49.1714
163,0.484989,,139.714,,49.1143
164,0.488074,,139.857,,49.0571
165,0.49116,,140,,49
166,0.493873,,140,,48.9
167,0.496585,,140,,48.8
168,0.499298,,140,,48.7
169,0.50201,,140,,48.6
170,0.504722,,140,,48.5
171,0.507435,,140,,48.4
172,0.510147,,140,,48.3
173,0.51286,,140,,48.2
174,0.515744,,140.429,,48.4857
175,0.518629,,140.857,,48.7714
176,0.521513,,141.286,,49.0571
177,0.524397,,141.714,,49.3429
178,0.527281,,142.143,,49.6286
179,0.530166,,142.571,,49.9143
180,0.53305,,143,,50.2
181,0.536214,,143.143,,50.2571
182,0.539379,,143.286,,50.3143
183,0.542543,,143.429,,50.3714
184,0.545707,,143.571,,50.4286
185,0.548871,,143.714,,50.4857
186,0.552036,,143.857,,50.5429
187,0.5552,,144,,50.6
188,0.55848,,144.143,,50.8286
189,0.56176,,144.286,,51.0571
190,0.56504,,144.429,,51.2857
191,0.56832,,144.571,,51.5143
192,0.5716,,144.714,,51.7429
193,0.57488,,144.857,,51.9714
194,0.57816,,145,,52.2
195,0.581217,,145.143,,52.3143
196,0.584274,,145.286,,52.4286
197,0.587331,,145.429,,52.5429
198,0.590389,,145.571,,52.6571
199,0.593446,,145.714,,52.7714
200,0.596503,,145.857,,52.8857
201,0.59956,,146,,53
202,0.602619,,146.286,,52.9429
203,0.605677,,146.571,,52.8857
204,0.608736,,146.857,,52.8286
205,0.611794,,147.143,,52.7714
206,0.614853,,147.429,,52.7143
207,0.617911,,147.714,,52.6571
208,0.62097,,148,,52.6
209,0.62407,,148,,52.8
210,0.62717,,148,,53
211,0.63027,,148,,53.2
212,0.63337,,148,,53.4
213,0.63647,,148,,53.6
214,0.63957,,148,,53.8
215,0.64267,,148,,54
216,0.645593,,148,,54.0571
217,0.648516,,148,,54.1143
218,0.651439,,148,,54.1714
219,0.654361,,148,,54.2286
220,0.657284,,148,,54.2857
221,0.660207,,148,,54.3429
222,0.66313,,148,,54.4
223,0.666157,,148,,54.4571
224,0.669184,,148,,54.5143
225,0.672211,,148,,54.5714
226,0.675239,,148,,54.6286
227,0.678266,,148,,54.6857
228,0.681293,,148,,54.7429
229,0.68432,,148,,54.8
230,0.687403,,148.143,,54.7714
231,0.690486,,148.286,,54.7429
232,0.693569,,148.429,,54.7143
233,0.696651,,148.571,,54.6857
234,0.699734,,148.714,,54.6571
235,0.702817,,148.857,,54.6286
236,0.7059,,149,,54.6
237,0.708826,,149.143,,54.7714
238,0.711751,,149.286,,54.9429
239,0.714677,,149.429,,55.1143
240,0.717603,,149.571,,55.2857
241,0.720529,,149.714,,55.4571
242,0.723454,,149.857,,55.6286
243,0.72638,,150,,55.8
244,0.729384,,150.143,,56.0571
245,0.732389,,150.286,,56.3143
246,0.735393,,150.429,,56.5714
247,0.738397,,150.571,,56.8286
248,0.741401,,150.714,,57.0857
249,0.744406,,150.857,,57.3429
250,0.74741,,151,,57.6
251,0.750377,,151.143,,57.8857
252,0.753344,,151.286,,58.1714
253,0.756311,,151.429,,58.4571
254,0.759279,,151.571,,58.7429
255,0.762246,,151.714,,59.0286
256,0.765213,,151.857,,59.3143
257,0.76818,,152,,59.6
258,0.771223,,152,,59.8286
259,0.774266,,152,,60.0571
260,0.777309,,152,,60.2857
261,0.780351,,152,,60.5143
262,0.783394,,152,,60.7429
263,0.786437,,152,,60.9714
264,0.78948,,152,,61.2
265,0.79242,,152.143,,61.3714
266,0.79536,,152.286,,61.5429
267,0.7983,,152.429,,61.7143
268,0.80124,,152.571,,61.8857
269,0.80418,,152.714,,62.0571
270,0.80712,,152.857,,62.2286
271,0.81006,,153,,62.4
272,0.813004,,153.143,,62.8571
273,0.815949,,153.286,,63.3143
274,0.818893,,153.429,,63.7714
275,0.821837,,153.571,,64.2286
276,0.824781,,153.714,,64.6857
277,0.827726,,153.857,,65.1429
278,0.83067,,154,,65.6
279,0.833697,,154.143,,65.8
280,0.836724,,154.286,,66
281,0.839751,,154.429,,66.2
282,0.842779,,154.571,,66.4
283,0.845806,,154.714,,66.6
284,0.848833,,154.857,,66.8
285,0.85186,,155,,67
286,0.854513,,155,,67.2667
287,0.857167,,155,,67.5333
288,0.85982,,155,,67.8
289,0.86218,,155.25,,67.9
290,0.86454,,155.5,,68
291,0.8669,,155.75,,68.1
292,0.86926,,156,,68.2
293,0.871938,,156.125,,68.125
294,0.874615,,156.25,,68.05
295,0.877293,,156.375,,67.975
296,0.87997,,156.5,,67.9
