secs,km,power,hr,cad,alt
0,0,,74,,326
1,0.00021,,74,,326
2,0.001415,,74.125,,326
3,0.00262,,74.25,,326
4,0.003825,,74.375,,326
5,0.00503,,74.5,,326
6,0.006235,,74.625,,326
7,0.00744,,74.75,,326
8,0.008645,,74.875,,326
9,0.00985,,75,,326
10,0.01196,,80,,326
11,0.01439,,80,,326
12,0.01744,,81.3333,,326
13,0.02049,,82.6667,,326
14,0.02354,,84,,326
15,0.0262775,,84.25,,326
16,0.029015,,84.5,,326
17,0.0317525,,84.75,,326
18,0.03449,,85,,326
19,0.038426,,85.6,,326
20,0.042362,,86.2,,326
21,0.046298,,86.8,,326
22,0.050234,,87.4,,326
23,0.05417,,88,,326
24,0.0575533,,89.3333,,326.067
25,0.0609367,,90.6667,,326.133
26,0.06432,,92,,326.2
27,0.06824,,95,,326.3
28,0.07216,,98,,326.4
29,0.07629,,103,,326.6
30,0.08025,,103,,326.8
31,0.08517,,106,,327
32,0.08987,,107.5,,327
33,0.09457,,109,,327
34,0.09898,,113,,327
35,0.1029,,113,,327
36,0.10653,,118,,327
37,0.110037,,119.667,,327
38,0.113543,,121.333,,327
39,0.11705,,123,,327
40,0.12099,,129,,327
41,0.12482,,132,,327
42,0.12876,,135,,327
43,0.13248,,135,,327
44,0.136443,,136,,327.15
45,0.140405,,137,,327.3
46,0.144367,,138,,327.45
47,0.14833,,139,,327.6
48,0.152022,,138.25,,327.7
49,0.155715,,137.5,,327.8
50,0.159408,,136.75,,327.9
51,0.1631,,136,,328
52,0.166655,,136.333,,328
53,0.17021,,136.667,,328
54,0.173765,,137,,328
55,0.17732,,137.333,,328
56,0.180875,,137.667,,328
57,0.18443,,138,,328
58,0.188322,,137.833,,328.033
59,0.192213,,137.667,,328.067
60,0.196105,,137.5,,328.1
61,0.199997,,137.333,,328.133
62,0.203888,,137.167,,328.167
63,0.20778,,137,,328.2
64,0.211572,,136.833,,328.3
65,0.215363,,136.667,,328.4
66,0.219155,,136.5,,328.5
67,0.222947,,136.333,,328.6
68,0.226738,,136.167,,328.7
69,0.23053,,136,,328.8
