secs,km,power,hr,cad,alt
0,0,,72,,63
1,0.00295,,73,,63
2,0.00628,,75,,63.2
3,0.00956,,78,,63.4
4,0.01301,,80,,63.4
5,0.01672,,83,,63.4
6,0.02028,,86,,63.6
7,0.02361,,89,,63.8
8,0.02708,,90,,63.8
9,0.0308,,90,,63.6
10,0.03489,,94,,63.6
11,0.03888,,95,,63.4
12,0.04266,,98,,63.6
13,0.04645,,99,,63.6
14,0.04998,,102,,63.6
15,0.05335,,102,,63.4
16,0.05689,,104,,63.4
17,0.0607,,105,,63.2
18,0.06472,,106,,63.6
19,0.06874,,107,,63.6
20,0.07228,,109,,63.4
21,0.07602,,110,,63.2
22,0.07969,,110,,63.2
23,0.08343,,111,,63.2
24,0.08699,,111,,63.2
25,0.09088,,112,,63
26,0.095,,112,,63
27,0.09859,,113,,63
28,0.10191,,113,,63
29,0.105,,114,,62.8
30,0.10848,,114,,62.8
31,0.1121,,115,,62.6
32,0.11549,,115,,62.6
33,0.11905,,116,,62.6
34,0.12276,,116,,62.6
35,0.12645,,117,,62.4
36,0.12975,,117,,62.2
37,0.13269,,118,,62
38,0.13622,,118,,61.8
39,0.14004,,118,,61.8
40,0.14383,,119,,61.8
41,0.14745,,119,,61.6
42,0.15105,,119,,61.4
43,0.15448,,119,,61.4
44,0.15791,,119,,61.2
45,0.16116,,119,,61.2
46,0.16444,,119,,61.2
47,0.16814,,119,,61
48,0.17244,,119,,60.6
49,0.17678,,119,,60.4
50,0.18104,,119,,60.2
51,0.18505,,119,,60.2
52,0.18891,,119,,60
53,0.19278,,120,,59.8
54,0.19662,,119,,59.6
55,0.20066,,120,,59.4
56,0.20473,,120,,59.4
57,0.20861,,120,,59.4
58,0.21238,,120,,59
59,0.21611,,121,,58.8
60,0.22039,,121,,58.6
61,0.22465,,121,,58.6
62,0.2291,,121,,58.2
63,0.23333,,121,,58.2
64,0.23742,,122,,58
65,0.24182,,122,,57.8
66,0.24599,,122,,58
67,0.25017,,123,,57.8
68,0.25409,,123,,57.6
69,0.25828,,123,,57.4
70,0.26271,,124,,57.2
71,0.26694,,124,,57.2
72,0.27136,,124,,57
73,0.2755,,124,,57
74,0.27966,,124,,56.6
75,0.28415,,125,,56.2
76,0.28841,,125,,56
77,0.29251,,125,,55.8
78,0.29667,,125,,55.8
79,0.30089,,125,,55.2
80,0.30508,,125,,55
81,0.30926,,125,,54.8
82,0.31341,,125,,54.4
83,0.31741,,126,,54.2
84,0.32149,,125,,54
85,0.32543,,125,,53.6
86,0.32951,,125,,53.8
87,0.33366,,126,,53.4
88,0.33766,,125,,53
89,0.34201,,125,,52.6
90,0.34611,,125,,52.2
91,0.35034,,125,,52
92,0.35425,,125,,52.2
93,0.35786,,126,,52
94,0.36152,,125,,52
95,0.36496,,126,,51.6
96,0.36864,,125,,51.4
97,0.37201,,126,,51.6
98,0.37533,,125,,51.4
99,0.37855,,125,,51.2
100,0.38182,,126,,51
101,0.38538,,126,,50.8
102,0.38896,,126,,50.4
103,0.39234,,126,,50.2
104,0.39602,,126,,50.2
105,0.39935,,126,,49.8
106,0.4026,,126,,49.8
107,0.40558,,127,,49.6
108,0.40894,,127,,49.4
