secs,km,power,hr,cad,alt
0,0,,91,,210.2
1,0.0016,,91,,209.8
2,0.0037,,92.5,,210
3,0.0058,,94,,210.2
4,0.00834,,94.6,,210.16
5,0.01088,,95.2,,210.12
6,0.01342,,95.8,,210.08
7,0.01596,,96.4,,210.04
8,0.0185,,97,,210
9,0.021,,97.6,,210.04
10,0.0235,,98.2,,210.08
11,0.026,,98.8,,210.12
12,0.0285,,99.4,,210.16
13,0.031,,100,,210.2
14,0.03225,,100.25,,210.15
15,0.0335,,100.5,,210.1
16,0.03475,,100.75,,210.05
17,0.036,,101,,210
18,0.0362,,100.667,,209.867
19,0.0364,,100.333,,209.733
20,0.0366,,100,,209.6
21,0.03685,,100,,209.6
22,0.0371,,100,,209.6
23,0.0371,,99.7857,,209.6
24,0.0371,,99.5714,,209.6
25,0.0371,,99.3571,,209.6
26,0.0371,,99.1429,,209.6
27,0.0371,,98.9286,,209.6
28,0.0371,,98.7143,,209.6
29,0.0371,,98.5,,209.6
30,0.0371,,98.2857,,209.6
31,0.0371,,98.0714,,209.6
32,0.0371,,97.8571,,209.6
33,0.0371,,97.6429,,209.6
34,0.0371,,97.4286,,209.6
35,0.0371,,97.2143,,209.6
36,0.0371,,97,,209.6
37,0.0398,,97.5714,,209.6
38,0.0425,,98.1429,,209.6
39,0.0452,,98.7143,,209.6
40,0.0479,,99.2857,,209.6
41,0.0506,,99.8571,,209.6
42,0.0533,,100.429,,209.6
43,0.056,,101,,209.6
44,0.0585714,,101,,209.543
45,0.0611429,,101,,209.486
46,0.0637143,,101,,209.429
47,0.0662857,,101,,209.371
48,0.0688571,,101,,209.314
49,0.0714286,,101,,209.257
50,0.074,,101,,209.2
51,0.0764,,101.5,,209.1
52,0.0788,,102,,209
53,0.0812,,102.5,,208.9
54,0.0836,,103,,208.8
55,0.086625,,104,,208.7
56,0.08965,,105,,208.6
57,0.092675,,106,,208.5
58,0.0957,,107,,208.4
59,0.0984,,107.25,,208.4
60,0.1011,,107.5,,208.4
61,0.1038,,107.75,,208.4
62,0.1065,,108,,208.4
63,0.1092,,108.25,,208.4
64,0.1119,,108.5,,208.4
65,0.1146,,108.75,,208.4
