secs,km,power,hr,cad,alt
0,0,,95,50,495.2
1,0,,95,51,495.2
2,0.00041,,96,50,495
3,0.00213,,96,70,495.2
4,0.004215,,98,74,495.1
5,0.0063,,100,78,495
6,0.009075,,102,78.5,495
7,0.01185,,104,79,495
8,0.0146767,,105.333,79,495.133
9,0.0175033,,106.667,79,495.267
10,0.02033,,108,79,495.4
11,0.0229367,,109,79,495.467
12,0.0255433,,110,79,495.533
13,0.02815,,111,79,495.6
14,0.03087,,112.333,79,495.6
15,0.03359,,113.667,79,495.6
16,0.03631,,115,79,495.6
17,0.03866,,116.333,79,495.467
18,0.04101,,117.667,79,495.333
19,0.04336,,119,79,495.2
20,0.0458675,,119.75,78.75,495.15
21,0.048375,,120.5,78.5,495.1
22,0.0508825,,121.25,78.25,495.05
23,0.05339,,122,78,495
24,0.056432,,122.6,78,495
25,0.059474,,123.2,78,495
26,0.062516,,123.8,78,495
27,0.065558,,124.4,78,495
28,0.0686,,125,78,495
29,0.071738,,125.6,78,495.04
30,0.074876,,126.2,78,495.08
31,0.078014,,126.8,78,495.12
32,0.081152,,127.4,78,495.16
33,0.08429,,128,78,495.2
34,0.087304,,128.6,78,495.16
35,0.090318,,129.2,78,495.12
36,0.093332,,129.8,78,495.08
37,0.096346,,130.4,78,495.04
38,0.09936,,131,78,495
39,0.10234,,131.75,78,495
40,0.10532,,132.5,78,495
41,0.1083,,133.25,78,495
42,0.11128,,134,78,495
43,0.114157,,134.143,77.8571,494.971
44,0.117034,,134.286,77.7143,494.943
45,0.119911,,134.429,77.5714,494.914
46,0.122789,,134.571,77.4286,494.886
47,0.125666,,134.714,77.2857,494.857
48,0.128543,,134.857,77.1429,494.829
49,0.13142,,135,77,494.8
50,0.1342,,135.6,77.2,494.84
51,0.13698,,136.2,77.4,494.88
52,0.13976,,136.8,77.6,494.92
53,0.14254,,137.4,77.8,494.96
54,0.14532,,138,78,495
55,0.148156,,138.375,78,494.975
56,0.150993,,138.75,78,494.95
57,0.153829,,139.125,78,494.925
58,0.156665,,139.5,78,494.9
59,0.159501,,139.875,78,494.875
60,0.162337,,140.25,78,494.85
61,0.165174,,140.625,78,494.825
62,0.16801,,141,78,494.8
63,0.1707,,141,77.6667,494.667
64,0.17339,,141,77.3333,494.533
65,0.17608,,141,77,494.4
66,0.178876,,140.875,77,494.325
67,0.181672,,140.75,77,494.25
68,0.184469,,140.625,77,494.175
69,0.187265,,140.5,77,494.1
70,0.190061,,140.375,77,494.025
71,0.192857,,140.25,77,493.95
72,0.195654,,140.125,77,493.875
73,0.19845,,140,77,493.8
74,0.201337,,140.429,77,493.771
75,0.204224,,140.857,77,493.743
76,0.207111,,141.286,77,493.714
77,0.209999,,141.714,77,493.686
78,0.212886,,142.143,77,493.657
79,0.215773,,142.571,77,493.629
80,0.21866,,143,77,493.6
81,0.22152,,143,77,493.533
82,0.22438,,143,77,493.467
83,0.22724,,143,77,493.4
84,0.2301,,143,77,493.333
85,0.23296,,143,77,493.267
86,0.23582,,143,77,493.2
87,0.2387,,143.286,77,493.143
88,0.24158,,143.571,77,493.086
89,0.24446,,143.857,77,493.029
90,0.24734,,144.143,77,492.971
91,0.25022,,144.429,77,492.914
92,0.2531,,144.714,77,492.857
93,0.25598,,145,77,492.8
94,0.25872,,146,77,492.8
95,0.26146,,147,77,492.8
96,0.2642,,148,77,492.8
97,0.266714,,148,77,492.714
98,0.269229,,148,77,492.629
99,0.271743,,148,77,492.543
100,0.274257,,148,77,492.457
101,0.276771,,148,77,492.371
102,0.279286,,148,77,492.286
103,0.2818,,148,77,492.2
104,0.28411,,148,77,492.2
105,0.28696,,148.5,77,492.133
106,0.28981,,149,77,492.067
107,0.29266,,149.5,77,492
108,0.29551,,150,77,491.933
109,0.29836,,150.5,77,491.867
110,0.30121,,151,77,491.8
111,0.303889,,151.25,77,491.75
112,0.306567,,151.5,77,491.7
113,0.309246,,151.75,77,491.65
114,0.311925,,152,77,491.6
115,0.314604,,152.25,77,491.55
116,0.317282,,152.5,77,491.5
117,0.319961,,152.75,77,491.45
118,0.32264,,153,77,491.4
119,0.325294,,153.143,76.8571,491.343
120,0.327949,,153.286,76.7143,491.286
121,0.330603,,153.429,76.5714,491.229
122,0.333257,,153.571,76.4286,491.171
123,0.335911,,153.714,76.2857,491.114
124,0.338566,,153.857,76.1429,491.057
125,0.34122,,154,76,491
126,0.344019,,154,76,490.95
127,0.346818,,154,76,490.9
128,0.349616,,154,76,490.85
129,0.352415,,154,76,490.8
130,0.355214,,154,76,490.75
131,0.358013,,154,76,490.7
132,0.360811,,154,76,490.65
133,0.36361,,154,76,490.6
134,0.366436,,154.125,76,490.6
135,0.369262,,154.25,76,490.6
136,0.372089,,154.375,76,490.6
137,0.374915,,154.5,76,490.6
138,0.377741,,154.625,76,490.6
139,0.380568,,154.75,76,490.6
140,0.383394,,154.875,76,490.6
141,0.38622,,155,76,490.6
142,0.388833,,154.75,76,490.6
143,0.391445,,154.5,76,490.6
144,0.394058,,154.25,76,490.6
145,0.39667,,154,76,490.6
146,0.399282,,153.75,76,490.6
147,0.401895,,153.5,76,490.6
148,0.404507,,153.25,76,490.6
149,0.40712,,153,76,490.6
150,0.409391,,153,76,490.622
151,0.411662,,153,76,490.644
152,0.413933,,153,76,490.667
153,0.416204,,153,76,490.689
154,0.418476,,153,76,490.711
155,0.420747,,153,76,490.733
156,0.423018,,153,76,490.756
157,0.425289,,153,76,490.778
158,0.42756,,153,76,490.8
159,0.430211,,153.125,76.125,490.85
160,0.432862,,153.25,76.25,490.9
161,0.435514,,153.375,76.375,490.95
162,0.438165,,153.5,76.5,491
163,0.440816,,153.625,76.625,491.05
164,0.443468,,153.75,76.75,491.1
165,0.446119,,153.875,76.875,491.15
166,0.44877,,154,77,491.2
167,0.451682,,154.6,76.8,491.16
168,0.454594,,155.2,76.6,491.12
169,0.457506,,155.8,76.4,491.08
170,0.460418,,156.4,76.2,491.04
171,0.46333,,157,76,491
172,0.466139,,156.625,76,490.975
173,0.468948,,156.25,76,490.95
174,0.471756,,155.875,76,490.925
175,0.474565,,155.5,76,490.9
176,0.477374,,155.125,76,490.875
177,0.480183,,154.75,76,490.85
178,0.482991,,154.375,76,490.825
179,0.4858,,154,76,490.8
180,0.48852,,154.375,76.125,490.825
181,0.49124,,154.75,76.25,490.85
182,0.49396,,155.125,76.375,490.875
183,0.49668,,155.5,76.5,490.9
184,0.4994,,155.875,76.625,490.925
185,0.50212,,156.25,76.75,490.95
186,0.50484,,156.625,76.875,490.975
187,0.50756,,157,77,491
188,0.510328,,157.75,77,490.9
189,0.513095,,158.5,77,490.8
190,0.515863,,159.25,77,490.7
191,0.51863,,160,77,490.6
192,0.521341,,160,76.875,490.6
193,0.524053,,160,76.75,490.6
194,0.526764,,160,76.625,490.6
195,0.529475,,160,76.5,490.6
196,0.532186,,160,76.375,490.6
197,0.534898,,160,76.25,490.6
198,0.537609,,160,76.125,490.6
199,0.54032,,160,76,490.6
200,0.543103,,159.571,76,490.6
201,0.545886,,159.143,76,490.6
202,0.548669,,158.714,76,490.6
203,0.551451,,158.286,76,490.6
204,0.554234,,157.857,76,490.6
205,0.557017,,157.429,76,490.6
206,0.5598,,157,76,490.6
207,0.562252,,157,76,490.622
208,0.564704,,157,76,490.644
209,0.567157,,157,76,490.667
210,0.569609,,157,76,490.689
211,0.572061,,157,76,490.711
212,0.574513,,157,76,490.733
213,0.576966,,157,76,490.756
214,0.579418,,157,76,490.778
215,0.58187,,157,76,490.8
216,0.584379,,157,76.125,490.75
217,0.586888,,157,76.25,490.7
218,0.589396,,157,76.375,490.65
219,0.591905,,157,76.5,490.6
220,0.594414,,157,76.625,490.55
221,0.596923,,157,76.75,490.5
222,0.599431,,157,76.875,490.45
223,0.60194,,157,77,490.4
224,0.60473,,157.75,77.25,490.35
225,0.60752,,158.5,77.5,490.3
226,0.61031,,159.25,77.75,490.25
227,0.6131,,160,78,490.2
228,0.615972,,159.8,77.8,490.16
229,0.618844,,159.6,77.6,490.12
230,0.621716,,159.4,77.4,490.08
231,0.624588,,159.2,77.2,490.04
232,0.62746,,159,77,490
233,0.630184,,159,77,489.975
234,0.632907,,159,77,489.95
235,0.635631,,159,77,489.925
236,0.638355,,159,77,489.9
237,0.641079,,159,77,489.875
238,0.643803,,159,77,489.85
239,0.646526,,159,77,489.825
240,0.64925,,159,77,489.8
241,0.65215,,158.5,77,489.8
242,0.65505,,158,77,489.8
243,0.65795,,157.5,77,489.8
244,0.66085,,157,77,489.8
245,0.66375,,156.5,77,489.8
246,0.66665,,156,77,489.8
247,0.669506,,156.25,77.125,489.775
248,0.672362,,156.5,77.25,489.75
249,0.675219,,156.75,77.375,489.725
250,0.678075,,157,77.5,489.7
251,0.680931,,157.25,77.625,489.675
252,0.683787,,157.5,77.75,489.65
253,0.686644,,157.75,77.875,489.625
254,0.6895,,158,78,489.6
255,0.692265,,158,77.875,489.6
256,0.69503,,158,77.75,489.6
257,0.697795,,158,77.625,489.6
258,0.70056,,158,77.5,489.6
259,0.703325,,158,77.375,489.6
260,0.70609,,158,77.25,489.6
261,0.708855,,158,77.125,489.6
262,0.71162,,158,77,489.6
263,0.71389,,158,78,489.6
264,0.716596,,158,78,489.514
265,0.719301,,158,78,489.429
266,0.722007,,158,78,489.343
267,0.724713,,158,78,489.257
268,0.727419,,158,78,489.171
269,0.730124,,158,78,489.086
270,0.73283,,158,78,489
271,0.735903,,158.75,78,489
272,0.738975,,159.5,78,489
273,0.742047,,160.25,78,489
274,0.74512,,161,78,489
275,0.748069,,160.571,78,488.943
276,0.751017,,160.143,78,488.886
277,0.753966,,159.714,78,488.829
278,0.756914,,159.286,78,488.771
279,0.759863,,158.857,78,488.714
280,0.762811,,158.429,78,488.657
281,0.76576,,158,78,488.6
282,0.7686,,157.875,77.875,488.6
283,0.77144,,157.75,77.75,488.6
284,0.77428,,157.625,77.625,488.6
285,0.77712,,157.5,77.5,488.6
286,0.77996,,157.375,77.375,488.6
287,0.7828,,157.25,77.25,488.6
288,0.78564,,157.125,77.125,488.6
289,0.78848,,157,77,488.6
290,0.791164,,157,77,488.575
291,0.793847,,157,77,488.55
292,0.796531,,157,77,488.525
293,0.799215,,157,77,488.5
294,0.801899,,157,77,488.475
295,0.804582,,157,77,488.45
296,0.807266,,157,77,488.425
297,0.80995,,157,77,488.4
298,0.812757,,157.125,77,488.375
299,0.815565,,157.25,77,488.35
300,0.818372,,157.375,77,488.325
301,0.82118,,157.5,77,488.3
302,0.823987,,157.625,77,488.275
303,0.826795,,157.75,77,488.25
304,0.829603,,157.875,77,488.225
305,0.83241,,158,77,488.2
306,0.835253,,157.5,77,488.2
307,0.838097,,157,77,488.2
308,0.84094,,156.5,77,488.2
309,0.843783,,156,77,488.2
310,0.846627,,155.5,77,488.2
311,0.84947,,155,77,488.2
312,0.852267,,154.25,77,488.2
313,0.855065,,153.5,77,488.2
314,0.857862,,152.75,77,488.2
315,0.86066,,152,77,488.2
316,0.863573,,152.143,77.1429,488.171
317,0.866486,,152.286,77.2857,488.143
318,0.869399,,152.429,77.4286,488.114
319,0.872311,,152.571,77.5714,488.086
320,0.875224,,152.714,77.7143,488.057
321,0.878137,,152.857,77.8571,488.029
322,0.88105,,153,78,488
323,0.88416,,154,78,487.8
324,0.886947,,154.375,78,487.85
325,0.889735,,154.75,78,487.9
326,0.892522,,155.125,78,487.95
327,0.89531,,155.5,78,488
328,0.898097,,155.875,78,488.05
329,0.900885,,156.25,78,488.1
330,0.903672,,156.625,78,488.15
331,0.90646,,157,78,488.2
332,0.909112,,157.125,78,488.25
333,0.911765,,157.25,78,488.3
334,0.914417,,157.375,78,488.35
335,0.91707,,157.5,78,488.4
336,0.919722,,157.625,78,488.45
337,0.922375,,157.75,78,488.5
338,0.925028,,157.875,78,488.55
339,0.92768,,158,78,488.6
340,0.930444,,158.125,78.25,488.525
341,0.933207,,158.25,78.5,488.45
342,0.935971,,158.375,78.75,488.375
343,0.938735,,158.5,79,488.3
344,0.941499,,158.625,79.25,488.225
345,0.944263,,158.75,79.5,488.15
346,0.947026,,158.875,79.75,488.075
347,0.94979,,159,80,488
348,0.952621,,159.125,80,487.95
349,0.955453,,159.25,80,487.9
350,0.958284,,159.375,80,487.85
351,0.961115,,159.5,80,487.8
352,0.963946,,159.625,80,487.75
353,0.966777,,159.75,80,487.7
354,0.969609,,159.875,80,487.65
355,0.97244,,160,80,487.6
356,0.975406,,160,80,487.571
357,0.978371,,160,80,487.543
358,0.981337,,160,80,487.514
359,0.984303,,160,80,487.486
360,0.987269,,160,80,487.457
361,0.990234,,160,80,487.429
362,0.9932,,160,80,487.4
363,0.99618,,160,80,487.267
364,0.99916,,160,80,487.133
365,1.00214,,160,80,487
366,1.00506,,160,80,486.95
367,1.00797,,160,80,486.9
368,1.01089,,160,80,486.85
369,1.0138,,160,80,486.8
370,1.01662,,160,79.875,486.775
371,1.01945,,160,79.75,486.75
372,1.02227,,160,79.625,486.725
373,1.02509,,160,79.5,486.7
374,1.02792,,160,79.375,486.675
375,1.03074,,160,79.25,486.65
376,1.03357,,160,79.125,486.625
377,1.03639,,160,79,486.6
378,1.03925,,159.25,79,486.5
379,1.04211,,158.5,79,486.4
380,1.04497,,157.75,79,486.3
381,1.04783,,157,79,486.2
382,1.0507,,157.429,79.2857,486.171
383,1.05358,,157.857,79.5714,486.143
384,1.05645,,158.286,79.8571,486.114
385,1.05932,,158.714,80.1429,486.086
386,1.06219,,159.143,80.4286,486.057
387,1.06507,,159.571,80.7143,486.029
388,1.06794,,160,81,486
389,1.07075,,160.2,81,485.96
390,1.07356,,160.4,81,485.92
391,1.07637,,160.6,81,485.88
392,1.07918,,160.8,81,485.84
393,1.08199,,161,81,485.8
