secs,km,power,hr,cad,alt
0,0,,101,,2047
1,0.002,,78,,2048
2,0.002,,78,,2048
3,0.005,,75,,2048
4,0.005,,76,,2048
5,0.005,,78,,2049
6,0.008,,80,,2049
7,0.008,,79,,2049
8,0.01,,82,,2050
9,0.01,,83,,2050
10,0.012,,81,,2050
11,0.012,,82,,2050
12,0.012,,85,,2050
13,0.015,,84,,2051
14,0.015,,85,,2051
15,0.015,,86,,2051
16,0.018,,86,,2051
17,0.018,,85,,2051
18,0.02,,85,,2051
19,0.02,,84,,2051
20,0.023,,82,,2051
21,0.023,,83,,2051
22,0.025,,82,,2051
23,0.025,,81,,2051
24,0.027,,81,,2051
25,0.027,,81,,2051
26,0.027,,80,,2051
27,0.03,,80,,2051
28,0.03,,80,,2051
29,0.03,,79,,2051
30,0.03,,79,,2051
31,0.032,,80,,2051
32,0.032,,79,,2051
33,0.032,,78,,2051
34,0.034,,77,,2051
35,0.034,,77,,2051
36,0.034,,76,,2051
37,0.036,,77,,2051
38,0.036,,76,,2051
39,0.036,,76,,2051
40,0.036,,76,,2051
41,0.036,,76,,2051
42,0.038,,77,,2051
43,0.038,,77,,2051
44,0.038,,77,,2051
45,0.041,,79,,2051
46,0.041,,78,,2051
47,0.043,,77,,2051
48,0.043,,80,,2051
49,0.046,,78,,2051
50,0.046,,78,,2051
51,0.048,,78,,2051
52,0.048,,77,,2051
53,0.05,,80,,2051
54,0.05,,80,,2051
55,0.053,,80,,2051
56,0.053,,79,,2051
57,0.056,,80,,2051
58,0.056,,78,,2051
59,0.058,,77,,2051
60,0.058,,78,,2051
61,0.058,,74,,2051
62,0.061,,76,,2051
63,0.061,,74,,2051
64,0.063,,73,,2051
65,0.063,,74,,2051
66,0.065,,74,,2051
67,0.065,,74,,2051
68,0.067,,76,,2051
69,0.067,,75,,2051
70,0.07,,76,,2051
71,0.07,,75,,2051
72,0.072,,75,,2051
73,0.072,,78,,2051
74,0.074,,79,,2051
75,0.074,,79,,2051
76,0.077,,80,,2052
77,0.077,,83,,2052
78,0.079,,81,,2052
79,0.079,,80,,2051
80,0.079,,80,,2051
81,0.081,,78,,2051
82,0.081,,75,,2051
83,0.081,,75,,2051
84,0.081,,75,,2051
85,0.081,,77,,2052
86,0.081,,76,,2052
87,0.081,,79,,2052
88,0.083,,77,,2052
89,0.083,,79,,2052
90,0.083,,79,,2052
91,0.086,,78,,2052
92,0.086,,79,,2052
93,0.088,,77,,2052
94,0.088,,76,,2052
95,0.09,,76,,2052
96,0.09,,75,,2052
97,0.093,,75,,2052
98,0.093,,77,,2052
99,0.095,,77,,2053
100,0.095,,77,,2053
101,0.098,,79,,2053
102,0.098,,77,,2053
103,0.1,,79,,2053
