secs,km,power,hr,cad,alt
0,0,,135,,635.2
1,0.00036,,135,,635.8
2,0.00172,,136.5,,635.6
3,0.00308,,138,,635.4
4,0.00523,,143,,635.4
5,0.00763,,142,,635.2
6,0.010405,,141.5,,635.2
7,0.01318,,141,,635.2
8,0.0157267,,141.333,,635.167
9,0.0182733,,141.667,,635.133
10,0.02082,,142,,635.1
11,0.0233667,,142.333,,635.067
12,0.0259133,,142.667,,635.033
13,0.02846,,143,,635
14,0.0309267,,144,,635
15,0.0333933,,145,,635
16,0.03586,,146,,635
17,0.0382875,,146.5,,634.95
18,0.040715,,147,,634.9
19,0.0431425,,147.5,,634.85
20,0.04557,,148,,634.8
21,0.04798,,149,,634.8
22,0.05039,,150,,634.8
23,0.0528,,151,,634.8
24,0.05547,,151,,634.733
25,0.05814,,151,,634.667
26,0.06081,,151,,634.6
27,0.0634229,,151,,634.629
28,0.0660357,,151,,634.657
29,0.0686486,,151,,634.686
30,0.0712614,,151,,634.714
31,0.0738743,,151,,634.743
32,0.0764871,,151,,634.771
33,0.0791,,151,,634.8
34,0.0819475,,151.125,,634.775
35,0.084795,,151.25,,634.75
36,0.0876425,,151.375,,634.725
37,0.09049,,151.5,,634.7
38,0.0933375,,151.625,,634.675
39,0.096185,,151.75,,634.65
40,0.0990325,,151.875,,634.625
41,0.10188,,152,,634.6
42,0.104913,,152,,634.571
43,0.107946,,152,,634.543
44,0.110979,,152,,634.514
45,0.114011,,152,,634.486
46,0.117044,,152,,634.457
47,0.120077,,152,,634.429
48,0.12311,,152,,634.4
49,0.126085,,152.5,,634.3
50,0.12906,,153,,634.2
51,0.132044,,152.857,,634.171
52,0.135029,,152.714,,634.143
53,0.138013,,152.571,,634.114
54,0.140997,,152.429,,634.086
55,0.143981,,152.286,,634.057
56,0.146966,,152.143,,634.029
57,0.14995,,152,,634
58,0.15281,,152,,633.9
59,0.15567,,152,,633.8
60,0.15853,,152,,633.7
61,0.16139,,152,,633.6
62,0.164242,,152,,633.5
63,0.167093,,152,,633.4
64,0.169945,,152,,633.3
65,0.172797,,152,,633.2
66,0.175648,,152,,633.1
67,0.1785,,152,,633
68,0.18122,,152,,633
69,0.184118,,151,,632.95
70,0.187015,,150,,632.9
71,0.189912,,149,,632.85
72,0.19281,,148,,632.8
73,0.195778,,148,,632.8
74,0.198747,,148,,632.8
75,0.201715,,148,,632.8
76,0.204683,,148,,632.8
77,0.207652,,148,,632.8
78,0.21062,,148,,632.8
79,0.213654,,148.6,,632.76
80,0.216688,,149.2,,632.72
81,0.219722,,149.8,,632.68
82,0.222756,,150.4,,632.64
83,0.22579,,151,,632.6
84,0.22884,,151,,632.4
85,0.23187,,151,,632.4
86,0.235,,150.5,,632.3
87,0.23813,,150,,632.2
88,0.24126,,149.5,,632.1
89,0.24439,,149,,632
90,0.24746,,152,,631.8
91,0.25056,,150,,631.8
92,0.253526,,150,,631.771
93,0.256491,,150,,631.743
94,0.259457,,150,,631.714
95,0.262423,,150,,631.686
96,0.265389,,150,,631.657
97,0.268354,,150,,631.629
98,0.27132,,150,,631.6
