secs,km,power,hr,cad,alt
0,0,,90,,263.8
1,0.00119,,88.5,,263.8
2,0.00238,,87,,263.8
3,0.0047075,,88.25,,263.75
4,0.007035,,89.5,,263.7
5,0.0093625,,90.75,,263.65
6,0.01169,,92,,263.6
7,0.01428,,92.6,,263.56
8,0.01687,,93.2,,263.52
9,0.01946,,93.8,,263.48
10,0.02205,,94.4,,263.44
11,0.02464,,95,,263.4
12,0.027812,,95.6,,263.4
13,0.030984,,96.2,,263.4
14,0.034156,,96.8,,263.4
15,0.037328,,97.4,,263.4
16,0.0405,,98,,263.4
17,0.04385,,100.5,,263.5
18,0.0472,,103,,263.6
19,0.05063,,104.5,,263.6
20,0.05406,,106,,263.6
21,0.05749,,107.5,,263.6
22,0.06092,,109,,263.6
23,0.06414,,111.5,,263.6
24,0.06736,,114,,263.6
25,0.07061,,120,,263.8
26,0.073555,,122,,263.9
27,0.0765,,124,,264
28,0.0796225,,123.25,,264
29,0.082745,,122.5,,264
30,0.0858675,,121.75,,264
31,0.08899,,121,,264
32,0.09242,,122,,264.067
33,0.09585,,123,,264.133
34,0.09928,,124,,264.2
35,0.10284,,129,,264
36,0.106065,,129.75,,263.9
37,0.10929,,130.5,,263.8
38,0.112515,,131.25,,263.7
39,0.11574,,132,,263.6
40,0.118923,,132.333,,263.6
41,0.122107,,132.667,,263.6
42,0.12529,,133,,263.6
43,0.128473,,133.333,,263.6
44,0.131657,,133.667,,263.6
45,0.13484,,134,,263.6
46,0.137938,,134.6,,263.68
47,0.141036,,135.2,,263.76
48,0.144134,,135.8,,263.84
49,0.147232,,136.4,,263.92
50,0.15033,,137,,264
51,0.153468,,137.167,,264.1
52,0.156607,,137.333,,264.2
53,0.159745,,137.5,,264.3
54,0.162883,,137.667,,264.4
55,0.166022,,137.833,,264.5
56,0.16916,,138,,264.6
57,0.172235,,138.333,,264.667
58,0.17531,,138.667,,264.733
59,0.178385,,139,,264.8
60,0.18146,,139.333,,264.867
61,0.184535,,139.667,,264.933
62,0.18761,,140,,265
63,0.190907,,140.167,,265.033
64,0.194203,,140.333,,265.067
65,0.1975,,140.5,,265.1
66,0.200797,,140.667,,265.133
67,0.204093,,140.833,,265.167
68,0.20739,,141,,265.2
69,0.210708,,141.167,,265.167
70,0.214027,,141.333,,265.133
71,0.217345,,141.5,,265.1
72,0.220663,,141.667,,265.067
73,0.223982,,141.833,,265.033
74,0.2273,,142,,265
75,0.23053,,142.167,,265.033
76,0.23376,,142.333,,265.067
77,0.23699,,142.5,,265.1
78,0.24022,,142.667,,265.133
79,0.24345,,142.833,,265.167
80,0.24668,,143,,265.2
81,0.24965,,142.833,,265.167
82,0.25262,,142.667,,265.133
83,0.25559,,142.5,,265.1
84,0.25856,,142.333,,265.067
85,0.26153,,142.167,,265.033
86,0.2645,,142,,265
87,0.267733,,141.833,,265.033
88,0.270967,,141.667,,265.067
89,0.2742,,141.5,,265.1
90,0.277433,,141.333,,265.133
91,0.280667,,141.167,,265.167
92,0.2839,,141,,265.2
93,0.287145,,140.833,,265.267
94,0.29039,,140.667,,265.333
