secs,km,power,hr,cad,alt
0,0,,91,,12.4
1,0.0013,,94,,12.4
2,0.00258,,95,,12.4
3,0.00383,,95,,12.4
4,0.00495,,94,,12.4
5,0.00614,,95,,12.4
6,0.00727,,95,,12.4
7,0.00855,,96,,12.2
8,0.00998,,97,,12.2
9,0.01197,,99,,12.4
10,0.01391,,97,,12.4
11,0.01574,,98,,12.4
12,0.01748,,101,,12.2
13,0.01928,,104,,12.2
14,0.02114,,104,,12.2
15,0.02291,,106,,12.4
16,0.02448,,108,,12.4
17,0.02626,,108,,12.4
18,0.02794,,108,,12.4
19,0.02957,,107,,12.4
20,0.03111,,108,,12.6
21,0.03283,,108,,12.6
22,0.03465,,107,,12.6
23,0.03628,,107,,12.6
24,0.03791,,107,,12.4
25,0.03978,,110,,12.4
26,0.0418,,110,,12.4
27,0.04344,,111,,12.4
28,0.0452,,111,,12.4
29,0.04717,,111,,12.4
30,0.04911,,111,,12.4
31,0.05086,,110,,12.4
32,0.05278,,108,,12.4
33,0.05479,,108,,12.4
34,0.05671,,110,,12.4
35,0.0585,,110,,12.4
36,0.06059,,110,,12.6
37,0.06255,,113,,12.6
38,0.06415,,114,,12.6
39,0.06587,,115,,12.6
40,0.06789,,115,,12.8
41,0.06989,,116,,12.8
42,0.07167,,116,,12.8
43,0.07355,,117,,12.6
44,0.07594,,117,,12.6
45,0.07804,,119,,12.4
46,0.07969,,119,,12.4
47,0.08167,,119,,12.4
48,0.08393,,119,,12.4
49,0.08585,,119,,12.2
50,0.08746,,119,,12.2
51,0.08919,,119,,12.2
52,0.09119,,119,,12.2
53,0.09317,,119,,12.2
54,0.09521,,119,,12.2
55,0.09731,,119,,12.2
56,0.09977,,119,,12.2
57,0.10222,,119,,12.2
58,0.10433,,120,,12.2
59,0.10649,,120,,12.4
60,0.109,,119,,12.4
61,0.11147,,120,,12.4
62,0.11367,,121,,12.4
63,0.11561,,120,,12.4
64,0.11748,,125,,12.4
65,0.11985,,125,,12.4
66,0.12169,,126,,12.4
67,0.12348,,127,,12.6
68,0.12529,,127,,12.6
69,0.12721,,127,,12.6
70,0.12923,,128,,12.8
71,0.131,,126,,12.8
72,0.13241,,126,,12.8
73,0.13414,,127,,13
74,0.1365,,127,,13
75,0.13834,,127,,13
76,0.13976,,129,,13
77,0.14163,,130,,13.2
78,0.14378,,130,,13.2
79,0.14577,,129,,13.2
80,0.14761,,130,,13.2
81,0.14903,,130,,13.2
82,0.15058,,130,,13.2
83,0.1526,,130,,13.2
84,0.15447,,130,,13.2
85,0.1555,,129,,13
86,0.15687,,131,,13
87,0.15821,,131,,13
88,0.15929,,132,,12.8
89,0.16058,,131,,12.8
90,0.16176,,130,,12.8
91,0.16306,,130,,12.8
92,0.1648,,130,,12.6
93,0.16642,,131,,12.6
94,0.16817,,131,,12.4
95,0.16978,,131,,12.4
96,0.17143,,133,,12.4
97,0.17316,,133,,12.4
98,0.17463,,133,,12.2
99,0.1763,,133,,12.2
100,0.17778,,133,,12.2
101,0.17925,,133,,12.2
102,0.18114,,133,,12.2
103,0.18273,,133,,12
104,0.18427,,133,,12
105,0.18594,,133,,12
106,0.18777,,133,,12
107,0.18944,,133,,12
108,0.19167,,133,,11.8
109,0.19358,,133,,11.8
110,0.19569,,134,,11.8
111,0.19807,,134,,11.8
112,0.19974,,134,,11.6
113,0.20167,,134,,11.6
114,0.20336,,134,,11.4
115,0.20518,,134,,11.2
116,0.20722,,134,,11
117,0.20884,,135,,11
118,0.21044,,135,,10.8
119,0.21162,,135,,10.4
120,0.21292,,135,,10.2
121,0.2147,,136,,10
122,0.21643,,136,,10
123,0.21838,,136,,10
124,0.22048,,136,,9.8
125,0.22257,,136,,9.8
126,0.22478,,136,,9.6
127,0.22688,,136,,9.6
128,0.22915,,136,,9.6
129,0.23162,,136,,9.8
130,0.23383,,136,,10
131,0.23585,,136,,10
132,0.23776,,135,,10
133,0.23953,,135,,10
134,0.24086,,135,,10
135,0.24211,,135,,10
136,0.24373,,134,,10
137,0.24531,,134,,10.2
138,0.24684,,135,,10.2
139,0.24843,,135,,10.2
140,0.24953,,134,,10.4
141,0.25099,,134,,10.4
142,0.25236,,134,,10.6
143,0.25359,,134,,10.6
144,0.25507,,134,,10.6
145,0.25641,,134,,10.8
146,0.25795,,134,,10.8
147,0.25943,,134,,11
148,0.26092,,134,,11
149,0.26264,,134,,11
150,0.2645,,134,,11
151,0.26638,,134,,11.2
152,0.26799,,133,,11.4
153,0.2698,,133,,11.6
154,0.27172,,133,,11.8
155,0.27369,,133,,11.8
156,0.27585,,133,,12
157,0.27818,,133,,12.2
158,0.2804,,133,,12.4
159,0.28218,,133,,12.6
160,0.28411,,133,,12.6
161,0.28601,,133,,12.6
162,0.28816,,133,,12.8
163,0.29036,,133,,13
164,0.29281,,132,,13
165,0.29522,,132,,13.2
166,0.29738,,132,,13.4
167,0.29938,,131,,13.4
168,0.30127,,131,,13.4
169,0.30322,,131,,13.4
170,0.30509,,130,,13.4
171,0.30691,,130,,13.4
172,0.30857,,129,,13.4
173,0.31014,,129,,13.4
174,0.31164,,129,,13.4
175,0.31312,,129,,13.6
176,0.31451,,129,,13.6
177,0.31604,,129,,13.8
178,0.31758,,130,,14
179,0.319,,130,,14.2
180,0.32038,,130,,14.2
181,0.32196,,130,,14.4
182,0.32346,,130,,14.4
183,0.32503,,130,,14.6
184,0.32642,,130,,14.6
185,0.32784,,130,,14.6
186,0.3295,,130,,14.6
187,0.3312,,130,,14.6
188,0.33302,,130,,14.8
189,0.33477,,130,,14.8
190,0.33639,,130,,14.8
191,0.33801,,130,,14.8
192,0.33986,,130,,14.8
193,0.34191,,130,,15
194,0.34392,,131,,15
195,0.34598,,131,,15.2
196,0.34783,,131,,15.2
197,0.34978,,132,,15.4
198,0.35164,,132,,15.6
199,0.35318,,131,,15.6
200,0.35506,,130,,15.8
201,0.35709,,129,,15.8
202,0.35914,,129,,15.8
203,0.36133,,130,,16
204,0.36337,,130,,16
205,0.36537,,131,,16
206,0.36747,,131,,16
207,0.36939,,131,,15.8
208,0.37121,,131,,15.8
209,0.37303,,131,,15.6
210,0.37479,,131,,15.6
211,0.37635,,130,,15.6
212,0.37791,,128,,15.6
213,0.37935,,129,,15.4
214,0.38073,,129,,15.4
215,0.38227,,129,,15.2
216,0.38394,,129,,15.2
217,0.38557,,127,,15.2
218,0.38712,,128,,15.2
219,0.38845,,129,,15.2
220,0.38994,,130,,15.2
221,0.39177,,130,,15
222,0.39328,,128,,15.2
223,0.39478,,128,,15.2
224,0.39626,,128,,15.2
225,0.39795,,128,,15.4
226,0.39934,,128,,15.4
227,0.40084,,128,,15.4
228,0.40257,,128,,15.4
229,0.40437,,128,,15.4
230,0.406,,128,,15.4
231,0.40774,,128,,15.4
232,0.4095,,128,,15.4
233,0.41128,,128,,15.6
234,0.41128,,128,,15.6
235,0.41462,,127,,15.8
236,0.41599,,127,,15.8
237,0.41599,,127,,15.8
238,0.4188,,124,,16
239,0.42023,,126,,15.6
240,0.42143,,126,,15.4
241,0.42287,,125,,15.4
242,0.42447,,125,,15.6
243,0.426,,125,,15.4
244,0.426,,125,,15.4
245,0.42902,,125,,14.8
246,0.43061,,126,,14.6
247,0.4323,,126,,14.4
248,0.4323,,126,,14.4
249,0.43398,,126,,14.6
250,0.43715,,126,,14.4
251,0.43867,,126,,14.4
252,0.43867,,126,,14.4
253,0.44135,,126,,14.4
254,0.44281,,125,,13.8
255,0.44427,,126,,13.6
256,0.44559,,127,,13.6
257,0.44715,,130,,13.4
258,0.44898,,129,,13.4
259,0.4506,,130,,13.4
260,0.45227,,131,,13
261,0.45227,,131,,13
262,0.45547,,129,,13
263,0.45697,,126,,12.6
264,0.45835,,125,,12.2
265,0.45963,,123,,12.2
266,0.46091,,122,,12
267,0.46194,,123,,11.8
268,0.46316,,122,,11.6
269,0.46452,,122,,11.6
270,0.4659,,123,,11.8
271,0.46717,,123,,12
272,0.46863,,124,,11.8
273,0.46863,,124,,11.8
274,0.47131,,124,,11.6
275,0.47271,,124,,11.6
276,0.47411,,124,,12
277,0.47595,,124,,11.8
278,0.47746,,123,,11.8
279,0.47746,,124,,11.8
280,0.4784,,123,,11.8
281,0.4796,,123,,12
282,0.4808,,123,,12.2
283,0.48222,,122,,12
284,0.48343,,122,,11.6
285,0.4848,,122,,11.6
286,0.4864,,122,,12.4
287,0.48808,,122,,12.6
288,0.48996,,121,,12.8
289,0.49163,,122,,12.6
290,0.49325,,122,,12.6
291,0.49499,,123,,13
292,0.49678,,125,,13.4
293,0.49873,,125,,13.8
294,0.50045,,125,,13.6
295,0.50206,,124,,13.4
296,0.50358,,124,,12.6
297,0.50501,,124,,12.4
298,0.50661,,124,,12.4
299,0.50843,,124,,12.8
300,0.51039,,124,,13.6
301,0.5123,,124,,14
302,0.51401,,124,,13.8
303,0.51562,,124,,13.8
304,0.51737,,124,,14
305,0.5192,,123,,14.2
306,0.52088,,123,,14.6
307,0.52268,,122,,14.8
308,0.52466,,123,,15
309,0.52629,,124,,15.4
310,0.52781,,126,,15.8
311,0.52932,,126,,16.8
312,0.53103,,126,,17.6
313,0.53291,,126,,18.2
314,0.53469,,124,,18.6
315,0.53642,,124,,19
316,0.53804,,122,,19.2
317,0.53974,,122,,19.6
318,0.54139,,124,,19.8
319,0.5432,,122,,20.2
320,0.54516,,122,,20.4
321,0.54697,,122,,19.8
322,0.5487,,122,,19.8
323,0.55039,,122,,20.2
324,0.55213,,122,,20.2
325,0.55391,,122,,20.4
326,0.55572,,122,,20.6
327,0.55749,,122,,20.2
328,0.55913,,122,,20
329,0.56077,,122,,20.4
330,0.56259,,125,,20.6
331,0.56451,,127,,21
332,0.56646,,129,,21.6
333,0.56829,,128,,21.6
334,0.56983,,128,,21.4
335,0.57124,,128,,21.2
336,0.57269,,128,,21.2
337,0.57441,,126,,21.2
338,0.57618,,126,,21.2
339,0.57786,,126,,21.2
340,0.57933,,126,,20.6
341,0.58071,,126,,20.4
342,0.58227,,124,,21
343,0.584,,125,,21.2
344,0.58603,,125,,21.4
345,0.58801,,123,,21.6
346,0.58982,,124,,21.2
347,0.59128,,126,,20.6
348,0.59256,,128,,20.2
349,0.59391,,127,,20
350,0.5955,,125,,19.6
351,0.59753,,124,,19.6
352,0.59982,,125,,19.4
353,0.6021,,123,,19
354,0.60416,,123,,18.6
355,0.60594,,122,,18
356,0.60786,,123,,17.6
357,0.6098,,125,,17.2
358,0.61189,,126,,17
359,0.61374,,126,,16.6
360,0.61585,,126,,16.4
361,0.6176,,127,,15.8
362,0.6193,,128,,15.4
363,0.6212,,127,,15
364,0.62321,,127,,14.6
365,0.62502,,127,,14.2
366,0.62652,,127,,13.6
367,0.62816,,127,,13
368,0.62997,,127,,12.4
369,0.63186,,127,,12
370,0.6337,,128,,11.6
371,0.63543,,128,,11.2
372,0.63687,,128,,10.8
373,0.63848,,128,,10.2
374,0.64045,,127,,10.4
375,0.64221,,128,,10.2
376,0.64376,,128,,9.8
377,0.64521,,128,,9.6
378,0.64649,,128,,9.2
379,0.64812,,128,,9
380,0.64993,,127,,9
381,0.65164,,128,,8.8
382,0.65314,,129,,8.6
383,0.65457,,128,,8.4
384,0.65608,,129,,8
385,0.65813,,129,,8
386,0.66002,,127,,7.8
387,0.66176,,128,,7.6
388,0.66338,,126,,7.2
389,0.66486,,126,,7
390,0.66647,,126,,6.8
391,0.66831,,125,,6.8
392,0.67012,,125,,6.6
393,0.67161,,126,,6.6
394,0.67285,,127,,6.4
395,0.67441,,128,,6.4
396,0.67618,,127,,6.2
397,0.67807,,127,,6
398,0.6797,,127,,5.8
399,0.68102,,127,,5.4
400,0.68249,,126,,5
401,0.68415,,126,,5
402,0.68602,,126,,5
403,0.68771,,126,,5
404,0.6892,,126,,5
405,0.69069,,126,,5
406,0.69219,,126,,5
407,0.69361,,127,,5.2
408,0.6944,,127,,5.4
409,0.69486,,127,,6
410,0.69505,,128,,6.4
411,0.69541,,129,,6.4
412,0.69634,,128,,6.8
413,0.69757,,128,,6.8
414,0.69878,,128,,6.8
415,0.69985,,128,,6.4
416,0.70072,,128,,6.4
417,0.7018,,128,,6.4
418,0.7042,,128,,6.8
419,0.706,,128,,7
420,0.70759,,127,,7.2
421,0.70954,,127,,7.6
422,0.71156,,127,,8.2
423,0.71372,,127,,8.6
424,0.7157,,127,,9
425,0.71768,,126,,9
426,0.71934,,126,,9.2
427,0.72091,,126,,9.2
428,0.72251,,126,,9.4
429,0.72432,,126,,9.8
430,0.72577,,126,,10
431,0.72713,,125,,10.6
432,0.72865,,125,,11
433,0.73028,,125,,11.6
434,0.73224,,125,,12.2
435,0.73404,,125,,12.4
436,0.73563,,125,,12.6
437,0.73664,,125,,12.4
438,0.73799,,125,,12.8
439,0.73952,,125,,12.8
440,0.74093,,126,,12.8
441,0.74222,,126,,13
442,0.74322,,126,,13.2
443,0.74488,,127,,13.6
444,0.74682,,126,,14.4
445,0.7489,,125,,14.6
446,0.75134,,124,,14.6
447,0.7532,,124,,14.4
448,0.75446,,124,,14.6
449,0.75599,,125,,14.6
450,0.7574,,127,,15
451,0.75918,,126,,15
452,0.76122,,127,,14.8
453,0.76325,,127,,14.8
454,0.76499,,127,,14.8
455,0.76663,,126,,15.4
456,0.76837,,126,,15.6
457,0.76982,,126,,16
458,0.7716,,126,,16.2
459,0.77348,,126,,16.4
460,0.77513,,126,,16
461,0.77646,,126,,16
462,0.77773,,126,,16.2
463,0.77918,,126,,16.4
464,0.78054,,126,,16
465,0.78201,,126,,15.8
466,0.7837,,126,,15.8
467,0.78496,,126,,15.8
468,0.78646,,126,,15.8
469,0.78819,,126,,15.8
470,0.78983,,126,,15.6
471,0.79133,,126,,15.2
472,0.79317,,126,,14.8
473,0.79492,,126,,14.6
474,0.79696,,126,,14.4
475,0.79898,,126,,13.8
476,0.80105,,126,,13.6
477,0.80322,,126,,13.2
478,0.80518,,126,,12.8
479,0.80694,,126,,12.6
480,0.80877,,126,,12.2
481,0.81061,,126,,11.8
482,0.81249,,126,,11
