secs,km,power,hr,cad,alt
0,0,,117,,-9.8
1,0.00188,,119,,-10
2,0.00421,,119,,-9.6
3,0.00719,,118,,-9.4
4,0.01057,,118,,-10.2
5,0.01405,,120,,-10.2
6,0.01777,,120,,-10.2
7,0.02171,,121,,-10.2
8,0.02559,,119,,-10.2
9,0.02955,,121,,-10.2
10,0.03362,,122,,-10.2
11,0.03757,,123,,-10.2
12,0.04157,,123,,-10.2
13,0.04549,,123,,-10.4
14,0.04931,,124,,-10.4
15,0.05317,,123,,-10.6
16,0.05709,,123,,-10.6
17,0.06103,,118,,-10.4
18,0.06495,,118,,-10.2
19,0.06889,,118,,-10
20,0.07286,,118,,-9.8
21,0.07681,,118,,-9.6
22,0.08078,,118,,-9.6
23,0.08476,,118,,-9.6
24,0.08871,,119,,-9.8
25,0.09263,,121,,-10.2
26,0.09654,,120,,-10.6
27,0.10063,,121,,-10.6
28,0.10462,,122,,-10.6
29,0.10853,,123,,-10.6
30,0.11236,,124,,-10.6
31,0.11599,,122,,-10.6
32,0.11973,,123,,-10.4
33,0.12341,,124,,-10.4
34,0.12718,,122,,-10.4
35,0.131,,122,,-10.4
36,0.13602,,122,,-10.4
37,0.14004,,121,,-10.4
38,0.14395,,120,,-10.4
39,0.1478,,120,,-10.2
40,0.15169,,119,,-10.2
41,0.15564,,120,,-10.2
42,0.15964,,120,,-10.2
43,0.16343,,120,,-10
44,0.16711,,120,,-10
45,0.17074,,119,,-10
46,0.17429,,120,,-10
47,0.17789,,120,,-9.8
48,0.18155,,120,,-9.8
49,0.18524,,121,,-9.8
50,0.18896,,121,,-9.6
51,0.19262,,121,,-9.6
52,0.19653,,122,,-9.6
53,0.20048,,123,,-9.6
54,0.20441,,124,,-9.4
55,0.20837,,123,,-9.4
56,0.21222,,123,,-9.6
57,0.21607,,123,,-9.6
58,0.22,,122,,-9.8
59,0.22388,,120,,-9.8
60,0.22775,,118,,-9.8
61,0.23145,,120,,-10
62,0.23531,,119,,-10
63,0.23912,,119,,-10
64,0.24298,,118,,-10
65,0.24683,,117,,-10
66,0.25082,,116,,-9.8
67,0.2549,,115,,-9.8
68,0.25897,,114,,-9.8
69,0.26289,,113,,-9.8
70,0.26695,,113,,-9.4
71,0.27078,,113,,-9.2
72,0.27472,,112,,-9.2
73,0.27844,,112,,-9.2
74,0.28216,,112,,-9.2
75,0.28598,,114,,-9.2
76,0.28976,,115,,-9.2
77,0.29354,,115,,-9.2
78,0.29728,,115,,-9.2
79,0.30088,,117,,-9.4
80,0.30458,,116,,-9.4
81,0.3084,,116,,-9.4
82,0.31221,,116,,-9.4
83,0.31598,,118,,-9.4
84,0.31969,,116,,-9.4
85,0.3234,,115,,-9.4
86,0.32703,,115,,-9.6
87,0.3307,,115,,-9.8
88,0.33437,,115,,-10
89,0.33801,,114,,-10
90,0.3417,,114,,-10
91,0.34539,,115,,-10
92,0.34921,,116,,-10
93,0.353,,116,,-9.6
94,0.35678,,116,,-9.6
95,0.36066,,116,,-9.4
96,0.36454,,114,,-9.4
97,0.36819,,114,,-9.4
98,0.37183,,115,,-9.4
99,0.37541,,116,,-9.4
100,0.37893,,116,,-9.4
101,0.3826,,116,,-9.4
102,0.38624,,116,,-9.4
103,0.38994,,120,,-9.4
104,0.39361,,118,,-9.2
105,0.39732,,118,,-9.2
106,0.40098,,117,,-9.2
107,0.40468,,116,,-9
108,0.40833,,115,,-8.8
109,0.41174,,114,,-8.8
110,0.41515,,117,,-8.8
111,0.41864,,115,,-8.8
112,0.42232,,116,,-8.8
113,0.42599,,116,,-8.8
114,0.42979,,116,,-8.6
115,0.43369,,114,,-8.6
116,0.43749,,115,,-8.6
117,0.44122,,116,,-8.6
118,0.44496,,115,,-8.6
119,0.44859,,116,,-8.6
120,0.45218,,116,,-8.8
121,0.45576,,115,,-8.8
122,0.45932,,115,,-8.8
123,0.4627,,117,,-8.8
124,0.46609,,114,,-8.8
125,0.46937,,115,,-8.8
126,0.47268,,116,,-8.8
127,0.47615,,115,,-8.8
128,0.47967,,116,,-8.8
129,0.48334,,116,,-8.8
130,0.48694,,116,,-8.8
131,0.49053,,116,,-8.6
132,0.49403,,116,,-8.6
133,0.49762,,116,,-8.6
134,0.50133,,117,,-8.6
135,0.50502,,116,,-8.4
136,0.50874,,116,,-8.4
137,0.51234,,116,,-8.4
138,0.51598,,116,,-8.8
139,0.51964,,119,,-8.8
140,0.52321,,117,,-8.6
141,0.52681,,118,,-8.6
142,0.53047,,119,,-8.6
143,0.53421,,120,,-8.6
144,0.53792,,119,,-8.6
145,0.54161,,120,,-8.4
146,0.54523,,118,,-8.6
147,0.54903,,119,,-8.8
148,0.55295,,120,,-8.6
149,0.5569,,121,,-8.8
150,0.56077,,120,,-8.8
151,0.56435,,118,,-8.6
152,0.56779,,120,,-8.6
153,0.57093,,119,,-8.8
154,0.57439,,120,,-8.8
155,0.57817,,118,,-8.8
156,0.58228,,119,,-9
157,0.58633,,118,,-9
158,0.5903,,117,,-9
159,0.59427,,116,,-9
160,0.59807,,113,,-9
161,0.60201,,114,,-8.8
162,0.60586,,115,,-8.8
163,0.60971,,114,,-8.8
164,0.61369,,116,,-8.8
165,0.61759,,115,,-8.8
166,0.62162,,114,,-9
167,0.62558,,116,,-9.2
168,0.62957,,116,,-9.2
169,0.63349,,116,,-9.4
170,0.63739,,116,,-9.4
171,0.64145,,116,,-9.4
172,0.64544,,118,,-9.4
173,0.64939,,118,,-9.4
174,0.65313,,117,,-9.4
175,0.65691,,116,,-9.4
176,0.66073,,116,,-9.4
177,0.66466,,114,,-9.4
178,0.66872,,115,,-9.6
179,0.67258,,116,,-9.6
180,0.67651,,117,,-9.4
181,0.68027,,116,,-9.6
182,0.68405,,116,,-9.6
183,0.68769,,117,,-9.6
184,0.69131,,118,,-9.8
185,0.69502,,118,,-9.8
186,0.69873,,117,,-10
187,0.70248,,116,,-9.8
188,0.70614,,117,,-9.8
189,0.7098,,117,,-9.8
190,0.71347,,118,,-9.8
191,0.71723,,117,,-9.6
192,0.72083,,116,,-9.6
193,0.72448,,118,,-9.4
194,0.72816,,117,,-9.6
195,0.73189,,117,,-9.6
196,0.73557,,117,,-10
197,0.73923,,120,,-10
198,0.74273,,119,,-10
199,0.74621,,120,,-9.8
200,0.74979,,120,,-9.8
201,0.75321,,120,,-9.8
202,0.75667,,122,,-9.8
203,0.76003,,122,,-9.8
204,0.76408,,120,,-9.6
205,0.76776,,120,,-9.6
206,0.7714,,121,,-9.6
207,0.77515,,119,,-9.6
208,0.7789,,121,,-9.6
209,0.7826,,119,,-10
210,0.78621,,119,,-9.8
211,0.78996,,120,,-9.8
212,0.79362,,118,,-9.8
213,0.79724,,117,,-9.8
214,0.80071,,116,,-9.8
215,0.80416,,116,,-9.8
216,0.80766,,115,,-9.8
217,0.811,,115,,-10
218,0.81454,,115,,-10.2
219,0.81802,,115,,-10
220,0.82162,,115,,-10
221,0.82515,,114,,-10
222,0.82866,,115,,-9.8
223,0.83221,,116,,-9.8
224,0.83574,,115,,-9.8
225,0.83937,,114,,-9.8
226,0.8429,,116,,-9.8
227,0.84656,,114,,-9.8
228,0.85014,,114,,-9.8
229,0.85372,,114,,-9.8
230,0.85719,,113,,-9.8
231,0.86066,,113,,-9.8
232,0.86421,,113,,-9.8
233,0.86772,,109,,-9.6
234,0.87125,,113,,-9.8
235,0.87495,,114,,-9.8
236,0.87878,,116,,-9.8
237,0.88262,,117,,-9.6
238,0.88645,,117,,-9.6
239,0.89013,,117,,-9.6
240,0.89371,,116,,-9.4
241,0.89733,,118,,-9.4
242,0.90096,,119,,-9.4
243,0.9045,,118,,-9.6
244,0.90808,,118,,-9.8
245,0.91167,,117,,-10
246,0.91524,,116,,-10.2
247,0.91885,,116,,-10.2
248,0.92227,,117,,-10
249,0.92568,,116,,-10
250,0.92919,,115,,-10
251,0.93269,,116,,-9.8
252,0.93611,,113,,-9.8
253,0.93966,,114,,-9.8
254,0.94329,,115,,-9.8
255,0.94696,,115,,-10
256,0.95056,,115,,-9.8
257,0.95427,,116,,-9.6
258,0.95802,,116,,-9.6
259,0.96177,,117,,-9.8
260,0.96551,,117,,-9.8
261,0.96923,,117,,-10.2
262,0.97299,,119,,-10.2
263,0.97652,,119,,-10.2
264,0.98006,,117,,-10.4
265,0.98362,,118,,-10.2
266,0.98721,,116,,-10.2
267,0.99092,,115,,-10.2
268,0.99462,,118,,-10
269,0.99843,,117,,-10
270,1.00203,,119,,-9.8
271,1.00573,,118,,-9.6
272,1.00933,,117,,-9.6
273,1.01314,,117,,-9.6
274,1.017,,116,,-9.6
275,1.02073,,117,,-9.6
276,1.02447,,118,,-9.6
277,1.02821,,118,,-10
278,1.03203,,117,,-10
279,1.03569,,117,,-10.2
280,1.03939,,117,,-10.2
281,1.04315,,116,,-10.2
282,1.04676,,116,,-10.2
283,1.05045,,115,,-9.8
284,1.05407,,116,,-9.8
285,1.05778,,116,,-9.8
286,1.06148,,117,,-9.8
287,1.06501,,118,,-10.2
288,1.06866,,120,,-10.2
289,1.07225,,122,,-10.2
290,1.07586,,124,,-10.2
291,1.07951,,127,,-10.2
292,1.08309,,129,,-10.2
293,1.08624,,131,,-10.4
294,1.08964,,135,,-10.2
295,1.09344,,135,,-10
296,1.09715,,136,,-10
297,1.1009,,137,,-9.8
298,1.10456,,138,,-9.8
299,1.10828,,138,,-9.8
300,1.11187,,139,,-9.8
301,1.11554,,140,,-9.8
302,1.11923,,140,,-9.8
303,1.1228,,140,,-10.2
304,1.12649,,141,,-10.6
305,1.13006,,141,,-10.6
306,1.13377,,141,,-11
307,1.13747,,141,,-11
308,1.14125,,141,,-10.8
309,1.14492,,141,,-10.8
310,1.14841,,141,,-10.6
311,1.15181,,141,,-10.6
312,1.15533,,141,,-10.4
313,1.15921,,141,,-10.4
314,1.16301,,141,,-10.2
315,1.16681,,141,,-10.2
316,1.1706,,141,,-10.2
317,1.17439,,141,,-10.2
318,1.17823,,141,,-10.2
319,1.18203,,141,,-10.2
320,1.18584,,143,,-10.2
321,1.18951,,142,,-10.2
322,1.19318,,142,,-10.2
323,1.19676,,142,,-10.2
324,1.20032,,142,,-10.2
325,1.20383,,144,,-10.2
326,1.20741,,143,,-10.2
327,1.21118,,140,,-10.2
328,1.21486,,141,,-10.2
329,1.21874,,142,,-10.4
330,1.22255,,142,,-10.4
331,1.22631,,142,,-10.4
332,1.23004,,142,,-10.2
333,1.23359,,142,,-10.2
334,1.23734,,142,,-10
335,1.24116,,142,,-10
336,1.24493,,142,,-9.8
337,1.24864,,142,,-9.8
338,1.25232,,142,,-10
339,1.2561,,142,,-10
340,1.2598,,142,,-10
341,1.26355,,143,,-10
342,1.26733,,143,,-10
343,1.27112,,143,,-10.2
344,1.27495,,143,,-10.2
345,1.27872,,144,,-10.2
346,1.28256,,144,,-10
347,1.28634,,144,,-10
348,1.29027,,144,,-10.2
349,1.29417,,144,,-10.2
350,1.29812,,143,,-10.2
351,1.30204,,143,,-10.2
352,1.30555,,143,,-10.2
353,1.30918,,144,,-10.2
354,1.31289,,144,,-10.2
355,1.31665,,144,,-10.2
356,1.3205,,143,,-10.2
357,1.32426,,143,,-10.2
358,1.32801,,143,,-10.4
359,1.33162,,143,,-10.4
360,1.3353,,143,,-10.6
361,1.33888,,143,,-10.6
362,1.34245,,143,,-10.6
363,1.34614,,143,,-10.6
364,1.34973,,143,,-10.6
365,1.35343,,143,,-10.4
366,1.35712,,143,,-10.2
367,1.36083,,143,,-10.2
368,1.36449,,143,,-10.2
369,1.3682,,143,,-10
370,1.372,,143,,-10
371,1.37574,,143,,-10
372,1.37941,,143,,-10
373,1.3829,,142,,-10
374,1.38644,,143,,-10
375,1.3899,,143,,-10
376,1.39337,,143,,-10
377,1.39693,,144,,-10
378,1.40063,,144,,-10.2
379,1.40437,,144,,-10.2
380,1.40807,,144,,-10.2
381,1.41172,,144,,-10
382,1.41543,,144,,-10
383,1.41925,,143,,-10.2
384,1.42312,,143,,-10.2
385,1.42701,,143,,-10.4
386,1.43105,,143,,-10.4
387,1.43505,,142,,-10.4
388,1.43903,,142,,-10.4
389,1.44264,,142,,-10.2
390,1.44617,,142,,-10.4
391,1.4498,,142,,-10.6
392,1.45367,,142,,-10.4
393,1.45763,,143,,-10.6
394,1.46154,,143,,-10.8
395,1.46539,,143,,-11
396,1.46944,,144,,-11
397,1.47328,,144,,-10.8
398,1.47692,,144,,-10.6
399,1.48079,,144,,-10.6
400,1.48454,,144,,-10.4
401,1.48813,,144,,-10.4
402,1.49164,,146,,-10.4
403,1.49496,,145,,-10.4
404,1.4987,,146,,-10.4
405,1.50243,,146,,-10.4
406,1.50606,,144,,-10.2
407,1.50972,,143,,-10.2
408,1.51337,,143,,-10
409,1.51728,,144,,-10
410,1.52125,,144,,-9.8
411,1.52549,,144,,-9.6
412,1.52948,,145,,-9.4
413,1.53341,,144,,-9.6
414,1.53749,,145,,-9.6
415,1.54129,,144,,-10
416,1.545,,144,,-9.8
417,1.54855,,144,,-10
418,1.55203,,145,,-9.8
419,1.55539,,145,,-9.8
420,1.55933,,145,,-9.6
421,1.56305,,145,,-9.6
422,1.56701,,146,,-9.6
423,1.5713,,146,,-9.6
424,1.57496,,146,,-9.8
425,1.57828,,146,,-9.8
426,1.58158,,146,,-9.8
427,1.58469,,146,,-10
428,1.58812,,146,,-9.8
429,1.59162,,146,,-9.8
430,1.59521,,146,,-9.6
431,1.59847,,147,,-9.2
432,1.60238,,147,,-9
433,1.60578,,147,,-9
434,1.6094,,147,,-9
435,1.61286,,147,,-9
436,1.61614,,147,,-9
437,1.61943,,147,,-8.8
438,1.62287,,147,,-8.6
439,1.62628,,147,,-8.6
440,1.6295,,147,,-8.4
441,1.63299,,147,,-8.4
442,1.637,,147,,-8.4
443,1.64084,,147,,-8.4
444,1.64419,,147,,-8.4
445,1.64738,,147,,-8.2
446,1.65136,,144,,-8.2
447,1.655,,144,,-8
448,1.65831,,144,,-8
449,1.66163,,146,,-8
450,1.66631,,144,,-8
451,1.67095,,143,,-8
452,1.67511,,147,,-8
453,1.67969,,147,,-7.8
454,1.68363,,147,,-7.6
455,1.68713,,147,,-7.6
456,1.69059,,147,,-7.6
457,1.694,,148,,-7.6
458,1.69776,,148,,-7.8
459,1.70124,,148,,-8
460,1.70494,,148,,-8
461,1.70827,,148,,-8
462,1.71153,,148,,-8
463,1.7146,,148,,-8
464,1.7176,,148,,-8.2
465,1.72056,,148,,-8
466,1.72349,,149,,-8
467,1.72666,,149,,-8
468,1.73013,,149,,-7.8
469,1.73404,,150,,-7.8
470,1.73757,,150,,-7.8
471,1.7409,,150,,-7.8
472,1.74388,,150,,-7.8
473,1.74688,,150,,-7.8
474,1.7503,,150,,-7.6
475,1.75375,,151,,-7.8
476,1.75704,,150,,-7.8
477,1.76058,,150,,-7.8
478,1.76675,,150,,-7.6
479,1.77071,,150,,-7.6
480,1.77709,,149,,-7.2
481,1.78192,,149,,-7.2
482,1.78598,,149,,-7.2
483,1.79049,,149,,-7
484,1.79432,,148,,-7
485,1.79885,,148,,-6.6
486,1.80281,,148,,-6.8
487,1.80523,,148,,-6.8
488,1.80946,,148,,-6.6
489,1.81348,,148,,-6.4
490,1.81685,,148,,-6.4
491,1.82075,,148,,-6.4
492,1.82446,,148,,-6.4
493,1.82819,,148,,-6.2
494,1.83248,,148,,-6
495,1.83636,,148,,-5.8
496,1.84035,,148,,-5.4
497,1.84436,,148,,-5.2
498,1.84803,,148,,-5
499,1.85177,,148,,-4.8
500,1.85553,,148,,-4.8
501,1.85901,,148,,-4.6
502,1.86237,,148,,-4.6
503,1.86573,,148,,-4.6
504,1.86896,,148,,-4.6
505,1.87237,,148,,-4.6
506,1.87574,,148,,-4.6
507,1.87914,,148,,-4.6
508,1.88255,,148,,-4.6
509,1.88632,,149,,-4.6
510,1.88983,,149,,-4.6
511,1.89361,,149,,-4.6
512,1.89765,,149,,-4.6
513,1.9015,,150,,-4.8
514,1.90537,,150,,-4.6
515,1.90903,,150,,-4.6
516,1.91262,,150,,-4.4
517,1.91625,,150,,-4.4
518,1.91968,,150,,-4.2
519,1.92276,,150,,-4.2
520,1.92599,,149,,-4.2
521,1.92879,,149,,-4
522,1.93076,,149,,-4
523,1.93223,,149,,-3.8
524,1.93431,,150,,-4
525,1.93688,,150,,-3.8
526,1.94044,,150,,-4
527,1.94387,,150,,-3.8
528,1.94651,,150,,-4
529,1.95025,,149,,-3.8
530,1.9542,,149,,-3.8
531,1.95826,,149,,-3.8
532,1.96223,,149,,-3.6
533,1.96595,,148,,-3.6
534,1.96925,,148,,-3.4
535,1.97322,,148,,-3.2
536,1.97724,,148,,-3.2
537,1.98075,,147,,-3.2
538,1.98418,,147,,-3.2
539,1.98814,,147,,-3.2
540,1.99222,,147,,-3.2
541,1.99574,,147,,-3
542,1.99902,,147,,-2.8
543,2.00274,,147,,-2.6
544,2.00611,,147,,-2.4
545,2.01013,,148,,-2.2
546,2.01374,,148,,-2.2
547,2.01724,,148,,-2
548,2.02077,,148,,-2
549,2.02426,,148,,-2
550,2.02793,,148,,-2
551,2.0316,,148,,-2
552,2.03517,,148,,-2
553,2.03864,,149,,-2
554,2.04196,,149,,-2
555,2.04532,,150,,-2
556,2.04897,,150,,-2
557,2.05241,,150,,-1.8
558,2.05567,,150,,-2
559,2.05952,,150,,-2
560,2.06404,,150,,-1.8
561,2.06803,,150,,-1.8
562,2.07146,,150,,-1.8
563,2.07491,,150,,-1.8
564,2.07832,,150,,-1.8
565,2.08178,,150,,-2
566,2.08509,,150,,-1.8
567,2.08854,,150,,-1.8
568,2.09273,,150,,-1.8
569,2.09656,,151,,-1.4
570,2.10031,,151,,-1.4
571,2.10383,,151,,-1
572,2.10726,,150,,-1
573,2.11098,,150,,-0.8
574,2.11414,,150,,-1
575,2.1177,,150,,-1
576,2.12063,,151,,-1
577,2.12404,,151,,-0.8
578,2.12689,,151,,-0.8
579,2.13018,,151,,-0.4
580,2.13326,,151,,-0.4
581,2.13652,,152,,0.2
582,2.14032,,152,,0.2
583,2.1441,,152,,0.2
584,2.14792,,152,,0.2
585,2.15224,,152,,0.2
586,2.1566,,152,,0.2
587,2.1605,,151,,-0.2
588,2.16412,,151,,-0.2
589,2.16832,,151,,-0.2
590,2.17194,,151,,-0.2
591,2.17555,,151,,-0.2
592,2.17927,,151,,0.2
593,2.18304,,151,,0.2
594,2.18704,,150,,0.6
595,2.19081,,150,,0.6
596,2.19418,,150,,0.8
597,2.19771,,150,,1
598,2.20126,,150,,1
599,2.20465,,150,,1.2
600,2.20788,,151,,1.4
601,2.21113,,151,,1.6
602,2.2148,,151,,1.8
603,2.21858,,151,,1.6
604,2.22264,,151,,1.4
605,2.22713,,151,,1.4
606,2.23123,,151,,1.4
607,2.23552,,152,,1.4
608,2.23948,,152,,1.4
609,2.24326,,152,,1.8
610,2.24669,,152,,2
611,2.24983,,152,,2.2
612,2.25322,,152,,2.2
613,2.25659,,153,,2.4
614,2.25988,,152,,2.4
615,2.26349,,152,,2.4
616,2.2673,,153,,2.2
617,2.27094,,152,,2.2
618,2.27403,,152,,2.2
619,2.27733,,152,,2.2
620,2.2807,,152,,2.2
621,2.28423,,152,,2.4
622,2.28796,,152,,2.4
623,2.29182,,152,,2.6
624,2.29538,,152,,2.6
625,2.29904,,152,,2.6
626,2.30255,,152,,2.4
627,2.30574,,152,,2.4
628,2.30881,,152,,2.6
629,2.31235,,153,,2.6
630,2.31575,,153,,2.8
631,2.31917,,153,,2.8
632,2.32258,,153,,3
633,2.32615,,153,,3.2
634,2.32988,,153,,3
635,2.33361,,153,,3
636,2.33714,,153,,2.8
637,2.34033,,153,,2.6
638,2.34392,,153,,2.6
639,2.34746,,153,,2.6
640,2.35109,,153,,2.6
641,2.35482,,153,,2.6
642,2.35855,,153,,2.4
643,2.36235,,153,,2.6
644,2.36583,,153,,2.6
645,2.36968,,153,,2.6
646,2.37349,,153,,2.4
647,2.37742,,153,,2.4
648,2.38117,,153,,2.4
649,2.38494,,153,,2.4
650,2.38931,,153,,2.4
651,2.39282,,153,,2.4
652,2.39609,,152,,2.4
653,2.39906,,152,,2.6
654,2.40211,,152,,2.6
655,2.40547,,152,,2.6
656,2.41072,,152,,2.6
657,2.41423,,152,,2.8
658,2.41798,,152,,2.8
659,2.42162,,152,,3
660,2.42481,,152,,3
661,2.42801,,152,,3.4
662,2.43138,,152,,3.4
663,2.43508,,151,,3.6
664,2.43858,,151,,3.6
665,2.44249,,151,,3.6
666,2.44636,,151,,3.4
667,2.45052,,151,,3.6
668,2.45414,,151,,3.6
669,2.45787,,151,,3.6
670,2.46171,,151,,3.8
671,2.46538,,150,,3.8
672,2.46863,,150,,3.8
673,2.47199,,150,,3.8
674,2.47668,,150,,4
675,2.48028,,149,,4.2
676,2.4843,,149,,4.4
677,2.48869,,149,,4.4
678,2.4927,,149,,4.6
679,2.49641,,149,,4.6
680,2.50032,,149,,4.6
681,2.50392,,149,,4.6
682,2.50757,,149,,4.6
683,2.51112,,149,,4.6
684,2.51451,,150,,4.6
685,2.51777,,150,,4.6
686,2.52123,,150,,4.8
687,2.52458,,150,,5
688,2.52801,,151,,5
689,2.53151,,151,,5.2
690,2.53477,,151,,5.2
691,2.53773,,151,,5.4
692,2.54114,,151,,5.8
693,2.54401,,151,,6
