secs,km,power,hr,cad,alt
0,0,,61,,0
1,0.00176,,61,,0
2,0.00352,,64,,0
3,0.00548,,64.3333,,0
4,0.00744,,64.6667,,0
5,0.0094,,65,,0
6,0.01136,,65.3333,,0
7,0.01332,,65.6667,,0
8,0.01528,,66,,0
9,0.0174733,,67,,0
10,0.0196667,,68,,0
11,0.02186,,69,,0
12,0.0242733,,70,,0
13,0.0266867,,71,,0
14,0.0291,,72,,0
15,0.0316333,,73.6667,,0
16,0.0341667,,75.3333,,0
17,0.0367,,77,,0
18,0.039216,,77.6,,0
19,0.041732,,78.2,,0
20,0.044248,,78.8,,0
21,0.046764,,79.4,,0
22,0.04928,,80,,0
23,0.0501367,,80.3333,,-2.3
24,0.0509933,,80.6667,,-4.6
25,0.05185,,81,,-6.9
26,0.0527067,,81.3333,,-9.2
27,0.0535633,,81.6667,,-11.5
28,0.05442,,82,,-13.8
29,0.0560333,,84,,-13.9333
30,0.0576467,,86,,-14.0667
31,0.05926,,88,,-14.2
32,0.06182,,93,,-14
33,0.064338,,94.4,,-14.08
34,0.066856,,95.8,,-14.16
35,0.069374,,97.2,,-14.24
36,0.071892,,98.6,,-14.32
37,0.07441,,100,,-14.4
38,0.0767333,,100.5,,-14.3667
39,0.0790567,,101,,-14.3333
40,0.08138,,101.5,,-14.3
41,0.0837033,,102,,-14.2667
42,0.0860267,,102.5,,-14.2333
43,0.08835,,103,,-14.2
44,0.091015,,104.5,,-14.2
45,0.09368,,106,,-14.2
46,0.0962533,,106,,-14.2
47,0.0988267,,106,,-14.2
48,0.1014,,106,,-14.2
49,0.103973,,106,,-14.2
50,0.106547,,106,,-14.2
51,0.10912,,106,,-14.2
52,0.111282,,106.667,,-14.2
53,0.113443,,107.333,,-14.2
54,0.115605,,108,,-14.2
55,0.117767,,108.667,,-14.2
56,0.119928,,109.333,,-14.2
57,0.12209,,110,,-14.2
58,0.1246,,111,,-14.2
59,0.12711,,112,,-14.2
60,0.12962,,113,,-14.2
61,0.132072,,111.5,,-14.2
62,0.134525,,110,,-14.2
63,0.136977,,108.5,,-14.2
64,0.13943,,107,,-14.2
65,0.14203,,107,,-14.4
66,0.144375,,107.5,,-14.3
67,0.14672,,108,,-14.2
68,0.149113,,108.167,,-14.2333
69,0.151507,,108.333,,-14.2667
70,0.1539,,108.5,,-14.3
71,0.156293,,108.667,,-14.3333
72,0.158687,,108.833,,-14.3667
73,0.16108,,109,,-14.4
74,0.163303,,109,,-14.4
75,0.165527,,109,,-14.4
76,0.16775,,109,,-14.4
77,0.169973,,109,,-14.4
78,0.172197,,109,,-14.4
79,0.17442,,109,,-14.4
80,0.17657,,109.75,,-14.35
81,0.17872,,110.5,,-14.3
82,0.18087,,111.25,,-14.25
83,0.18302,,112,,-14.2
84,0.185498,,112.167,,-14.2333
85,0.187977,,112.333,,-14.2667
86,0.190455,,112.5,,-14.3
87,0.192933,,112.667,,-14.3333
88,0.195412,,112.833,,-14.3667
89,0.19789,,113,,-14.4
90,0.200515,,112.25,,-14.4
91,0.20314,,111.5,,-14.4
92,0.205765,,110.75,,-14.4
93,0.20839,,110,,-14.4
94,0.210937,,110.167,,-14.3667
95,0.213483,,110.333,,-14.3333
96,0.21603,,110.5,,-14.3
97,0.218577,,110.667,,-14.2667
98,0.221123,,110.833,,-14.2333
99,0.22367,,111,,-14.2
100,0.226342,,109.75,,-14.25
101,0.229015,,108.5,,-14.3
102,0.231687,,107.25,,-14.35
103,0.23436,,106,,-14.4
104,0.236934,,106.6,,-14.32
105,0.239508,,107.2,,-14.24
106,0.242082,,107.8,,-14.16
107,0.244656,,108.4,,-14.08
108,0.24723,,109,,-14
109,0.24985,,109,,-14
110,0.25247,,109,,-14
111,0.25509,,109,,-14
112,0.25771,,109,,-14
113,0.26033,,109,,-14
114,0.26295,,109,,-14
115,0.265573,,108,,-13.9333
116,0.268197,,107,,-13.8667
117,0.27082,,106,,-13.8
118,0.273205,,106.25,,-13.75
119,0.27559,,106.5,,-13.7
120,0.277975,,106.75,,-13.65
121,0.28036,,107,,-13.6
