secs,km,power,hr,cad,alt
0,0,,84,,24.8
1,0.0019,,84,,24.8
2,0.00389,,85,,24.8
3,0.00648,,85,,24.8
6,0.01625,,88,,24.6
8,0.02241,,89,,24.6
10,0.02872,,92,,24.4
11,0.03192,,95,,24.4
14,0.04246,,100,,24.2
17,0.05226,,103,,24.2
19,0.05886,,106,,24.2
20,0.06216,,106,,24.2
24,0.07521,,108,,24.2
26,0.0816,,112,,24
27,0.08412,,115,,23.8
29,0.08963,,120,,23.6
30,0.09284,,120,,23.4
32,0.0989,,123,,23.2
39,0.11835,,124,,22.4
42,0.12759,,127,,22.6
44,0.13329,,127,,22.8
50,0.15118,,130,,23.4
57,0.17137,,131,,23.8
61,0.18313,,131,,23.4
68,0.20398,,133,,23.6
76,0.2263,,135,,24
83,0.24677,,136,,24
88,0.26223,,139,,24.2
93,0.27741,,142,,24.8
96,0.28692,,145,,25.4
102,0.30354,,149,,25.6
109,0.32602,,152,,25.4
115,0.34545,,155,,25.2
122,0.36846,,157,,25
129,0.3892,,157,,25.2
136,0.41086,,158,,25.8
143,0.43165,,157,,26.4
150,0.45192,,157,,27
158,0.47443,,156,,28
166,0.49709,,158,,29.2
173,0.51769,,158,,30.4
180,0.53945,,159,,32
188,0.56225,,162,,32.4
196,0.58469,,162,,32.6
203,0.60492,,162,,33
210,0.62501,,163,,33.6
218,0.64689,,163,,34.2
226,0.66874,,165,,34.8
234,0.69129,,165,,34.4
242,0.71344,,166,,33.8
249,0.73346,,167,,33.2
256,0.75573,,168,,33.4
263,0.77763,,168,,33.8
270,0.79851,,169,,34
277,0.81954,,169,,34.2
284,0.84172,,170,,34.6
291,0.86358,,171,,34.8
298,0.88505,,172,,35.2
305,0.90613,,173,,35.8
312,0.92678,,173,,36.4
319,0.94696,,174,,36.6
326,0.9687,,174,,36.2
333,0.9898,,175,,35.8
340,1.01154,,175,,36.2
344,1.02194,,175,,36.2
351,1.03832,,175,,35.8
352,1.03832,,173,,35.8
357,1.03924,,162,,35.8
358,1.04177,,162,,35.8
365,1.06183,,162,,35.2
371,1.08278,,164,,34.8
377,1.10318,,164,,34.2
383,1.12551,,165,,33.8
389,1.14568,,166,,33.6
396,1.16778,,167,,33.2
402,1.18889,,167,,32.8
409,1.21112,,167,,32.4
411,1.21683,,167,,32.2
416,1.23193,,169,,32
423,1.25328,,169,,32
430,1.27436,,171,,32
437,1.29738,,172,,32
444,1.31899,,172,,32
449,1.33439,,173,,32
456,1.35747,,173,,31.4
463,1.37969,,173,,30.2
470,1.40206,,173,,29
477,1.42264,,173,,28.4
479,1.4272,,173,,28.2
483,1.43931,,173,,27.8
489,1.46045,,173,,26.4
495,1.48321,,174,,25.2
500,1.50522,,173,,24.2
505,1.52597,,174,,23.8
510,1.54824,,175,,24
515,1.57304,,175,,24
520,1.59663,,176,,24
525,1.6197,,176,,23.8
530,1.64163,,175,,23.4
535,1.66395,,175,,23
540,1.68738,,175,,22.4
546,1.71033,,174,,21.4
552,1.73206,,174,,20.2
558,1.75469,,173,,18.6
564,1.77719,,173,,17.2
570,1.79827,,172,,15.8
576,1.81834,,172,,14.4
582,1.84022,,172,,13.4
588,1.86236,,172,,12.4
594,1.88419,,173,,11.4
600,1.90561,,173,,10.8
606,1.92802,,173,,10.2
613,1.9515,,174,,9.4
619,1.97364,,173,,8.6
621,1.98143,,173,,8
626,2.0024,,173,,7.4
632,2.02412,,173,,6.8
638,2.04791,,172,,5.8
644,2.06987,,170,,6.4
650,2.09118,,170,,7.2
656,2.1129,,168,,7.8
662,2.13461,,169,,8.2
668,2.1561,,169,,8.4
674,2.17691,,167,,8.2
680,2.19801,,166,,7.4
686,2.21915,,164,,6.4
691,2.23662,,161,,6
698,2.25975,,162,,5.4
705,2.28347,,160,,5.4
711,2.30388,,160,,5.6
718,2.32648,,160,,5.8
725,2.34884,,159,,5.4
732,2.37201,,158,,5
738,2.39209,,156,,4.8
745,2.41495,,154,,4.6
752,2.43768,,154,,4.2
758,2.45781,,154,,4
764,2.47829,,152,,3.8
771,2.50068,,152,,4
778,2.52389,,151,,4.2
784,2.54499,,153,,4.6
791,2.568,,153,,4.8
797,2.58839,,152,,4.8
803,2.60874,,152,,5
810,2.63186,,152,,5
817,2.65483,,152,,4.2
824,2.67708,,155,,3.4
831,2.69997,,155,,1.8
