secs,km,power,hr,cad,alt
0,0,,125,,50.2
1,0.00333,,128,,50.2
2,0.00775,,131,,50.4
3,0.01303,,132,,50.8
4,0.01866,,136,,51
5,0.02431,,138,,51.2
6,0.02991,,141,,51.6
7,0.03588,,145,,52
8,0.04174,,147,,52.4
9,0.04781,,151,,52.8
10,0.05352,,153,,53.2
11,0.05888,,156,,53.4
12,0.06404,,159,,53.6
13,0.06916,,161,,53.8
14,0.07397,,163,,54
15,0.08232,,166,,54.4
16,0.08232,,167,,54.4
17,0.08528,,168,,54.6
18,0.08782,,169,,54.8
19,0.09173,,170,,55
20,0.09649,,171,,55.2
21,0.10182,,172,,55.4
22,0.10714,,172,,55.8
23,0.1118,,172,,56
24,0.1166,,173,,56.2
25,0.12143,,173,,56.2
26,0.12622,,174,,56.2
27,0.1312,,174,,56.2
28,0.1364,,174,,56.2
29,0.14148,,174,,56.2
30,0.14624,,174,,56.2
31,0.15073,,175,,56.2
32,0.15571,,175,,56.2
33,0.16083,,175,,56.2
34,0.16557,,175,,56.2
35,0.17003,,175,,56.2
36,0.17461,,175,,56.2
37,0.17871,,175,,56.2
38,0.18291,,175,,56.2
39,0.18703,,176,,56.2
40,0.19112,,176,,56.2
41,0.19531,,176,,56.2
42,0.19867,,176,,56.2
43,0.20211,,176,,56.2
44,0.20618,,176,,56.2
45,0.21089,,177,,56.2
46,0.21623,,177,,56.2
47,0.22091,,177,,56.2
48,0.22534,,176,,56.2
49,0.2297,,176,,56.2
50,0.23448,,177,,56.2
51,0.23873,,177,,56.2
52,0.2429,,177,,56.2
53,0.24755,,177,,56.2
54,0.25246,,177,,56.2
55,0.25792,,180,,56.2
56,0.26323,,180,,56.2
57,0.26865,,179,,56.2
58,0.27358,,179,,56.2
59,0.27846,,179,,56.2
60,0.28341,,179,,56.2
61,0.28819,,179,,56.2
62,0.29303,,179,,56.2
63,0.29793,,179,,56
64,0.3027,,179,,56
65,0.30741,,179,,55.8
66,0.31204,,179,,55.8
67,0.31676,,179,,55.8
68,0.32129,,179,,55.6
69,0.32592,,179,,55.6
70,0.33057,,179,,55.4
71,0.335,,179,,55.4
72,0.33933,,179,,55.4
73,0.34344,,179,,55.2
74,0.34759,,179,,55.2
75,0.35184,,179,,55.2
76,0.35613,,180,,55.2
77,0.36041,,180,,55.2
78,0.36459,,180,,55.2
79,0.36916,,179,,55.2
80,0.37387,,180,,55.2
81,0.37872,,180,,55.2
82,0.38347,,180,,55.2
83,0.38797,,180,,55.2
84,0.3922,,180,,55.2
85,0.39644,,180,,55.2
86,0.40079,,180,,55.2
87,0.40496,,180,,55.2
