secs,km,power,hr,cad,alt
0,0,,77,,143.8
1,0.00084,,79,,142.8
2,0.002785,,80.5,,141.9
3,0.00473,,82,,141
4,0.007535,,82.125,,140.525
5,0.01034,,82.25,,140.05
6,0.013145,,82.375,,139.575
7,0.01595,,82.5,,139.1
8,0.018755,,82.625,,138.625
9,0.02156,,82.75,,138.15
10,0.024365,,82.875,,137.675
11,0.02717,,83,,137.2
12,0.029975,,84.5,,136.7
13,0.03278,,86,,136.2
14,0.03558,,92,,135.8
15,0.03847,,94.5,,135.7
16,0.04136,,97,,135.6
17,0.04398,,97.75,,135.6
18,0.0466,,98.5,,135.6
19,0.04922,,99.25,,135.6
20,0.05184,,100,,135.6
21,0.05413,,102,,135.4
22,0.0564,,106,,135.4
23,0.05858,,110,,135.2
24,0.06091,,118,,135
25,0.06314,,118,,135
26,0.065835,,118.75,,135.05
27,0.06853,,119.5,,135.1
28,0.071225,,120.25,,135.15
29,0.07392,,121,,135.2
30,0.0770233,,122,,135.267
31,0.0801267,,123,,135.333
32,0.08323,,124,,135.4
33,0.08633,,127,,135.6
34,0.08933,,131,,135.8
35,0.0924733,,129,,135.933
36,0.0956167,,127,,136.067
37,0.09876,,125,,136.2
38,0.10179,,120,,136.4
39,0.104835,,117,,136.5
40,0.10788,,114,,136.6
41,0.110748,,114.8,,136.64
42,0.113616,,115.6,,136.68
43,0.116484,,116.4,,136.72
44,0.119352,,117.2,,136.76
45,0.12222,,118,,136.8
46,0.12481,,120.5,,137.1
47,0.1274,,123,,137.4
48,0.129826,,121.8,,137.64
49,0.132252,,120.6,,137.88
50,0.134678,,119.4,,138.12
51,0.137104,,118.2,,138.36
52,0.13953,,117,,138.6
53,0.14252,,117,,139
54,0.14532,,118,,139.4
55,0.14812,,119,,139.8
56,0.15092,,120,,140.2
57,0.15372,,121,,140.6
58,0.156598,,119.75,,141.05
59,0.159475,,118.5,,141.5
60,0.162353,,117.25,,141.95
61,0.16523,,116,,142.4
62,0.16824,,116,,142.8
63,0.17097,,117.25,,143.25
64,0.1737,,118.5,,143.7
65,0.17643,,119.75,,144.15
66,0.17916,,121,,144.6
67,0.181999,,120.875,,144.925
68,0.184838,,120.75,,145.25
69,0.187676,,120.625,,145.575
70,0.190515,,120.5,,145.9
71,0.193354,,120.375,,146.225
72,0.196192,,120.25,,146.55
73,0.199031,,120.125,,146.875
74,0.20187,,120,,147.2
75,0.205223,,120.333,,147.333
76,0.208577,,120.667,,147.467
77,0.21193,,121,,147.6
78,0.215283,,121.333,,147.733
79,0.218637,,121.667,,147.867
80,0.22199,,122,,148
81,0.22533,,121.833,,147.833
82,0.22867,,121.667,,147.667
83,0.23201,,121.5,,147.5
84,0.23535,,121.333,,147.333
85,0.23869,,121.167,,147.167
86,0.24203,,121,,147
87,0.245402,,120.833,,146.767
88,0.248773,,120.667,,146.533
89,0.252145,,120.5,,146.3
90,0.255517,,120.333,,146.067
91,0.258888,,120.167,,145.833
92,0.26226,,120,,145.6
93,0.265414,,119.714,,145.343
94,0.268569,,119.429,,145.086
95,0.271723,,119.143,,144.829
96,0.274877,,118.857,,144.571
97,0.278031,,118.571,,144.314
98,0.281186,,118.286,,144.057
99,0.28434,,118,,143.8
100,0.287465,,117.5,,143.867
101,0.29059,,117,,143.933
102,0.293715,,116.5,,144
103,0.29684,,116,,144.067
104,0.299965,,115.5,,144.133
105,0.30309,,115,,144.2
106,0.306009,,115.429,,144.171
107,0.308927,,115.857,,144.143
108,0.311846,,116.286,,144.114
109,0.314764,,116.714,,144.086
110,0.317683,,117.143,,144.057
111,0.320601,,117.571,,144.029
112,0.32352,,118,,144
113,0.326087,,119,,143.867
114,0.328653,,120,,143.733
115,0.33122,,121,,143.6
116,0.333822,,121.5,,143.4
117,0.336425,,122,,143.2
118,0.339027,,122.5,,143
119,0.34163,,123,,142.8
120,0.344559,,122.714,,142.514
121,0.347487,,122.429,,142.229
122,0.350416,,122.143,,141.943
123,0.353344,,121.857,,141.657
124,0.356273,,121.571,,141.371
125,0.359201,,121.286,,141.086
126,0.36213,,121,,140.8
127,0.365241,,120.857,,140.429
128,0.368353,,120.714,,140.057
129,0.371464,,120.571,,139.686
130,0.374576,,120.429,,139.314
131,0.377687,,120.286,,138.943
132,0.380799,,120.143,,138.571
133,0.38391,,120,,138.2
134,0.38699,,120.143,,137.857
135,0.39007,,120.286,,137.514
136,0.39315,,120.429,,137.171
137,0.39623,,120.571,,136.829
138,0.39931,,120.714,,136.486
139,0.40239,,120.857,,136.143
140,0.40547,,121,,135.8
141,0.40823,,121.125,,135.625
142,0.41099,,121.25,,135.45
143,0.41375,,121.375,,135.275
144,0.41651,,121.5,,135.1
145,0.41927,,121.625,,134.925
146,0.42203,,121.75,,134.75
147,0.42479,,121.875,,134.575
148,0.42755,,122,,134.4
149,0.43097,,122.167,,134.2
150,0.43439,,122.333,,134
151,0.43781,,122.5,,133.8
152,0.44123,,122.667,,133.6
153,0.44465,,122.833,,133.4
154,0.44807,,123,,133.2
155,0.451327,,123.143,,133.143
156,0.454584,,123.286,,133.086
157,0.457841,,123.429,,133.029
158,0.461099,,123.571,,132.971
159,0.464356,,123.714,,132.914
160,0.467613,,123.857,,132.857
161,0.47087,,124,,132.8
162,0.474169,,123.714,,132.6
163,0.477467,,123.429,,132.4
164,0.480766,,123.143,,132.2
165,0.484064,,122.857,,132
166,0.487363,,122.571,,131.8
167,0.490661,,122.286,,131.6
168,0.49396,,122,,131.4
169,0.497457,,122.333,,131.333
170,0.500953,,122.667,,131.267
171,0.50445,,123,,131.2
172,0.507947,,123.333,,131.133
173,0.511443,,123.667,,131.067
174,0.51494,,124,,131
175,0.518438,,124.333,,130.867
176,0.521937,,124.667,,130.733
177,0.525435,,125,,130.6
178,0.528933,,125.333,,130.467
179,0.532432,,125.667,,130.333
180,0.53593,,126,,130.2
181,0.539074,,125.857,,130.057
182,0.542219,,125.714,,129.914
183,0.545363,,125.571,,129.771
184,0.548507,,125.429,,129.629
185,0.551651,,125.286,,129.486
186,0.554796,,125.143,,129.343
187,0.55794,,125,,129.2
188,0.561302,,125,,129.033
189,0.564663,,125,,128.867
190,0.568025,,125,,128.7
191,0.571387,,125,,128.533
192,0.574748,,125,,128.367
193,0.57811,,125,,128.2
194,0.581368,,124.4,,128.12
195,0.584626,,123.8,,128.04
196,0.587884,,123.2,,127.96
197,0.591142,,122.6,,127.88
198,0.5944,,122,,127.8
199,0.597686,,121.857,,127.8
200,0.600971,,121.714,,127.8
201,0.604257,,121.571,,127.8
202,0.607543,,121.429,,127.8
203,0.610829,,121.286,,127.8
204,0.614114,,121.143,,127.8
205,0.6174,,121,,127.8
206,0.620813,,120.833,,127.833
207,0.624227,,120.667,,127.867
208,0.62764,,120.5,,127.9
209,0.631053,,120.333,,127.933
210,0.634467,,120.167,,127.967
211,0.63788,,120,,128
212,0.641338,,120.6,,128.04
213,0.644796,,121.2,,128.08
214,0.648254,,121.8,,128.12
215,0.651712,,122.4,,128.16
216,0.65517,,123,,128.2
217,0.658547,,122.833,,128.233
218,0.661923,,122.667,,128.267
219,0.6653,,122.5,,128.3
220,0.668677,,122.333,,128.333
221,0.672053,,122.167,,128.367
222,0.67543,,122,,128.4
223,0.678717,,122,,128.371
224,0.682004,,122,,128.343
225,0.685291,,122,,128.314
226,0.688579,,122,,128.286
227,0.691866,,122,,128.257
228,0.695153,,122,,128.229
229,0.69844,,122,,128.2
230,0.701637,,122.286,,128.229
231,0.704834,,122.571,,128.257
232,0.708031,,122.857,,128.286
233,0.711229,,123.143,,128.314
234,0.714426,,123.429,,128.343
235,0.717623,,123.714,,128.371
236,0.72082,,124,,128.4
237,0.724113,,124.286,,128.371
238,0.727406,,124.571,,128.343
239,0.730699,,124.857,,128.314
240,0.733991,,125.143,,128.286
241,0.737284,,125.429,,128.257
242,0.740577,,125.714,,128.229
243,0.74387,,126,,128.2
244,0.747023,,126,,128.143
245,0.750176,,126,,128.086
246,0.753329,,126,,128.029
247,0.756481,,126,,127.971
248,0.759634,,126,,127.914
249,0.762787,,126,,127.857
250,0.76594,,126,,127.8
251,0.769383,,125.667,,127.433
252,0.772827,,125.333,,127.067
253,0.77627,,125,,126.7
254,0.779713,,124.667,,126.333
255,0.783157,,124.333,,125.967
256,0.7866,,124,,125.6
