secs,km,power,hr,cad,alt
0,0,,67,,72.6
1,0.00183,,67,,73.4
2,0.00183,,68.8571,,73.6286
3,0.00183,,70.7143,,73.8571
4,0.00183,,72.5714,,74.0857
5,0.00183,,74.4286,,74.3143
6,0.00183,,76.2857,,74.5429
7,0.00183,,78.1429,,74.7714
8,0.00183,,80,,75
9,0.00474,,84,,75.4
10,0.00789,,85.5,,75.5
11,0.01104,,87,,75.6
12,0.01416,,90,,75.6
13,0.01714,,96,,75.6
14,0.01995,,102,,75.8
15,0.02292,,106,,76
16,0.02619,,117,,76.2
17,0.02922,,123,,76.4
18,0.03254,,126,,76.6
19,0.0354333,,127.667,,76.8
20,0.0383267,,129.333,,77
21,0.04122,,131,,77.2
22,0.044,,139,,77.4
23,0.04673,,142,,77.6
24,0.04958,,142,,78
25,0.0525975,,143,,78.4
26,0.055615,,144,,78.8
27,0.0586325,,145,,79.2
28,0.06165,,146,,79.6
29,0.064635,,148,,79.8
30,0.06762,,150,,80
31,0.0703938,,149.75,,80.15
32,0.0731675,,149.5,,80.3
33,0.0759413,,149.25,,80.45
34,0.078715,,149,,80.6
35,0.0814887,,148.75,,80.75
36,0.0842625,,148.5,,80.9
37,0.0870363,,148.25,,81.05
38,0.08981,,148,,81.2
39,0.092262,,148,,81.16
40,0.094714,,148,,81.12
41,0.097166,,148,,81.08
42,0.099618,,148,,81.04
43,0.10207,,148,,81
44,0.104127,,149,,81.2
45,0.106183,,150,,81.4
46,0.10824,,151,,81.6
47,0.11036,,152,,81.7333
48,0.11248,,153,,81.8667
49,0.1146,,154,,82
50,0.117504,,154.8,,82.08
51,0.120408,,155.6,,82.16
52,0.123312,,156.4,,82.24
53,0.126216,,157.2,,82.32
54,0.12912,,158,,82.4
55,0.132015,,156.5,,82.3
56,0.13491,,155,,82.2
57,0.13796,,152,,82.4
58,0.140933,,153.25,,82.6
59,0.143905,,154.5,,82.8
60,0.146877,,155.75,,83
61,0.14985,,157,,83.2
62,0.15256,,157.833,,83.4
63,0.15527,,158.667,,83.6
64,0.15798,,159.5,,83.8
65,0.16069,,160.333,,84
66,0.1634,,161.167,,84.2
67,0.16611,,162,,84.4
68,0.169,,158,,84.6
69,0.171697,,156.333,,84.7333
70,0.174393,,154.667,,84.8667
71,0.17709,,153,,85
72,0.17935,,153.75,,85.1
73,0.18161,,154.5,,85.2
74,0.18387,,155.25,,85.3
75,0.18613,,156,,85.4
76,0.18793,,159,,85.4
77,0.19034,,156.5,,85.5
78,0.19275,,154,,85.6
79,0.19531,,151,,85.8
80,0.197678,,151.75,,85.9
81,0.200045,,152.5,,86
82,0.202412,,153.25,,86.1
83,0.20478,,154,,86.2
84,0.206855,,153,,86.25
85,0.20893,,152,,86.3
86,0.211005,,151,,86.35
87,0.21308,,150,,86.4
88,0.215045,,148.5,,86.3
89,0.21701,,147,,86.2
90,0.219326,,147,,86.2
91,0.221641,,147,,86.2
92,0.223957,,147,,86.2
93,0.226272,,147,,86.2
94,0.228588,,147,,86.2
95,0.230903,,147,,86.2
96,0.233219,,147,,86.2
97,0.235534,,147,,86.2
98,0.23785,,147,,86.2
99,0.240413,,147.125,,86.075
100,0.242975,,147.25,,85.95
101,0.245538,,147.375,,85.825
102,0.2481,,147.5,,85.7
103,0.250663,,147.625,,85.575
104,0.253225,,147.75,,85.45
105,0.255788,,147.875,,85.325
106,0.25835,,148,,85.2
107,0.26086,,148.25,,85.15
108,0.26337,,148.5,,85.1
109,0.26588,,148.75,,85.05
110,0.26839,,149,,85
111,0.2709,,149.25,,84.95
112,0.27341,,149.5,,84.9
113,0.27592,,149.75,,84.85
114,0.27843,,150,,84.8
115,0.281006,,149.875,,84.575
116,0.283583,,149.75,,84.35
117,0.286159,,149.625,,84.125
