secs,km,power,hr,cad,alt
0,0,,77,,543.2
1,0,,77,,543.2
2,0.002478,,77.4,,542.76
3,0.004956,,77.8,,542.32
4,0.007434,,78.2,,541.88
5,0.009912,,78.6,,541.44
6,0.01239,,79,,541
7,0.01554,,79.75,,540.8
8,0.01869,,80.5,,540.6
9,0.02184,,81.25,,540.4
10,0.02499,,82,,540.2
11,0.02827,,83.5,,540
12,0.03155,,85,,539.8
13,0.035635,,87.5,,539.4
14,0.03972,,90,,539
15,0.04344,,92.5,,538.7
16,0.04716,,95,,538.4
17,0.0508,,97.5,,538.1
18,0.05444,,100,,537.8
19,0.05794,,100,,537.6
20,0.06141,,101.5,,537.4
21,0.06488,,103,,537.2
22,0.06833,,106,,537.2
23,0.071415,,107.5,,537
24,0.0745,,109,,536.8
25,0.07756,,107.5,,536.5
26,0.08062,,106,,536.2
27,0.0836971,,106.286,,536.057
28,0.0867743,,106.571,,535.914
29,0.0898514,,106.857,,535.771
30,0.0929286,,107.143,,535.629
31,0.0960057,,107.429,,535.486
32,0.0990829,,107.714,,535.343
33,0.10216,,108,,535.2
34,0.105135,,109.5,,535.1
35,0.10811,,111,,535
36,0.11104,,113,,535
37,0.11397,,115,,535
38,0.116931,,115,,534.857
39,0.119893,,115,,534.714
40,0.122854,,115,,534.571
41,0.125816,,115,,534.429
42,0.128777,,115,,534.286
43,0.131739,,115,,534.143
44,0.1347,,115,,534
45,0.13759,,118,,534
46,0.140379,,118.625,,533.875
47,0.143167,,119.25,,533.75
48,0.145956,,119.875,,533.625
49,0.148745,,120.5,,533.5
50,0.151534,,121.125,,533.375
51,0.154323,,121.75,,533.25
52,0.157111,,122.375,,533.125
53,0.1599,,123,,533
54,0.16279,,122.714,,532.943
55,0.16568,,122.429,,532.886
56,0.16857,,122.143,,532.829
57,0.17146,,121.857,,532.771
58,0.17435,,121.571,,532.714
59,0.17724,,121.286,,532.657
60,0.18013,,121,,532.6
61,0.18298,,123,,532.467
62,0.18583,,125,,532.333
63,0.18868,,127,,532.2
64,0.19149,,126,,532.05
65,0.1943,,125,,531.9
66,0.19711,,124,,531.75
67,0.19992,,123,,531.6
68,0.202807,,121.333,,531.467
69,0.205693,,119.667,,531.333
70,0.20858,,118,,531.2
71,0.21149,,118,,531.2
72,0.214344,,118.6,,531.08
73,0.217198,,119.2,,530.96
74,0.220052,,119.8,,530.84
75,0.222906,,120.4,,530.72
76,0.22576,,121,,530.6
77,0.228823,,120,,530.6
78,0.231887,,119,,530.6
79,0.23495,,118,,530.6
80,0.23787,,119,,530.5
81,0.24079,,120,,530.4
82,0.24371,,121,,530.3
83,0.24663,,122,,530.2
84,0.249495,,123.5,,530.3
85,0.25236,,125,,530.4
86,0.255315,,126.5,,530.4
87,0.25827,,128,,530.4
88,0.261311,,128.143,,530.314
89,0.264353,,128.286,,530.229
90,0.267394,,128.429,,530.143
91,0.270436,,128.571,,530.057
92,0.273477,,128.714,,529.971
93,0.276519,,128.857,,529.886
94,0.27956,,129,,529.8
95,0.282694,,128.4,,529.76
96,0.285828,,127.8,,529.72
97,0.288962,,127.2,,529.68
98,0.292096,,126.6,,529.64
99,0.29523,,126,,529.6
100,0.298396,,126.286,,529.629
101,0.301561,,126.571,,529.657
102,0.304727,,126.857,,529.686
103,0.307893,,127.143,,529.714
104,0.311059,,127.429,,529.743
105,0.314224,,127.714,,529.771
106,0.31739,,128,,529.8
107,0.320469,,127.571,,529.829
108,0.323547,,127.143,,529.857
109,0.326626,,126.714,,529.886
110,0.329704,,126.286,,529.914
111,0.332783,,125.857,,529.943
112,0.335861,,125.429,,529.971
113,0.33894,,125,,530
114,0.34207,,124.714,,529.971
115,0.3452,,124.429,,529.943
116,0.34833,,124.143,,529.914
117,0.35146,,123.857,,529.886
118,0.35459,,123.571,,529.857
119,0.35772,,123.286,,529.829
120,0.36085,,123,,529.8
121,0.36358,,123,,529.8
122,0.36631,,123,,529.8
123,0.36904,,123,,529.8
124,0.37196,,123.143,,529.886
125,0.37488,,123.286,,529.971
126,0.3778,,123.429,,530.057
127,0.38072,,123.571,,530.143
128,0.38364,,123.714,,530.229
129,0.38656,,123.857,,530.314
130,0.38948,,124,,530.4
131,0.392641,,123.857,,530.686
132,0.395803,,123.714,,530.971
133,0.398964,,123.571,,531.257
134,0.402126,,123.429,,531.543
135,0.405287,,123.286,,531.829
136,0.408449,,123.143,,532.114
137,0.41161,,123,,532.4
138,0.414627,,122.857,,532.686
139,0.417644,,122.714,,532.971
140,0.420661,,122.571,,533.257
141,0.423679,,122.429,,533.543
142,0.426696,,122.286,,533.829
143,0.429713,,122.143,,534.114
144,0.43273,,122,,534.4
145,0.435696,,122,,534.571
146,0.438661,,122,,534.743
147,0.441627,,122,,534.914
148,0.444593,,122,,535.086
149,0.447559,,122,,535.257
150,0.450524,,122,,535.429
151,0.45349,,122,,535.6
152,0.456299,,122.125,,536.05
153,0.459108,,122.25,,536.5
154,0.461916,,122.375,,536.95
155,0.464725,,122.5,,537.4
156,0.467534,,122.625,,537.85
157,0.470342,,122.75,,538.3
158,0.473151,,122.875,,538.75
159,0.47596,,123,,539.2
160,0.478587,,123.75,,539.5
161,0.481215,,124.5,,539.8
162,0.483843,,125.25,,540.1
163,0.48647,,126,,540.4
164,0.489303,,127,,540.533
165,0.492137,,128,,540.667
166,0.49497,,129,,540.8
167,0.497598,,128.875,,540.925
168,0.500225,,128.75,,541.05
169,0.502852,,128.625,,541.175
170,0.50548,,128.5,,541.3
171,0.508107,,128.375,,541.425
172,0.510735,,128.25,,541.55
173,0.513362,,128.125,,541.675
174,0.51599,,128,,541.8
175,0.518712,,127.875,,541.85
176,0.521435,,127.75,,541.9
177,0.524157,,127.625,,541.95
178,0.52688,,127.5,,542
179,0.529602,,127.375,,542.05
180,0.532325,,127.25,,542.1
181,0.535048,,127.125,,542.15
182,0.53777,,127,,542.2
183,0.539615,,127,,541.9
184,0.54146,,127,,541.6
185,0.544479,,127.143,,541.429
186,0.547497,,127.286,,541.257
187,0.550516,,127.429,,541.086
188,0.553534,,127.571,,540.914
189,0.556553,,127.714,,540.743
190,0.559571,,127.857,,540.571
191,0.56259,,128,,540.4
192,0.565569,,128.143,,540.314
193,0.568547,,128.286,,540.229
194,0.571526,,128.429,,540.143
195,0.574504,,128.571,,540.057
196,0.577483,,128.714,,539.971
197,0.580461,,128.857,,539.886
198,0.58344,,129,,539.8
199,0.5865,,128.857,,539.714
200,0.58956,,128.714,,539.629
201,0.59262,,128.571,,539.543
202,0.59568,,128.429,,539.457
203,0.59874,,128.286,,539.371
204,0.6018,,128.143,,539.286
205,0.60486,,128,,539.2
206,0.608044,,127.714,,539.086
207,0.611229,,127.429,,538.971
208,0.614413,,127.143,,538.857
209,0.617597,,126.857,,538.743
210,0.620781,,126.571,,538.629
211,0.623966,,126.286,,538.514
212,0.62715,,126,,538.4
213,0.63038,,125.714,,538.286
214,0.63361,,125.429,,538.171
215,0.63684,,125.143,,538.057
216,0.64007,,124.857,,537.943
217,0.6433,,124.571,,537.829
218,0.64653,,124.286,,537.714
219,0.64976,,124,,537.6
220,0.652941,,124.286,,537.514
221,0.656123,,124.571,,537.429
222,0.659304,,124.857,,537.343
223,0.662486,,125.143,,537.257
224,0.665667,,125.429,,537.171
225,0.668849,,125.714,,537.086
226,0.67203,,126,,537
227,0.675278,,126.5,,537.2
228,0.678527,,127,,537.4
229,0.681775,,127.5,,537.6
230,0.685023,,128,,537.8
231,0.688272,,128.5,,538
232,0.69152,,129,,538.2
233,0.694897,,129.333,,538.233
234,0.698273,,129.667,,538.267
235,0.70165,,130,,538.3
236,0.705027,,130.333,,538.333
237,0.708403,,130.667,,538.367
238,0.71178,,131,,538.4
239,0.715127,,130.833,,538.233
240,0.718473,,130.667,,538.067
241,0.72182,,130.5,,537.9
242,0.725167,,130.333,,537.733
243,0.728513,,130.167,,537.567
244,0.73186,,130,,537.4
245,0.734829,,130,,537.086
246,0.737797,,130,,536.771
247,0.740766,,130,,536.457
248,0.743734,,130,,536.143
249,0.746703,,130,,535.829
250,0.749671,,130,,535.514
251,0.75264,,130,,535.2
252,0.7558,,130,,535.057
253,0.75896,,130,,534.914
254,0.76212,,130,,534.771
255,0.76528,,130,,534.629
256,0.76844,,130,,534.486
257,0.7716,,130,,534.343
258,0.77476,,130,,534.2
259,0.77802,,130,,534.171
260,0.78128,,130,,534.143
261,0.78454,,130,,534.114
262,0.7878,,130,,534.086
263,0.79106,,130,,534.057
264,0.79432,,130,,534.029
265,0.79758,,130,,534
266,0.80084,,129.4,,533.84
267,0.8041,,128.8,,533.68
268,0.80736,,128.2,,533.52
269,0.81062,,127.6,,533.36
270,0.81388,,127,,533.2
271,0.817942,,126.8,,532.96
272,0.822004,,126.6,,532.72
273,0.826066,,126.4,,532.48
274,0.830128,,126.2,,532.24
275,0.83419,,126,,532
276,0.837054,,125.857,,531.571
277,0.839919,,125.714,,531.143
278,0.842783,,125.571,,530.714
279,0.845647,,125.429,,530.286
280,0.848511,,125.286,,529.857
281,0.851376,,125.143,,529.429
282,0.85424,,125,,529
283,0.85759,,125,,528.567
284,0.86094,,125,,528.133
285,0.86429,,125,,527.7
286,0.86764,,125,,527.267
287,0.87099,,125,,526.833
288,0.87434,,125,,526.4
289,0.877727,,124.667,,526.467
290,0.881113,,124.333,,526.533
291,0.8845,,124,,526.6
292,0.887887,,123.667,,526.667
293,0.891273,,123.333,,526.733
294,0.89466,,123,,526.8
295,0.8978,,123,,526.914
296,0.90094,,123,,527.029
297,0.90408,,123,,527.143
298,0.90722,,123,,527.257
299,0.91036,,123,,527.371
300,0.9135,,123,,527.486
301,0.91664,,123,,527.6
302,0.919564,,123.143,,527.343
303,0.922489,,123.286,,527.086
304,0.925413,,123.429,,526.829
305,0.928337,,123.571,,526.571
306,0.931261,,123.714,,526.314
307,0.934186,,123.857,,526.057
308,0.93711,,124,,525.8
309,0.940513,,124.333,,525.767
310,0.943917,,124.667,,525.733
311,0.94732,,125,,525.7
312,0.950723,,125.333,,525.667
313,0.954127,,125.667,,525.633
314,0.95753,,126,,525.6
315,0.961342,,125.833,,525.767
316,0.965153,,125.667,,525.933
317,0.968965,,125.5,,526.1
318,0.972777,,125.333,,526.267
319,0.976588,,125.167,,526.433
320,0.9804,,125,,526.6
321,0.984428,,125,,527
322,0.988456,,125,,527.4
323,0.992484,,125,,527.8
324,0.996512,,125,,528.2
325,1.00054,,125,,528.6
326,1.00424,,125,,528.733
327,1.00795,,125,,528.867
328,1.01165,,125,,529
329,1.01535,,125,,529.133
330,1.01906,,125,,529.267
331,1.02276,,125,,529.4
332,1.02607,,125.143,,529.086
333,1.02939,,125.286,,528.771
334,1.0327,,125.429,,528.457
335,1.03601,,125.571,,528.143
336,1.03932,,125.714,,527.829
337,1.04264,,125.857,,527.514
338,1.04595,,126,,527.2
339,1.04925,,126.143,,526.686
340,1.05255,,126.286,,526.171
341,1.05585,,126.429,,525.657
342,1.05914,,126.571,,525.143
343,1.06244,,126.714,,524.629
344,1.06574,,126.857,,524.114
345,1.06904,,127,,523.6
346,1.07226,,127.286,,522.657
347,1.07548,,127.571,,521.714
348,1.0787,,127.857,,520.771
349,1.08192,,128.143,,519.829
350,1.08514,,128.429,,518.886
351,1.08836,,128.714,,517.943
352,1.09158,,129,,517
353,1.09492,,128.833,,516.467
354,1.09826,,128.667,,515.933
355,1.10159,,128.5,,515.4
356,1.10493,,128.333,,514.867
357,1.10827,,128.167,,514.333
358,1.11161,,128,,513.8
359,1.11489,,127.714,,513.143
360,1.11817,,127.429,,512.486
361,1.12145,,127.143,,511.829
362,1.12472,,126.857,,511.171
363,1.128,,126.571,,510.514
364,1.13128,,126.286,,509.857
365,1.13456,,126,,509.2
366,1.13793,,125.833,,508.7
367,1.14131,,125.667,,508.2
368,1.14468,,125.5,,507.7
369,1.14806,,125.333,,507.2
370,1.15143,,125.167,,506.7
371,1.15481,,125,,506.2
372,1.15825,,125.167,,505.833
373,1.1617,,125.333,,505.467
374,1.16514,,125.5,,505.1
375,1.16859,,125.667,,504.733
376,1.17203,,125.833,,504.367
377,1.17548,,126,,504
378,1.17902,,126.167,,503.967
379,1.18257,,126.333,,503.933
380,1.18611,,126.5,,503.9
381,1.18966,,126.667,,503.867
382,1.19321,,126.833,,503.833
383,1.19675,,127,,503.8
384,1.20022,,127,,504.067
385,1.20368,,127,,504.333
386,1.20715,,127,,504.6
387,1.21062,,127,,504.867
388,1.21408,,127,,505.133
389,1.21755,,127,,505.4
390,1.22085,,127.5,,505.3
391,1.22416,,128,,505.2
392,1.22746,,128.5,,505.1
393,1.23076,,129,,505
394,1.23407,,129.5,,504.9
395,1.23737,,130,,504.8
396,1.24064,,130,,504.771
397,1.24391,,130,,504.743
398,1.24718,,130,,504.714
399,1.25044,,130,,504.686
400,1.25371,,130,,504.657
401,1.25698,,130,,504.629
402,1.26025,,130,,504.6
403,1.26341,,129.5,,504
404,1.26658,,129,,503.4
405,1.26974,,128.5,,502.8
