secs,km,power,hr,cad,alt
0,0,,95,,0
1,0,,71.25,,18
2,0,,47.5,,36
3,0,,23.75,,54
4,0,,0,,72
5,0.020828,,0,,71.68
6,0.041656,,0,,71.36
7,0.062484,,0,,71.04
8,0.083312,,0,,70.72
9,0.10414,,0,,70.4
10,0.11321,,0,,69.8
11,0.12152,,0,,69.6
12,0.129185,,0,,69.5
13,0.13685,,0,,69.4
14,0.139463,,31.6667,,69.3333
15,0.142077,,63.3333,,69.2667
16,0.14469,,95,,69.2
17,0.16781,,95,,69
18,0.174805,,95,,68.9
19,0.1818,,95,,68.8
20,0.19742,,95,,68.6
21,0.20686,,98,,68.6
22,0.21192,,98,,68.4
23,0.21437,,98,,68.3
24,0.21682,,98,,68.2
25,0.2188,,99.6667,,68.1333
26,0.22078,,101.333,,68.0667
27,0.22276,,103,,68
28,0.225255,,103,,68
29,0.22775,,103,,68
30,0.229947,,104.333,,67.9333
31,0.232143,,105.667,,67.8667
32,0.23434,,107,,67.8
33,0.23733,,107,,67.6
34,0.239785,,107,,67.6
35,0.24224,,107,,67.6
36,0.25526,,108,,67.6
37,0.25845,,108,,67.5
38,0.26164,,108,,67.4
39,0.26663,,108,,67.4
40,0.26861,,108.667,,67.4
41,0.27059,,109.333,,67.4
42,0.27257,,110,,67.4
43,0.275473,,110,,67.4
44,0.278377,,110,,67.4
45,0.28128,,110,,67.4
46,0.283443,,110.667,,67.4
47,0.285607,,111.333,,67.4
48,0.28777,,112,,67.4
49,0.29074,,112,,67.4
50,0.29371,,112,,67.4
51,0.29661,,112.5,,67.4
52,0.29951,,113,,67.4
53,0.302365,,113,,67.4
54,0.30522,,113,,67.4
55,0.307527,,113,,67.3333
56,0.309833,,113,,67.2667
57,0.31214,,113,,67.2
58,0.31524,,113,,67.2
59,0.31834,,113,,67.2
60,0.32144,,114,,67.2
61,0.32454,,115,,67.2
62,0.32719,,115,,67.2
63,0.32984,,115,,67.2
64,0.332885,,115,,67.1
65,0.33593,,115,,67
66,0.33863,,115.5,,67
67,0.34133,,116,,67
68,0.343765,,116,,67
69,0.3462,,116,,67
70,0.34865,,116,,67
71,0.3511,,116,,67
72,0.353755,,116,,67
73,0.35641,,116,,67
74,0.358573,,116,,67
75,0.360737,,116,,67
76,0.3629,,116,,67
77,0.365355,,118.5,,67
78,0.36781,,121,,67
79,0.370387,,121,,67
80,0.372963,,121,,67
81,0.37554,,121,,67
82,0.378985,,122,,67
83,0.38243,,123,,67
84,0.38441,,123,,67
85,0.38639,,123,,67
86,0.38837,,123,,67
87,0.390277,,123.667,,67
88,0.392183,,124.333,,67
89,0.39409,,125,,67
90,0.39679,,125,,67
91,0.39949,,125,,67
92,0.40142,,125.333,,67
93,0.40335,,125.667,,67
94,0.40528,,126,,67
