secs,km,power,hr,cad,alt
0,0,,58,,296.8
1,0.00017,,58,,296.8
2,0.002865,,58.6667,,296.8
3,0.00556,,59.3333,,296.8
4,0.008255,,60,,296.8
5,0.01095,,60.6667,,296.8
6,0.013645,,61.3333,,296.8
7,0.01634,,62,,296.8
8,0.0209133,,62.6667,,296.8
9,0.0254867,,63.3333,,296.8
10,0.03006,,64,,296.8
11,0.0357575,,64.5,,296.85
12,0.041455,,65,,296.9
13,0.0471525,,65.5,,296.95
14,0.05285,,66,,297
15,0.0569025,,49.5,,296.75
16,0.060955,,33,,296.5
17,0.0650075,,16.5,,296.25
18,0.06906,,0,,296
19,0.0732667,,22,,295.667
20,0.0774733,,44,,295.333
21,0.08168,,66,,295
22,0.0860567,,67.3333,,294.867
23,0.0904333,,68.6667,,294.733
24,0.09481,,70,,294.6
25,0.09848,,70.6,,294.2
26,0.10215,,71.2,,293.8
27,0.10582,,71.8,,293.4
28,0.10949,,72.4,,293
29,0.11316,,73,,292.6
30,0.116813,,73.1667,,292.6
31,0.120467,,73.3333,,292.6
32,0.12412,,73.5,,292.6
33,0.127773,,73.6667,,292.6
34,0.131427,,73.8333,,292.6
35,0.13508,,74,,292.6
36,0.13854,,79,,292.6
37,0.14202,,81,,292.7
38,0.1455,,83,,292.8
39,0.14916,,84,,292.8
40,0.15282,,85,,292.8
41,0.15648,,86,,292.8
42,0.160076,,86.6,,292.76
43,0.163672,,87.2,,292.72
44,0.167268,,87.8,,292.68
45,0.170864,,88.4,,292.64
46,0.17446,,89,,292.6
47,0.178433,,89,,292.567
48,0.182407,,89,,292.533
49,0.18638,,89,,292.5
50,0.190353,,89,,292.467
51,0.194327,,89,,292.433
52,0.1983,,89,,292.4
53,0.2024,,89,,292.12
54,0.2065,,89,,291.84
55,0.2106,,89,,291.56
56,0.2147,,89,,291.28
57,0.2188,,89,,291
58,0.222564,,90,,291
59,0.226328,,91,,291
60,0.230092,,92,,291
61,0.233856,,93,,291
62,0.23762,,94,,291
63,0.24077,,94,,291
64,0.244109,,94.2857,,290.971
65,0.247447,,94.5714,,290.943
66,0.250786,,94.8571,,290.914
67,0.254124,,95.1429,,290.886
68,0.257463,,95.4286,,290.857
69,0.260801,,95.7143,,290.829
70,0.26414,,96,,290.8
