secs,km,power,hr,cad,alt
0,0,,57,,405.8
1,0.0036775,,57,,406.3
2,0.007355,,57,,406.8
3,0.0110325,,57,,407.3
4,0.01471,,57,,407.8
5,0.01799,,58,,407
6,0.02101,,59.6667,,406.2
7,0.02403,,61.3333,,405.4
8,0.02705,,63,,404.6
9,0.02982,,64,,403.6
10,0.03246,,66.5,,402.7
11,0.0351,,69,,401.8
12,0.038265,,71,,401.1
13,0.04143,,73,,400.4
14,0.04488,,80,,399.8
15,0.04805,,87,,398.8
16,0.05016,,90,,398
17,0.05233,,96,,397.4
18,0.05483,,100,,396.6
19,0.05781,,104,,395.8
20,0.06099,,108,,395.2
21,0.06389,,110,,394.8
22,0.06679,,112,,394.4
23,0.06895,,113.5,,394.2
24,0.07111,,115,,394
25,0.07845,,116,,399.6
26,0.0816983,,116.5,,400.733
27,0.0849467,,117,,401.867
28,0.088195,,117.5,,403
29,0.0914433,,118,,404.133
30,0.0946917,,118.5,,405.267
31,0.09794,,119,,406.4
32,0.101203,,119.286,,406.829
33,0.104466,,119.571,,407.257
34,0.107729,,119.857,,407.686
35,0.110991,,120.143,,408.114
36,0.114254,,120.429,,408.543
37,0.117517,,120.714,,408.971
38,0.12078,,121,,409.4
39,0.123799,,121.143,,409.971
40,0.126817,,121.286,,410.543
41,0.129836,,121.429,,411.114
42,0.132854,,121.571,,411.686
43,0.135873,,121.714,,412.257
44,0.138891,,121.857,,412.829
45,0.14191,,122,,413.4
46,0.144652,,122.6,,413.72
47,0.147394,,123.2,,414.04
48,0.150136,,123.8,,414.36
49,0.152878,,124.4,,414.68
50,0.15562,,125,,415
51,0.158636,,125.6,,415.92
52,0.161652,,126.2,,416.84
53,0.164668,,126.8,,417.76
54,0.167684,,127.4,,418.68
55,0.1707,,128,,419.6
56,0.173768,,128.6,,420.2
57,0.176836,,129.2,,420.8
58,0.179904,,129.8,,421.4
59,0.182972,,130.4,,422
60,0.18604,,131,,422.6
61,0.189108,,131.5,,423
62,0.192177,,132,,423.4
63,0.195245,,132.5,,423.8
64,0.198313,,133,,424.2
65,0.201382,,133.5,,424.6
66,0.20445,,134,,425
67,0.207193,,134.25,,425.65
68,0.209935,,134.5,,426.3
69,0.212677,,134.75,,426.95
70,0.21542,,135,,427.6
71,0.218163,,135.25,,428.25
72,0.220905,,135.5,,428.9
73,0.223647,,135.75,,429.55
74,0.22639,,136,,430.2
75,0.229339,,136,,430.8
76,0.232287,,136,,431.4
77,0.235236,,136,,432
78,0.238184,,136,,432.6
79,0.241133,,136,,433.2
80,0.244081,,136,,433.8
81,0.24703,,136,,434.4
82,0.249651,,136.125,,435
83,0.252273,,136.25,,435.6
84,0.254894,,136.375,,436.2
85,0.257515,,136.5,,436.8
86,0.260136,,136.625,,437.4
87,0.262758,,136.75,,438
88,0.265379,,136.875,,438.6
89,0.268,,137,,439.2
90,0.270534,,137,,439.625
91,0.273068,,137,,440.05
92,0.275601,,137,,440.475
93,0.278135,,137,,440.9
94,0.280669,,137,,441.325
95,0.283203,,137,,441.75
96,0.285736,,137,,442.175
97,0.28827,,137,,442.6
98,0.291204,,137,,442.457
99,0.294139,,137,,442.314
100,0.297073,,137,,442.171
101,0.300007,,137,,442.029
102,0.302941,,137,,441.886
103,0.305876,,137,,441.743
104,0.30881,,137,,441.6
105,0.313478,,137.2,,440.32
106,0.318146,,137.4,,439.04
107,0.322814,,137.6,,437.76
108,0.327482,,137.8,,436.48
109,0.33215,,138,,435.2
110,0.335461,,138.143,,435.257
111,0.338773,,138.286,,435.314
112,0.342084,,138.429,,435.371
113,0.345396,,138.571,,435.429
114,0.348707,,138.714,,435.486
115,0.352019,,138.857,,435.543
116,0.35533,,139,,435.6
117,0.357265,,138.5,,434.6
118,0.3592,,138,,433.6
119,0.361636,,138.111,,432.667
120,0.364071,,138.222,,431.733
121,0.366507,,138.333,,430.8
122,0.368942,,138.444,,429.867
123,0.371378,,138.556,,428.933
124,0.373813,,138.667,,428
125,0.376249,,138.778,,427.067
126,0.378684,,138.889,,426.133
127,0.38112,,139,,425.2
128,0.384134,,139,,424.2
129,0.387149,,139,,423.2
130,0.390163,,139,,422.2
131,0.393177,,139,,421.2
132,0.396191,,139,,420.2
133,0.399206,,139,,419.2
134,0.40222,,139,,418.2
135,0.404808,,139,,417.775
136,0.407395,,139,,417.35
137,0.409983,,139,,416.925
138,0.41257,,139,,416.5
139,0.415158,,139,,416.075
140,0.417745,,139,,415.65
141,0.420332,,139,,415.225
142,0.42292,,139,,414.8
143,0.425569,,139,,414.2
144,0.428218,,139,,413.6
145,0.430866,,139,,413
146,0.433515,,139,,412.4
147,0.436164,,139,,411.8
148,0.438812,,139,,411.2
149,0.441461,,139,,410.6
150,0.44411,,139,,410
151,0.447304,,138.857,,409.914
152,0.450499,,138.714,,409.829
153,0.453693,,138.571,,409.743
154,0.456887,,138.429,,409.657
155,0.460081,,138.286,,409.571
156,0.463276,,138.143,,409.486
157,0.46647,,138,,409.4
158,0.469341,,138,,409.325
159,0.472212,,138,,409.25
160,0.475084,,138,,409.175
161,0.477955,,138,,409.1
162,0.480826,,138,,409.025
163,0.483698,,138,,408.95
164,0.486569,,138,,408.875
165,0.48944,,138,,408.8
166,0.492637,,138,,408.543
167,0.495834,,138,,408.286
168,0.499031,,138,,408.029
169,0.502229,,138,,407.771
170,0.505426,,138,,407.514
171,0.508623,,138,,407.257
172,0.51182,,138,,407
173,0.514659,,138,,406.925
174,0.517498,,138,,406.85
175,0.520336,,138,,406.775
176,0.523175,,138,,406.7
177,0.526014,,138,,406.625
178,0.528852,,138,,406.55
179,0.531691,,138,,406.475
180,0.53453,,138,,406.4
181,0.537473,,138.143,,406.486
182,0.540416,,138.286,,406.571
183,0.543359,,138.429,,406.657
184,0.546301,,138.571,,406.743
185,0.549244,,138.714,,406.829
186,0.552187,,138.857,,406.914
187,0.55513,,139,,407
188,0.558077,,139,,407.057
189,0.561024,,139,,407.114
190,0.563971,,139,,407.171
191,0.566919,,139,,407.229
192,0.569866,,139,,407.286
193,0.572813,,139,,407.343
194,0.57576,,139,,407.4
195,0.578889,,139.143,,407.4
196,0.582017,,139.286,,407.4
197,0.585146,,139.429,,407.4
198,0.588274,,139.571,,407.4
199,0.591403,,139.714,,407.4
200,0.594531,,139.857,,407.4
201,0.59766,,140,,407.4
202,0.600626,,140,,407.4
203,0.603591,,140,,407.4
204,0.606557,,140,,407.4
205,0.609523,,140,,407.4
206,0.612489,,140,,407.4
207,0.615454,,140,,407.4
208,0.61842,,140,,407.4
209,0.621757,,140,,407.533
210,0.625093,,140,,407.667
211,0.62843,,140,,407.8
212,0.631767,,140,,407.933
213,0.635103,,140,,408.067
214,0.63844,,140,,408.2
215,0.641454,,140.286,,408.2
216,0.644469,,140.571,,408.2
217,0.647483,,140.857,,408.2
218,0.650497,,141.143,,408.2
219,0.653511,,141.429,,408.2
220,0.656526,,141.714,,408.2
221,0.65954,,142,,408.2
222,0.662831,,142,,407.714
223,0.666123,,142,,407.229
224,0.669414,,142,,406.743
225,0.672706,,142,,406.257
226,0.675997,,142,,405.771
227,0.679289,,142,,405.286
228,0.68258,,142,,404.8
229,0.685917,,142.167,,404.433
230,0.689253,,142.333,,404.067
231,0.69259,,142.5,,403.7
232,0.695927,,142.667,,403.333
233,0.699263,,142.833,,402.967
234,0.7026,,143,,402.6
235,0.705553,,143,,402.629
236,0.708506,,143,,402.657
237,0.711459,,143,,402.686
238,0.714411,,143,,402.714
239,0.717364,,143,,402.743
240,0.720317,,143,,402.771
241,0.72327,,143,,402.8
242,0.726124,,143,,402.925
243,0.728977,,143,,403.05
244,0.731831,,143,,403.175
245,0.734685,,143,,403.3
246,0.737539,,143,,403.425
247,0.740393,,143,,403.55
248,0.743246,,143,,403.675
249,0.7461,,143,,403.8
250,0.748812,,143,,403.925
251,0.751525,,143,,404.05
252,0.754238,,143,,404.175
253,0.75695,,143,,404.3
254,0.759663,,143,,404.425
255,0.762375,,143,,404.55
256,0.765088,,143,,404.675
257,0.7678,,143,,404.8
258,0.770841,,143.143,,405
259,0.773883,,143.286,,405.2
260,0.776924,,143.429,,405.4
261,0.779966,,143.571,,405.6
262,0.783007,,143.714,,405.8
263,0.786049,,143.857,,406
264,0.78909,,144,,406.2
265,0.79196,,144,,406.6
266,0.795207,,143.857,,406.857
267,0.798454,,143.714,,407.114
268,0.801701,,143.571,,407.371
269,0.804949,,143.429,,407.629
270,0.808196,,143.286,,407.886
271,0.811443,,143.143,,408.143
272,0.81469,,143,,408.4
273,0.818347,,142.833,,408.233
274,0.822003,,142.667,,408.067
275,0.82566,,142.5,,407.9
276,0.829317,,142.333,,407.733
277,0.832973,,142.167,,407.567
278,0.83663,,142,,407.4
279,0.83991,,142,,407.029
280,0.84319,,142,,406.657
281,0.84647,,142,,406.286
282,0.84975,,142,,405.914
283,0.85303,,142,,405.543
284,0.85631,,142,,405.171
285,0.85959,,142,,404.8
286,0.862691,,141.857,,404.571
287,0.865793,,141.714,,404.343
288,0.868894,,141.571,,404.114
289,0.871996,,141.429,,403.886
290,0.875097,,141.286,,403.657
291,0.878199,,141.143,,403.429
292,0.8813,,141,,403.2
293,0.884107,,140.625,,403.4
294,0.886915,,140.25,,403.6
295,0.889722,,139.875,,403.8
296,0.89253,,139.5,,404
297,0.895338,,139.125,,404.2
298,0.898145,,138.75,,404.4
299,0.900953,,138.375,,404.6
300,0.90376,,138,,404.8
301,0.906644,,137.714,,404.6
302,0.909529,,137.429,,404.4
303,0.912413,,137.143,,404.2
304,0.915297,,136.857,,404
305,0.918181,,136.571,,403.8
306,0.921066,,136.286,,403.6
307,0.92395,,136,,403.4
308,0.926634,,135.75,,403.175
309,0.929318,,135.5,,402.95
310,0.932001,,135.25,,402.725
311,0.934685,,135,,402.5
312,0.937369,,134.75,,402.275
313,0.940053,,134.5,,402.05
314,0.942736,,134.25,,401.825
315,0.94542,,134,,401.6
316,0.947941,,134.25,,401.65
317,0.950462,,134.5,,401.7
318,0.952984,,134.75,,401.75
319,0.955505,,135,,401.8
320,0.958026,,135.25,,401.85
321,0.960547,,135.5,,401.9
322,0.963069,,135.75,,401.95
323,0.96559,,136,,402
324,0.968334,,136.25,,402.2
325,0.971077,,136.5,,402.4
326,0.973821,,136.75,,402.6
327,0.976565,,137,,402.8
328,0.979309,,137.25,,403
329,0.982052,,137.5,,403.2
330,0.984796,,137.75,,403.4
331,0.98754,,138,,403.6
332,0.990334,,138.2,,403.44
333,0.993128,,138.4,,403.28
334,0.995922,,138.6,,403.12
335,0.998716,,138.8,,402.96
336,1.00151,,139,,402.8
337,1.00467,,139,,402.114
338,1.00783,,139,,401.429
339,1.01099,,139,,400.743
340,1.01414,,139,,400.057
341,1.0173,,139,,399.371
342,1.02046,,139,,398.686
343,1.02362,,139,,398
344,1.02648,,139,,397.743
345,1.02935,,139,,397.486
346,1.03221,,139,,397.229
347,1.03507,,139,,396.971
348,1.03793,,139,,396.714
349,1.0408,,139,,396.457
350,1.04366,,139,,396.2
351,1.04632,,139.125,,396.3
352,1.04897,,139.25,,396.4
353,1.05163,,139.375,,396.5
354,1.05428,,139.5,,396.6
355,1.05693,,139.625,,396.7
356,1.05959,,139.75,,396.8
357,1.06224,,139.875,,396.9
358,1.0649,,140,,397
359,1.0678,,139.857,,397.114
360,1.07069,,139.714,,397.229
361,1.07359,,139.571,,397.343
362,1.07648,,139.429,,397.457
363,1.07938,,139.286,,397.571
364,1.08227,,139.143,,397.686
365,1.08517,,139,,397.8
366,1.08792,,139.125,,397.625
367,1.09068,,139.25,,397.45
368,1.09343,,139.375,,397.275
369,1.09618,,139.5,,397.1
370,1.09894,,139.625,,396.925
371,1.10169,,139.75,,396.75
372,1.10445,,139.875,,396.575
373,1.1072,,140,,396.4
374,1.10937,,140,,396.667
375,1.11153,,140,,396.933
376,1.1137,,140,,397.2
377,1.11587,,140,,397.467
378,1.11803,,140,,397.733
379,1.1202,,140,,398
380,1.12232,,139.9,,398.42
381,1.12445,,139.8,,398.84
382,1.12657,,139.7,,399.26
383,1.12869,,139.6,,399.68
384,1.13082,,139.5,,400.1
385,1.13294,,139.4,,400.52
386,1.13506,,139.3,,400.94
387,1.13718,,139.2,,401.36
388,1.13931,,139.1,,401.78
389,1.14143,,139,,402.2
390,1.14393,,139,,402.7
391,1.14644,,139,,403.2
392,1.14894,,139,,403.7
393,1.15144,,139,,404.2
394,1.15395,,139,,404.7
395,1.15645,,139,,405.2
396,1.15896,,139,,405.7
397,1.16146,,139,,406.2
398,1.16397,,139.25,,406.45
399,1.16649,,139.5,,406.7
400,1.16901,,139.75,,406.95
401,1.17152,,140,,407.2
402,1.17403,,140.25,,407.45
403,1.17655,,140.5,,407.7
404,1.17907,,140.75,,407.95
405,1.18158,,141,,408.2
406,1.18382,,141.111,,408.6
407,1.18606,,141.222,,409
408,1.1883,,141.333,,409.4
409,1.19054,,141.444,,409.8
410,1.19278,,141.556,,410.2
411,1.19502,,141.667,,410.6
412,1.19726,,141.778,,411
413,1.1995,,141.889,,411.4
414,1.20174,,142,,411.8
415,1.2038,,142,,412.4
416,1.20585,,142,,413
417,1.20791,,142,,413.6
418,1.20996,,142,,414.2
419,1.21202,,142,,414.8
420,1.21363,,142,,415.508
421,1.21523,,142,,416.215
422,1.21684,,142,,416.923
423,1.21845,,142,,417.631
424,1.22005,,142,,418.338
425,1.22166,,142,,419.046
426,1.22327,,142,,419.754
427,1.22488,,142,,420.462
428,1.22648,,142,,421.169
429,1.22809,,142,,421.877
430,1.2297,,142,,422.585
431,1.2313,,142,,423.292
432,1.23291,,142,,424
433,1.23484,,142,,424.6
434,1.23792,,142,,424.743
435,1.241,,142,,424.886
436,1.24408,,142,,425.029
437,1.24716,,142,,425.171
438,1.25024,,142,,425.314
439,1.25332,,142,,425.457
440,1.2564,,142,,425.6
441,1.25994,,141.833,,425.967
442,1.26347,,141.667,,426.333
443,1.267,,141.5,,426.7
444,1.27054,,141.333,,427.067
445,1.27407,,141.167,,427.433
446,1.27761,,141,,427.8
447,1.28137,,141.333,,427.933
448,1.28513,,141.667,,428.067
449,1.28889,,142,,428.2
450,1.29265,,142.333,,428.333
451,1.29641,,142.667,,428.467
452,1.30017,,143,,428.6
453,1.30329,,142.857,,428.2
454,1.30641,,142.714,,427.8
455,1.30953,,142.571,,427.4
456,1.31264,,142.429,,427
457,1.31576,,142.286,,426.6
458,1.31888,,142.143,,426.2
459,1.322,,142,,425.8
460,1.32503,,142,,425.771
461,1.32806,,142,,425.743
462,1.33109,,142,,425.714
463,1.33411,,142,,425.686
464,1.33714,,142,,425.657
465,1.34017,,142,,425.629
466,1.3432,,142,,425.6
467,1.34623,,141.714,,425.857
468,1.34926,,141.429,,426.114
469,1.35229,,141.143,,426.371
470,1.35532,,140.857,,426.629
471,1.35835,,140.571,,426.886
