secs,km,power,hr,cad,alt
0,0,,91,,106.2
1,0.00241,,92,,106.8
2,0.006425,,94,,107.1
3,0.01044,,96,,107.4
4,0.01086,,97.3333,,107.467
5,0.01128,,98.6667,,107.533
6,0.0117,,100,,107.6
7,0.0117,,102,,107.8
8,0.01181,,103.333,,107.733
9,0.01192,,104.667,,107.667
10,0.01203,,106,,107.6
11,0.0134933,,107,,107.6
12,0.0149567,,108,,107.6
13,0.01642,,109,,107.6
14,0.01843,,109,,107.8
15,0.02081,,110,,107.8
16,0.02319,,111,,107.8
17,0.0257617,,111.5,,107.8
18,0.0283333,,112,,107.8
19,0.030905,,112.5,,107.8
20,0.0334767,,113,,107.8
21,0.0360483,,113.5,,107.8
22,0.03862,,114,,107.8
23,0.04141,,114.6,,107.84
24,0.0442,,115.2,,107.88
25,0.04699,,115.8,,107.92
26,0.04978,,116.4,,107.96
27,0.05257,,117,,108
28,0.0550317,,117.5,,108.067
29,0.0574933,,118,,108.133
30,0.059955,,118.5,,108.2
31,0.0624167,,119,,108.267
32,0.0648783,,119.5,,108.333
33,0.06734,,120,,108.4
34,0.070095,,120.5,,108.5
35,0.07285,,121,,108.6
36,0.07567,,121.5,,108.667
37,0.07849,,122,,108.733
38,0.08131,,122.5,,108.8
39,0.08413,,123,,108.867
40,0.08695,,123.5,,108.933
41,0.08977,,124,,109
42,0.0917229,,124.286,,109.086
43,0.0936757,,124.571,,109.171
44,0.0956286,,124.857,,109.257
45,0.0975814,,125.143,,109.343
46,0.0995343,,125.429,,109.429
47,0.101487,,125.714,,109.514
48,0.10344,,126,,109.6
49,0.106124,,126.6,,109.72
50,0.108808,,127.2,,109.84
51,0.111492,,127.8,,109.96
52,0.114176,,128.4,,110.08
53,0.11686,,129,,110.2
54,0.119395,,129.375,,110.225
55,0.12193,,129.75,,110.25
56,0.124465,,130.125,,110.275
57,0.127,,130.5,,110.3
58,0.129535,,130.875,,110.325
59,0.13207,,131.25,,110.35
60,0.134605,,131.625,,110.375
61,0.13714,,132,,110.4
62,0.140692,,132.4,,110.44
63,0.144244,,132.8,,110.48
64,0.147796,,133.2,,110.52
65,0.151348,,133.6,,110.56
66,0.1549,,134,,110.6
67,0.157665,,134.25,,110.675
68,0.16043,,134.5,,110.75
69,0.163195,,134.75,,110.825
70,0.16596,,135,,110.9
71,0.168725,,135.25,,110.975
72,0.17149,,135.5,,111.05
73,0.174255,,135.75,,111.125
74,0.17702,,136,,111.2
75,0.17974,,136,,111.267
76,0.18246,,136,,111.333
77,0.18518,,136,,111.4
78,0.1879,,136,,111.467
79,0.19062,,136,,111.533
80,0.19334,,136,,111.6
81,0.1964,,136,,111.6
82,0.19946,,136,,111.6
83,0.20252,,136,,111.6
84,0.20558,,136,,111.6
85,0.208671,,136,,111.6
86,0.211763,,136,,111.6
87,0.214854,,136,,111.6
88,0.217946,,136,,111.6
89,0.221037,,136,,111.6
90,0.224129,,136,,111.6
91,0.22722,,136,,111.6
92,0.229372,,136.111,,111.644
93,0.231524,,136.222,,111.689
94,0.233677,,136.333,,111.733
95,0.235829,,136.444,,111.778
96,0.237981,,136.556,,111.822
97,0.240133,,136.667,,111.867
98,0.242286,,136.778,,111.911
99,0.244438,,136.889,,111.956
100,0.24659,,137,,112
101,0.249639,,137.143,,112.029
102,0.252687,,137.286,,112.057
103,0.255736,,137.429,,112.086
104,0.258784,,137.571,,112.114
105,0.261833,,137.714,,112.143
106,0.264881,,137.857,,112.171
107,0.26793,,138,,112.2
108,0.270512,,138,,112.175
109,0.273095,,138,,112.15
110,0.275677,,138,,112.125
111,0.27826,,138,,112.1
112,0.280842,,138,,112.075
113,0.283425,,138,,112.05
114,0.286007,,138,,112.025
115,0.28859,,138,,112
116,0.291421,,137.875,,112.075
117,0.294252,,137.75,,112.15
118,0.297084,,137.625,,112.225
119,0.299915,,137.5,,112.3
120,0.302746,,137.375,,112.375
121,0.305578,,137.25,,112.45
122,0.308409,,137.125,,112.525
123,0.31124,,137,,112.6
124,0.314115,,136.5,,112.7
125,0.31699,,136,,112.8
126,0.31965,,136.25,,112.825
127,0.32231,,136.5,,112.85
128,0.32497,,136.75,,112.875
129,0.32763,,137,,112.9
130,0.33029,,137.25,,112.925
131,0.33295,,137.5,,112.95
132,0.33561,,137.75,,112.975
133,0.33827,,138,,113
134,0.340874,,137.75,,113.025
135,0.343478,,137.5,,113.05
136,0.346081,,137.25,,113.075
137,0.348685,,137,,113.1
138,0.351289,,136.75,,113.125
139,0.353893,,136.5,,113.15
140,0.356496,,136.25,,113.175
141,0.3591,,136,,113.2
142,0.361791,,136.125,,113.25
143,0.364482,,136.25,,113.3
144,0.367174,,136.375,,113.35
145,0.369865,,136.5,,113.4
146,0.372556,,136.625,,113.45
147,0.375247,,136.75,,113.5
148,0.377939,,136.875,,113.55
149,0.38063,,137,,113.6
150,0.38333,,137,,113.8
151,0.385864,,137.125,,113.8
152,0.388398,,137.25,,113.8
153,0.390931,,137.375,,113.8
154,0.393465,,137.5,,113.8
155,0.395999,,137.625,,113.8
156,0.398533,,137.75,,113.8
157,0.401066,,137.875,,113.8
158,0.4036,,138,,113.8
159,0.406398,,138,,113.8
160,0.409195,,138,,113.8
161,0.411993,,138,,113.8
162,0.41479,,138,,113.8
163,0.417588,,138,,113.8
164,0.420385,,138,,113.8
165,0.423183,,138,,113.8
166,0.42598,,138,,113.8
167,0.428553,,138.125,,113.85
168,0.431125,,138.25,,113.9
169,0.433697,,138.375,,113.95
170,0.43627,,138.5,,114
171,0.438842,,138.625,,114.05
172,0.441415,,138.75,,114.1
173,0.443987,,138.875,,114.15
174,0.44656,,139,,114.2
175,0.448918,,139.111,,114.156
176,0.451276,,139.222,,114.111
177,0.453633,,139.333,,114.067
178,0.455991,,139.444,,114.022
179,0.458349,,139.556,,113.978
180,0.460707,,139.667,,113.933
181,0.463064,,139.778,,113.889
182,0.465422,,139.889,,113.844
183,0.46778,,140,,113.8
184,0.470302,,139.875,,113.775
185,0.472825,,139.75,,113.75
186,0.475347,,139.625,,113.725
187,0.47787,,139.5,,113.7
188,0.480392,,139.375,,113.675
189,0.482915,,139.25,,113.65
190,0.485437,,139.125,,113.625
191,0.48796,,139,,113.6
192,0.490974,,138.857,,113.629
193,0.493989,,138.714,,113.657
194,0.497003,,138.571,,113.686
195,0.500017,,138.429,,113.714
196,0.503031,,138.286,,113.743
