secs,km,power,hr,cad,alt
0,0,,93,,249.2
1,0.00044,,93,,249.6
2,0.00179333,,94,,250.533
3,0.00314667,,95,,251.467
4,0.0045,,96,,252.4
5,0.00629667,,97.3333,,253.267
6,0.00809333,,98.6667,,254.133
7,0.00989,,100,,255
8,0.0129271,,100.714,,256
9,0.0159643,,101.429,,257
10,0.0190014,,102.143,,258
11,0.0220386,,102.857,,259
12,0.0250757,,103.571,,260
13,0.0281129,,104.286,,261
14,0.03115,,105,,262
15,0.03442,,108,,263
16,0.03746,,109.5,,263.9
17,0.0405,,111,,264.8
18,0.043598,,112,,265.76
19,0.046696,,113,,266.72
20,0.049794,,114,,267.68
21,0.052892,,115,,268.64
22,0.05599,,116,,269.6
23,0.05923,,116,,270.4
24,0.0625825,,117,,270.7
25,0.065935,,118,,271
26,0.0692875,,119,,271.3
27,0.07264,,120,,271.6
28,0.07568,,122,,272.1
29,0.07872,,124,,272.6
30,0.082184,,124.8,,272.56
31,0.085648,,125.6,,272.52
32,0.089112,,126.4,,272.48
33,0.092576,,127.2,,272.44
34,0.09604,,128,,272.4
35,0.0995667,,128.333,,272.067
36,0.103093,,128.667,,271.733
37,0.10662,,129,,271.4
38,0.110355,,130.5,,270.8
39,0.11409,,132,,270.2
40,0.117555,,133.5,,269.9
41,0.12102,,135,,269.6
42,0.123065,,136,,267.3
43,0.12511,,137,,265
44,0.127155,,138,,262.7
45,0.1292,,139,,260.4
46,0.131245,,140,,258.1
47,0.13329,,141,,255.8
48,0.135878,,141.5,,254.8
49,0.138467,,142,,253.8
50,0.141055,,142.5,,252.8
51,0.143643,,143,,251.8
52,0.146232,,143.5,,250.8
53,0.14882,,144,,249.8
54,0.151869,,144.143,,249.314
55,0.154917,,144.286,,248.829
56,0.157966,,144.429,,248.343
57,0.161014,,144.571,,247.857
58,0.164063,,144.714,,247.371
59,0.167111,,144.857,,246.886
60,0.17016,,145,,246.4
61,0.173164,,145.286,,246.2
62,0.176169,,145.571,,246
63,0.179173,,145.857,,245.8
64,0.182177,,146.143,,245.6
65,0.185181,,146.429,,245.4
66,0.188186,,146.714,,245.2
67,0.19119,,147,,245
68,0.19395,,152,,244.6
69,0.1967,,152,,244.6
70,0.198555,,150.5,,244.1
