secs,km,power,hr,cad,alt
0,0,,71,50,120.6
1,0.00169,,72,66,120.6
2,0.00169,,72,71.5,120.9
3,0.00169,,72,77,121.2
4,0.00687,,73.5,77.5,121.2
5,0.01205,,75,78,121.2
6,0.01349,,76.5,79,121
7,0.01493,,78,80,120.8
8,0.01569,,81,80,120.8
9,0.01603,,83,80,120.7
10,0.01637,,85,80,120.6
11,0.01882,,87.5,80,120.6
12,0.02127,,90,80,120.6
13,0.02391,,91.5,80,120.5
14,0.02655,,93,80,120.4
15,0.02924,,96,80,120.4
16,0.03228,,97.5,80.5,120.4
17,0.03532,,99,81,120.4
18,0.03843,,101,81,120.4
19,0.04154,,103,81,120.4
20,0.0442425,,103.75,81,120.3
21,0.046945,,104.5,81,120.2
22,0.0496475,,105.25,81,120.1
23,0.05235,,106,81,120
24,0.05523,,107,81.3333,120.067
25,0.05811,,108,81.6667,120.133
26,0.06099,,109,82,120.2
27,0.06386,,109.6,82,120.16
28,0.06673,,110.2,82,120.12
29,0.0696,,110.8,82,120.08
30,0.07247,,111.4,82,120.04
31,0.07534,,112,82,120
32,0.0781633,,112.5,82,119.967
33,0.0809867,,113,82,119.933
34,0.08381,,113.5,82,119.9
35,0.0866333,,114,82,119.867
36,0.0894567,,114.5,82,119.833
37,0.09228,,115,82,119.8
38,0.095622,,115.6,82,119.8
39,0.098964,,116.2,82,119.8
40,0.102306,,116.8,82,119.8
41,0.105648,,117.4,82,119.8
42,0.10899,,118,82,119.8
43,0.112555,,118.333,81.8333,119.767
44,0.11612,,118.667,81.6667,119.733
45,0.119685,,119,81.5,119.7
46,0.12325,,119.333,81.3333,119.667
47,0.126815,,119.667,81.1667,119.633
48,0.13038,,120,81,119.6
49,0.133913,,120.167,80.8333,119.533
50,0.137447,,120.333,80.6667,119.467
51,0.14098,,120.5,80.5,119.4
52,0.144513,,120.667,80.3333,119.333
53,0.148047,,120.833,80.1667,119.267
54,0.15158,,121,80,119.2
55,0.154588,,121,80.1667,119.067
56,0.157597,,121,80.3333,118.933
57,0.160605,,121,80.5,118.8
58,0.163613,,121,80.6667,118.667
59,0.166622,,121,80.8333,118.533
60,0.16963,,121,81,118.4
61,0.172245,,121.25,81.25,118.35
62,0.17486,,121.5,81.5,118.3
63,0.177475,,121.75,81.75,118.25
64,0.18009,,122,82,118.2
65,0.182275,,122,82,118.2
66,0.18446,,122,82,118.2
67,0.187953,,122,82.1429,118.143
68,0.191446,,122,82.2857,118.086
69,0.194939,,122,82.4286,118.029
70,0.198431,,122,82.5714,117.971
71,0.201924,,122,82.7143,117.914
72,0.205417,,122,82.8571,117.857
73,0.20891,,122,83,117.8
74,0.21246,,122,83.1667,117.833
75,0.21601,,122,83.3333,117.867
76,0.21956,,122,83.5,117.9
77,0.22311,,122,83.6667,117.933
78,0.22666,,122,83.8333,117.967
79,0.23021,,122,84,118
80,0.233093,,122,83.75,117.975
81,0.235975,,122,83.5,117.95
82,0.238858,,122,83.25,117.925
83,0.24174,,122,83,117.9
84,0.244623,,122,82.75,117.875
85,0.247505,,122,82.5,117.85
86,0.250387,,122,82.25,117.825
87,0.25327,,122,82,117.8
88,0.256865,,122,82,117.6
89,0.26046,,122,82,117.4
90,0.263995,,122.333,82.1667,117.2
91,0.26753,,122.667,82.3333,117
92,0.271065,,123,82.5,116.8
93,0.2746,,123.333,82.6667,116.6
94,0.278135,,123.667,82.8333,116.4
95,0.28167,,124,83,116.2
96,0.28554,,124.167,83,116.233
97,0.28941,,124.333,83,116.267
98,0.29328,,124.5,83,116.3
99,0.29715,,124.667,83,116.333
100,0.30102,,124.833,83,116.367
101,0.30489,,125,83,116.4
102,0.308577,,125,82.8333,116.367
103,0.312263,,125,82.6667,116.333
104,0.31595,,125,82.5,116.3
105,0.319637,,125,82.3333,116.267
106,0.323323,,125,82.1667,116.233
107,0.32701,,125,82,116.2
108,0.330458,,125,82,116.233
109,0.333907,,125,82,116.267
110,0.337355,,125,82,116.3
111,0.340803,,125,82,116.333
112,0.344252,,125,82,116.367
113,0.3477,,125,82,116.4
