secs,km,power,hr,cad,alt
0,0,,101,79,32.4
1,0.00149,,101,63,32.6
2,0.00348,,102,77,32.6
3,0.00587,,103,85,33
4,0.00846,,103,86,33
5,0.01127,,104,85,33
6,0.01402,,105,86,33.2
7,0.01696,,106,86,33
8,0.01946,,109,86,33
9,0.02213,,111,86,33.2
10,0.02485,,112,86,33.2
11,0.02778,,114,86,33.2
12,0.03075,,116,86,33
13,0.03369,,118,86,33
14,0.03679,,119,86,33
15,0.03929,,121,86,33
16,0.04207,,123,86,33.2
17,0.04465,,124,86,33.2
18,0.04719,,125,86,33
19,0.0496,,126,86,33
20,0.05269,,127,86,33
21,0.05606,,127,86,33
22,0.05957,,128,86,33
23,0.06261,,128,86,33.2
24,0.06557,,128,86,33.2
25,0.06883,,129,86,33.2
26,0.07201,,129,86,33
27,0.07502,,129,86,33
28,0.07818,,130,86,33
29,0.08132,,130,86,32.8
30,0.0842,,131,85,33
31,0.08677,,131,85,33
32,0.08942,,131,85,33
33,0.09178,,131,83,32.8
34,0.09375,,131,82,32.8
204,0.09375,,86,57,31.8
205,0.09446,,89,57,32
206,0.09506,,91,61,32
207,0.09655,,91,84,32
208,0.09879,,92,85,32
209,0.10068,,92,86,32
210,0.10305,,96,86,31.8
211,0.10584,,97,85,32
212,0.10858,,97,84,32
213,0.11149,,100,85,32
214,0.11434,,102,85,32.2
215,0.11736,,105,85,32.2
216,0.12027,,106,85,32.2
217,0.1228,,108,85,32.2
218,0.12572,,109,85,32.2
219,0.12861,,112,85,32.2
220,0.13141,,113,85,32.2
221,0.13415,,115,85,32.2
222,0.13692,,117,86,32.4
223,0.13989,,117,86,32.4
224,0.1428,,118,86,32.4
225,0.14567,,121,86,32.2
226,0.14818,,123,86,32.4
227,0.15118,,124,86,32.4
228,0.15427,,125,86,32.4
229,0.15699,,127,86,32.4
230,0.15957,,128,86,32.2
231,0.16214,,128,87,32.2
232,0.16495,,128,87,32.2
233,0.16752,,128,87,32.4
234,0.17042,,129,86,32.4
235,0.17286,,129,86,32.2
236,0.17593,,130,86,32.2
237,0.17765,,130,87,32.2
238,0.1799,,130,87,32.2
239,0.18215,,130,87,32.2
240,0.18418,,130,86,32.4
241,0.18668,,130,86,32.6
242,0.18923,,130,86,32.6
243,0.19211,,131,85,32.6
244,0.19483,,131,85,32.6
245,0.19844,,131,85,32.4
246,0.20212,,131,86,32.2
247,0.20559,,132,87,32.4
248,0.20898,,133,87,32.2
249,0.21283,,134,86,32.4
250,0.21658,,136,85,32.4
251,0.22012,,136,86,32.4
252,0.22347,,137,86,32.4
253,0.22695,,138,86,32.6
254,0.23008,,139,86,32.4
255,0.23288,,139,86,32.6
256,0.23603,,140,86,32.4
257,0.23926,,140,86,32.2
258,0.24203,,140,86,32.4
259,0.24483,,140,86,32.4
260,0.24749,,142,86,32.6
261,0.24989,,142,86,32.4
262,0.25271,,142,86,32.6
263,0.25537,,143,86,32.4
264,0.25793,,143,86,32.4
265,0.26036,,144,86,32.4
266,0.26349,,144,86,32.6
267,0.26668,,144,86,32.8
268,0.27044,,144,86,32.6
269,0.2742,,145,86,32.6
270,0.27734,,145,86,32.6
271,0.28054,,146,86,32.8
272,0.28342,,146,86,32.6
273,0.28572,,149,86,32.6
274,0.28826,,148,85,32.2
275,0.2906,,148,85,32.4
276,0.29322,,148,85,32.6
277,0.29598,,148,86,32.6
278,0.2986,,147,86,32.6
