secs,km,power,hr,cad,alt
0,0,,136,,21
1,0.00377,,136,,20.8
2,0.0077525,,136.75,,20.95
3,0.011735,,137.5,,21.1
4,0.0157175,,138.25,,21.25
5,0.0197,,139,,21.4
6,0.0234467,,139.333,,21.4667
7,0.0271933,,139.667,,21.5333
8,0.03094,,140,,21.6
9,0.0346867,,140.333,,21.6667
10,0.0384333,,140.667,,21.7333
11,0.04218,,141,,21.8
12,0.0456283,,141.333,,21.9667
13,0.0490767,,141.667,,22.1333
14,0.052525,,142,,22.3
15,0.0559733,,142.333,,22.4667
16,0.0594217,,142.667,,22.6333
17,0.06287,,143,,22.8
18,0.0667983,,143,,22.6667
19,0.0707267,,143,,22.5333
20,0.074655,,143,,22.4
21,0.0785833,,143,,22.2667
22,0.0825117,,143,,22.1333
23,0.08644,,143,,22
24,0.0904983,,143.333,,21.3667
25,0.0945567,,143.667,,20.7333
26,0.098615,,144,,20.1
27,0.102673,,144.333,,19.4667
28,0.106732,,144.667,,18.8333
29,0.11079,,145,,18.2
30,0.114828,,145.6,,18.36
31,0.118866,,146.2,,18.52
32,0.122904,,146.8,,18.68
33,0.126942,,147.4,,18.84
34,0.13098,,148,,19
35,0.134635,,148.5,,19.0667
36,0.13829,,149,,19.1333
37,0.141945,,149.5,,19.2
38,0.1456,,150,,19.2667
39,0.149255,,150.5,,19.3333
40,0.15291,,151,,19.4
41,0.156313,,151.5,,19.6333
42,0.159717,,152,,19.8667
43,0.16312,,152.5,,20.1
44,0.166523,,153,,20.3333
45,0.169927,,153.5,,20.5667
46,0.17333,,154,,20.8
47,0.176895,,154.333,,20.9667
48,0.18046,,154.667,,21.1333
49,0.184025,,155,,21.3
50,0.18759,,155.333,,21.4667
51,0.191155,,155.667,,21.6333
52,0.19472,,156,,21.8
53,0.198427,,156.333,,22.2
54,0.202133,,156.667,,22.6
55,0.20584,,157,,23
56,0.209547,,157.333,,23.4
57,0.213253,,157.667,,23.8
58,0.21696,,158,,24.2
59,0.220742,,158.167,,24.2667
60,0.224523,,158.333,,24.3333
61,0.228305,,158.5,,24.4
62,0.232087,,158.667,,24.4667
63,0.235868,,158.833,,24.5333
64,0.23965,,159,,24.6
65,0.243278,,158.833,,24.8
66,0.246907,,158.667,,25
67,0.250535,,158.5,,25.2
68,0.254163,,158.333,,25.4
69,0.257792,,158.167,,25.6
70,0.26142,,158,,25.8
71,0.2657,,158.2,,25.36
72,0.26998,,158.4,,24.92
73,0.27426,,158.6,,24.48
74,0.27854,,158.8,,24.04
75,0.28282,,159,,23.6
76,0.286558,,159.167,,23.6667
77,0.290297,,159.333,,23.7333
78,0.294035,,159.5,,23.8
79,0.297773,,159.667,,23.8667
80,0.301512,,159.833,,23.9333
81,0.30525,,160,,24
82,0.30897,,160,,23.6667
83,0.31269,,160,,23.3333
84,0.31641,,160,,23
85,0.32013,,160,,22.6667
86,0.32385,,160,,22.3333
87,0.32757,,160,,22
88,0.331233,,160,,21.8
89,0.334897,,160,,21.6
90,0.33856,,160,,21.4
91,0.342223,,160,,21.2
92,0.345887,,160,,21
93,0.34955,,160,,20.8
94,0.35333,,160.167,,20.9
95,0.35711,,160.333,,21
96,0.36089,,160.5,,21.1
97,0.36467,,160.667,,21.2
98,0.36845,,160.833,,21.3
99,0.37223,,161,,21.4
100,0.375887,,161.167,,21.2
101,0.379543,,161.333,,21
102,0.3832,,161.5,,20.8
103,0.386857,,161.667,,20.6
104,0.390513,,161.833,,20.4
105,0.39417,,162,,20.2
106,0.39779,,162,,19.8667
107,0.40141,,162,,19.5333
108,0.40503,,162,,19.2
109,0.40839,,162.167,,18.8
110,0.41175,,162.333,,18.4
111,0.41511,,162.5,,18
112,0.41847,,162.667,,17.6
113,0.42183,,162.833,,17.2
114,0.42519,,163,,16.8
115,0.42868,,162.833,,16.5667
116,0.43217,,162.667,,16.3333
117,0.43566,,162.5,,16.1
118,0.43915,,162.333,,15.8667
119,0.44264,,162.167,,15.6333
120,0.44613,,162,,15.4
121,0.44942,,162,,15.7333
122,0.45271,,162,,16.0667
123,0.456,,162,,16.4
124,0.459031,,162,,16.4
125,0.462063,,162,,16.4
