secs,km,power,hr,cad,alt
0,0,,83,,51.2
1,0.00223667,,84,,51.0667
2,0.00447333,,85,,50.9333
3,0.00671,,86,,50.8
4,0.00894,,87.5,,50.8
5,0.01117,,89,,50.8
6,0.01317,,90,,50.8
7,0.01509,,91,,50.7333
8,0.01701,,92,,50.6667
9,0.01893,,93,,50.6
10,0.02103,,93.5,,50.75
11,0.02313,,94,,50.9
12,0.02523,,94.5,,51.05
13,0.02733,,95,,51.2
14,0.0293267,,96,,51.4
15,0.0313233,,97,,51.6
16,0.03332,,98,,51.8
17,0.03534,,98,,51.6
18,0.03818,,99,,51.4
19,0.0401467,,100,,51.3333
20,0.0421133,,101,,51.2667
21,0.04408,,102,,51.2
22,0.04646,,102,,51.2
23,0.04862,,102.75,,51.45
24,0.05078,,103.5,,51.7
25,0.05294,,104.25,,51.95
26,0.0551,,105,,52.2
27,0.05745,,106,,52.4
28,0.06011,,106,,52.4
29,0.062405,,106,,52.5
30,0.0647,,106,,52.6
31,0.066832,,106.4,,52.68
32,0.068964,,106.8,,52.76
33,0.071096,,107.2,,52.84
34,0.073228,,107.6,,52.92
35,0.07536,,108,,53
36,0.07692,,107,,53.2
37,0.0789567,,107.333,,53.3333
38,0.0809933,,107.667,,53.4667
39,0.08303,,108,,53.6
40,0.0853786,,108.286,,53.5429
41,0.0877271,,108.571,,53.4857
42,0.0900757,,108.857,,53.4286
43,0.0924243,,109.143,,53.3714
44,0.0947729,,109.429,,53.3143
45,0.0971214,,109.714,,53.2571
46,0.09947,,110,,53.2
47,0.101752,,110.333,,53.2667
48,0.104034,,110.667,,53.3333
49,0.106317,,111,,53.4
50,0.108599,,111.333,,53.4667
51,0.110881,,111.667,,53.5333
52,0.113163,,112,,53.6
53,0.115446,,112.333,,53.6667
54,0.117728,,112.667,,53.7333
55,0.12001,,113,,53.8
56,0.122466,,113.2,,53.6
57,0.124922,,113.4,,53.4
58,0.127378,,113.6,,53.2
59,0.129834,,113.8,,53
60,0.13229,,114,,52.8
61,0.13483,,114,,52.6
62,0.136555,,113.25,,52.65
63,0.13828,,112.5,,52.7
64,0.140005,,111.75,,52.75
65,0.14173,,111,,52.8
66,0.14292,,109,,52.6
67,0.144529,,108.714,,52.6286
68,0.146137,,108.429,,52.6571
69,0.147746,,108.143,,52.6857
70,0.149354,,107.857,,52.7143
71,0.150963,,107.571,,52.7429
72,0.152571,,107.286,,52.7714
73,0.15418,,107,,52.8
74,0.15534,,106,,52.8
75,0.15696,,105.75,,52.8
76,0.15858,,105.5,,52.8
77,0.1602,,105.25,,52.8
78,0.16182,,105,,52.8
79,0.1634,,104.5,,52.9
80,0.16498,,104,,53
81,0.166497,,104,,53
82,0.168013,,104,,53
83,0.16953,,104,,53
84,0.170933,,103,,52.9333
85,0.172337,,102,,52.8667
86,0.17374,,101,,52.8
87,0.175197,,100.667,,52.7333
88,0.176653,,100.333,,52.6667
89,0.17811,,100,,52.6
90,0.179567,,99.6667,,52.5333
91,0.181023,,99.3333,,52.4667
92,0.18248,,99,,52.4
93,0.184092,,99,,52.5667
94,0.185703,,99,,52.7333
95,0.187315,,99,,52.9
96,0.188927,,99,,53.0667
97,0.190538,,99,,53.2333
98,0.19215,,99,,53.4
99,0.193619,,98.7778,,53.4667
100,0.195088,,98.5556,,53.5333
101,0.196557,,98.3333,,53.6
102,0.198026,,98.1111,,53.6667
103,0.199494,,97.8889,,53.7333
104,0.200963,,97.6667,,53.8
105,0.202432,,97.4444,,53.8667
106,0.203901,,97.2222,,53.9333
107,0.20537,,97,,54
108,0.20696,,97,,54.2
109,0.208444,,96.8,,54.36
110,0.209928,,96.6,,54.52
111,0.211412,,96.4,,54.68
112,0.212896,,96.2,,54.84
113,0.21438,,96,,55
114,0.215843,,95.25,,55.05
115,0.217305,,94.5,,55.1
116,0.218768,,93.75,,55.15
117,0.22023,,93,,55.2
118,0.221785,,93.5,,55.2
119,0.22334,,94,,55.2
120,0.224878,,93.75,,55.2
121,0.226415,,93.5,,55.2
122,0.227953,,93.25,,55.2
123,0.22949,,93,,55.2
124,0.230953,,92.25,,55.25
125,0.232415,,91.5,,55.3
126,0.233878,,90.75,,55.35
127,0.23534,,90,,55.4
128,0.236869,,89.8889,,55.4444
129,0.238398,,89.7778,,55.4889
130,0.239927,,89.6667,,55.5333
131,0.241456,,89.5556,,55.5778
132,0.242984,,89.4444,,55.6222
133,0.244513,,89.3333,,55.6667
134,0.246042,,89.2222,,55.7111
135,0.247571,,89.1111,,55.7556
136,0.2491,,89,,55.8
137,0.250664,,88.8,,55.76
138,0.252228,,88.6,,55.72
139,0.253792,,88.4,,55.68
140,0.255356,,88.2,,55.64
141,0.25692,,88,,55.6
142,0.25853,,88,,55.6
143,0.26014,,88,,55.6
144,0.261703,,88.1111,,55.5111
145,0.263267,,88.2222,,55.4222
146,0.26483,,88.3333,,55.3333
147,0.266393,,88.4444,,55.2444
148,0.267957,,88.5556,,55.1556
149,0.26952,,88.6667,,55.0667
150,0.271083,,88.7778,,54.9778
151,0.272647,,88.8889,,54.8889
152,0.27421,,89,,54.8
153,0.275751,,89.2222,,54.8222
154,0.277292,,89.4444,,54.8444
155,0.278833,,89.6667,,54.8667
156,0.280374,,89.8889,,54.8889
157,0.281916,,90.1111,,54.9111
158,0.283457,,90.3333,,54.9333
159,0.284998,,90.5556,,54.9556
160,0.286539,,90.7778,,54.9778
161,0.28808,,91,,55
162,0.28953,,91,,55.0286
163,0.29098,,91,,55.0571
164,0.29243,,91,,55.0857
165,0.29388,,91,,55.1143
166,0.29533,,91,,55.1429
167,0.29678,,91,,55.1714
168,0.29823,,91,,55.2
169,0.299795,,91,,55.1
170,0.30136,,91,,55
171,0.302795,,90.5,,55
172,0.30423,,90,,55
173,0.305665,,89.5,,55
174,0.3071,,89,,55
175,0.308535,,88.5,,55
176,0.30997,,88,,55
177,0.31133,,88,,55
