secs,km,power,hr,cad,alt
0,0,,111,,544
1,0.00292,,111,,543.6
2,0.006335,,113,,543.8
3,0.00975,,115,,544
4,0.0139,,116,,543.867
5,0.01805,,117,,543.733
6,0.0222,,118,,543.6
7,0.0264333,,119,,543.667
8,0.0306667,,120,,543.733
9,0.0349,,121,,543.8
10,0.0386683,,121.333,,543.733
11,0.0424367,,121.667,,543.667
12,0.046205,,122,,543.6
13,0.0499733,,122.333,,543.533
14,0.0537417,,122.667,,543.467
15,0.05751,,123,,543.4
16,0.0612583,,122.667,,543.4
17,0.0650067,,122.333,,543.4
18,0.068755,,122,,543.4
19,0.0725033,,121.667,,543.4
20,0.0762517,,121.333,,543.4
21,0.08,,121,,543.4
22,0.083576,,122.2,,543.36
23,0.087152,,123.4,,543.32
24,0.090728,,124.6,,543.28
25,0.094304,,125.8,,543.24
26,0.09788,,127,,543.2
27,0.101338,,127,,543.2
28,0.104797,,127,,543.2
29,0.108255,,127,,543.2
30,0.111713,,127,,543.2
31,0.115172,,127,,543.2
32,0.11863,,127,,543.2
33,0.121772,,127.167,,543.167
34,0.124913,,127.333,,543.133
35,0.128055,,127.5,,543.1
36,0.131197,,127.667,,543.067
37,0.134338,,127.833,,543.033
38,0.13748,,128,,543
39,0.141413,,127.833,,543.1
40,0.145347,,127.667,,543.2
41,0.14928,,127.5,,543.3
42,0.153213,,127.333,,543.4
43,0.157147,,127.167,,543.5
44,0.16108,,127,,543.6
45,0.164873,,127.333,,543.567
46,0.168667,,127.667,,543.533
47,0.17246,,128,,543.5
48,0.176253,,128.333,,543.467
49,0.180047,,128.667,,543.433
50,0.18384,,129,,543.4
51,0.1879,,129.667,,543.2
52,0.19196,,130.333,,543
53,0.19602,,131,,542.8
54,0.199708,,131.167,,542.833
55,0.203397,,131.333,,542.867
56,0.207085,,131.5,,542.9
57,0.210773,,131.667,,542.933
58,0.214462,,131.833,,542.967
59,0.21815,,132,,543
60,0.221938,,132.167,,542.967
61,0.225727,,132.333,,542.933
62,0.229515,,132.5,,542.9
63,0.233303,,132.667,,542.867
64,0.237092,,132.833,,542.833
65,0.24088,,133,,542.8
66,0.24451,,133,,542.8
67,0.24814,,133,,542.8
68,0.25177,,133,,542.8
69,0.2554,,133,,542.8
70,0.25903,,133,,542.8
71,0.26266,,133,,542.8
72,0.266525,,133.167,,542.867
73,0.27039,,133.333,,542.933
74,0.274255,,133.5,,543
75,0.27812,,133.667,,543.067
76,0.281985,,133.833,,543.133
77,0.28585,,134,,543.2
78,0.289807,,134,,543.2
79,0.293763,,134,,543.2
80,0.29772,,134,,543.2
81,0.301677,,134,,543.2
82,0.305633,,134,,543.2
83,0.30959,,134,,543.2
84,0.31323,,134,,543.233
85,0.31687,,134,,543.267
86,0.32051,,134,,543.3
87,0.32415,,134,,543.333
88,0.32779,,134,,543.367
89,0.33143,,134,,543.4
90,0.33467,,134.167,,543.367
91,0.33791,,134.333,,543.333
92,0.34115,,134.5,,543.3
93,0.34439,,134.667,,543.267
94,0.34763,,134.833,,543.233
95,0.35087,,135,,543.2
96,0.35357,,135.5,,543.1
97,0.35627,,136,,543
98,0.359908,,136,,543
99,0.363547,,136,,543
100,0.367185,,136,,543
101,0.370823,,136,,543
102,0.374462,,136,,543
103,0.3781,,136,,543
104,0.381957,,136,,543
105,0.385813,,136,,543
106,0.38967,,136,,543
107,0.393527,,136,,543
108,0.397383,,136,,543
109,0.40124,,136,,543
110,0.404985,,136,,543
111,0.40873,,136,,543
112,0.412475,,136,,543
113,0.41622,,136,,543
114,0.419965,,136,,543
115,0.42371,,136,,543
116,0.427085,,137,,542.95
117,0.43046,,138,,542.9
118,0.433835,,139,,542.85
119,0.43721,,140,,542.8
120,0.440655,,138.5,,542.75
121,0.4441,,137,,542.7
122,0.447545,,135.5,,542.65
123,0.45099,,134,,542.6
124,0.454662,,134.75,,542.55
125,0.458335,,135.5,,542.5
126,0.462007,,136.25,,542.45
127,0.46568,,137,,542.4
128,0.46929,,134,,542.4
129,0.472772,,134,,542.367
130,0.476253,,134,,542.333
131,0.479735,,134,,542.3
132,0.483217,,134,,542.267
133,0.486698,,134,,542.233
134,0.49018,,134,,542.2
135,0.493066,,134.6,,542.2
136,0.495952,,135.2,,542.2
137,0.498838,,135.8,,542.2
138,0.501724,,136.4,,542.2
139,0.50461,,137,,542.2
140,0.50797,,135.5,,542.1
141,0.51133,,134,,542
142,0.514192,,134,,542
143,0.517053,,134,,542
144,0.519915,,134,,542
145,0.522777,,134,,542
146,0.525638,,134,,542
147,0.5285,,134,,542
148,0.532503,,134,,541.95
149,0.536505,,134,,541.9
150,0.540508,,134,,541.85
151,0.54451,,134,,541.8
152,0.54799,,134.167,,541.833
153,0.55147,,134.333,,541.867
154,0.55495,,134.5,,541.9
155,0.55843,,134.667,,541.933
156,0.56191,,134.833,,541.967
157,0.56539,,135,,542
158,0.568553,,134.833,,542
159,0.571717,,134.667,,542
160,0.57488,,134.5,,542
161,0.578043,,134.333,,542
162,0.581207,,134.167,,542
163,0.58437,,134,,542
164,0.587967,,134,,542.033
165,0.591563,,134,,542.067
166,0.59516,,134,,542.1
167,0.598757,,134,,542.133
168,0.602353,,134,,542.167
169,0.60595,,134,,542.2
170,0.609888,,134.167,,542.267
171,0.613827,,134.333,,542.333
172,0.617765,,134.5,,542.4
173,0.621703,,134.667,,542.467
174,0.625642,,134.833,,542.533
175,0.62958,,135,,542.6
176,0.63325,,134.667,,542.667
177,0.63692,,134.333,,542.733
178,0.64059,,134,,542.8
179,0.644756,,134.2,,542.76
180,0.648922,,134.4,,542.72
181,0.653088,,134.6,,542.68
182,0.657254,,134.8,,542.64
183,0.66142,,135,,542.6
184,0.664863,,136.333,,542.6
185,0.668307,,137.667,,542.6
186,0.67175,,139,,542.6
187,0.675612,,138.833,,542.567
188,0.679473,,138.667,,542.533
189,0.683335,,138.5,,542.5
190,0.687197,,138.333,,542.467
191,0.691058,,138.167,,542.433
192,0.69492,,138,,542.4
193,0.698996,,138,,542.4
194,0.703072,,138,,542.4
195,0.707148,,138,,542.4
196,0.711224,,138,,542.4
197,0.7153,,138,,542.4
198,0.71938,,138.2,,542.4
199,0.72346,,138.4,,542.4
200,0.72754,,138.6,,542.4
201,0.73162,,138.8,,542.4
202,0.7357,,139,,542.4
203,0.739708,,138.25,,542.4
204,0.743715,,137.5,,542.4
205,0.747722,,136.75,,542.4
206,0.75173,,136,,542.4
207,0.75602,,136.2,,542.36
208,0.76031,,136.4,,542.32
209,0.7646,,136.6,,542.28
210,0.76889,,136.8,,542.24
211,0.77318,,137,,542.2
212,0.77689,,136.833,,542.2
213,0.7806,,136.667,,542.2
214,0.78431,,136.5,,542.2
215,0.78802,,136.333,,542.2
216,0.79173,,136.167,,542.2
217,0.79544,,136,,542.2
218,0.799073,,136.167,,542.2
219,0.802707,,136.333,,542.2
220,0.80634,,136.5,,542.2
221,0.809973,,136.667,,542.2
222,0.813607,,136.833,,542.2
223,0.81724,,137,,542.2
224,0.820827,,137.167,,542.2
225,0.824413,,137.333,,542.2
226,0.828,,137.5,,542.2
227,0.831587,,137.667,,542.2
228,0.835173,,137.833,,542.2
229,0.83876,,138,,542.2
230,0.842846,,137.8,,542.2
231,0.846932,,137.6,,542.2
232,0.851018,,137.4,,542.2
233,0.855104,,137.2,,542.2
234,0.85919,,137,,542.2
235,0.863534,,136.8,,542.24
236,0.867878,,136.6,,542.28
237,0.872222,,136.4,,542.32
238,0.876566,,136.2,,542.36
239,0.88091,,136,,542.4
240,0.884562,,136.333,,542.433
241,0.888213,,136.667,,542.467
242,0.891865,,137,,542.5
243,0.895517,,137.333,,542.533
244,0.899168,,137.667,,542.567
245,0.90282,,138,,542.6
246,0.90659,,138.167,,542.6
247,0.91036,,138.333,,542.6
248,0.91413,,138.5,,542.6
249,0.9179,,138.667,,542.6
250,0.92167,,138.833,,542.6
251,0.92544,,139,,542.6
252,0.929032,,139,,542.633
253,0.932623,,139,,542.667
254,0.936215,,139,,542.7
255,0.939807,,139,,542.733
256,0.943398,,139,,542.767
257,0.94699,,139,,542.8
258,0.951402,,139.4,,542.8
259,0.955814,,139.8,,542.8
260,0.960226,,140.2,,542.8
261,0.964638,,140.6,,542.8
262,0.96905,,141,,542.8
263,0.973294,,141,,542.84
264,0.977538,,141,,542.88
265,0.981782,,141,,542.92
266,0.986026,,141,,542.96
267,0.99027,,141,,543
268,0.994377,,141,,543.067
269,0.998483,,141,,543.133
270,1.00259,,141,,543.2
271,1.00653,,141.167,,543.267
272,1.01046,,141.333,,543.333
273,1.01439,,141.5,,543.4
274,1.01833,,141.667,,543.467
275,1.02226,,141.833,,543.533
276,1.0262,,142,,543.6
277,1.03122,,141.75,,543.55
278,1.03624,,141.5,,543.5
279,1.04126,,141.25,,543.45
280,1.04628,,141,,543.4
281,1.05043,,141.2,,543.4
282,1.05459,,141.4,,543.4
283,1.05874,,141.6,,543.4
284,1.0629,,141.8,,543.4
285,1.06705,,142,,543.4
286,1.07048,,142.167,,543.4
287,1.07391,,142.333,,543.4
288,1.07734,,142.5,,543.4
289,1.08076,,142.667,,543.4
290,1.08419,,142.833,,543.4
291,1.08762,,143,,543.4
292,1.09061,,140,,543.4
293,1.09387,,140,,543.367
294,1.09713,,140,,543.333
295,1.10039,,140,,543.3
296,1.10365,,140,,543.267
297,1.10691,,140,,543.233
298,1.11017,,140,,543.2
299,1.11357,,139.833,,543.233
300,1.11698,,139.667,,543.267
301,1.12038,,139.5,,543.3
302,1.12378,,139.333,,543.333
303,1.12719,,139.167,,543.367
304,1.13059,,139,,543.4
305,1.1344,,139.167,,543.4
306,1.13821,,139.333,,543.4
307,1.14202,,139.5,,543.4
308,1.14583,,139.667,,543.4
309,1.14964,,139.833,,543.4
310,1.15345,,140,,543.4
311,1.15758,,140,,543.36
312,1.16172,,140,,543.32
313,1.16585,,140,,543.28
314,1.16999,,140,,543.24
315,1.17412,,140,,543.2
316,1.17803,,139.833,,543.2
317,1.18194,,139.667,,543.2
318,1.18585,,139.5,,543.2
319,1.18976,,139.333,,543.2
320,1.19367,,139.167,,543.2
321,1.19758,,139,,543.2
322,1.201,,139,,543.2
323,1.20442,,139,,543.2
324,1.20784,,139,,543.2
325,1.21126,,139,,543.2
326,1.21468,,139,,543.2
327,1.2181,,139,,543.2
328,1.22205,,139,,543.233
329,1.22601,,139,,543.267
330,1.22996,,139,,543.3
331,1.23392,,139,,543.333
332,1.23787,,139,,543.367
333,1.24183,,139,,543.4
334,1.24561,,138.75,,543.35
335,1.24938,,138.5,,543.3
336,1.25316,,138.25,,543.25
337,1.25694,,138,,543.2
338,1.26111,,138.4,,543.24
339,1.26528,,138.8,,543.28
340,1.26945,,139.2,,543.32
341,1.27362,,139.6,,543.36
342,1.27779,,140,,543.4
343,1.2819,,140,,543.32
344,1.286,,140,,543.24
345,1.29011,,140,,543.16
346,1.29421,,140,,543.08
347,1.29832,,140,,543
348,1.30126,,140.167,,543.033
349,1.30419,,140.333,,543.067
350,1.30713,,140.5,,543.1
351,1.31007,,140.667,,543.133
352,1.313,,140.833,,543.167
353,1.31594,,141,,543.2
354,1.31837,,141.333,,543.2
355,1.32079,,141.667,,543.2
356,1.32322,,142,,543.2
357,1.32668,,142,,543.233
358,1.33014,,142,,543.267
359,1.3336,,142,,543.3
360,1.33706,,142,,543.333
361,1.34052,,142,,543.367
362,1.34398,,142,,543.4
363,1.34788,,142.333,,543.4
364,1.35177,,142.667,,543.4
365,1.35567,,143,,543.4
366,1.35957,,143.333,,543.4
367,1.36346,,143.667,,543.4
368,1.36736,,144,,543.4
369,1.3706,,144.333,,543.433
370,1.37384,,144.667,,543.467
371,1.37708,,145,,543.5
372,1.38032,,145.333,,543.533
373,1.38356,,145.667,,543.567
374,1.3868,,146,,543.6
375,1.39074,,146,,543.567
376,1.39469,,146,,543.533
377,1.39863,,146,,543.5
378,1.40257,,146,,543.467
379,1.40652,,146,,543.433
380,1.41046,,146,,543.4
381,1.41452,,146.2,,543.32
382,1.41858,,146.4,,543.24
383,1.42264,,146.6,,543.16
384,1.4267,,146.8,,543.08
385,1.43076,,147,,543
386,1.43526,,146.8,,542.96
387,1.43976,,146.6,,542.92
388,1.44426,,146.4,,542.88
389,1.44876,,146.2,,542.84
390,1.45326,,146,,542.8
391,1.45745,,146.2,,542.84
392,1.46165,,146.4,,542.88
393,1.46584,,146.6,,542.92
394,1.47004,,146.8,,542.96
395,1.47423,,147,,543
396,1.47817,,147.167,,543.033
397,1.48211,,147.333,,543.067
398,1.48604,,147.5,,543.1
399,1.48998,,147.667,,543.133
400,1.49392,,147.833,,543.167
401,1.49786,,148,,543.2
402,1.50254,,148,,543.2
403,1.50722,,148,,543.2
404,1.51189,,148,,543.2
405,1.51657,,148,,543.2
406,1.52125,,148,,543.2
407,1.52569,,148,,543.2
408,1.53013,,148,,543.2
409,1.53457,,148,,543.2
410,1.53901,,148,,543.2
411,1.54345,,148,,543.2
412,1.54789,,148.4,,543.2
413,1.55233,,148.8,,543.2
414,1.55677,,149.2,,543.2
415,1.56121,,149.6,,543.2
