secs,km,power,hr,cad,alt
0,0,,70,,0
1,0,,70,,0
2,0,,70,,0
3,0,,70,,1559.8
4,0.00307,,70,,1565.8
5,0.00613,,69,,1571.8
6,0.00921,,69,,1577.8
7,0.0122,,70,,1583.6
8,0.01518,,76,,1589.2
9,0.0182,,83,,1594.8
10,0.02,,87,,1598
11,0.02299,,92,,1603.2
12,0.02595,,96,,1608
13,0.02891,,99,,1612.4
14,0.03178,,101,,1616.4
15,0.03461,,104,,1619.8
16,0.03738,,105,,1622.8
17,0.04009,,107,,1625.6
18,0.04271,,108,,1627.8
19,0.04529,,110,,1629.6
20,0.04774,,111,,1631.2
21,0.05012,,112,,1632.4
22,0.05243,,113,,1633.2
23,0.05465,,113,,1633.8
24,0.0568,,113,,1634.4
25,0.05893,,113,,1634.6
26,0.06106,,113,,1634.8
27,0.06323,,113,,1634.8
28,0.06544,,112,,1634.8
29,0.06772,,112,,1634.6
30,0.07012,,111,,1634.4
31,0.07255,,111,,1634.2
32,0.07503,,111,,1634
33,0.07759,,111,,1633.6
34,0.08018,,112,,1633.4
35,0.08285,,113,,1633
36,0.08555,,114,,1632.8
37,0.08829,,116,,1632.6
38,0.09109,,117,,1632.4
39,0.09392,,118,,1632
40,0.0968,,119,,1632
41,0.09976,,120,,1631.8
42,0.10273,,121,,1631.6
43,0.10577,,122,,1631.4
44,0.10886,,123,,1631.4
45,0.11197,,124,,1631.4
46,0.11511,,124,,1631.2
47,0.11832,,125,,1631.2
48,0.12149,,126,,1631.2
49,0.12467,,126,,1631.2
50,0.12782,,127,,1631.2
51,0.13098,,127,,1631.2
52,0.13408,,128,,1631.2
53,0.13716,,128,,1631.2
54,0.14019,,129,,1631.2
55,0.14314,,130,,1631.2
56,0.14606,,130,,1631.2
57,0.14895,,131,,1631.2
58,0.15179,,132,,1631.2
59,0.15458,,132,,1631.2
60,0.15677,,133,,1631.2
61,0.1598,,134,,1631
62,0.16292,,135,,1631
63,0.16602,,135,,1631
64,0.16924,,136,,1631
65,0.17243,,136,,1630.8
66,0.17573,,137,,1630.8
67,0.17908,,137,,1630.8
68,0.18243,,137,,1630.8
69,0.18588,,138,,1630.6
70,0.18929,,138,,1630.6
71,0.19277,,137,,1630.6
72,0.19622,,137,,1630.4
73,0.19976,,136,,1630.4
74,0.20327,,135,,1630.4
75,0.20676,,135,,1630.2
76,0.21029,,134,,1630
77,0.2138,,134,,1630
78,0.21727,,133,,1629.8
79,0.22079,,133,,1629.6
80,0.22431,,132,,1629.6
81,0.22776,,131,,1629.4
82,0.23125,,131,,1629.2
83,0.2347,,131,,1629
84,0.23817,,131,,1628.8
85,0.24158,,132,,1628.8
86,0.245,,133,,1628.6
87,0.24843,,133,,1628.4
88,0.2518,,134,,1628.2
89,0.25523,,135,,1628.2
90,0.25861,,135,,1628
91,0.262,,136,,1628
92,0.26538,,136,,1627.8
93,0.26873,,137,,1627.8
94,0.27211,,138,,1627.6
95,0.27546,,139,,1627.6
96,0.2788,,139,,1627.4
97,0.28212,,140,,1627.4
98,0.28548,,141,,1627.2
99,0.28883,,141,,1627
100,0.2922,,141,,1627
101,0.29554,,141,,1626.8
102,0.29894,,141,,1626.6
103,0.30234,,142,,1626.6
104,0.30575,,142,,1626.4
105,0.30919,,143,,1626.2
106,0.31265,,143,,1626
107,0.31609,,143,,1625.8
108,0.31962,,143,,1625.6
109,0.32315,,143,,1625.4
110,0.32668,,143,,1625.2
111,0.3302,,144,,1625
112,0.33379,,144,,1624.8
113,0.3373,,144,,1624.4
114,0.34091,,144,,1624.2
115,0.34439,,145,,1624
116,0.3479,,145,,1623.8
117,0.35139,,144,,1623.6
118,0.3549,,144,,1623.4
119,0.35838,,144,,1623.2
120,0.36181,,144,,1623
121,0.36523,,144,,1622.8
122,0.36867,,144,,1622.6
123,0.37212,,144,,1622.4
124,0.37553,,144,,1622.4
125,0.37895,,144,,1622.2
