secs,km,power,hr,cad,alt
0,0,,49,,770.2
1,0.00223,,49,,770.2
2,0.00238667,,48.6667,,770.2
3,0.00254333,,48.3333,,770.2
4,0.0027,,48,,770.2
5,0.0033575,,49.75,,770.15
6,0.004015,,51.5,,770.1
7,0.0046725,,53.25,,770.05
8,0.00533,,55,,770
9,0.00812,,59,,770
10,0.01108,,69,,770
11,0.01404,,72,,770
12,0.01699,,76,,770
13,0.01699,,82,,770
14,0.01895,,82,,770
15,0.02368,,84,,770
16,0.02745,,88,,770.2
17,0.02973,,91.5,,770.2
18,0.03201,,95,,770.2
19,0.035555,,97.5,,770.2
20,0.0391,,100,,770.2
21,0.043095,,101.5,,770.2
22,0.04709,,103,,770.2
23,0.051015,,104.5,,770.3
24,0.05494,,106,,770.4
25,0.0582767,,107.333,,770.4
26,0.0616133,,108.667,,770.4
27,0.06495,,110,,770.4
28,0.06865,,109,,770.4
29,0.0714733,,109.5,,770.433
30,0.0742967,,110,,770.467
31,0.07712,,110.5,,770.5
32,0.0799433,,111,,770.533
33,0.0827667,,111.5,,770.567
34,0.08559,,112,,770.6
35,0.08937,,113,,770.8
36,0.092595,,114.25,,770.85
37,0.09582,,115.5,,770.9
38,0.099045,,116.75,,770.95
39,0.10227,,118,,771
40,0.105217,,119,,771.067
41,0.108163,,120,,771.133
42,0.11111,,121,,771.2
43,0.114695,,121.5,,771.2
44,0.11828,,122,,771.2
45,0.12205,,122,,771.32
46,0.12582,,122,,771.44
47,0.12959,,122,,771.56
48,0.13336,,122,,771.68
49,0.13713,,122,,771.8
50,0.139555,,121.667,,771.9
51,0.14198,,121.333,,772
52,0.144405,,121,,772.1
53,0.14683,,120.667,,772.2
54,0.149255,,120.333,,772.3
55,0.15168,,120,,772.4
56,0.154207,,120,,772.475
57,0.156735,,120,,772.55
58,0.159262,,120,,772.625
59,0.16179,,120,,772.7
60,0.164318,,120,,772.775
61,0.166845,,120,,772.85
62,0.169372,,120,,772.925
63,0.1719,,120,,773
64,0.17367,,120,,773.2
65,0.17562,,121,,773.4
66,0.176804,,121.6,,773.44
67,0.177988,,122.2,,773.48
68,0.179172,,122.8,,773.52
69,0.180356,,123.4,,773.56
70,0.18154,,124,,773.6
71,0.183,,124,,773.6
72,0.186335,,125.5,,773.6
73,0.18967,,127,,773.6
74,0.19351,,126.5,,773.6
75,0.19735,,126,,773.6
76,0.20119,,125.5,,773.6
77,0.20503,,125,,773.6
78,0.20736,,125.286,,773.629
79,0.20969,,125.571,,773.657
80,0.21202,,125.857,,773.686
81,0.21435,,126.143,,773.714
82,0.21668,,126.429,,773.743
83,0.21901,,126.714,,773.771
84,0.22134,,127,,773.8
85,0.22475,,126,,773.9
86,0.22816,,125,,774
87,0.234205,,125,,774
