secs,km,power,hr,cad,alt
0,0,,107,,19
1,0.00087,,107,,19
2,0.00324667,,108,,19
3,0.00562333,,109,,19
4,0.008,,110,,19
5,0.011044,,111.4,,19
6,0.014088,,112.8,,19
7,0.017132,,114.2,,19
8,0.020176,,115.6,,19
9,0.02322,,117,,19
10,0.02632,,120,,19
11,0.02942,,123,,19
12,0.03252,,123,,19
13,0.03558,,127,,19
14,0.03849,,132,,19
15,0.04142,,135,,19
16,0.04435,,138,,19
17,0.04728,,141,,19
18,0.05027,,141,,19
19,0.05612,,146,,19
20,0.05612,,146,,19
21,0.05915,,149,,19
22,0.06218,,152,,19
23,0.06508,,152,,19
24,0.068082,,151.4,,19
25,0.071084,,150.8,,19
26,0.074086,,150.2,,19
27,0.077088,,149.6,,19
28,0.08009,,149,,19
29,0.08323,,149,,19
30,0.08637,,149,,19
31,0.08951,,149,,19
32,0.09265,,149,,19
33,0.09579,,149,,19
34,0.09893,,149,,19
35,0.10207,,149,,19
36,0.105094,,149.8,,19
37,0.108118,,150.6,,19
38,0.111142,,151.4,,19
39,0.114166,,152.2,,19
40,0.11719,,153,,19
41,0.120138,,153.75,,19
42,0.123085,,154.5,,19
43,0.126032,,155.25,,19
44,0.12898,,156,,19
45,0.13209,,157,,19
46,0.1352,,158,,19
47,0.13831,,159,,19
48,0.14142,,160,,19
49,0.14439,,161.5,,19
50,0.14736,,163,,19
51,0.15048,,162,,19
52,0.1536,,161,,19
53,0.15672,,160,,19
54,0.15998,,156,,19
55,0.16296,,154.5,,19
56,0.16594,,153,,19
57,0.1688,,149,,19
58,0.17189,,152,,19
59,0.174993,,153.667,,19
60,0.178097,,155.333,,19
61,0.1812,,157,,19
62,0.184341,,157.286,,19
63,0.187483,,157.571,,19
64,0.190624,,157.857,,19
65,0.193766,,158.143,,19
66,0.196907,,158.429,,19
67,0.200049,,158.714,,19
68,0.20319,,159,,19
69,0.20628,,160.5,,19
70,0.20937,,162,,19
71,0.212544,,161.857,,19
72,0.215719,,161.714,,19
73,0.218893,,161.571,,19
74,0.222067,,161.429,,19
75,0.225241,,161.286,,19
76,0.228416,,161.143,,19
77,0.23159,,161,,19
78,0.234647,,161.143,,19
79,0.237704,,161.286,,19
80,0.240761,,161.429,,19
81,0.243819,,161.571,,19
82,0.246876,,161.714,,19
83,0.249933,,161.857,,19
84,0.25299,,162,,19
85,0.256113,,161.857,,19
86,0.259236,,161.714,,19
87,0.262359,,161.571,,19
88,0.265481,,161.429,,19
89,0.268604,,161.286,,19
90,0.271727,,161.143,,19
91,0.27485,,161,,19
92,0.277874,,160.714,,19
93,0.280899,,160.429,,19
94,0.283923,,160.143,,19
95,0.286947,,159.857,,19
96,0.289971,,159.571,,19
97,0.292996,,159.286,,19
98,0.29602,,159,,19
99,0.2989,,159,,19
100,0.30178,,159,,19
101,0.30466,,159,,19
102,0.30754,,159,,19
103,0.31042,,159,,19
104,0.3133,,159,,19
105,0.31618,,159,,19
106,0.319236,,159.286,,19
107,0.322291,,159.571,,19
108,0.325347,,159.857,,19
109,0.328403,,160.143,,19
