secs,km,power,hr,cad,alt
0,0,,102,,168.8
1,0.00072,,102,,169.2
2,0.00301,,102,,169.32
3,0.0053,,102,,169.44
4,0.00759,,102,,169.56
5,0.00988,,102,,169.68
6,0.01217,,102,,169.8
7,0.01489,,105,,170.6
8,0.0184425,,105.75,,170.5
9,0.021995,,106.5,,170.4
10,0.0255475,,107.25,,170.3
11,0.0291,,108,,170.2
12,0.031985,,110,,170.4
13,0.03487,,112,,170.6
14,0.0378,,114,,170
15,0.04073,,116,,169.4
16,0.043805,,117.5,,169.6
17,0.04688,,119,,169.8
18,0.0489133,,120.333,,169.867
19,0.0509467,,121.667,,169.933
20,0.05298,,123,,170
21,0.05646,,123.75,,170.05
22,0.05994,,124.5,,170.1
23,0.06342,,125.25,,170.15
24,0.0669,,126,,170.2
25,0.0702825,,126.75,,170.15
26,0.073665,,127.5,,170.1
27,0.0770475,,128.25,,170.05
28,0.08043,,129,,170
29,0.0836843,,129.286,,169.971
30,0.0869386,,129.571,,169.943
31,0.0901929,,129.857,,169.914
32,0.0934471,,130.143,,169.886
33,0.0967014,,130.429,,169.857
34,0.0999557,,130.714,,169.829
35,0.10321,,131,,169.8
36,0.106311,,131.143,,169.771
37,0.109413,,131.286,,169.743
38,0.112514,,131.429,,169.714
39,0.115616,,131.571,,169.686
40,0.118717,,131.714,,169.657
41,0.121819,,131.857,,169.629
42,0.12492,,132,,169.6
43,0.128667,,132.167,,169.567
44,0.132413,,132.333,,169.533
45,0.13616,,132.5,,169.5
46,0.139907,,132.667,,169.467
47,0.143653,,132.833,,169.433
48,0.1474,,133,,169.4
49,0.1517,,132.5,,169.5
50,0.156,,132,,169.6
51,0.159326,,132.143,,169.514
52,0.162651,,132.286,,169.429
53,0.165977,,132.429,,169.343
54,0.169303,,132.571,,169.257
55,0.172629,,132.714,,169.171
56,0.175954,,132.857,,169.086
57,0.17928,,133,,169
58,0.18295,,133,,168.8
59,0.186332,,133.167,,168.833
60,0.189713,,133.333,,168.867
61,0.193095,,133.5,,168.9
62,0.196477,,133.667,,168.933
63,0.199858,,133.833,,168.967
64,0.20324,,134,,169
65,0.206353,,134.143,,169.029
66,0.209466,,134.286,,169.057
67,0.212579,,134.429,,169.086
68,0.215691,,134.571,,169.114
69,0.218804,,134.714,,169.143
70,0.221917,,134.857,,169.171
71,0.22503,,135,,169.2
72,0.228215,,135,,169.3
73,0.2314,,135,,169.4
74,0.234585,,135,,169.5
75,0.23777,,135,,169.6
76,0.240955,,135,,169.7
77,0.24414,,135,,169.8
78,0.246959,,135.25,,169.9
79,0.249777,,135.5,,170
80,0.252596,,135.75,,170.1
81,0.255415,,136,,170.2
82,0.258234,,136.25,,170.3
83,0.261052,,136.5,,170.4
84,0.263871,,136.75,,170.5
85,0.26669,,137,,170.6
86,0.269513,,137,,170.733
87,0.272337,,137,,170.867
88,0.27516,,137,,171
89,0.278148,,137,,171.2
90,0.281136,,137,,171.4
91,0.284124,,137,,171.6
92,0.287112,,137,,171.8
93,0.2901,,137,,172
94,0.293081,,137.143,,172.171
95,0.296063,,137.286,,172.343
96,0.299044,,137.429,,172.514
97,0.302026,,137.571,,172.686
98,0.305007,,137.714,,172.857
99,0.307989,,137.857,,173.029
100,0.31097,,138,,173.2
101,0.313779,,138,,173.343
102,0.316587,,138,,173.486
103,0.319396,,138,,173.629
104,0.322204,,138,,173.771
105,0.325013,,138,,173.914
106,0.327821,,138,,174.057
107,0.33063,,138,,174.2
108,0.333574,,138.143,,174.286
109,0.336519,,138.286,,174.371
110,0.339463,,138.429,,174.457
111,0.342407,,138.571,,174.543
112,0.345351,,138.714,,174.629
113,0.348296,,138.857,,174.714
114,0.35124,,139,,174.8
115,0.354222,,139,,174.867
116,0.357203,,139,,174.933
117,0.360185,,139,,175
118,0.363167,,139,,175.067
119,0.366148,,139,,175.133
120,0.36913,,139,,175.2
121,0.372129,,138.857,,175.257
122,0.375127,,138.714,,175.314
123,0.378126,,138.571,,175.371
124,0.381124,,138.429,,175.429
125,0.384123,,138.286,,175.486
126,0.387121,,138.143,,175.543
127,0.39012,,138,,175.6
128,0.393462,,137.833,,175.633
129,0.396803,,137.667,,175.667
130,0.400145,,137.5,,175.7
131,0.403487,,137.333,,175.733
132,0.406828,,137.167,,175.767
133,0.41017,,137,,175.8
134,0.413514,,137.143,,175.8
135,0.416859,,137.286,,175.8
136,0.420203,,137.429,,175.8
137,0.423547,,137.571,,175.8
138,0.426891,,137.714,,175.8
139,0.430236,,137.857,,175.8
140,0.43358,,138,,175.8
141,0.436841,,138,,175.686
142,0.440103,,138,,175.571
143,0.443364,,138,,175.457
144,0.446626,,138,,175.343
145,0.449887,,138,,175.229
146,0.453149,,138,,175.114
147,0.45641,,138,,175
148,0.459662,,138.167,,174.867
149,0.462913,,138.333,,174.733
150,0.466165,,138.5,,174.6
151,0.469417,,138.667,,174.467
152,0.472668,,138.833,,174.333
153,0.47592,,139,,174.2
154,0.47917,,139.286,,174.143
155,0.48242,,139.571,,174.086
156,0.48567,,139.857,,174.029
157,0.48892,,140.143,,173.971
158,0.49217,,140.429,,173.914
159,0.49542,,140.714,,173.857
160,0.49867,,141,,173.8
161,0.502025,,142.5,,173.8
162,0.50538,,144,,173.8
163,0.509055,,146,,173.8
164,0.51273,,148,,173.8
165,0.515835,,149.5,,173.8
166,0.51894,,151,,173.8
167,0.52205,,150.857,,173.829
168,0.52516,,150.714,,173.857
169,0.52827,,150.571,,173.886
170,0.53138,,150.429,,173.914
171,0.53449,,150.286,,173.943
172,0.5376,,150.143,,173.971
173,0.54071,,150,,174
174,0.543617,,150,,174.057
175,0.546524,,150,,174.114
176,0.549431,,150,,174.171
177,0.552339,,150,,174.229
178,0.555246,,150,,174.286
179,0.558153,,150,,174.343
180,0.56106,,150,,174.4
181,0.564244,,150,,174.4
182,0.567429,,150,,174.4
183,0.570613,,150,,174.4
184,0.573797,,150,,174.4
185,0.576981,,150,,174.4
186,0.580166,,150,,174.4
187,0.58335,,150,,174.4
188,0.586219,,150.286,,174.429
189,0.589087,,150.571,,174.457
190,0.591956,,150.857,,174.486
191,0.594824,,151.143,,174.514
192,0.597693,,151.429,,174.543
193,0.600561,,151.714,,174.571
194,0.60343,,152,,174.6
195,0.606187,,151.833,,174.7
196,0.608943,,151.667,,174.8
197,0.6117,,151.5,,174.9
198,0.614457,,151.333,,175
199,0.617213,,151.167,,175.1
200,0.61997,,151,,175.2
201,0.622552,,151,,175.44
202,0.625134,,151,,175.68
203,0.627716,,151,,175.92
204,0.630298,,151,,176.16
205,0.63288,,151,,176.4
206,0.635463,,151,,176.6
207,0.638047,,151,,176.8
208,0.64063,,151,,177
209,0.643213,,151,,177.2
210,0.645797,,151,,177.4
211,0.64838,,151,,177.6
212,0.65139,,151,,178
213,0.6541,,151,,178.2
214,0.65681,,151,,178.4
215,0.65957,,151,,178.8
216,0.662468,,150.833,,178.967
217,0.665367,,150.667,,179.133
218,0.668265,,150.5,,179.3
219,0.671163,,150.333,,179.467
220,0.674062,,150.167,,179.633
221,0.67696,,150,,179.8
222,0.68018,,150,,179.857
223,0.6834,,150,,179.914
224,0.68662,,150,,179.971
225,0.68984,,150,,180.029
226,0.69306,,150,,180.086
227,0.69628,,150,,180.143
228,0.6995,,150,,180.2
229,0.702499,,150,,180.229
230,0.705497,,150,,180.257
231,0.708496,,150,,180.286
232,0.711494,,150,,180.314
233,0.714493,,150,,180.343
234,0.717491,,150,,180.371
235,0.72049,,150,,180.4
236,0.723543,,149.571,,180.457
237,0.726596,,149.143,,180.514
238,0.729649,,148.714,,180.571
239,0.732701,,148.286,,180.629
240,0.735754,,147.857,,180.686
241,0.738807,,147.429,,180.743
242,0.74186,,147,,180.8
243,0.74494,,147,,180.8
244,0.748,,147,,180.886
245,0.75106,,147,,180.971
246,0.75412,,147,,181.057
247,0.75718,,147,,181.143
248,0.76024,,147,,181.229
249,0.7633,,147,,181.314
250,0.76636,,147,,181.4
251,0.76924,,147,,181.457
252,0.77212,,147,,181.514
253,0.775,,147,,181.571
254,0.77788,,147,,181.629
255,0.78076,,147,,181.686
256,0.78364,,147,,181.743
257,0.78652,,147,,181.8
258,0.789585,,147,,181.9
259,0.79265,,147,,182
260,0.795707,,147,,182.086
261,0.798764,,147,,182.171
262,0.801821,,147,,182.257
263,0.804879,,147,,182.343
264,0.807936,,147,,182.429
265,0.810993,,147,,182.514
266,0.81405,,147,,182.6
267,0.817183,,147,,182.733
268,0.820317,,147,,182.867
269,0.82345,,147,,183
270,0.826786,,147.8,,183.08
271,0.830122,,148.6,,183.16
