secs,km,power,hr,cad,alt
0,0,,62,,0
1,0.000875,,63.25,,0
2,0.00175,,64.5,,0
3,0.002625,,65.75,,0
4,0.0035,,67,,0
5,0.00635667,,68.6667,,0
6,0.00921333,,70.3333,,0
7,0.01207,,72,,0
8,0.01483,,73.5,,0
9,0.01759,,75,,0
10,0.02051,,78,,0
11,0.02367,,81,,0
12,0.024322,,81.8,,0
13,0.024974,,82.6,,0
14,0.025626,,83.4,,0
15,0.026278,,84.2,,0
16,0.02693,,85,,0
17,0.0303067,,85.6667,,19.6
18,0.0336833,,86.3333,,39.2
19,0.03706,,87,,58.8
20,0.039995,,87,,61.5
21,0.04293,,87,,64.2
22,0.046485,,86.5,,63.55
23,0.05004,,86,,62.9
24,0.053595,,85.5,,62.25
25,0.05715,,85,,61.6
26,0.0618,,85,,67.6
27,0.06474,,85,,67.2
28,0.067735,,85,,67.1
29,0.07073,,85,,67
30,0.07527,,85.5,,68.1
31,0.07981,,86,,69.2
32,0.07981,,89,,69.2
33,0.08274,,91,,70.7
34,0.08567,,93,,72.2
35,0.08977,,94,,71
36,0.09076,,95,,70.8
37,0.0949775,,96,,70.65
38,0.099195,,97,,70.5
39,0.103412,,98,,70.35
40,0.10763,,99,,70.2
41,0.110273,,99.5,,70.1
42,0.112917,,100,,70
43,0.11556,,100.5,,69.9
44,0.118203,,101,,69.8
45,0.120847,,101.5,,69.7
46,0.12349,,102,,69.6
47,0.1242,,103,,69.2
48,0.127045,,105,,68.9
49,0.12989,,107,,68.6
50,0.13587,,108,,68.4
51,0.13925,,109,,68.3
52,0.14263,,110,,68.2
53,0.144705,,111,,68
54,0.14678,,112,,67.8
55,0.148132,,112.25,,67.55
56,0.149485,,112.5,,67.3
57,0.150838,,112.75,,67.05
58,0.15219,,113,,66.8
59,0.153467,,113.333,,66.5333
60,0.154743,,113.667,,66.2667
61,0.15602,,114,,66
62,0.15851,,115,,65.7
63,0.161,,116,,65.4
64,0.16534,,117,,65
65,0.16968,,118,,64.6
66,0.17335,,119,,64.3
67,0.17702,,120,,64
68,0.18072,,120.75,,63.65
69,0.18442,,121.5,,63.3
70,0.18812,,122.25,,62.95
71,0.19182,,123,,62.6
72,0.194645,,123.5,,62.3
73,0.19747,,124,,62
74,0.199375,,125.5,,61.6
75,0.20128,,127,,61.2
76,0.202835,,128.5,,60.8
77,0.20439,,130,,60.4
78,0.20439,,130,,60
79,0.20638,,130.25,,59.6
80,0.20837,,130.5,,59.2
81,0.21036,,130.75,,58.8
82,0.21235,,131,,58.4
83,0.21503,,131.167,,57.9667
84,0.21771,,131.333,,57.5333
85,0.22039,,131.5,,57.1
86,0.22307,,131.667,,56.6667
87,0.22575,,131.833,,56.2333
88,0.22843,,132,,55.8
89,0.231172,,131.8,,55.36
90,0.233914,,131.6,,54.92
91,0.236656,,131.4,,54.48
92,0.239398,,131.2,,54.04
93,0.24214,,131,,53.6
94,0.244908,,131,,53.2
95,0.247676,,131,,52.8
96,0.250444,,131,,52.4
97,0.253212,,131,,52
98,0.25598,,131,,51.6
99,0.258845,,131,,51.2
100,0.26171,,131,,50.8
101,0.264637,,131,,50.4
102,0.267563,,131,,50
103,0.27049,,131,,49.6
104,0.273507,,131,,49.1333
105,0.276523,,131,,48.6667
106,0.27954,,131,,48.2
107,0.2825,,131.5,,47.8
108,0.28546,,132,,47.4
109,0.288477,,132,,47
110,0.291493,,132,,46.6
111,0.29451,,132,,46.2
112,0.297527,,132,,45.8
113,0.300543,,132,,45.4
114,0.30356,,132,,45
115,0.30688,,132,,44.65
116,0.3102,,132,,44.3
117,0.31352,,132,,43.95
118,0.31684,,132,,43.6
119,0.31933,,133,,43.2
120,0.322322,,133,,42.85
121,0.325315,,133,,42.5
122,0.328307,,133,,42.15
123,0.3313,,133,,41.8
124,0.334078,,133.2,,41.44
125,0.336856,,133.4,,41.08
126,0.339634,,133.6,,40.72
127,0.342412,,133.8,,40.36
128,0.34519,,134,,40
129,0.348152,,134.2,,39.64
130,0.351114,,134.4,,39.28
131,0.354076,,134.6,,38.92
132,0.357038,,134.8,,38.56
133,0.36,,135,,38.2
134,0.363356,,135.2,,37.84
135,0.366712,,135.4,,37.48
136,0.370068,,135.6,,37.12
137,0.373424,,135.8,,36.76
138,0.37678,,136,,36.4
139,0.380018,,136.25,,36.05
140,0.383255,,136.5,,35.7
141,0.386493,,136.75,,35.35
142,0.38973,,137,,35
143,0.392707,,137.167,,34.6667
144,0.395683,,137.333,,34.3333
145,0.39866,,137.5,,34
146,0.401637,,137.667,,33.6667
147,0.404613,,137.833,,33.3333
148,0.40759,,138,,33
149,0.410577,,138,,32.65
150,0.413565,,138,,32.3
151,0.416553,,138,,31.95
152,0.41954,,138,,31.6
153,0.42304,,138,,31.2
154,0.42569,,138.25,,30.85
155,0.42834,,138.5,,30.5
156,0.43099,,138.75,,30.15
157,0.43364,,139,,29.8
158,0.436453,,139,,29.5
159,0.439265,,139,,29.2
160,0.442078,,139,,28.9
161,0.44489,,139,,28.6
162,0.447476,,139.4,,28.32
163,0.450062,,139.8,,28.04
164,0.452648,,140.2,,27.76
165,0.455234,,140.6,,27.48
166,0.45782,,141,,27.2
167,0.45979,,141,,26.8
168,0.46188,,141.5,,26.6
169,0.46397,,142,,26.4
170,0.466615,,142,,26.1
171,0.46926,,142,,25.8
172,0.471925,,142,,25.6
173,0.47459,,142,,25.4
174,0.477542,,142,,25.16
175,0.480494,,142,,24.92
176,0.483446,,142,,24.68
177,0.486398,,142,,24.44
178,0.48935,,142,,24.2
179,0.491484,,142,,23.96
180,0.493618,,142,,23.72
181,0.495752,,142,,23.48
182,0.497886,,142,,23.24
183,0.50002,,142,,23
184,0.503214,,141.6,,22.8
185,0.506408,,141.2,,22.6
186,0.509602,,140.8,,22.4
187,0.512796,,140.4,,22.2
188,0.51599,,140,,22
189,0.51883,,140,,21.76
190,0.52167,,140,,21.52
191,0.52451,,140,,21.28
192,0.52735,,140,,21.04
193,0.53019,,140,,20.8
194,0.533222,,139.8,,20.6
195,0.536254,,139.6,,20.4
196,0.539286,,139.4,,20.2
197,0.542318,,139.2,,20
198,0.54535,,139,,19.8
199,0.54798,,138.833,,19.6333
200,0.55061,,138.667,,19.4667
201,0.55324,,138.5,,19.3
202,0.55587,,138.333,,19.1333
203,0.5585,,138.167,,18.9667
204,0.56113,,138,,18.8
205,0.563972,,138,,18.6
206,0.566814,,138,,18.4
207,0.569656,,138,,18.2
208,0.572498,,138,,18
209,0.57534,,138,,17.8
210,0.578232,,138.2,,17.64
211,0.581124,,138.4,,17.48
212,0.584016,,138.6,,17.32
213,0.586908,,138.8,,17.16
214,0.5898,,139,,17
215,0.59288,,138.8,,16.84
216,0.59596,,138.6,,16.68
217,0.59904,,138.4,,16.52
218,0.60212,,138.2,,16.36
219,0.6052,,138,,16.2
220,0.608154,,138,,16.08
221,0.611108,,138,,15.96
222,0.614062,,138,,15.84
223,0.617016,,138,,15.72
224,0.61997,,138,,15.6
225,0.623238,,137.4,,15.48
226,0.626506,,136.8,,15.36
227,0.629774,,136.2,,15.24
228,0.633042,,135.6,,15.12
229,0.63631,,135,,15
230,0.639285,,133.5,,14.9
231,0.64226,,132,,14.8
232,0.645123,,131.333,,14.6667
233,0.647987,,130.667,,14.5333
234,0.65085,,130,,14.4
235,0.653776,,130.6,,14.28
236,0.656702,,131.2,,14.16
237,0.659628,,131.8,,14.04
238,0.662554,,132.4,,13.92
239,0.66548,,133,,13.8
240,0.668417,,133.5,,13.7
241,0.671353,,134,,13.6
242,0.67429,,134.5,,13.5
243,0.677227,,135,,13.4
244,0.680163,,135.5,,13.3
245,0.6831,,136,,13.2
246,0.686042,,136.2,,13.08
247,0.688984,,136.4,,12.96
248,0.691926,,136.6,,12.84
249,0.694868,,136.8,,12.72
250,0.69781,,137,,12.6
251,0.700866,,137,,12.52
252,0.703922,,137,,12.44
253,0.706978,,137,,12.36
254,0.710034,,137,,12.28
255,0.71309,,137,,12.2
256,0.71609,,136.5,,12.0667
257,0.71909,,136,,11.9333
258,0.72209,,135.5,,11.8
259,0.72509,,135,,11.6667
260,0.72809,,134.5,,11.5333
261,0.73109,,134,,11.4
262,0.734136,,133.6,,11.32
263,0.737182,,133.2,,11.24
264,0.740228,,132.8,,11.16
265,0.743274,,132.4,,11.08
266,0.74632,,132,,11
267,0.749283,,131.75,,10.9
268,0.752245,,131.5,,10.8
269,0.755207,,131.25,,10.7
270,0.75817,,131,,10.6
271,0.761148,,131,,10.4667
272,0.764127,,131,,10.3333
273,0.767105,,131,,10.2
274,0.770083,,131,,10.0667
275,0.773062,,131,,9.93333
276,0.77604,,131,,9.8
277,0.77886,,131,,9.72
278,0.78168,,131,,9.64
279,0.7845,,131,,9.56
280,0.78732,,131,,9.48
281,0.79014,,131,,9.4
282,0.792986,,130.4,,9.28
283,0.795832,,129.8,,9.16
284,0.798678,,129.2,,9.04
285,0.801524,,128.6,,8.92
286,0.80437,,128,,8.8
287,0.80769,,128,,8.8
288,0.810626,,128.2,,8.68
289,0.813562,,128.4,,8.56
290,0.816498,,128.6,,8.44
291,0.819434,,128.8,,8.32
292,0.82237,,129,,8.2
293,0.825245,,129.25,,8.15
294,0.82812,,129.5,,8.1
295,0.830995,,129.75,,8.05
296,0.83387,,130,,8
297,0.836994,,130.2,,7.88
298,0.840118,,130.4,,7.76
299,0.843242,,130.6,,7.64
300,0.846366,,130.8,,7.52
301,0.84949,,131,,7.4
302,0.853544,,131,,7.28
303,0.857598,,131,,7.16
304,0.861652,,131,,7.04
305,0.865706,,131,,6.92
306,0.86976,,131,,6.8
307,0.873363,,131,,6.73333
308,0.876967,,131,,6.66667
309,0.88057,,131,,6.6
310,0.884173,,131,,6.53333
311,0.887777,,131,,6.46667
312,0.89138,,131,,6.4
313,0.894605,,131.167,,6.3
314,0.89783,,131.333,,6.2
315,0.901055,,131.5,,6.1
316,0.90428,,131.667,,6
317,0.907505,,131.833,,5.9
318,0.91073,,132,,5.8
319,0.914022,,132.333,,5.73333
320,0.917313,,132.667,,5.66667
321,0.920605,,133,,5.6
322,0.923897,,133.333,,5.53333
323,0.927188,,133.667,,5.46667
324,0.93048,,134,,5.4
325,0.933473,,134.333,,5.36667
326,0.936467,,134.667,,5.33333
327,0.93946,,135,,5.3
328,0.942453,,135.333,,5.26667
329,0.945447,,135.667,,5.23333
330,0.94844,,136,,5.2
331,0.951296,,136,,5.14286
332,0.954151,,136,,5.08571
333,0.957007,,136,,5.02857
334,0.959863,,136,,4.97143
335,0.962719,,136,,4.91429
336,0.965574,,136,,4.85714
337,0.96843,,136,,4.8
338,0.971767,,136.167,,4.76667
339,0.975103,,136.333,,4.73333
340,0.97844,,136.5,,4.7
341,0.981777,,136.667,,4.66667
342,0.985113,,136.833,,4.63333
343,0.98845,,137,,4.6
344,0.9919,,137.25,,4.55
345,0.99535,,137.5,,4.5
346,0.9988,,137.75,,4.45
347,1.00225,,138,,4.4
348,1.00539,,138,,4.3
349,1.00853,,138,,4.2
350,1.01173,,138.167,,4.16667
351,1.01494,,138.333,,4.13333
352,1.01814,,138.5,,4.1
