secs,km,power,hr,cad,alt
0,0,,55,,0
1,0,,55,,0
2,0,,55,,0
3,0,,55,,0
4,0,,56,,0
5,2e-5,,56,,0
6,0.00115,,56,,0
7,0.00266,,55,,0
8,0.00325,,55,,0
9,0.00325,,56,,0
10,0.00325,,56,,0
11,0.00325,,56,,0
12,0.00325,,56,,0
13,0.00325042,,56.125,,0
14,0.00325083,,56.25,,0
15,0.00325125,,56.375,,0
16,0.00325167,,56.5,,0
17,0.00325208,,56.625,,0
18,0.0032525,,56.75,,0
19,0.00325292,,56.875,,0
20,0.00325333,,57,,0
21,0.00325375,,57.125,,0
22,0.00325417,,57.25,,0
23,0.00325458,,57.375,,0
24,0.003255,,57.5,,0
25,0.00325542,,57.625,,0
26,0.00325583,,57.75,,0
27,0.00325625,,57.875,,0
28,0.00325667,,58,,0
29,0.00325708,,58.125,,0
30,0.0032575,,58.25,,0
31,0.00325792,,58.375,,0
32,0.00325833,,58.5,,0
33,0.00325875,,58.625,,0
34,0.00325917,,58.75,,0
35,0.00325958,,58.875,,0
36,0.00326,,59,,0
37,0.00482,,59,,0
38,0.00625,,59,,0
39,0.00759,,60,,0
40,0.0088,,60,,1
41,0.01017,,61,,1
42,0.01158,,62,,1
43,0.01334,,62,,1
44,0.01532,,63,,1
45,0.01735,,64,,1
46,0.01958,,64,,1
47,0.0217,,66,,1
48,0.02392,,66,,1
49,0.02603,,68,,1
50,0.02828,,69,,1
51,0.03046,,70,,1
52,0.03272,,70,,1
53,0.03499,,71,,1
54,0.03713,,74,,1
55,0.03935,,74,,1
56,0.04166,,74,,1
57,0.04396,,75,,1
58,0.04621,,75,,1
59,0.04843,,75,,1
60,0.05073,,75,,1
61,0.05311,,75,,1
62,0.05538,,76,,1
63,0.05779,,77,,1
64,0.06008,,77,,1
65,0.06242,,77,,1
66,0.06478,,78,,1
67,0.06716,,79,,1
68,0.06942,,79,,1
69,0.07177,,79,,1
70,0.07415,,80,,1
71,0.07645,,80,,1
72,0.07885,,80,,1
73,0.0812,,80,,1
74,0.08349,,80,,1
75,0.08584,,81,,1
76,0.08654,,81,,1
77,0.08654,,82,,1
78,0.08654,,82,,1
79,0.08654,,82,,1
80,0.08654,,82,,1
81,0.0865488,,71.75,,1
82,0.0865575,,61.5,,1
83,0.0865663,,51.25,,1
84,0.086575,,41,,1
85,0.0865838,,30.75,,1
86,0.0865925,,20.5,,1
87,0.0866013,,10.25,,1
88,0.08661,,0,,1
89,0.089,,0,,1
90,0.09139,,0,,1
91,0.09375,,0,,1
92,0.0961,,84,,1
93,0.09845,,84,,1
94,0.10071,,85,,1
95,0.10312,,85,,1
96,0.10542,,86,,1
97,0.10781,,86,,1
98,0.11008,,86,,1
99,0.11238,,87,,1
100,0.11472,,88,,1
101,0.11702,,88,,1
102,0.11931,,88,,1
103,0.12152,,88,,1
104,0.12392,,89,,1
105,0.12617,,89,,1
106,0.12847,,89,,1
107,0.13103,,89,,1
108,0.13329,,90,,1
109,0.13547,,90,,1
110,0.13782,,90,,1
111,0.14005,,90,,1
112,0.14235,,90,,1
113,0.14473,,90,,1
114,0.14698,,91,,1
115,0.14935,,93,,1
116,0.15157,,93,,1
117,0.15399,,93,,1
118,0.1562,,93,,1
119,0.15843,,92,,1
120,0.16074,,92,,1
121,0.16302,,92,,1
122,0.16535,,92,,1
123,0.16765,,93,,1
124,0.16995,,93,,1
125,0.17231,,93,,1
126,0.1745,,93,,1
127,0.17695,,93,,1
128,0.17915,,93,,1
129,0.18157,,93,,1
130,0.18394,,93,,1
131,0.18625,,93,,1
132,0.18853,,93,,1
133,0.19086,,93,,1
134,0.19324,,93,,1
135,0.19562,,93,,1
136,0.19787,,93,,1
137,0.20023,,93,,1
138,0.20268,,93,,1
139,0.20491,,93,,1
140,0.20739,,93,,1
141,0.20972,,93,,1
142,0.21199,,93,,1
143,0.21441,,93,,1
144,0.21679,,95,,1
145,0.21913,,96,,1
146,0.22146,,97,,1
147,0.22376,,97,,1
148,0.22612,,97,,1
149,0.22847,,97,,1
150,0.23088,,96,,1
151,0.23315,,96,,1
152,0.23548,,96,,1
153,0.23785,,95,,1
154,0.24011,,95,,1
155,0.24242,,95,,1
156,0.24478,,95,,1
157,0.24709,,95,,1
158,0.24946,,95,,1
159,0.25176,,94,,1
160,0.25412,,95,,1
161,0.25655,,95,,1
162,0.25878,,95,,1
163,0.26119,,95,,1
164,0.26353,,95,,1
165,0.26589,,95,,1
166,0.2684,,95,,1
167,0.27067,,95,,1
168,0.27309,,96,,1
169,0.27543,,96,,1
170,0.27793,,96,,1
171,0.28028,,96,,1
172,0.28258,,96,,1
173,0.28492,,96,,1
174,0.28734,,97,,1
175,0.28969,,97,,1
176,0.29203,,97,,1
177,0.29432,,97,,1
178,0.29663,,97,,1
179,0.29904,,97,,1
180,0.30137,,99,,1
181,0.30364,,99,,1
182,0.306,,100,,1
183,0.30838,,99,,1
184,0.3106,,99,,1
185,0.31292,,98,,1
186,0.31536,,98,,1
187,0.31765,,98,,1
188,0.31992,,98,,1
189,0.32227,,98,,1
190,0.32457,,98,,1
191,0.32698,,98,,1
192,0.32921,,97,,1
193,0.33162,,97,,1
194,0.33395,,97,,1
195,0.3362,,97,,1
196,0.33853,,97,,1
197,0.34093,,97,,1
198,0.34323,,97,,1
199,0.3455,,97,,1
200,0.3478,,98,,1
201,0.35015,,97,,1
202,0.35243,,98,,1
203,0.35468,,98,,1
204,0.35705,,97,,1
205,0.35936,,97,,1
206,0.3617,,97,,1
207,0.36399,,97,,1
208,0.36627,,97,,1
209,0.36866,,97,,1
210,0.37103,,97,,1
211,0.37331,,97,,1
212,0.37567,,97,,1
213,0.37813,,96,,1
214,0.38044,,96,,1
215,0.38282,,96,,1
216,0.38526,,96,,1
217,0.38772,,96,,1
218,0.39011,,96,,1
219,0.3924,,96,,1
220,0.39479,,96,,1
221,0.39716,,96,,1
222,0.39961,,96,,1
223,0.40191,,96,,1
224,0.40429,,96,,1
225,0.40671,,96,,1
226,0.40902,,96,,1
227,0.41135,,97,,1
228,0.41377,,97,,1
229,0.41617,,97,,1
230,0.41852,,97,,1
231,0.42086,,97,,1
232,0.42315,,97,,1
233,0.42548,,98,,1
234,0.4278,,98,,1
235,0.43013,,98,,1
236,0.4325,,98,,1
237,0.43484,,98,,1
238,0.43719,,98,,1
239,0.43953,,98,,1
240,0.44184,,98,,1
241,0.44424,,99,,1
242,0.44649,,98,,1
243,0.44888,,99,,1
244,0.45125,,99,,1
245,0.45359,,99,,1
246,0.45596,,99,,1
247,0.45827,,99,,1
248,0.46067,,98,,1
249,0.46301,,99,,1
250,0.46533,,99,,1
251,0.4677,,99,,1
252,0.4701,,99,,1
253,0.47245,,99,,1
254,0.47487,,99,,1
255,0.47731,,99,,1
256,0.47965,,99,,1
257,0.48201,,99,,1
258,0.48445,,99,,1
259,0.48672,,98,,1
260,0.48905,,98,,1
261,0.49144,,98,,1
262,0.49381,,98,,1
263,0.49609,,98,,1
264,0.49848,,98,,1
265,0.50085,,98,,1
266,0.50316,,98,,1
267,0.50554,,98,,1
268,0.50786,,98,,1
269,0.51016,,98,,1
270,0.51261,,98,,1
271,0.51499,,98,,1
272,0.5173,,98,,1
273,0.51972,,98,,1
274,0.52217,,97,,1
275,0.52447,,98,,1
276,0.52686,,97,,1
277,0.52928,,97,,1
278,0.53172,,97,,1
279,0.53406,,97,,1
280,0.53651,,97,,1
281,0.53896,,97,,1
282,0.54134,,97,,1
283,0.54365,,97,,1
284,0.54606,,97,,1
285,0.54847,,97,,1
286,0.55094,,98,,1
287,0.55343,,97,,1
288,0.55574,,98,,1
289,0.55822,,98,,1
290,0.56062,,98,,1
291,0.56302,,98,,1
292,0.56546,,98,,1
293,0.56783,,98,,1
294,0.57021,,98,,1
295,0.57261,,98,,1
296,0.57494,,98,,1
297,0.57735,,99,,1
298,0.5798,,99,,1
299,0.5822,,99,,1
300,0.58465,,98,,1
301,0.587,,98,,1
302,0.58941,,98,,1
303,0.59188,,98,,1
304,0.59433,,98,,1
305,0.59671,,98,,1
306,0.59911,,98,,1
307,0.60165,,97,,1
308,0.60397,,97,,1
309,0.60654,,98,,1
310,0.60897,,97,,1
311,0.61135,,97,,1
312,0.61382,,97,,1
313,0.61614,,97,,1
314,0.61866,,97,,1
315,0.62107,,97,,1
316,0.62345,,97,,1
317,0.62583,,97,,1
318,0.62817,,97,,1
319,0.63055,,97,,1
320,0.63293,,97,,1
321,0.63532,,98,,1
322,0.63774,,97,,1
323,0.64014,,97,,1
324,0.64266,,97,,1
325,0.64499,,97,,1
326,0.64742,,97,,1
327,0.64988,,97,,1
328,0.65238,,98,,1
329,0.65469,,98,,1
330,0.6571,,98,,1
331,0.65952,,98,,1
332,0.66208,,98,,1
333,0.66452,,98,,1
334,0.6669,,98,,1
335,0.66942,,98,,1
336,0.67181,,98,,1
337,0.6742,,98,,1
338,0.67677,,98,,1
339,0.6792,,99,,1
340,0.68166,,98,,1
341,0.68409,,99,,1
342,0.68649,,100,,1
343,0.68885,,100,,1
344,0.69132,,100,,1
345,0.69379,,100,,1
346,0.69628,,100,,1
347,0.69867,,100,,1
348,0.7012,,100,,1
349,0.70373,,100,,1
350,0.70613,,100,,1
351,0.70876,,100,,1
352,0.71117,,100,,1
353,0.7136,,101,,1
354,0.71611,,101,,1
355,0.71857,,101,,1
356,0.72099,,101,,1
357,0.72354,,101,,1
358,0.72591,,101,,1
359,0.72839,,101,,1
360,0.73086,,101,,1
361,0.7334,,101,,1
362,0.73589,,101,,1
363,0.73834,,101,,1
364,0.74078,,101,,1
365,0.74322,,102,,1
366,0.74567,,101,,1
367,0.74813,,101,,1
368,0.75061,,102,,1
369,0.75312,,102,,1
370,0.75561,,102,,1
371,0.75796,,101,,1
372,0.76046,,101,,1
373,0.76292,,102,,1
374,0.76537,,102,,1
375,0.76794,,101,,1
376,0.77041,,101,,1
377,0.77282,,101,,1
378,0.77524,,102,,1
379,0.77778,,102,,1
380,0.78022,,102,,1
381,0.78265,,102,,1
382,0.7852,,103,,1
383,0.78761,,103,,1
384,0.79012,,102,,1
385,0.79265,,102,,1
386,0.79506,,102,,1
387,0.79746,,102,,1
388,0.79996,,101,,1
389,0.80257,,101,,1
390,0.80508,,101,,1
391,0.80762,,102,,1
392,0.81012,,101,,1
393,0.81259,,101,,1
394,0.81508,,101,,1
395,0.81753,,101,,1
396,0.82005,,101,,1
397,0.82253,,101,,1
398,0.82508,,101,,1
399,0.82754,,101,,1
400,0.83002,,101,,1
401,0.83248,,101,,1
402,0.83506,,100,,1
403,0.83754,,100,,1
404,0.84,,100,,1
405,0.84246,,100,,1
406,0.84497,,100,,1
407,0.84746,,100,,1
408,0.8499,,100,,1
409,0.85244,,100,,1
410,0.85482,,99,,1
411,0.85726,,99,,1
412,0.85973,,99,,1
413,0.86223,,99,,1
414,0.86475,,99,,1
415,0.86723,,99,,1
416,0.86976,,99,,1
417,0.87216,,99,,1
418,0.87464,,99,,1
419,0.87711,,99,,1
420,0.87958,,99,,1
421,0.88212,,98,,1
422,0.88454,,98,,1
423,0.88709,,99,,1
424,0.88956,,99,,1
425,0.89197,,98,,1
