secs,km,power,hr,cad,alt
0,0,,110,,0
1,0.0032,,111,,0
2,0.00629,,112.5,,0
3,0.00938,,114,,0
4,0.0124333,,115,,0
5,0.0154867,,116,,0
6,0.01854,,117,,0
7,0.02155,,118.5,,0
8,0.02456,,120,,0
9,0.02762,,121.333,,0
10,0.03068,,122.667,,0
11,0.03374,,124,,0
12,0.03673,,125,,0
13,0.03972,,126,,0
14,0.04271,,127,,0
15,0.04561,,128,,0
16,0.04851,,129,,0
17,0.05141,,130,,0
18,0.0539475,,130.75,,0
19,0.056485,,131.5,,0
20,0.0590225,,132.25,,0
21,0.06156,,133,,0
22,0.0639822,,133.333,,0
23,0.0664044,,133.667,,0
24,0.0688267,,134,,0
25,0.0712489,,134.333,,0
26,0.0736711,,134.667,,0
27,0.0760933,,135,,0
28,0.0785156,,135.333,,0
29,0.0809378,,135.667,,0
30,0.08336,,136,,0
31,0.0858612,,136.125,,0
32,0.0883625,,136.25,,0
33,0.0908637,,136.375,,0
34,0.093365,,136.5,,0
35,0.0958662,,136.625,,0
36,0.0983675,,136.75,,0
37,0.100869,,136.875,,0
38,0.10337,,137,,0
39,0.105874,,137,,0
40,0.108377,,137,,0
41,0.110881,,137,,0
42,0.113385,,137,,0
43,0.115889,,137,,0
44,0.118392,,137,,0
45,0.120896,,137,,0
46,0.1234,,137,,0
47,0.125931,,137,,0
48,0.128463,,137,,0
49,0.130994,,137,,0
50,0.133525,,137,,0
51,0.136056,,137,,0
52,0.138588,,137,,0
53,0.141119,,137,,0
54,0.14365,,137,,0
55,0.14627,,136.875,,0
56,0.14889,,136.75,,0
57,0.15151,,136.625,,0
58,0.15413,,136.5,,0
59,0.15675,,136.375,,0
60,0.15937,,136.25,,0
61,0.16199,,136.125,,0
62,0.16461,,136,,0
63,0.16736,,135.75,,0
64,0.17011,,135.5,,0
65,0.17286,,135.25,,0
66,0.17561,,135,,0
67,0.17836,,134.75,,0
68,0.18111,,134.5,,0
69,0.18386,,134.25,,0
70,0.18661,,134,,0
71,0.189432,,133.75,,0
72,0.192255,,133.5,,0
73,0.195077,,133.25,,0
74,0.1979,,133,,0
75,0.200722,,132.75,,0
76,0.203545,,132.5,,0
77,0.206367,,132.25,,0
78,0.20919,,132,,0
79,0.212026,,132,,0
80,0.214862,,132,,0
81,0.217699,,132,,0
82,0.220535,,132,,0
83,0.223371,,132,,0
84,0.226208,,132,,0
85,0.229044,,132,,0
86,0.23188,,132,,0
87,0.23472,,131.875,,0
88,0.23756,,131.75,,0
89,0.2404,,131.625,,0
90,0.24324,,131.5,,0
91,0.24608,,131.375,,0
92,0.24892,,131.25,,0
93,0.25176,,131.125,,0
94,0.2546,,131,,0
95,0.257459,,130.571,,0
96,0.260317,,130.143,,0
97,0.263176,,129.714,,0
98,0.266034,,129.286,,0
99,0.268893,,128.857,,0
100,0.271751,,128.429,,0
101,0.27461,,128,,0
102,0.27742,,128,,0
103,0.28023,,128,,0
104,0.28304,,128,,0
105,0.28585,,128,,0
106,0.28866,,128,,0
107,0.29147,,128,,0
108,0.29428,,128,,0
109,0.29709,,128,,0
110,0.299848,,127.875,,0
111,0.302605,,127.75,,0
112,0.305363,,127.625,,0
113,0.30812,,127.5,,0
114,0.310878,,127.375,,0
115,0.313635,,127.25,,0
116,0.316393,,127.125,,0
117,0.31915,,127,,0
118,0.321929,,127,,0
119,0.324708,,127,,0
120,0.327486,,127,,0
121,0.330265,,127,,0
122,0.333044,,127,,0
123,0.335822,,127,,0
124,0.338601,,127,,0
125,0.34138,,127,,0
126,0.344149,,127,,0
127,0.346917,,127,,0
128,0.349686,,127,,0
129,0.352455,,127,,0
130,0.355224,,127,,0
131,0.357993,,127,,0
132,0.360761,,127,,0
133,0.36353,,127,,0
134,0.36625,,126.75,,0
135,0.36897,,126.5,,0
136,0.37169,,126.25,,0
137,0.37441,,126,,0
138,0.37713,,125.75,,0
139,0.37985,,125.5,,0
140,0.38257,,125.25,,0
141,0.38529,,125,,0
142,0.388012,,125.75,,0
143,0.390735,,126.5,,0
144,0.393458,,127.25,,0
145,0.39618,,128,,0
146,0.39887,,128.125,,0
147,0.40156,,128.25,,0
148,0.40425,,128.375,,0
149,0.40694,,128.5,,0
150,0.40963,,128.625,,0
151,0.41232,,128.75,,0
152,0.41501,,128.875,,0
153,0.4177,,129,,0
154,0.420369,,129,,0
155,0.423037,,129,,0
156,0.425706,,129,,0
157,0.428375,,129,,0
158,0.431044,,129,,0
159,0.433712,,129,,0
160,0.436381,,129,,0
161,0.43905,,129,,0
162,0.441721,,128.75,,0
163,0.444392,,128.5,,0
164,0.447064,,128.25,,0
165,0.449735,,128,,0
166,0.452406,,127.75,,0
167,0.455077,,127.5,,0
168,0.457749,,127.25,,0
169,0.46042,,127,,0
170,0.46308,,127.125,,0
171,0.46574,,127.25,,0
172,0.4684,,127.375,,0
173,0.47106,,127.5,,0
174,0.47372,,127.625,,0
175,0.47638,,127.75,,0
176,0.47904,,127.875,,0
177,0.4817,,128,,0
178,0.484301,,128.429,,0
179,0.486903,,128.857,,0
180,0.489504,,129.286,,0
181,0.492106,,129.714,,0
182,0.494707,,130.143,,0
183,0.497309,,130.571,,0
184,0.49991,,131,,0
185,0.502486,,131,,0
186,0.505062,,131,,0
187,0.507639,,131,,0
188,0.510215,,131,,0
189,0.512791,,131,,0
190,0.515367,,131,,0
191,0.517944,,131,,0
192,0.52052,,131,,0
193,0.523115,,131,,0
194,0.52571,,131,,0
195,0.528305,,131,,0
196,0.5309,,131,,0
197,0.533495,,131,,0
198,0.53609,,131,,0
199,0.538685,,131,,0
200,0.54128,,131,,0
201,0.543916,,131,,0
202,0.546552,,131,,0
203,0.549189,,131,,0
204,0.551825,,131,,0
205,0.554461,,131,,0
206,0.557098,,131,,0
207,0.559734,,131,,0
208,0.56237,,131,,0
209,0.565028,,131.5,,0
210,0.567687,,132,,0
211,0.570345,,132.5,,0
212,0.573003,,133,,0
213,0.575662,,133.5,,0
214,0.57832,,134,,0
215,0.580973,,134.25,,0
216,0.583625,,134.5,,0
217,0.586278,,134.75,,0
218,0.58893,,135,,0
219,0.591583,,135.25,,0
220,0.594235,,135.5,,0
221,0.596887,,135.75,,0
222,0.59954,,136,,0
223,0.60221,,135.875,,0
224,0.60488,,135.75,,0
225,0.60755,,135.625,,0
226,0.61022,,135.5,,0
227,0.61289,,135.375,,0
228,0.61556,,135.25,,0
229,0.61823,,135.125,,0
230,0.6209,,135,,0
231,0.623595,,134.75,,0
232,0.62629,,134.5,,0
233,0.628985,,134.25,,0
234,0.63168,,134,,0
235,0.634375,,133.75,,0
236,0.63707,,133.5,,0
237,0.639765,,133.25,,0
238,0.64246,,133,,0
239,0.645164,,133.25,,0
240,0.647867,,133.5,,0
241,0.650571,,133.75,,0
242,0.653275,,134,,0
243,0.655979,,134.25,,0
244,0.658682,,134.5,,0
245,0.661386,,134.75,,0
246,0.66409,,135,,0
247,0.666804,,135.429,,0
248,0.669519,,135.857,,0
249,0.672233,,136.286,,0
250,0.674947,,136.714,,0
251,0.677661,,137.143,,0
252,0.680376,,137.571,,0
253,0.68309,,138,,0
254,0.685408,,138.222,,2.24444
255,0.687726,,138.444,,4.48889
256,0.690043,,138.667,,6.73333
257,0.692361,,138.889,,8.97778
258,0.694679,,139.111,,11.2222
259,0.696997,,139.333,,13.4667
260,0.699314,,139.556,,15.7111
261,0.701632,,139.778,,17.9556
262,0.70395,,140,,20.2
263,0.7063,,140.5,,20.1
264,0.70865,,141,,20
265,0.711164,,140.75,,19.925
266,0.713677,,140.5,,19.85
267,0.716191,,140.25,,19.775
268,0.718705,,140,,19.7
269,0.721219,,139.75,,19.625
270,0.723733,,139.5,,19.55
271,0.726246,,139.25,,19.475
272,0.72876,,139,,19.4
273,0.730875,,139,,19.3
274,0.73299,,139,,19.2
275,0.735363,,138.778,,19.1111
276,0.737737,,138.556,,19.0222
277,0.74011,,138.333,,18.9333
278,0.742483,,138.111,,18.8444
279,0.744857,,137.889,,18.7556
280,0.74723,,137.667,,18.6667
281,0.749603,,137.444,,18.5778
282,0.751977,,137.222,,18.4889
