secs,km,power,hr,cad,alt
0,0,,102,,50.6
1,0.00145,,101,,50.6
2,0.00379,,102,,50.4
3,0.00649,,103,,50.2
4,0.00997,,103,,50
5,0.01315,,103,,49.8
6,0.01669,,103,,49.6
7,0.0204,,103,,49.6
8,0.02457,,103,,49.8
9,0.02894,,103,,49.8
10,0.0328,,103,,50
11,0.03644,,103,,50
12,0.04001,,109,,49.8
13,0.04323,,109,,49.8
14,0.04824,,109,,50
15,0.05245,,109,,50.2
16,0.05617,,109,,50.4
17,0.05971,,109,,50.4
18,0.06326,,109,,50.6
19,0.06786,,109,,50.4
20,0.07084,,110,,50.4
21,0.07491,,111,,50.6
22,0.0784,,111,,50.6
23,0.08151,,112,,50.6
24,0.08447,,112,,50.4
25,0.08801,,112,,50.4
26,0.09195,,112,,50.2
27,0.09589,,112,,50.2
28,0.0993,,112,,50.2
29,0.103,,113,,50.4
30,0.10729,,114,,50.4
31,0.11131,,115,,50.2
32,0.11656,,115,,50.2
33,0.12145,,115,,50.4
34,0.12647,,115,,50.4
35,0.13109,,116,,50.4
36,0.13638,,117,,50.4
37,0.14133,,118,,50.4
38,0.14564,,119,,50.6
39,0.15048,,119,,50.6
40,0.15442,,121,,50.4
41,0.15827,,122,,50.2
42,0.16307,,123,,50.2
43,0.16684,,123,,50
44,0.17124,,123,,50
45,0.1753,,123,,50
46,0.17898,,124,,50.2
47,0.18231,,125,,50.2
48,0.18645,,126,,50.4
49,0.1909,,126,,50.4
50,0.19473,,126,,50.2
51,0.19855,,126,,50.2
52,0.20245,,127,,50.2
53,0.20557,,128,,50.2
54,0.21036,,128,,50.4
55,0.2147,,129,,50.6
56,0.21882,,130,,50.8
57,0.22287,,131,,50.8
58,0.22655,,131,,50.8
59,0.23083,,132,,50.8
60,0.23493,,132,,50.6
61,0.23872,,133,,50.2
62,0.24301,,133,,50
63,0.24673,,133,,49.8
64,0.25142,,133,,49.6
65,0.25529,,133,,49.4
66,0.26004,,133,,49
67,0.2642,,133,,48.8
68,0.26781,,134,,48.6
69,0.27208,,134,,48.2
70,0.27554,,136,,48.2
71,0.27898,,139,,48.2
72,0.28234,,140,,48.2
73,0.28604,,142,,48.2
74,0.29046,,143,,48
75,0.29467,,143,,47.8
76,0.29829,,144,,47.6
77,0.30126,,144,,47.6
78,0.30479,,145,,47.6
79,0.30871,,145,,47.8
80,0.31253,,145,,47.6
81,0.31605,,145,,47.4
82,0.31999,,146,,47.2
83,0.32384,,146,,47.2
84,0.32765,,147,,47.2
85,0.33111,,146,,47.2
86,0.33473,,146,,47.2
87,0.33847,,146,,47.2
88,0.34196,,146,,47
89,0.34589,,146,,46.6
90,0.34981,,146,,46.6
91,0.35365,,146,,46.6
92,0.3573,,145,,46.6
93,0.36072,,146,,46.6
94,0.36459,,145,,46.4
95,0.36804,,145,,46.4
96,0.37171,,146,,46.6
97,0.3751,,146,,46.6
98,0.37767,,146,,46.6
99,0.38148,,146,,46.6
100,0.38535,,147,,46.8
101,0.38859,,146,,47
102,0.39227,,147,,47
103,0.39493,,147,,47.2
104,0.3983,,147,,47.2
105,0.40145,,147,,47.2
106,0.40491,,147,,47.2
107,0.40894,,147,,47.2
108,0.41249,,147,,47.2
109,0.41608,,147,,47
110,0.42011,,147,,47.4
111,0.42402,,147,,47.4
112,0.42834,,147,,47.6
113,0.43227,,147,,47.6
114,0.43664,,147,,47.8
115,0.44023,,148,,48
116,0.44513,,148,,48.2
117,0.44917,,148,,48.2
118,0.45313,,148,,48.4
119,0.45694,,148,,48.4
120,0.4612,,148,,48.4
121,0.46547,,148,,48.2
122,0.46965,,148,,48.4
123,0.47338,,147,,48.6
124,0.47768,,147,,48.4
125,0.48147,,147,,48.6
126,0.48548,,147,,48.8
127,0.48963,,147,,48.6
128,0.49354,,147,,48.4
129,0.49743,,146,,48.2
130,0.50127,,146,,48.2
131,0.50486,,146,,48
132,0.5091,,146,,48
133,0.51224,,146,,48
134,0.51676,,147,,48
135,0.5204,,146,,47.8
136,0.52408,,147,,47.8
137,0.5276,,147,,47.4
138,0.53161,,147,,47.4
139,0.53585,,147,,47.6
140,0.53949,,147,,47.6
141,0.54356,,147,,47.4
142,0.54768,,147,,47.4
143,0.55158,,147,,47.4
144,0.5559,,148,,46.8
145,0.56048,,148,,46.6
146,0.56423,,148,,46.2
147,0.56789,,148,,46
148,0.57094,,148,,45.8
149,0.57447,,148,,45.8
150,0.5794,,148,,45.8
151,0.58329,,149,,45.4
152,0.5874,,149,,45.4
153,0.59097,,149,,45.2
154,0.59531,,149,,45.2
155,0.59836,,150,,45.2
156,0.60265,,150,,45
157,0.60615,,149,,44.8
158,0.60883,,149,,44.8
159,0.61141,,149,,44.8
160,0.61334,,149,,44.6
161,0.61558,,148,,44.4
162,0.61964,,147,,44.4
163,0.62309,,146,,44.4
164,0.62806,,146,,44.2
165,0.63238,,146,,44.2
166,0.6368,,146,,44.2
167,0.64091,,146,,44.4
168,0.64491,,146,,44.2
169,0.64993,,146,,44.4
170,0.65399,,146,,44.4
171,0.65772,,146,,44.6
172,0.66151,,147,,44.8
173,0.6652,,147,,44.8
174,0.66927,,147,,45
175,0.67321,,148,,45
176,0.67785,,148,,44.8
177,0.68207,,148,,44.8
178,0.68573,,148,,44.8
179,0.68921,,149,,44.6
180,0.69371,,148,,44.6
181,0.69764,,149,,44.6
182,0.70125,,149,,44.8
183,0.70477,,149,,45
184,0.7096,,150,,45.4
185,0.71332,,150,,45.6
186,0.71764,,151,,45.8
187,0.72164,,151,,45.8
188,0.72472,,151,,46
189,0.72906,,151,,46
190,0.7329,,152,,46.2
191,0.73658,,152,,46.2
192,0.74102,,153,,46.2
193,0.74425,,153,,46.2
194,0.74803,,153,,46.4
195,0.75198,,153,,46.6
196,0.75587,,153,,46.8
197,0.75956,,153,,47
198,0.76291,,153,,47.4
199,0.76744,,154,,47.6
200,0.77162,,153,,48
201,0.77552,,154,,48.4
202,0.77937,,154,,48.6
203,0.7832,,154,,48.6
204,0.78795,,154,,48.4
205,0.7924,,154,,48
206,0.79632,,154,,48.2
207,0.79993,,154,,48.4
208,0.80351,,155,,48.4
209,0.80732,,155,,48.2
210,0.81229,,154,,47.8
211,0.81677,,155,,47.8
212,0.82123,,155,,47.2
213,0.82448,,154,,46.8
214,0.82934,,154,,46.8
215,0.83293,,154,,46.8
216,0.83698,,154,,47.2
217,0.84092,,154,,47.2
218,0.84413,,154,,47.2
219,0.84775,,154,,47.4
220,0.85115,,154,,47.4
221,0.85472,,154,,47.4
222,0.85863,,154,,47.4
223,0.86114,,155,,47.2
224,0.86518,,155,,47.2
225,0.8686,,154,,47.2
