secs,km,power,hr,cad,alt
0,0,,67,,61.6
1,0.00072,,67,,61.6
2,0.002373,,66.5,,61.52
3,0.004026,,66,,61.44
4,0.005679,,65.5,,61.36
5,0.007332,,65,,61.28
6,0.008985,,64.5,,61.2
7,0.010638,,64,,61.12
8,0.012291,,63.5,,61.04
9,0.013944,,63,,60.96
10,0.015597,,62.5,,60.88
11,0.01725,,62,,60.8
12,0.019265,,64.5,,60.7
13,0.02128,,67,,60.6
14,0.0230833,,68,,60.6667
15,0.0248867,,69,,60.7333
16,0.02669,,70,,60.8
17,0.0283575,,70.75,,60.8
18,0.030025,,71.5,,60.8
19,0.0316925,,72.25,,60.8
20,0.03336,,73,,60.8
21,0.03511,,76,,60.8
22,0.036885,,77.5,,60.8
23,0.03866,,79,,60.8
24,0.0405175,,79.75,,60.8
25,0.042375,,80.5,,60.8
26,0.0442325,,81.25,,60.8
27,0.04609,,82,,60.8
28,0.047985,,83.5,,60.8
29,0.04988,,85,,60.8
30,0.05181,,86.5,,60.8
31,0.05374,,88,,60.8
32,0.05557,,89,,60.8
33,0.0574,,90,,60.8
34,0.05923,,91,,60.8
35,0.06094,,94,,60.8
36,0.062674,,93.4,,60.8
37,0.064408,,92.8,,60.8
38,0.066142,,92.2,,60.8
39,0.067876,,91.6,,60.8
40,0.06961,,91,,60.8
41,0.07149,,87.5,,60.8
42,0.07337,,84,,60.8
43,0.0751833,,82.3333,,60.8
44,0.0769967,,80.6667,,60.8
45,0.07881,,79,,60.8
46,0.08054,,81,,60.8
47,0.08227,,83,,60.8
48,0.083605,,84.5,,60.8
49,0.08494,,86,,60.8
50,0.08637,,88.5,,60.8
51,0.0878,,91,,60.8
52,0.0890033,,91.3333,,60.8
53,0.0902067,,91.6667,,60.8
54,0.09141,,92,,60.8
55,0.092925,,93.5,,60.8
56,0.09444,,95,,60.8
57,0.09577,,92,,60.8
58,0.0972943,,91.8571,,60.8
59,0.0988186,,91.7143,,60.8
60,0.100343,,91.5714,,60.8
61,0.101867,,91.4286,,60.8
62,0.103391,,91.2857,,60.8
63,0.104916,,91.1429,,60.8
64,0.10644,,91,,60.8
65,0.107964,,90.8571,,60.8
66,0.109489,,90.7143,,60.8
67,0.111013,,90.5714,,60.8
68,0.112537,,90.4286,,60.8
69,0.114061,,90.2857,,60.8
70,0.115586,,90.1429,,60.8
71,0.11711,,90,,60.8
72,0.118563,,89.75,,60.85
73,0.120015,,89.5,,60.9
74,0.121468,,89.25,,60.95
75,0.12292,,89,,61
76,0.124525,,89.1538,,61.0154
77,0.126129,,89.3077,,61.0308
78,0.127734,,89.4615,,61.0462
79,0.129338,,89.6154,,61.0615
80,0.130943,,89.7692,,61.0769
81,0.132548,,89.9231,,61.0923
82,0.134152,,90.0769,,61.1077
83,0.135757,,90.2308,,61.1231
84,0.137362,,90.3846,,61.1385
85,0.138966,,90.5385,,61.1538
86,0.140571,,90.6923,,61.1692
87,0.142175,,90.8462,,61.1846
88,0.14378,,91,,61.2
89,0.145436,,90.9091,,61.2
90,0.147093,,90.8182,,61.2
91,0.148749,,90.7273,,61.2
92,0.150405,,90.6364,,61.2
93,0.152062,,90.5455,,61.2
94,0.153718,,90.4545,,61.2
95,0.155375,,90.3636,,61.2
96,0.157031,,90.2727,,61.2
97,0.158687,,90.1818,,61.2
98,0.160344,,90.0909,,61.2
99,0.162,,90,,61.2
100,0.163601,,90,,61.2286
101,0.165203,,90,,61.2571
102,0.166804,,90,,61.2857
103,0.168406,,90,,61.3143
104,0.170007,,90,,61.3429
105,0.171609,,90,,61.3714
106,0.17321,,90,,61.4
107,0.174565,,89.75,,61.4
108,0.17592,,89.5,,61.4
109,0.177275,,89.25,,61.4
110,0.17863,,89,,61.4
111,0.180331,,89.375,,61.4
112,0.182033,,89.75,,61.4
113,0.183734,,90.125,,61.4
114,0.185435,,90.5,,61.4
115,0.187136,,90.875,,61.4
116,0.188837,,91.25,,61.4
117,0.190539,,91.625,,61.4
118,0.19224,,92,,61.4
119,0.193836,,92.2222,,61.3778
120,0.195431,,92.4444,,61.3556
121,0.197027,,92.6667,,61.3333
122,0.198622,,92.8889,,61.3111
123,0.200218,,93.1111,,61.2889
124,0.201813,,93.3333,,61.2667
125,0.203409,,93.5556,,61.2444
126,0.205004,,93.7778,,61.2222
127,0.2066,,94,,61.2
128,0.207987,,93.6667,,61.2667
129,0.209373,,93.3333,,61.3333
130,0.21076,,93,,61.4
131,0.212251,,92.875,,61.375
132,0.213743,,92.75,,61.35
133,0.215234,,92.625,,61.325
134,0.216725,,92.5,,61.3
135,0.218216,,92.375,,61.275
136,0.219708,,92.25,,61.25
137,0.221199,,92.125,,61.225
138,0.22269,,92,,61.2
139,0.22396,,92.5,,61.2
140,0.22523,,93,,61.2
141,0.226798,,93,,61.2
142,0.228367,,93,,61.2
143,0.229935,,93,,61.2
144,0.231503,,93,,61.2
145,0.233072,,93,,61.2
146,0.23464,,93,,61.2
147,0.236181,,92.9167,,61.2167
148,0.237722,,92.8333,,61.2333
149,0.239262,,92.75,,61.25
150,0.240803,,92.6667,,61.2667
151,0.242344,,92.5833,,61.2833
152,0.243885,,92.5,,61.3
153,0.245426,,92.4167,,61.3167
154,0.246967,,92.3333,,61.3333
155,0.248508,,92.25,,61.35
156,0.250048,,92.1667,,61.3667
157,0.251589,,92.0833,,61.3833
158,0.25313,,92,,61.4
159,0.254823,,92,,61.4
160,0.256515,,92,,61.4
161,0.258208,,92,,61.4
162,0.2599,,92,,61.4
163,0.261593,,92,,61.4
164,0.263285,,92,,61.4
165,0.264978,,92,,61.4
166,0.26667,,92,,61.4
167,0.268267,,92.1,,61.38
168,0.269864,,92.2,,61.36
169,0.271461,,92.3,,61.34
170,0.273058,,92.4,,61.32
171,0.274655,,92.5,,61.3
172,0.276252,,92.6,,61.28
173,0.277849,,92.7,,61.26
174,0.279446,,92.8,,61.24
175,0.281043,,92.9,,61.22
176,0.28264,,93,,61.2
177,0.284304,,93.1538,,61.1846
178,0.285968,,93.3077,,61.1692
179,0.287632,,93.4615,,61.1538
180,0.289295,,93.6154,,61.1385
181,0.290959,,93.7692,,61.1231
182,0.292623,,93.9231,,61.1077
183,0.294287,,94.0769,,61.0923
184,0.295951,,94.2308,,61.0769
185,0.297615,,94.3846,,61.0615
186,0.299278,,94.5385,,61.0462
187,0.300942,,94.6923,,61.0308
188,0.302606,,94.8462,,61.0154
189,0.30427,,95,,61
190,0.305966,,94.8,,61
191,0.307662,,94.6,,61
192,0.309358,,94.4,,61
193,0.311054,,94.2,,61
194,0.31275,,94,,61
195,0.314328,,94,,60.9846
196,0.315905,,94,,60.9692
197,0.317483,,94,,60.9538
198,0.319061,,94,,60.9385
199,0.320638,,94,,60.9231
200,0.322216,,94,,60.9077
201,0.323794,,94,,60.8923
202,0.325372,,94,,60.8769
203,0.326949,,94,,60.8615
204,0.328527,,94,,60.8462
205,0.330105,,94,,60.8308
206,0.331682,,94,,60.8154
207,0.33326,,94,,60.8
208,0.334812,,93.9,,60.8
209,0.336364,,93.8,,60.8
210,0.337916,,93.7,,60.8
211,0.339468,,93.6,,60.8
212,0.34102,,93.5,,60.8
213,0.342572,,93.4,,60.8
214,0.344124,,93.3,,60.8
215,0.345676,,93.2,,60.8
216,0.347228,,93.1,,60.8
217,0.34878,,93,,60.8
218,0.350575,,92.5,,60.8
219,0.35237,,92,,60.8
220,0.353969,,92.0769,,60.8
221,0.355568,,92.1538,,60.8
222,0.357168,,92.2308,,60.8
223,0.358767,,92.3077,,60.8
224,0.360366,,92.3846,,60.8
225,0.361965,,92.4615,,60.8
226,0.363565,,92.5385,,60.8
227,0.365164,,92.6154,,60.8
228,0.366763,,92.6923,,60.8
229,0.368362,,92.7692,,60.8
230,0.369962,,92.8462,,60.8
231,0.371561,,92.9231,,60.8
232,0.37316,,93,,60.8
233,0.374663,,93.25,,60.8
234,0.376165,,93.5,,60.8
235,0.377667,,93.75,,60.8
236,0.37917,,94,,60.8
237,0.380708,,94.6,,60.8
238,0.382246,,95.2,,60.8
239,0.383784,,95.8,,60.8
240,0.385322,,96.4,,60.8
241,0.38686,,97,,60.8
242,0.38833,,97.25,,60.8
243,0.3898,,97.5,,60.8
244,0.39127,,97.75,,60.8
245,0.39274,,98,,60.8
246,0.394,,98,,60.8
247,0.39526,,98,,60.8
248,0.39643,,98,,60.8
249,0.3976,,98,,60.8
250,0.399023,,98.0667,,60.8133
251,0.400445,,98.1333,,60.8267
252,0.401868,,98.2,,60.84
253,0.403291,,98.2667,,60.8533
254,0.404713,,98.3333,,60.8667
255,0.406136,,98.4,,60.88
256,0.407559,,98.4667,,60.8933
257,0.408981,,98.5333,,60.9067
258,0.410404,,98.6,,60.92
259,0.411827,,98.6667,,60.9333
260,0.413249,,98.7333,,60.9467
261,0.414672,,98.8,,60.96
262,0.416095,,98.8667,,60.9733
263,0.417517,,98.9333,,60.9867
264,0.41894,,99,,61
265,0.420541,,99,,61
266,0.422142,,99,,61
267,0.423742,,99,,61
268,0.425343,,99,,61
269,0.426944,,99,,61
270,0.428545,,99,,61
271,0.430145,,99,,61
272,0.431746,,99,,61
273,0.433347,,99,,61
274,0.434948,,99,,61
275,0.436548,,99,,61
276,0.438149,,99,,61
277,0.43975,,99,,61
278,0.440812,,98.5,,61
279,0.441875,,98,,61
280,0.442937,,97.5,,61
281,0.444,,97,,61
282,0.445654,,97,,61.0154
283,0.447308,,97,,61.0308
284,0.448962,,97,,61.0462
285,0.450615,,97,,61.0615
286,0.452269,,97,,61.0769
287,0.453923,,97,,61.0923
288,0.455577,,97,,61.1077
289,0.457231,,97,,61.1231
290,0.458885,,97,,61.1385
291,0.460538,,97,,61.1538
292,0.462192,,97,,61.1692
293,0.463846,,97,,61.1846
294,0.4655,,97,,61.2
295,0.467082,,97,,61.2
296,0.468665,,97,,61.2
297,0.470247,,97,,61.2
298,0.471829,,97,,61.2
299,0.473412,,97,,61.2
300,0.474994,,97,,61.2
301,0.476576,,97,,61.2
302,0.478158,,97,,61.2
303,0.479741,,97,,61.2
304,0.481323,,97,,61.2
305,0.482905,,97,,61.2
306,0.484488,,97,,61.2
307,0.48607,,97,,61.2
308,0.487375,,97,,61.2
309,0.48868,,97,,61.2
310,0.490192,,97,,61.2
311,0.491704,,97,,61.2
312,0.493216,,97,,61.2
313,0.494728,,97,,61.2
314,0.49624,,97,,61.2
315,0.497752,,97,,61.2
316,0.499264,,97,,61.2
317,0.500776,,97,,61.2
318,0.502288,,97,,61.2
319,0.5038,,97,,61.2
320,0.505455,,96.7692,,61.2154
321,0.507109,,96.5385,,61.2308
322,0.508764,,96.3077,,61.2462
323,0.510418,,96.0769,,61.2615
324,0.512073,,95.8462,,61.2769
325,0.513728,,95.6154,,61.2923
326,0.515382,,95.3846,,61.3077
327,0.517037,,95.1538,,61.3231
328,0.518692,,94.9231,,61.3385
329,0.520346,,94.6923,,61.3538
330,0.522001,,94.4615,,61.3692
331,0.523655,,94.2308,,61.3846
332,0.52531,,94,,61.4
333,0.526933,,93.7778,,61.4222
334,0.528557,,93.5556,,61.4444
335,0.53018,,93.3333,,61.4667
336,0.531803,,93.1111,,61.4889
337,0.533427,,92.8889,,61.5111
338,0.53505,,92.6667,,61.5333
339,0.536673,,92.4444,,61.5556
340,0.538297,,92.2222,,61.5778
341,0.53992,,92,,61.6
