secs,km,power,hr,cad,alt
0,0,,97,,38
1,0.00044,,97,,38
2,0.00044,,96.8,,37.96
3,0.00044,,96.6,,37.92
4,0.00044,,96.4,,37.88
5,0.00044,,96.2,,37.84
6,0.00044,,96,,37.8
7,0.0051,,94.8,,37.76
8,0.00976,,93.6,,37.72
9,0.01442,,92.4,,37.68
10,0.01908,,91.2,,37.64
11,0.02374,,90,,37.6
12,0.02825,,89.6,,37.56
13,0.03276,,89.2,,37.52
14,0.03727,,88.8,,37.48
15,0.04178,,88.4,,37.44
16,0.04629,,88,,37.4
17,0.050804,,88,,37.32
18,0.055318,,88,,37.24
19,0.059832,,88,,37.16
20,0.064346,,88,,37.08
21,0.06886,,88,,37
22,0.07319,,88,,37.04
23,0.07752,,88,,37.08
24,0.08185,,88,,37.12
25,0.08618,,88,,37.16
26,0.09051,,88,,37.2
27,0.094662,,88,,37.2
28,0.098814,,88,,37.2
29,0.102966,,88,,37.2
30,0.107118,,88,,37.2
31,0.11127,,88,,37.2
32,0.115632,,88.4,,37.2
33,0.119994,,88.8,,37.2
34,0.124356,,89.2,,37.2
35,0.128718,,89.6,,37.2
36,0.13308,,90,,37.2
37,0.13703,,90,,37.2
38,0.14098,,90,,37.2
39,0.14493,,90,,37.2
40,0.14888,,90,,37.2
41,0.15283,,90,,37.2
42,0.15678,,90,,37.2
43,0.161476,,90.2,,37.2
44,0.166172,,90.4,,37.2
45,0.170868,,90.6,,37.2
46,0.175564,,90.8,,37.2
47,0.18026,,91,,37.2
48,0.18458,,91,,37.16
49,0.1889,,91,,37.12
50,0.19322,,91,,37.08
51,0.19754,,91,,37.04
52,0.20186,,91,,37
53,0.205802,,90.8333,,37
54,0.209743,,90.6667,,37
55,0.213685,,90.5,,37
56,0.217627,,90.3333,,37
57,0.221568,,90.1667,,37
58,0.22551,,90,,37
59,0.229586,,89.8,,37
60,0.233662,,89.6,,37
61,0.237738,,89.4,,37
62,0.241814,,89.2,,37
63,0.24589,,89,,37
64,0.25042,,88.8,,37
65,0.25495,,88.6,,37
66,0.25948,,88.4,,37
67,0.26401,,88.2,,37
68,0.26854,,88,,37
69,0.273024,,88,,37
70,0.277508,,88,,37
71,0.281992,,88,,37
72,0.286476,,88,,37
73,0.29096,,88,,37
74,0.295526,,88.4,,37
75,0.300092,,88.8,,37
76,0.304658,,89.2,,37
77,0.309224,,89.6,,37
78,0.31379,,90,,37
79,0.318074,,89.8,,36.96
80,0.322358,,89.6,,36.92
81,0.326642,,89.4,,36.88
82,0.330926,,89.2,,36.84
83,0.33521,,89,,36.8
84,0.339098,,88.8333,,36.8
85,0.342987,,88.6667,,36.8
86,0.346875,,88.5,,36.8
87,0.350763,,88.3333,,36.8
88,0.354652,,88.1667,,36.8
89,0.35854,,88,,36.8
90,0.362562,,88,,36.76
91,0.366584,,88,,36.72
92,0.370606,,88,,36.68
93,0.374628,,88,,36.64
94,0.37865,,88,,36.6
95,0.38253,,87.8333,,36.5667
96,0.38641,,87.6667,,36.5333
97,0.39029,,87.5,,36.5
98,0.39417,,87.3333,,36.4667
99,0.39805,,87.1667,,36.4333
100,0.40193,,87,,36.4
101,0.405878,,87,,36.4
102,0.409827,,87,,36.4
103,0.413775,,87,,36.4
104,0.417723,,87,,36.4
105,0.421672,,87,,36.4
106,0.42562,,87,,36.4
107,0.429362,,86.8333,,36.4333
108,0.433103,,86.6667,,36.4667
109,0.436845,,86.5,,36.5
110,0.440587,,86.3333,,36.5333
111,0.444328,,86.1667,,36.5667
112,0.44807,,86,,36.6
113,0.45201,,85,,36.6667
114,0.45595,,84,,36.7333
115,0.45989,,83,,36.8
116,0.463438,,83.1667,,36.8333
117,0.466987,,83.3333,,36.8667
118,0.470535,,83.5,,36.9
119,0.474083,,83.6667,,36.9333
120,0.477632,,83.8333,,36.9667
121,0.48118,,84,,37
122,0.484542,,84.1667,,37.0333
123,0.487903,,84.3333,,37.0667
124,0.491265,,84.5,,37.1
125,0.494627,,84.6667,,37.1333
126,0.497988,,84.8333,,37.1667
127,0.50135,,85,,37.2
128,0.504935,,85,,37.2
129,0.50852,,85,,37.2
130,0.512105,,85,,37.2
131,0.51569,,85,,37.2
132,0.519275,,85,,37.2
133,0.52286,,85,,37.2
134,0.52629,,85,,37.2333
135,0.52972,,85,,37.2667
136,0.53315,,85,,37.3
137,0.53658,,85,,37.3333
138,0.54001,,85,,37.3667
139,0.54344,,85,,37.4
140,0.546783,,84.8571,,37.4286
141,0.550126,,84.7143,,37.4571
142,0.553469,,84.5714,,37.4857
143,0.556811,,84.4286,,37.5143
144,0.560154,,84.2857,,37.5429
145,0.563497,,84.1429,,37.5714
146,0.56684,,84,,37.6
147,0.570312,,84,,37.6333
148,0.573783,,84,,37.6667
149,0.577255,,84,,37.7
150,0.580727,,84,,37.7333
151,0.584198,,84,,37.7667
152,0.58767,,84,,37.8
153,0.591023,,84.1667,,37.8333
154,0.594377,,84.3333,,37.8667
155,0.59773,,84.5,,37.9
156,0.601083,,84.6667,,37.9333
157,0.604437,,84.8333,,37.9667
158,0.60779,,85,,38
159,0.611135,,84.6667,,38
160,0.61448,,84.3333,,38
161,0.617825,,84,,38
162,0.62117,,83.6667,,38
163,0.624515,,83.3333,,38
164,0.62786,,83,,38
165,0.631155,,83.5,,38
166,0.63445,,84,,38
167,0.637745,,84.5,,38
168,0.64104,,85,,38
169,0.644335,,85.5,,38
170,0.64763,,86,,38
171,0.650977,,85.8333,,38
172,0.654323,,85.6667,,38
173,0.65767,,85.5,,38
174,0.661017,,85.3333,,38
175,0.664363,,85.1667,,38
176,0.66771,,85,,38
177,0.671383,,85.1667,,37.9667
178,0.675057,,85.3333,,37.9333
179,0.67873,,85.5,,37.9
180,0.682403,,85.6667,,37.8667
181,0.686077,,85.8333,,37.8333
182,0.68975,,86,,37.8
183,0.693475,,86,,37.8333
184,0.6972,,86,,37.8667
185,0.700925,,86,,37.9
186,0.70465,,86,,37.9333
187,0.708375,,86,,37.9667
188,0.7121,,86,,38
189,0.715583,,86,,38.0667
190,0.719067,,86,,38.1333
191,0.72255,,86,,38.2
192,0.726033,,86,,38.2667
193,0.729517,,86,,38.3333
194,0.733,,86,,38.4
195,0.736597,,85.8333,,38.4333
196,0.740193,,85.6667,,38.4667
