secs,km,power,hr,cad,alt
0,0,,75,,676
1,0.00118,,80,,675.8
2,0.003865,,83.5,,676
3,0.00655,,87,,676.2
4,0.010005,,90.5,,676.2
5,0.01346,,94,,676.2
6,0.016785,,95.5,,676.2
7,0.02011,,97,,676.2
8,0.02257,,99,,675.9
9,0.02503,,101,,675.6
10,0.02503,,102,,675.6
11,0.026295,,103.5,,675.4
12,0.02756,,105,,675.2
13,0.0300233,,106.333,,675.2
14,0.0324867,,107.667,,675.2
15,0.03495,,109,,675.2
16,0.03799,,111,,675.2
17,0.040535,,112.5,,675.4
18,0.04308,,114,,675.6
19,0.045935,,115.5,,675.1
20,0.04879,,117,,674.6
21,0.05132,,118.5,,674.7
22,0.05385,,120,,674.8
23,0.056625,,121.5,,674.9
24,0.0594,,123,,675
25,0.0623967,,124,,675.133
26,0.0653933,,125,,675.267
27,0.06839,,126,,675.4
28,0.071175,,127,,675.3
29,0.07396,,128,,675.2
30,0.076745,,129,,675.1
31,0.07953,,130,,675
32,0.08221,,131,,675
33,0.085075,,131.5,,674.8
34,0.08794,,132,,674.6
35,0.090805,,132.5,,674.4
36,0.09367,,133,,674.2
37,0.097144,,133.2,,673.96
38,0.100618,,133.4,,673.72
39,0.104092,,133.6,,673.48
40,0.107566,,133.8,,673.24
41,0.11104,,134,,673
42,0.114233,,134.5,,672.9
43,0.117427,,135,,672.8
44,0.12062,,135.5,,672.7
45,0.123813,,136,,672.6
46,0.127007,,136.5,,672.5
47,0.1302,,137,,672.4
48,0.13367,,137.333,,672.2
49,0.13714,,137.667,,672
50,0.14061,,138,,671.8
51,0.143765,,138.167,,671.667
52,0.14692,,138.333,,671.533
53,0.150075,,138.5,,671.4
54,0.15323,,138.667,,671.267
55,0.156385,,138.833,,671.133
56,0.15954,,139,,671
57,0.1628,,139,,670.8
58,0.166055,,139.167,,670.633
59,0.16931,,139.333,,670.467
60,0.172565,,139.5,,670.3
61,0.17582,,139.667,,670.133
62,0.179075,,139.833,,669.967
63,0.18233,,140,,669.8
64,0.18598,,140,,669.8
65,0.189458,,140,,669.633
66,0.192937,,140,,669.467
67,0.196415,,140,,669.3
68,0.199893,,140,,669.133
69,0.203372,,140,,668.967
70,0.20685,,140,,668.8
71,0.21016,,141,,668.6
72,0.21368,,141,,668.433
73,0.2172,,141,,668.267
74,0.22072,,141,,668.1
75,0.22424,,141,,667.933
76,0.22776,,141,,667.767
77,0.23128,,141,,667.6
78,0.23471,,140.833,,667.467
79,0.23814,,140.667,,667.333
80,0.24157,,140.5,,667.2
81,0.245,,140.333,,667.067
82,0.24843,,140.167,,666.933
83,0.25186,,140,,666.8
84,0.25546,,140,,666.5
85,0.25906,,140,,666.2
86,0.262208,,140,,666.067
87,0.265357,,140,,665.933
88,0.268505,,140,,665.8
89,0.271653,,140,,665.667
90,0.274802,,140,,665.533
91,0.27795,,140,,665.4
92,0.281383,,139.833,,665.233
93,0.284817,,139.667,,665.067
94,0.28825,,139.5,,664.9
95,0.291683,,139.333,,664.733
96,0.295117,,139.167,,664.567
97,0.29855,,139,,664.4
98,0.30227,,139,,664.4
99,0.305312,,139.167,,664.267
100,0.308353,,139.333,,664.133
101,0.311395,,139.5,,664
102,0.314437,,139.667,,663.867
103,0.317478,,139.833,,663.733
104,0.32052,,140,,663.6
105,0.323572,,140,,663.52
106,0.326624,,140,,663.44
107,0.329676,,140,,663.36
108,0.332728,,140,,663.28
109,0.33578,,140,,663.2
110,0.338972,,140.167,,663.133
111,0.342163,,140.333,,663.067
112,0.345355,,140.5,,663
113,0.348547,,140.667,,662.933
114,0.351738,,140.833,,662.867
115,0.35493,,141,,662.8
116,0.35842,,140.833,,662.7
117,0.36191,,140.667,,662.6
118,0.3654,,140.5,,662.5
119,0.36889,,140.333,,662.4
120,0.37238,,140.167,,662.3
121,0.37587,,140,,662.2
122,0.379163,,140,,662.133
123,0.382457,,140,,662.067
124,0.38575,,140,,662
125,0.389043,,140,,661.933
126,0.392337,,140,,661.867
127,0.39563,,140,,661.8
128,0.399197,,139.833,,661.733
129,0.402763,,139.667,,661.667
130,0.40633,,139.5,,661.6
131,0.409897,,139.333,,661.533
132,0.413463,,139.167,,661.467
133,0.41703,,139,,661.4
134,0.420463,,139.167,,661.4
135,0.423897,,139.333,,661.4
136,0.42733,,139.5,,661.4
137,0.430763,,139.667,,661.4
138,0.434197,,139.833,,661.4
139,0.43763,,140,,661.4
140,0.440887,,139.333,,661.267
141,0.444143,,138.667,,661.133
142,0.4474,,138,,661
143,0.450563,,138.167,,660.933
144,0.453727,,138.333,,660.867
145,0.45689,,138.5,,660.8
146,0.460053,,138.667,,660.733
147,0.463217,,138.833,,660.667
148,0.46638,,139,,660.6
149,0.46958,,138.667,,660.533
150,0.47278,,138.333,,660.467
151,0.47598,,138,,660.4
152,0.47918,,137.667,,660.333
153,0.48238,,137.333,,660.267
154,0.48558,,137,,660.2
155,0.488863,,136.75,,660.15
156,0.492145,,136.5,,660.1
157,0.495428,,136.25,,660.05
158,0.49871,,136,,660
159,0.50193,,137,,660
160,0.50515,,138,,660
161,0.50837,,139,,660
162,0.511637,,139,,659.967
163,0.514903,,139,,659.933
164,0.51817,,139,,659.9
165,0.521437,,139,,659.867
166,0.524703,,139,,659.833
167,0.52797,,139,,659.8
168,0.531227,,139.167,,659.767
169,0.534483,,139.333,,659.733
170,0.53774,,139.5,,659.7
171,0.540997,,139.667,,659.667
172,0.544253,,139.833,,659.633
173,0.54751,,140,,659.6
174,0.550457,,140.167,,659.533
175,0.553403,,140.333,,659.467
176,0.55635,,140.5,,659.4
177,0.559297,,140.667,,659.333
178,0.562243,,140.833,,659.267
179,0.56519,,141,,659.2
180,0.568237,,141,,659.233
181,0.571283,,141,,659.267
182,0.57433,,141,,659.3
183,0.577377,,141,,659.333
184,0.580423,,141,,659.367
185,0.58347,,141,,659.4
186,0.586573,,141,,659.367
187,0.589677,,141,,659.333
188,0.59278,,141,,659.3
189,0.595883,,141,,659.267
190,0.598987,,141,,659.233
191,0.60209,,141,,659.2
192,0.60506,,141,,659.233
193,0.60803,,141,,659.267
194,0.611,,141,,659.3
195,0.61397,,141,,659.333
196,0.61694,,141,,659.367
197,0.61991,,141,,659.4
198,0.62282,,142,,659.533
199,0.62573,,143,,659.667
200,0.62864,,144,,659.8
201,0.631785,,144,,659.833
202,0.63493,,144,,659.867
203,0.638075,,144,,659.9
204,0.64122,,144,,659.933
205,0.644365,,144,,659.967
206,0.64751,,144,,660
207,0.650532,,144.333,,660.133
208,0.653553,,144.667,,660.267
209,0.656575,,145,,660.4
210,0.659597,,145.333,,660.533
211,0.662618,,145.667,,660.667
212,0.66564,,146,,660.8
213,0.668545,,146,,660.9
214,0.67145,,146,,661
215,0.674392,,146.333,,661.167
216,0.677333,,146.667,,661.333
217,0.680275,,147,,661.5
218,0.683217,,147.333,,661.667
219,0.686158,,147.667,,661.833
220,0.6891,,148,,662
221,0.691788,,148.5,,662.25
222,0.694475,,149,,662.5
223,0.697163,,149.5,,662.75
224,0.69985,,150,,663
225,0.702444,,150.2,,663.2
226,0.705038,,150.4,,663.4
227,0.707632,,150.6,,663.6
228,0.710226,,150.8,,663.8
229,0.71282,,151,,664
230,0.715505,,149.5,,664.2
231,0.71819,,148,,664.4
232,0.72084,,147.5,,665
233,0.72349,,147,,665.6
234,0.72594,,151,,666.2
235,0.72853,,151.5,,666.267
236,0.73112,,152,,666.333
237,0.73371,,152.5,,666.4
238,0.7363,,153,,666.467
239,0.73889,,153.5,,666.533
240,0.74148,,154,,666.6
241,0.74408,,154,,666.8
242,0.746495,,154,,666.933
243,0.74891,,154,,667.067
244,0.751325,,154,,667.2
245,0.75374,,154,,667.333
246,0.756155,,154,,667.467
247,0.75857,,154,,667.6
248,0.76093,,153,,667.8
249,0.763396,,153.6,,667.96
250,0.765862,,154.2,,668.12
251,0.768328,,154.8,,668.28
252,0.770794,,155.4,,668.44
253,0.77326,,156,,668.6
254,0.77609,,155.75,,668.7
255,0.77892,,155.5,,668.8
256,0.78175,,155.25,,668.9
257,0.78458,,155,,669
258,0.78724,,154.833,,669.1
259,0.7899,,154.667,,669.2
260,0.79256,,154.5,,669.3
261,0.79522,,154.333,,669.4
262,0.79788,,154.167,,669.5
263,0.80054,,154,,669.6
264,0.803267,,154.333,,669.733
265,0.805993,,154.667,,669.867
266,0.80872,,155,,670
267,0.811558,,155,,670.133
268,0.814397,,155,,670.267
269,0.817235,,155,,670.4
270,0.820073,,155,,670.533
271,0.822912,,155,,670.667
272,0.82575,,155,,670.8
273,0.828407,,154.667,,670.933
274,0.831063,,154.333,,671.067
275,0.83372,,154,,671.2
276,0.836572,,154,,671.233
277,0.839423,,154,,671.267
278,0.842275,,154,,671.3
279,0.845127,,154,,671.333
280,0.847978,,154,,671.367
281,0.85083,,154,,671.4
282,0.853632,,154.167,,671.533
283,0.856433,,154.333,,671.667
284,0.859235,,154.5,,671.8
285,0.862037,,154.667,,671.933
286,0.864838,,154.833,,672.067
287,0.86764,,155,,672.2
288,0.870157,,155.333,,672.333
289,0.872673,,155.667,,672.467
290,0.87519,,156,,672.6
291,0.877707,,156.333,,672.733
292,0.880223,,156.667,,672.867
293,0.88274,,157,,673
294,0.885713,,156.5,,673.067
295,0.888687,,156,,673.133
296,0.89166,,155.5,,673.2
297,0.894633,,155,,673.267
298,0.897607,,154.5,,673.333
299,0.90058,,154,,673.4
300,0.903582,,153.833,,673.333
301,0.906583,,153.667,,673.267
302,0.909585,,153.5,,673.2
303,0.912587,,153.333,,673.133
304,0.915588,,153.167,,673.067
305,0.91859,,153,,673
306,0.921792,,153,,673.033
307,0.924993,,153,,673.067
308,0.928195,,153,,673.1
309,0.931397,,153,,673.133
310,0.934598,,153,,673.167
311,0.9378,,153,,673.2
312,0.940735,,152.5,,673.2
313,0.94367,,152,,673.2
314,0.946415,,151.667,,673.233
315,0.94916,,151.333,,673.267
316,0.951905,,151,,673.3
317,0.95465,,150.667,,673.333
318,0.957395,,150.333,,673.367
319,0.96014,,150,,673.4
320,0.962957,,149.833,,673.333
321,0.965773,,149.667,,673.267
322,0.96859,,149.5,,673.2
323,0.971407,,149.333,,673.133
324,0.974223,,149.167,,673.067
325,0.97704,,149,,673
326,0.979922,,148.833,,672.933
327,0.982803,,148.667,,672.867
328,0.985685,,148.5,,672.8
329,0.988567,,148.333,,672.733
330,0.991448,,148.167,,672.667
331,0.99433,,148,,672.6
332,0.997437,,147.667,,672.567
333,1.00054,,147.333,,672.533
334,1.00365,,147,,672.5
335,1.00676,,146.667,,672.467
336,1.00986,,146.333,,672.433
337,1.01297,,146,,672.4
338,1.01599,,146,,672.2
339,1.01888,,145.833,,672.133
340,1.02177,,145.667,,672.067
341,1.02467,,145.5,,672
342,1.02756,,145.333,,671.933
343,1.03045,,145.167,,671.867
344,1.03334,,145,,671.8
345,1.03642,,144.833,,671.8
346,1.0395,,144.667,,671.8
347,1.04259,,144.5,,671.8
348,1.04567,,144.333,,671.8
349,1.04875,,144.167,,671.8
350,1.05183,,144,,671.8
351,1.05469,,144,,671.8
352,1.05755,,144,,671.8
353,1.06041,,144,,671.8
354,1.06327,,144,,671.8
355,1.06613,,144,,671.8
356,1.06899,,144,,671.8
357,1.07181,,143.833,,671.833
358,1.07464,,143.667,,671.867
359,1.07746,,143.5,,671.9
360,1.08028,,143.333,,671.933
361,1.08311,,143.167,,671.967
362,1.08593,,143,,672
363,1.08874,,142.667,,672.033
364,1.09156,,142.333,,672.067
365,1.09437,,142,,672.1
366,1.09719,,141.667,,672.133
367,1.1,,141.333,,672.167
368,1.10282,,141,,672.2
369,1.10584,,141.333,,672.267
370,1.10885,,141.667,,672.333
371,1.11187,,142,,672.4
372,1.11489,,142.333,,672.467
373,1.1179,,142.667,,672.533
374,1.12092,,143,,672.6
375,1.12367,,143,,672.733
376,1.12642,,143,,672.867
377,1.12917,,143,,673
378,1.13192,,143,,673.133
379,1.13467,,143,,673.267
380,1.13742,,143,,673.4
381,1.14014,,143,,673.533
382,1.14287,,143,,673.667
383,1.14559,,143,,673.8
384,1.14832,,143,,673.933
385,1.15104,,143,,674.067
386,1.15377,,143,,674.2
387,1.15683,,143.5,,674.3
388,1.15989,,144,,674.4
389,1.1627,,144.6,,674.52
390,1.16551,,145.2,,674.64
391,1.16831,,145.8,,674.76
392,1.17112,,146.4,,674.88
393,1.17393,,147,,675
394,1.17679,,147,,675.08
395,1.17965,,147,,675.16
396,1.18252,,147,,675.24
397,1.18538,,147,,675.32
398,1.18824,,147,,675.4
399,1.19113,,146.833,,675.5
400,1.19401,,146.667,,675.6
401,1.1969,,146.5,,675.7
402,1.19978,,146.333,,675.8
403,1.20266,,146.167,,675.9
404,1.20555,,146,,676
405,1.2084,,146,,676.067
406,1.21125,,146,,676.133
407,1.2141,,146,,676.2
408,1.21695,,146,,676.267
409,1.2198,,146,,676.333
410,1.22265,,146,,676.4
411,1.22549,,146.6,,676.44
412,1.22832,,147.2,,676.48
413,1.23116,,147.8,,676.52
414,1.23399,,148.4,,676.56
415,1.23683,,149,,676.6
416,1.23996,,149.167,,676.633
417,1.2431,,149.333,,676.667
418,1.24623,,149.5,,676.7
419,1.24937,,149.667,,676.733
420,1.2525,,149.833,,676.767
421,1.25564,,150,,676.8
422,1.25881,,150,,676.867
423,1.26198,,150,,676.933
424,1.26515,,150,,677
425,1.26832,,150,,677.067
426,1.27149,,150,,677.133
427,1.27466,,150,,677.2
428,1.27772,,150,,677.333
429,1.28078,,150,,677.467
430,1.28384,,150,,677.6
431,1.28694,,149.833,,677.733
432,1.29005,,149.667,,677.867
433,1.29315,,149.5,,678
434,1.29625,,149.333,,678.133
435,1.29936,,149.167,,678.267
436,1.30246,,149,,678.4
437,1.3054,,149,,678.6
438,1.30844,,149.5,,678.733
439,1.31148,,150,,678.867
440,1.31452,,150.5,,679
441,1.31755,,151,,679.133
442,1.32059,,151.5,,679.267
443,1.32363,,152,,679.4
444,1.32662,,152.167,,679.433
445,1.32961,,152.333,,679.467
446,1.3326,,152.5,,679.5
447,1.33559,,152.667,,679.533
448,1.33858,,152.833,,679.567
449,1.34157,,153,,679.6
450,1.34485,,153.167,,679.467
451,1.34812,,153.333,,679.333
452,1.3514,,153.5,,679.2
453,1.35467,,153.667,,679.067
454,1.35795,,153.833,,678.933
455,1.36122,,154,,678.8
456,1.36446,,153.4,,678.68
457,1.3677,,152.8,,678.56
458,1.37093,,152.2,,678.44
459,1.37417,,151.6,,678.32
460,1.37741,,151,,678.2
461,1.38034,,150.667,,678.167
462,1.38327,,150.333,,678.133
463,1.38619,,150,,678.1
464,1.38912,,149.667,,678.067
465,1.39205,,149.333,,678.033
466,1.39498,,149,,678
467,1.39812,,149,,677.92
468,1.40126,,149,,677.84
469,1.4044,,149,,677.76
470,1.40754,,149,,677.68
471,1.41068,,149,,677.6
472,1.41376,,148.667,,677.6
473,1.41683,,148.333,,677.6
474,1.41991,,148,,677.6
475,1.42299,,147.667,,677.6
476,1.42606,,147.333,,677.6
477,1.42914,,147,,677.6
478,1.43237,,146.667,,677.5
479,1.43559,,146.333,,677.4
480,1.43882,,146,,677.3
481,1.44205,,145.667,,677.2
482,1.44527,,145.333,,677.1
483,1.4485,,145,,677
484,1.45164,,145,,676.9
485,1.45478,,145,,676.8
486,1.45792,,145,,676.7
487,1.46106,,145,,676.6
488,1.46442,,144.667,,676.533
489,1.46777,,144.333,,676.467
490,1.47113,,144,,676.4
491,1.47449,,143.667,,676.333
492,1.47784,,143.333,,676.267
493,1.4812,,143,,676.2
494,1.48471,,143,,675.933
495,1.48823,,143,,675.667
496,1.49174,,143,,675.4
497,1.49472,,143,,675.333
498,1.4977,,143,,675.267
499,1.50069,,143,,675.2
500,1.50367,,143,,675.133
501,1.50665,,143,,675.067
502,1.50963,,143,,675
503,1.51291,,142.5,,674.7
504,1.51619,,142,,674.4
505,1.51948,,141.833,,674.267
506,1.52277,,141.667,,674.133
507,1.52606,,141.5,,674
508,1.52936,,141.333,,673.867
509,1.53265,,141.167,,673.733
510,1.53594,,141,,673.6
511,1.53905,,140.833,,673.633
512,1.54215,,140.667,,673.667
513,1.54526,,140.5,,673.7
514,1.54837,,140.333,,673.733
515,1.55147,,140.167,,673.767
516,1.55458,,140,,673.8
517,1.55757,,140.333,,673.933
518,1.56057,,140.667,,674.067
519,1.56356,,141,,674.2
520,1.56655,,141.333,,674.333
521,1.56955,,141.667,,674.467
522,1.57254,,142,,674.6
523,1.5754,,142.6,,674.76
524,1.57827,,143.2,,674.92
525,1.58113,,143.8,,675.08
526,1.584,,144.4,,675.24
527,1.58686,,145,,675.4
528,1.58995,,145,,675.6
529,1.59303,,145.333,,675.567
530,1.59611,,145.667,,675.533
531,1.59919,,146,,675.5
532,1.60228,,146.333,,675.467
533,1.60536,,146.667,,675.433
534,1.60844,,147,,675.4
535,1.61146,,147,,675.433
536,1.61448,,147,,675.467
537,1.6175,,147,,675.5
538,1.62053,,147,,675.533
539,1.62355,,147,,675.567
540,1.62657,,147,,675.6
541,1.62971,,146.833,,675.567
542,1.63285,,146.667,,675.533
543,1.63598,,146.5,,675.5
544,1.63912,,146.333,,675.467
545,1.64226,,146.167,,675.433
546,1.6454,,146,,675.4
547,1.64848,,146.167,,675.3
548,1.65155,,146.333,,675.2
549,1.65463,,146.5,,675.1
550,1.65771,,146.667,,675
551,1.66078,,146.833,,674.9
552,1.66386,,147,,674.8
553,1.66682,,146.667,,674.667
554,1.66977,,146.333,,674.533
555,1.67273,,146,,674.4
556,1.67583,,146,,674.3
557,1.67893,,146,,674.2
558,1.68203,,146,,674.1
559,1.68512,,146,,674
560,1.68822,,146,,673.9
561,1.69132,,146,,673.8
562,1.69429,,145.333,,673.733
563,1.69726,,144.667,,673.667
564,1.70023,,144,,673.6
565,1.70321,,143.333,,673.533
566,1.70618,,142.667,,673.467
567,1.70915,,142,,673.4
568,1.71219,,142,,673.2
569,1.71524,,142,,673
570,1.71828,,142,,672.8
571,1.72133,,142,,672.6
572,1.72437,,142,,672.4
573,1.72742,,142,,672.2
574,1.73058,,141.667,,672.133
575,1.73374,,141.333,,672.067
576,1.7369,,141,,672
577,1.74007,,140.667,,671.933
578,1.74323,,140.333,,671.867
579,1.74639,,140,,671.8
580,1.74958,,139.833,,671.733
581,1.75277,,139.667,,671.667
582,1.75596,,139.5,,671.6
583,1.75915,,139.333,,671.533
584,1.76234,,139.167,,671.467
585,1.76553,,139,,671.4
586,1.76833,,139.167,,671.467
587,1.77114,,139.333,,671.533
588,1.77394,,139.5,,671.6
589,1.77675,,139.667,,671.667
590,1.77956,,139.833,,671.733
591,1.78236,,140,,671.8
592,1.78526,,140.333,,671.833
593,1.78817,,140.667,,671.867
594,1.79107,,141,,671.9
595,1.79397,,141.333,,671.933
596,1.79688,,141.667,,671.967
597,1.79978,,142,,672
598,1.80275,,142.167,,672
599,1.80572,,142.333,,672
600,1.80869,,142.5,,672
601,1.81167,,142.667,,672
602,1.81464,,142.833,,672
603,1.81761,,143,,672
604,1.82062,,142.667,,672
605,1.82364,,142.333,,672
606,1.82665,,142,,672
607,1.82966,,141.667,,672
608,1.83268,,141.333,,672
609,1.83569,,141,,672
610,1.83877,,141,,672
611,1.84185,,141,,672
612,1.84493,,141,,672
613,1.84801,,141,,672
614,1.85109,,141,,672
615,1.85417,,141,,672
616,1.85729,,141,,672.067
617,1.86042,,141,,672.133
618,1.86354,,141,,672.2
619,1.86666,,141,,672.267
620,1.86979,,141,,672.333
621,1.87291,,141,,672.4
622,1.876,,141.5,,672.4
623,1.87908,,142,,672.4
624,1.88217,,142.5,,672.4
625,1.88526,,143,,672.4
626,1.88834,,143.5,,672.4
627,1.89143,,144,,672.4
628,1.8942,,144.167,,672.5
629,1.89697,,144.333,,672.6
630,1.89974,,144.5,,672.7
631,1.90251,,144.667,,672.8
632,1.90528,,144.833,,672.9
633,1.90805,,145,,673
634,1.91091,,145,,673.1
635,1.91377,,145,,673.2
636,1.91662,,145,,673.3
637,1.91948,,145,,673.4
638,1.92256,,146,,673.4
639,1.92563,,147,,673.4
640,1.92871,,148,,673.4
641,1.93176,,147.833,,673.5
642,1.9348,,147.667,,673.6
643,1.93785,,147.5,,673.7
644,1.94089,,147.333,,673.8
645,1.94394,,147.167,,673.9
646,1.94698,,147,,674
647,1.9498,,147.167,,674.1
648,1.95263,,147.333,,674.2
649,1.95545,,147.5,,674.3
650,1.95827,,147.667,,674.4
651,1.9611,,147.833,,674.5
652,1.96392,,148,,674.6
653,1.96683,,148.167,,674.733
654,1.96973,,148.333,,674.867
655,1.97264,,148.5,,675
656,1.97555,,148.667,,675.133
657,1.97845,,148.833,,675.267
658,1.98136,,149,,675.4
659,1.98453,,149,,675.6
660,1.98749,,149.167,,675.733
661,1.99045,,149.333,,675.867
662,1.99341,,149.5,,676
663,1.99638,,149.667,,676.133
664,1.99934,,149.833,,676.267
665,2.0023,,150,,676.4
666,2.00524,,150,,676.5
667,2.00819,,150,,676.6
668,2.01103,,150.5,,676.7
669,2.01387,,151,,676.8
670,2.01671,,151.5,,676.9
671,2.01954,,152,,677
672,2.02238,,152.5,,677.1
673,2.02522,,153,,677.2
674,2.02801,,152.333,,677.333
675,2.03081,,151.667,,677.467
676,2.0336,,151,,677.6
677,2.03646,,151.333,,677.733
678,2.03933,,151.667,,677.867
679,2.04219,,152,,678
680,2.04505,,152.333,,678.133
681,2.04792,,152.667,,678.267
682,2.05078,,153,,678.4
683,2.05376,,153,,678.48
684,2.05674,,153,,678.56
685,2.05971,,153,,678.64
686,2.06269,,153,,678.72
687,2.06567,,153,,678.8
688,2.06849,,153,,678.833
689,2.07132,,153,,678.867
690,2.07414,,153,,678.9
691,2.07696,,153,,678.933
692,2.07979,,153,,678.967
693,2.08261,,153,,679
694,2.08546,,153.167,,679.1
695,2.08831,,153.333,,679.2
696,2.09116,,153.5,,679.3
697,2.09401,,153.667,,679.4
698,2.09686,,153.833,,679.5
699,2.09971,,154,,679.6
700,2.10231,,154.4,,679.68
701,2.1049,,154.8,,679.76
702,2.1075,,155.2,,679.84
703,2.11009,,155.6,,679.92
704,2.11269,,156,,680
705,2.11527,,155.667,,680.067
706,2.11785,,155.333,,680.133
707,2.12043,,155,,680.2
708,2.123,,154.667,,680.267
709,2.12558,,154.333,,680.333
710,2.12816,,154,,680.4
711,2.131,,153.833,,680.433
712,2.13384,,153.667,,680.467
713,2.13668,,153.5,,680.5
714,2.13951,,153.333,,680.533
715,2.14235,,153.167,,680.567
716,2.14519,,153,,680.6
717,2.14796,,152.667,,680.667
718,2.15072,,152.333,,680.733
719,2.15349,,152,,680.8
720,2.15625,,151.667,,680.867
721,2.15901,,151.333,,680.933
722,2.16178,,151,,681
723,2.16452,,150.667,,681.067
724,2.16725,,150.333,,681.133
725,2.16999,,150,,681.2
726,2.17273,,149.667,,681.267
727,2.17546,,149.333,,681.333
728,2.1782,,149,,681.4
729,2.18085,,148.667,,681.433
730,2.18351,,148.333,,681.467
731,2.18616,,148,,681.5
732,2.18882,,147.667,,681.533
733,2.19148,,147.333,,681.567
734,2.19413,,147,,681.6
735,2.19678,,148,,681.6
736,2.19944,,149,,681.6
737,2.20209,,150,,681.6
738,2.20485,,149.5,,681.8
739,2.20761,,149,,682
740,2.21036,,149.167,,682.033
741,2.2131,,149.333,,682.067
742,2.21585,,149.5,,682.1
743,2.2186,,149.667,,682.133
