secs,km,power,hr,cad,alt
0,0,,99,,100.4
1,0.00152,,97,,100.2
2,0.00335,,97,,100.2
3,0.00546,,97,,100
4,0.00782,,98,,99.8
5,0.01024,,100,,99.8
6,0.01258,,103,,99.6
7,0.0149,,105,,99.2
8,0.01747,,108,,99
9,0.01996,,110,,98.8
10,0.02243,,111,,98.4
11,0.02501,,113,,98.2
12,0.02763,,114,,98.2
13,0.0303,,115,,98
14,0.03263,,117,,97.8
15,0.03499,,118,,97.6
16,0.03739,,119,,97.4
17,0.04003,,119,,97.2
18,0.04244,,119,,97.2
19,0.04484,,120,,97
20,0.0473,,120,,96.8
21,0.04996,,120,,96.6
22,0.0527,,120,,96.6
23,0.05531,,120,,96.4
24,0.05775,,120,,96.2
25,0.0607,,121,,96.8
26,0.06333,,122,,96.6
27,0.06595,,122,,96.2
28,0.06837,,123,,96
29,0.07079,,124,,95.8
30,0.07299,,124,,95.6
31,0.07519,,125,,95.4
32,0.07752,,125,,95.2
33,0.07995,,125,,94.8
34,0.08234,,125,,94.6
35,0.08481,,125,,94.2
36,0.08729,,125,,94
37,0.08981,,126,,93.6
38,0.09234,,127,,93.2
39,0.09491,,128,,93
40,0.09758,,129,,92.6
41,0.10015,,131,,92.4
42,0.10256,,132,,92.2
43,0.10501,,132,,92.2
44,0.1073,,133,,92
45,0.10944,,134,,91.8
46,0.11157,,135,,92
47,0.11358,,136,,92.2
48,0.1155,,137,,92
49,0.11845,,138,,93
50,0.1214,,138,,93.8
51,0.12401,,137,,93.4
52,0.12665,,137,,93.4
53,0.1292,,136,,93.4
54,0.13161,,136,,93.4
55,0.13368,,136,,93.4
56,0.13561,,137,,93.4
57,0.1373,,136,,93.2
58,0.13904,,136,,93.2
59,0.14068,,136,,93
60,0.14224,,135,,92.8
61,0.14409,,134,,92.2
62,0.14619,,133,,91.6
63,0.14833,,132,,91.2
64,0.15091,,131,,91
65,0.15803,,131,,91.2
66,0.15803,,131,,91.2
67,0.16192,,131,,91.8
68,0.16575,,132,,92.4
69,0.1694,,132,,93
70,0.17292,,133,,93.4
71,0.1761,,134,,93.8
72,0.17897,,135,,94
73,0.1814,,136,,94
74,0.18378,,136,,94
75,0.18607,,136,,93.8
76,0.18869,,137,,94
77,0.19138,,138,,93.6
78,0.19378,,138,,93.4
79,0.1964,,139,,93
80,0.19858,,139,,92.8
81,0.20118,,138,,92.4
82,0.2038,,137,,92
83,0.20667,,137,,91.8
84,0.20952,,137,,91.4
85,0.21228,,137,,90.8
86,0.21501,,138,,90.4
87,0.21766,,139,,90
88,0.22064,,139,,89.4
89,0.22331,,140,,89
90,0.22586,,140,,88.4
91,0.22801,,140,,88
92,0.2301,,140,,87.4
93,0.23247,,140,,87
94,0.23501,,139,,86.4
95,0.23783,,138,,85.8
96,0.24062,,139,,85.4
97,0.24316,,140,,84.8
98,0.24559,,140,,84.2
99,0.24838,,140,,83.8
100,0.25106,,141,,83.2
101,0.25412,,140,,82.8
102,0.25747,,142,,82.2
103,0.26075,,142,,81.6
104,0.26374,,143,,81.2
105,0.26645,,143,,80.6
106,0.26918,,144,,80.2
107,0.27197,,143,,79.8
108,0.27422,,144,,79.2
109,0.27666,,144,,78.8
110,0.27959,,143,,78.2
111,0.28224,,143,,77.8
112,0.28477,,142,,77.2
113,0.28751,,142,,76.6
114,0.29019,,141,,76.2
115,0.29302,,141,,75.8
116,0.29594,,141,,75.4
117,0.29875,,140,,75
118,0.30092,,140,,74.6
119,0.30326,,140,,74.2
120,0.30544,,139,,73.8
121,0.30759,,138,,73.4
122,0.30942,,139,,73
123,0.31103,,140,,72.6
124,0.31269,,139,,72.4
125,0.31452,,138,,72.2
126,0.3179,,138,,73.4
127,0.32175,,136,,74.8
128,0.32586,,136,,76.6
129,0.32975,,136,,77.8
130,0.33301,,136,,78.6
131,0.33586,,136,,79
132,0.33902,,136,,79.2
133,0.34204,,136,,79.4
134,0.34509,,136,,79.6
135,0.34832,,136,,79.8
136,0.35138,,136,,80
137,0.35428,,138,,79.8
138,0.35708,,138,,79.8
139,0.36034,,138,,80
140,0.36347,,138,,80.4
141,0.36642,,138,,81
142,0.36918,,138,,81.4
143,0.37206,,138,,81.4
144,0.37498,,138,,81.4
145,0.37796,,137,,81.4
146,0.38094,,137,,81.4
147,0.38396,,137,,81.2
148,0.38651,,137,,80.8
149,0.38903,,137,,80.4
150,0.39216,,137,,79.8
151,0.39526,,137,,79.2
152,0.39823,,137,,78.6
153,0.40129,,138,,78.2
154,0.40441,,139,,77.6
155,0.40734,,139,,77
156,0.41023,,139,,76.4
157,0.4131,,139,,75.8
158,0.41588,,139,,75.4
159,0.41849,,139,,75
160,0.42122,,139,,74.4
161,0.42386,,139,,74
162,0.4265,,139,,73.4
163,0.42906,,139,,73
164,0.43163,,139,,72.4
165,0.43511,,139,,70.8
166,0.43842,,140,,70
167,0.44108,,140,,69.4
168,0.44359,,142,,68.8
169,0.44633,,142,,68.2
170,0.44926,,144,,67.6
171,0.45203,,144,,67.2
172,0.45476,,144,,66.8
173,0.45802,,143,,66.8
174,0.46129,,143,,66.8
175,0.46433,,143,,66.8
176,0.46776,,143,,66.8
177,0.47104,,143,,66.6
178,0.47418,,143,,66.6
179,0.47718,,143,,66.4
180,0.48299,,143,,66.2
181,0.48299,,143,,66.2
182,0.48582,,143,,66
183,0.48845,,144,,65.8
184,0.49094,,144,,65.6
185,0.49352,,145,,65.4
186,0.49616,,145,,65.2
187,0.49899,,145,,65.2
188,0.50167,,145,,64.8
189,0.50422,,145,,64.6
190,0.50664,,145,,64.4
191,0.50887,,145,,64.2
192,0.51129,,145,,64
193,0.51389,,145,,63.8
194,0.51631,,145,,63.6
195,0.51884,,145,,63.2
196,0.52144,,145,,63
197,0.52449,,145,,63.6
198,0.52762,,145,,64.8
199,0.53074,,145,,65
200,0.53418,,145,,66.2
201,0.53718,,145,,66.4
202,0.54001,,145,,66.8
203,0.5427,,146,,67
204,0.54548,,147,,67.4
205,0.54834,,149,,67.6
206,0.55133,,149,,68
207,0.55438,,149,,68.2
208,0.55754,,151,,68.2
209,0.56057,,151,,68.6
210,0.56361,,151,,69.2
211,0.56638,,152,,69.6
212,0.56906,,152,,70.2
213,0.57178,,152,,70.8
214,0.57438,,152,,71.6
215,0.57734,,152,,72.4
216,0.58028,,152,,73.2
217,0.58298,,152,,74
218,0.58582,,152,,74.2
219,0.58849,,152,,73.8
220,0.5933,,152,,73.4
221,0.5933,,152,,73.4
222,0.59567,,152,,73
223,0.59781,,152,,72.8
224,0.59996,,152,,72.4
225,0.60215,,152,,72.6
226,0.60437,,152,,72.4
227,0.60695,,152,,72.4
228,0.60936,,152,,72.2
229,0.61155,,152,,71.8
230,0.61335,,151,,71.6
231,0.61542,,151,,71.4
232,0.61779,,151,,71.2
233,0.62043,,151,,70.8
234,0.62361,,152,,70.6
235,0.62671,,152,,70.4
236,0.62984,,152,,70.2
237,0.63286,,152,,69.8
238,0.63578,,151,,69.6
239,0.63866,,152,,69.2
240,0.6413,,152,,68.8
241,0.64426,,152,,68.4
242,0.64738,,152,,68.2
243,0.65039,,151,,68
244,0.65329,,151,,67.8
245,0.65615,,151,,67.8
246,0.6591,,151,,68.2
247,0.66187,,152,,68.2
248,0.66436,,152,,68.2
249,0.66766,,152,,68.8
250,0.67056,,152,,69.6
251,0.67354,,152,,70.6
252,0.67631,,152,,71.2
253,0.67919,,152,,71.8
254,0.6823,,152,,72.6
255,0.68536,,152,,73.8
256,0.68842,,152,,74.6
257,0.69143,,152,,75.2
258,0.69452,,152,,76.2
259,0.69751,,152,,77.2
260,0.7004,,152,,78.4
261,0.70353,,152,,80
262,0.70674,,152,,81.4
263,0.70934,,152,,82.2
264,0.71191,,152,,83.4
265,0.71427,,152,,84.8
266,0.71658,,152,,85.8
267,0.71922,,152,,87.2
268,0.72186,,152,,88.4
269,0.72453,,152,,89.4
270,0.72707,,152,,90.2
271,0.72939,,152,,90.6
272,0.732,,152,,91.6
273,0.73482,,152,,92.2
274,0.73777,,151,,92.6
275,0.74074,,151,,93.2
276,0.74356,,151,,93.8
277,0.74678,,152,,95.2
278,0.75006,,152,,95.6
279,0.75343,,152,,96.6
280,0.75678,,152,,97.2
281,0.76005,,152,,97.8
282,0.76339,,152,,99
283,0.76653,,152,,99.8
284,0.76943,,152,,101
285,0.77279,,152,,101.8
286,0.77936,,152,,104.2
287,0.77936,,152,,104.2
288,0.78271,,152,,104.8
289,0.78612,,152,,105.4
290,0.78947,,152,,106.2
291,0.79298,,152,,107
292,0.79659,,152,,107
293,0.80024,,152,,107.6
294,0.80377,,152,,107.6
295,0.80718,,152,,108
296,0.81062,,152,,108.6
297,0.81408,,152,,109.6
298,0.81758,,152,,110
299,0.82114,,150,,110.6
300,0.82462,,148,,111
301,0.82816,,148,,111.4
302,0.83169,,148,,111.8
