secs,km,power,hr,cad,alt
0,0,,90,,289.4
1,0.00388,,90,,289.2
2,0.007976,,89.6,,289.28
3,0.012072,,89.2,,289.36
4,0.016168,,88.8,,289.44
5,0.020264,,88.4,,289.52
6,0.02436,,88,,289.6
7,0.02848,,91,,289.9
8,0.0326,,94,,290.2
9,0.03648,,97.5,,290.4
10,0.04036,,101,,290.6
11,0.0443767,,102.333,,290.8
12,0.0483933,,103.667,,291
13,0.05241,,105,,291.2
14,0.056285,,106.5,,291.5
15,0.06016,,108,,291.8
16,0.064055,,109.5,,292.2
17,0.06795,,111,,292.6
18,0.071996,,111.4,,292.72
19,0.076042,,111.8,,292.84
20,0.080088,,112.2,,292.96
21,0.084134,,112.6,,293.08
22,0.08818,,113,,293.2
23,0.09226,,116,,293.2
24,0.0960075,,116.75,,293.1
25,0.099755,,117.5,,293
26,0.103502,,118.25,,292.9
27,0.10725,,119,,292.8
28,0.110825,,119,,292.567
29,0.1144,,119,,292.333
30,0.117975,,119,,292.1
31,0.12155,,119,,291.867
32,0.125125,,119,,291.633
33,0.1287,,119,,291.4
34,0.132212,,119.333,,291.233
35,0.135723,,119.667,,291.067
36,0.139235,,120,,290.9
37,0.142747,,120.333,,290.733
38,0.146258,,120.667,,290.567
39,0.14977,,121,,290.4
40,0.153592,,121.333,,290.433
41,0.157413,,121.667,,290.467
42,0.161235,,122,,290.5
43,0.165057,,122.333,,290.533
44,0.168878,,122.667,,290.567
45,0.1727,,123,,290.6
46,0.176455,,123.5,,290.6
47,0.18021,,124,,290.6
48,0.183965,,124.5,,290.6
49,0.18772,,125,,290.6
50,0.191475,,125.5,,290.6
51,0.19523,,126,,290.6
52,0.19891,,126.75,,290.45
53,0.20259,,127.5,,290.3
54,0.20627,,128.25,,290.15
55,0.20995,,129,,290
56,0.213417,,129.25,,289.85
57,0.216885,,129.5,,289.7
58,0.220353,,129.75,,289.55
59,0.22382,,130,,289.4
60,0.227782,,130,,289.4
61,0.231743,,130,,289.4
62,0.235705,,130,,289.4
63,0.239667,,130,,289.4
64,0.243628,,130,,289.4
65,0.24759,,130,,289.4
66,0.251788,,129.8,,289.76
67,0.255986,,129.6,,290.12
68,0.260184,,129.4,,290.48
69,0.264382,,129.2,,290.84
70,0.26858,,129,,291.2
71,0.272543,,129,,291.55
72,0.276505,,129,,291.9
73,0.280467,,129,,292.25
74,0.28443,,129,,292.6
75,0.288273,,129.333,,292.567
76,0.292117,,129.667,,292.533
77,0.29596,,130,,292.5
78,0.299803,,130.333,,292.467
79,0.303647,,130.667,,292.433
80,0.30749,,131,,292.4
81,0.311584,,131,,292.28
82,0.315678,,131,,292.16
83,0.319772,,131,,292.04
84,0.323866,,131,,291.92
85,0.32796,,131,,291.8
86,0.331912,,130.833,,291.667
87,0.335863,,130.667,,291.533
88,0.339815,,130.5,,291.4
