secs,km,power,hr,cad,alt
0,0,,0,,692.46
1,0,,0,,692.46
2,0,,0,,692.46
3,0,,0,,692.46
4,0,,0,,692.46
5,0,,0,,692.46
6,0.017,,153,,692.46
7,0.02,,154,,692.275
8,0.023,,154,,692.09
9,0.025,,154,,691.905
10,0.028,,154,,691.72
11,0.031,,154,,691.535
12,0.034,,154,,691.35
13,0.034,,154,,691.165
14,0.04,,154,,690.98
15,0.043,,154,,690.83
16,0.046,,154,,690.68
17,0.048,,154,,690.53
18,0.051,,154,,690.38
19,0.053,,154,,690.23
20,0.056,,154,,690.08
21,0.059,,154,,689.93
22,0.061,,155,,689.78
23,0.064,,155,,689.615
24,0.064,,154,,689.45
25,0.069,,154,,689.285
26,0.072,,152,,689.12
27,0.074,,144,,688.955
28,0.077,,139,,688.79
29,0.08,,137,,688.625
30,0.083,,135,,688.46
31,0.086,,135,,688.344
32,0.088,,135,,688.227
33,0.091,,136,,688.111
34,0.094,,134,,687.995
35,0.097,,134,,687.879
36,0.1,,134,,687.763
37,0.1,,133,,687.646
38,0.105,,132,,687.53
39,0.107,,132,,687.404
40,0.11,,133,,687.277
41,0.113,,134,,687.151
42,0.113,,134,,687.025
43,0.118,,136,,686.899
44,0.121,,136,,686.773
45,0.124,,137,,686.646
46,0.127,,138,,686.52
47,0.129,,139,,686.388
48,0.132,,139,,686.255
49,0.135,,139,,686.122
50,0.137,,139,,685.99
51,0.14,,138,,685.858
52,0.14,,139,,685.725
53,0.146,,139,,685.592
54,0.149,,140,,685.46
55,0.152,,140,,685.271
56,0.155,,141,,685.082
57,0.158,,141,,684.894
58,0.161,,142,,684.705
59,0.164,,142,,684.516
60,0.167,,142,,684.328
61,0.169,,143,,684.139
62,0.172,,143,,683.95
63,0.175,,143,,683.901
64,0.175,,143,,683.852
65,0.18,,144,,683.804
66,0.183,,144,,683.755
67,0.186,,145,,683.706
68,0.189,,145,,683.658
69,0.191,,144,,683.609
70,0.194,,145,,683.56
71,0.196,,145,,683.442
72,0.199,,145,,683.325
73,0.201,,146,,683.207
74,0.204,,146,,683.09
75,0.204,,147,,682.972
76,0.21,,146,,682.855
77,0.213,,147,,682.737
78,0.216,,147,,682.62
79,0.219,,147,,683.057
80,0.221,,148,,683.493
81,0.224,,148,,683.93
82,0.227,,148,,684.366
83,0.23,,149,,684.803
84,0.232,,149,,685.24
85,0.235,,149,,685.676
86,0.238,,149,,686.113
87,0.241,,150,,686.007
88,0.241,,151,,685.901
89,0.246,,151,,685.795
90,0.249,,150,,685.689
91,0.252,,150,,685.584
92,0.255,,151,,685.478
93,0.258,,151,,685.372
94,0.261,,151,,685.266
95,0.264,,151,,685.176
96,0.267,,151,,685.087
97,0.27,,151,,684.997
98,0.272,,152,,684.907
99,0.272,,152,,684.818
100,0.277,,152,,684.728
101,0.281,,151,,684.639
102,0.285,,152,,684.549
103,0.288,,152,,684.462
104,0.291,,152,,684.376
105,0.295,,152,,684.289
106,0.298,,152,,684.203
107,0.301,,153,,684.116
108,0.304,,153,,684.03
109,0.307,,152,,683.943
110,0.309,,152,,683.876
111,0.309,,152,,683.809
112,0.315,,152,,683.742
113,0.318,,152,,683.675
114,0.321,,153,,683.609
115,0.324,,153,,683.542
116,0.327,,152,,683.475
117,0.33,,153,,683.408
118,0.333,,153,,683.353
119,0.336,,153,,683.299
120,0.339,,152,,683.244
121,0.342,,153,,683.19
122,0.345,,154,,683.135
123,0.345,,154,,683.081
124,0.351,,154,,683.026
125,0.354,,154,,682.998
126,0.357,,154,,682.969
127,0.36,,154,,682.941
128,0.363,,154,,682.912
129,0.366,,154,,682.884
130,0.369,,154,,682.856
131,0.371,,154,,682.827
132,0.375,,154,,682.799
133,0.377,,154,,680.299
134,0.377,,154,,677.799
135,0.382,,154,,675.3
136,0.384,,154,,672.8
137,0.384,,154,,674.789
138,0.389,,153,,676.779
139,0.392,,154,,678.768
140,0.395,,154,,680.758
141,0.398,,154,,682.747
142,0.4,,155,,672
143,0.4,,154,,673.524
144,0.405,,153,,675.049
145,0.408,,154,,676.573
146,0.411,,155,,678.097
147,0.411,,154,,679.621
148,0.416,,154,,681.146
149,0.419,,154,,682.67
150,0.421,,154,,682.66
151,0.424,,155,,682.651
152,0.427,,154,,682.641
153,0.43,,155,,682.631
154,0.434,,154,,682.622
155,0.437,,155,,682.612
156,0.439,,154,,682.603
157,0.442,,154,,682.593
158,0.442,,155,,682.573
159,0.448,,156,,682.554
160,0.45,,155,,682.534
161,0.454,,155,,682.515
162,0.457,,155,,682.495
163,0.46,,156,,682.476
164,0.463,,155,,682.456
165,0.466,,155,,682.423
166,0.469,,155,,682.389
167,0.472,,155,,682.356
168,0.475,,156,,682.323
169,0.478,,156,,682.29
170,0.478,,156,,682.256
171,0.483,,156,,682.223
172,0.486,,156,,682.19
173,0.488,,156,,682.158
174,0.491,,155,,682.125
175,0.493,,156,,682.093
176,0.496,,155,,682.06
177,0.499,,155,,682.028
178,0.502,,154,,681.996
179,0.505,,153,,681.963
180,0.509,,153,,681.931
181,0.509,,153,,681.904
182,0.515,,153,,681.877
183,0.518,,153,,681.851
184,0.521,,153,,681.824
185,0.524,,154,,681.797
186,0.527,,154,,681.77
187,0.529,,154,,681.744
188,0.532,,155,,681.717
189,0.535,,156,,681.698
190,0.537,,155,,681.678
191,0.54,,156,,681.659
192,0.543,,157,,681.639
193,0.546,,157,,681.62
194,0.546,,157,,681.601
195,0.552,,156,,681.581
196,0.556,,157,,681.562
197,0.559,,156,,681.526
198,0.562,,156,,681.49
199,0.565,,156,,681.454
200,0.568,,156,,681.419
201,0.571,,157,,681.383
202,0.574,,157,,681.347
203,0.577,,157,,681.311
204,0.58,,156,,681.261
205,0.58,,156,,681.211
206,0.586,,156,,681.161
207,0.589,,156,,681.111
208,0.592,,156,,681.061
209,0.595,,156,,681.011
210,0.597,,156,,680.961
211,0.6,,156,,680.911
212,0.603,,156,,680.847
213,0.606,,156,,680.783
214,0.609,,156,,680.72
215,0.612,,157,,680.656
216,0.615,,157,,680.592
217,0.615,,157,,680.528
218,0.62,,156,,680.465
219,0.622,,157,,680.401
220,0.625,,157,,680.326
221,0.628,,157,,680.252
222,0.631,,157,,680.177
223,0.634,,157,,680.102
224,0.637,,157,,680.027
225,0.64,,157,,679.953
226,0.643,,157,,679.878
227,0.647,,157,,679.811
228,0.647,,158,,679.744
229,0.653,,157,,679.677
230,0.656,,158,,679.611
231,0.659,,157,,679.544
232,0.662,,157,,679.477
233,0.665,,158,,679.41
234,0.668,,158,,679.361
235,0.671,,158,,679.312
236,0.674,,157,,679.263
237,0.678,,157,,679.213
238,0.681,,157,,679.164
239,0.684,,157,,679.115
240,0.684,,157,,679.066
241,0.691,,157,,679.017
242,0.694,,157,,678.976
243,0.697,,157,,678.934
244,0.7,,157,,678.893
245,0.703,,157,,678.851
246,0.706,,158,,678.81
247,0.709,,158,,678.768
248,0.712,,158,,678.727
249,0.714,,159,,678.689
250,0.717,,158,,678.651
251,0.717,,158,,678.614
252,0.723,,160,,678.576
253,0.726,,159,,678.538
254,0.73,,159,,678.5
255,0.732,,159,,678.463
256,0.735,,159,,678.425
257,0.738,,158,,676.497
258,0.741,,159,,674.569
259,0.744,,159,,672.641
260,0.747,,159,,670.712
261,0.75,,159,,668.784
262,0.75,,159,,666.856
263,0.755,,159,,664.928
264,0.758,,159,,663
265,0.758,,159,,678.093
266,0.762,,158,,678.045
267,0.764,,159,,677.998
268,0.766,,159,,677.95
269,0.769,,159,,677.903
270,0.771,,159,,677.855
271,0.773,,159,,677.808
