secs,km,power,hr,cad,alt
0,0,,94,,62.4
1,0.00364,,97,,62.4
2,0.00733,,100,,62.6
3,0.01091,,103,,62.6
4,0.01444,,106,,62.8
5,0.01803,,109,,62.8
6,0.02146,,112,,63
7,0.02481,,114,,63.2
8,0.02822,,117,,63.4
9,0.03139,,121,,63.6
10,0.03459,,123,,63.8
11,0.03783,,126,,64
12,0.04086,,128,,64
13,0.04394,,131,,64
14,0.04707,,133,,64.2
15,0.0502,,134,,64.4
16,0.05345,,135,,64.4
17,0.0567,,136,,64.6
18,0.05981,,136,,64.8
19,0.06283,,137,,64.8
20,0.06598,,137,,65
21,0.06915,,137,,65
22,0.07234,,137,,65
23,0.07558,,137,,65
24,0.07873,,138,,65
25,0.08191,,138,,64.8
26,0.0852,,138,,64.8
27,0.08843,,138,,64.8
28,0.09173,,139,,64.8
29,0.09509,,140,,65
30,0.09822,,140,,65.2
31,0.10129,,141,,65.2
32,0.1044,,142,,65.2
33,0.10743,,143,,65.4
34,0.11047,,143,,65.4
35,0.11343,,144,,65.4
36,0.11634,,145,,65.4
37,0.11936,,146,,65.4
38,0.12235,,146,,65.4
39,0.12522,,147,,65.4
40,0.12815,,147,,65.4
41,0.13099,,147,,65.4
42,0.1337,,147,,65.2
43,0.13626,,147,,65.2
44,0.13884,,147,,65.4
45,0.14191,,147,,65.4
46,0.14516,,147,,65.4
47,0.14798,,147,,65.2
48,0.15062,,148,,65
49,0.15349,,148,,64.8
50,0.15632,,149,,64.8
51,0.15919,,149,,64.6
52,0.16222,,150,,64.4
53,0.16528,,150,,64.4
54,0.16856,,151,,64.2
55,0.1716,,151,,64.4
56,0.17454,,151,,64.4
57,0.17754,,152,,64.6
58,0.18029,,152,,64.4
59,0.18279,,152,,64.2
60,0.18533,,152,,64
61,0.18828,,152,,64
62,0.19128,,152,,64
63,0.19424,,152,,64
64,0.19709,,152,,64.2
65,0.20002,,151,,64.2
66,0.20317,,151,,64.4
67,0.20618,,152,,64.2
68,0.20903,,152,,64
69,0.21211,,152,,64
70,0.21508,,152,,64
71,0.21803,,152,,64
72,0.22125,,153,,64
73,0.22456,,153,,63.8
74,0.22793,,154,,63.6
75,0.23127,,155,,63.4
76,0.23457,,155,,63.2
77,0.23781,,156,,63.2
78,0.24106,,156,,63
79,0.24414,,156,,62.8
80,0.24743,,156,,62.8
81,0.25067,,157,,62.6
82,0.25369,,156,,62.6
83,0.25685,,156,,62.4
84,0.25999,,156,,62.6
85,0.26311,,156,,63
86,0.26637,,156,,63.4
87,0.26954,,155,,63.2
88,0.2728,,155,,63.2
89,0.27618,,154,,63.4
90,0.27953,,153,,63.6
91,0.28284,,153,,63.6
92,0.28609,,153,,63.4
93,0.28926,,153,,63.2
94,0.29247,,154,,63.2
95,0.29574,,154,,63
96,0.29878,,155,,62.6
97,0.30184,,156,,62.4
98,0.30485,,156,,62.2
99,0.30781,,156,,61.8
100,0.31101,,157,,61.8
101,0.31418,,157,,61.6
102,0.31727,,157,,61
103,0.32067,,157,,61
104,0.32413,,157,,60.8
105,0.32738,,157,,60.4
106,0.33046,,156,,60.2
107,0.33366,,156,,60
108,0.3366,,156,,59.8
109,0.33935,,156,,59.6
110,0.34211,,156,,59.2
111,0.34491,,156,,58.8
112,0.34778,,156,,58.8
113,0.35088,,157,,58.8
114,0.35376,,156,,58.4
115,0.35685,,157,,57.8
116,0.36,,157,,57.4
117,0.36293,,157,,57
118,0.36621,,158,,57.6
119,0.3695,,158,,57.4
120,0.3726,,157,,57.4
121,0.37589,,157,,57.2
122,0.37904,,157,,57
123,0.38229,,156,,56.8
124,0.38581,,156,,56.6
125,0.38918,,155,,56.2
126,0.39252,,155,,55.8
127,0.39599,,155,,55.8
128,0.39926,,154,,55.6
129,0.40239,,155,,55
130,0.40502,,155,,54.4
131,0.40736,,156,,53.6
132,0.40995,,156,,53.6
133,0.41308,,157,,53.8
134,0.41617,,157,,53.8
135,0.41904,,157,,53.6
136,0.42222,,157,,53.4
137,0.42523,,157,,53.2
138,0.42823,,157,,53.2
139,0.43133,,156,,52.8
140,0.43427,,157,,52.4
141,0.43719,,157,,52.6
142,0.4402,,157,,52.8
143,0.44333,,157,,52.6
144,0.44666,,158,,52.8
145,0.44986,,158,,53.2
146,0.45296,,158,,53
147,0.45626,,159,,53
148,0.45957,,159,,53
149,0.46278,,158,,53
150,0.46597,,158,,53.4
151,0.46914,,158,,53.8
152,0.47209,,157,,54.2
153,0.47519,,156,,54
154,0.47824,,156,,54
155,0.48135,,156,,54.4
156,0.48454,,156,,54.4
157,0.48785,,156,,54.2
158,0.49116,,157,,54.2
159,0.49437,,157,,53.8
160,0.49747,,158,,53.2
161,0.50058,,159,,53.2
162,0.50387,,159,,53
163,0.50679,,160,,53
164,0.50959,,161,,53.2
165,0.51263,,161,,53.4
166,0.51569,,162,,53.8
167,0.51873,,162,,53.6
168,0.52191,,162,,53.8
169,0.52507,,163,,54
170,0.52839,,163,,53.8
171,0.53151,,163,,53.6
172,0.53448,,164,,53.4
173,0.53771,,164,,53.4
174,0.54103,,164,,53
175,0.54424,,164,,52.8
176,0.54761,,164,,52.6
177,0.55088,,163,,52.8
178,0.55406,,163,,52.6
179,0.55743,,162,,52.6
180,0.56083,,162,,52.8
181,0.56418,,161,,53
182,0.56753,,161,,53.4
183,0.57075,,162,,53.2
184,0.57381,,162,,53.6
185,0.57697,,162,,53.8
186,0.57998,,162,,54.2
187,0.5832,,162,,54.2
188,0.58643,,162,,53.8
189,0.58951,,162,,53.6
190,0.59271,,162,,53.6
191,0.59565,,162,,53.8
192,0.59844,,162,,53.8
193,0.60159,,162,,54.2
194,0.60452,,162,,54.4
195,0.60721,,162,,55.2
196,0.61042,,163,,55.4
197,0.6135,,163,,55.4
198,0.61646,,163,,55.8
199,0.6195,,163,,56
200,0.62243,,163,,55.8
201,0.62521,,164,,56
202,0.62841,,164,,56
203,0.6316,,165,,56.2
204,0.63465,,165,,56.4
205,0.63793,,166,,56.2
206,0.64102,,166,,56.2
207,0.64395,,167,,55.8
208,0.64702,,167,,56
209,0.64994,,167,,56.6
210,0.653,,167,,56.6
211,0.65621,,167,,56.6
212,0.6594,,167,,56.6
213,0.66274,,167,,56.8
214,0.6659,,167,,56.8
215,0.66896,,168,,56.8
216,0.67215,,168,,57.2
217,0.67533,,168,,57.2
218,0.67844,,168,,57.2
219,0.68173,,169,,57
220,0.68497,,168,,56.6
221,0.68822,,168,,56.6
222,0.69158,,168,,56.6
223,0.69471,,168,,56.6
224,0.69767,,168,,56.4
225,0.70078,,168,,56.4
226,0.70398,,167,,56.2
227,0.70707,,168,,56.2
228,0.71014,,168,,56
229,0.71317,,167,,56
230,0.71611,,167,,56
231,0.71919,,167,,55.8
232,0.72206,,166,,55.6
233,0.72493,,166,,55.6
234,0.72808,,167,,55.2
